cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
142,15,0.4,5,6,142,4.36015e-07,7.84318e-07,1.08287e-29,16.3425,0.555916,1062.49,2846.28,2770.88,4.93765,21.3099,20.4692,-0.224088,-1.34897e-30,1.09135e-12,0.97011,0.893777,43068.3,66220.3,1.53652,25.1107,1.43306,23.4198,1.45251,0.0066,1.41948,4.5,4.55816,1.76747e-29,26.6744,1.66715,1.63221 
143,15,0.4,0.1,10.9,143,4.06064e-07,7.61599e-07,1.0515e-29,15.8692,0.533173,1062.49,2846.28,2770.88,4.93334,21.3114,20.4706,-0.112602,-6.31285e-31,8.659e-13,1.09963,1.009,39433.1,59013,1.46769,23.291,1.38421,21.9662,1.33604,0.0066,1.46781,4.5,4.30003,1.69935e-29,25.6464,1.6029,1.61611 
144,15,0.4,3,8,144,4.3127e-07,7.32588e-07,1.01145e-29,15.2647,0.588693,1062.49,2846.28,2770.88,4.93887,21.3095,20.4688,-0.377007,-2.24482e-30,3.4807e-13,0.816926,0.757478,35096.3,52025.2,1.63756,24.9969,1.50548,22.9806,1.61331,0.0066,1.44496,4.5,4.63113,1.78599e-29,26.9539,1.68462,1.76577 
145,15,0.4,9,2,145,4.25118e-07,7.76679e-07,1.07232e-29,16.1834,0.547353,1062.49,2846.28,2770.88,4.93787,21.3098,20.4692,-0.182668,-1.07215e-30,6.87516e-13,1.01635,0.934909,41822.1,62548.5,1.51047,24.4446,1.41453,22.8919,1.40915,0.0066,1.43558,4.5,4.57166,1.77092e-29,26.7265,1.67041,1.65148 
146,15,0.4,8,3,146,4.36015e-07,7.78593e-07,1.07496e-29,16.2233,0.560003,1062.49,2846.28,2770.88,4.94214,21.3084,20.4678,-0.243634,-1.46664e-30,1.05813e-12,0.949023,0.875024,42132.1,64169.9,1.54901,25.13,1.44196,23.3933,1.473,0.0066,1.42882,4.5,4.82768,1.83427e-29,27.6827,1.73017,1.70636 
147,15,0.4,7,4,147,4.43074e-07,7.18454e-07,9.91933e-30,14.9702,0.616705,1062.49,2846.28,2770.88,4.94605,21.3071,20.4666,-0.501477,-3.06769e-30,6.49449e-13,0.710585,0.662573,33103.8,50292.3,1.72511,25.8251,1.56922,23.4914,1.74472,0.0066,1.42426,4.5,5.06205,1.88891e-29,28.5072,1.7817,1.90427 
148,15,0.4,1,10,148,4.24068e-07,7.63899e-07,1.05468e-29,15.9171,0.555136,1062.49,2846.28,2770.88,4.93551,21.3106,20.4699,-0.22034,-1.29007e-30,5.86278e-13,0.974206,0.897421,39791.5,58789.1,1.53414,24.4191,1.43136,22.7832,1.44858,0.0066,1.45599,4.5,4.42992,1.73413e-29,26.1714,1.63571,1.64423 
149,15,0.4,6,5,149,4.34923e-07,7.86673e-07,1.08612e-29,16.3916,0.552864,1062.49,2846.28,2770.88,4.94155,21.3086,20.468,-0.209398,-1.25738e-30,5.07501e-13,0.986268,0.908148,43457.4,63709.3,1.52722,25.0336,1.42643,23.3816,1.43712,0.0066,1.46691,4.5,4.79193,1.82566e-29,27.5527,1.72204,1.6809 
150,15,0.4,4,7,150,4.14401e-07,7.61621e-07,1.05153e-29,15.8696,0.544105,1062.49,2846.28,2770.88,4.93689,21.3102,20.4695,-0.16678,-9.54224e-31,1.01067e-12,1.03467,0.951201,39436.5,59743.7,1.50063,23.8145,1.40754,22.3372,1.39255,0.0066,1.44136,4.5,4.51254,1.75572e-29,26.4972,1.65607,1.66968 
151,15,0.4,10,1,151,4.27236e-07,7.77435e-07,1.07337e-29,16.1991,0.549546,1062.49,2846.28,2770.88,4.93796,21.3098,20.4691,-0.193332,-1.1404e-30,7.9632e-13,1.00424,0.924133,41944.3,62546.2,1.51713,24.5761,1.41926,22.9907,1.42031,0.0066,1.44193,4.5,4.57713,1.77231e-29,26.7476,1.67172,1.65117 
152,15,0.4,2,9,152,4.2361e-07,7.52924e-07,1.03952e-29,15.6884,0.562619,1062.49,2846.28,2770.88,4.93459,21.3109,20.4702,-0.256068,-1.49763e-30,7.19414e-13,0.935847,0.863303,38100.9,57294.1,1.55702,24.4272,1.44768,22.7117,1.48605,0.0066,1.44672,4.5,4.37496,1.71954e-29,25.9511,1.62195,1.65416 
153,15,0.4,5,6,153,4.23362e-07,7.66894e-07,1.05881e-29,15.9795,0.552047,1062.49,2846.28,2770.88,4.93813,21.3097,20.4691,-0.205455,-1.20091e-30,8.86899e-13,0.990649,0.912045,40261.3,61019.9,1.52473,24.3645,1.42467,22.7655,1.43299,0.0066,1.40202,4.5,4.58686,1.77479e-29,26.785,1.67406,1.67621 
154,15,0.4,5,6,153,4.26896e-07,7.7042e-07,1.06368e-29,16.053,0.554108,1062.49,2846.28,2770.88,4.93696,21.3101,20.4694,-0.215393,-1.26951e-30,1.09387e-12,0.97964,0.902253,40819.2,62072.2,1.53101,24.5772,1.42913,22.9418,1.4434,0.0066,1.43666,4.5,4.51718,1.75692e-29,26.5153,1.65721,1.65174 
155,15,0.4,5,6,153,4.12072e-07,7.55817e-07,1.04352e-29,15.7487,0.545201,1062.49,2846.28,2770.88,4.93527,21.3107,20.47,-0.17215,-9.79407e-31,9.6284e-13,1.02844,0.945661,38541.8,57938.4,1.50395,23.6852,1.4099,22.204,1.39816,0.0066,1.46898,4.5,4.41577,1.73039e-29,26.1149,1.63218,1.65823 
156,15,0.4,5,6,153,4.31033e-07,7.53472e-07,1.04028e-29,15.6998,0.572062,1062.49,2846.28,2770.88,4.9403,21.309,20.4684,-0.300483,-1.78819e-30,6.4772e-13,0.890266,0.822758,38184.1,57386.8,1.58605,24.9007,1.46844,23.0542,1.53271,0.0066,1.42625,4.5,4.71694,1.80735e-29,27.2763,1.70477,1.73737 
