cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
30,3,4,0,30,27525.4,-0.975815,52.7839,13.0683,83.5181,-1.27989,2116.13,0.343364,-0.458092,0.14393,-2.17099,-1.58332,-2.61998,6.81192,11896,106.615,17381.1,110623,-0.500985,0.101037,-2.25678,-1.62621,-2.66287,0.675088,11887.3,106.438,17372.4,0.429203,0.984572,0.0111603,27696.2,0.0281942,981.011,0.0282635,-0.0366523,-1.11883,-18.2192,105.115,123.143,-583455,5.13555,11.3677,100.019,234.387,5.09628,-111.244 
31,3,4,9,31,28299,-0.208673,53.1314,12.88,83.599,-0.607594,654.217,500,-2.05772,1.5164,2.43863,-1.35252,-1.01073,-3.83524,12243.7,100.459,17799.5,35217.2,-2.03357,1.54055,2.48693,-1.32837,-0.986582,8.74648,12248.6,100.559,17804.4,0.430521,0.985836,0.0102971,28450.5,0.0289867,922.352,0.0290872,-0.0930726,-0.460111,-19.2095,104.436,122.253,-352391,5.17455,11.301,99.9944,233.153,4.44128,-110.9 
32,10,11,5,32,25149.2,-0.693357,47.8882,13.0493,83.6477,1.80359,-656.497,495.848,-1.84233,2.3888,-1.90101,-1.28077,-1.88538,18.8652,10945.7,93.0855,15917.4,58887.6,-1.96111,2.27001,-2.13859,-1.39956,-2.00417,0.59136,10921.7,92.5955,15893.4,0.430247,0.98538,0.0106182,25384.7,0.0257604,966.046,0.025789,-0.00183575,-0.925553,-19.3288,105.375,122.53,-1.79456e+06,5.24233,12.3206,100.035,238.481,5.3398,-115.951 
33,5,6,7,33,25123,-0.0477698,48.5956,12.5068,83.7774,0.0319862,-26.0115,8.74781e-12,0.000309673,2.06251,-3.61639,-2.53887,-2.45757,35.5183,10365.1,82.6556,16575.2,19812.2,-0.22334,1.83886,-4.06369,-2.76252,-2.68122,0.485082,10319.8,81.733,16529.9,0.4069,0.98633,0.00902615,25362.1,0.0257335,910.362,0.0318579,-0.0952563,-0.0308176,-19.3871,104.403,120.478,-81903.7,520.707,114.732,-61.4443,613.322,165.848,-492.844 
34,1,2,10,34,28016.2,-0.127865,53.5108,12.6148,83.7693,-0.0759175,130.186,2.81282e-05,1.57262,1.04014,-4.98151,-1.66104,-1.01839,-12.4487,11936.8,111.617,17629,22296.1,1.651,1.11852,-4.82474,-1.58265,-0.94,-0.0539276,11952.6,111.94,17644.9,0.426735,0.983875,0.0115514,28009.4,0.028697,1006.93,0.0287438,-0.0126646,-1.26522,-18.7662,105.298,122.718,-1.67765e+06,5.21511,12.3079,100.013,238.337,5.28499,-115.619 
35,7,8,5.6,35,25410.3,-0.660881,48.7105,12.8698,83.7382,1.25651,-412.959,162.026,-0.218957,1.85937,-3.95221,-2.03631,-4.78744,-5.5457,11192.7,92.6711,15958.7,37299,-0.184038,1.89429,-3.88237,-2.00139,-4.75252,0.56505,11199.8,92.8151,15965.8,0.435304,0.985705,0.0105954,25728.6,0.0260278,1001.97,0.0260582,-0.104733,-0.366235,-18.2809,104.494,121.492,-327665,5.1158,10.9817,100.005,233.217,4.48964,-111.725 
36,20,21,0,36,28219.7,-0.752007,53.6372,13.0181,83.5951,0.14257,196.379,343.52,0.616703,-1.60842,-4.02348,-2.4571,-1.66411,15.6087,12216.5,80.099,18065.7,23641.9,0.518419,-1.7067,-4.22005,-2.55538,-1.7624,0.566111,12196.6,79.6936,18045.9,0.426182,0.988695,0.0080694,28618.4,0.0289055,909.719,0.0359634,-0.121432,-0.0274141,-21.7008,104.298,117.083,-110382,441.151,120.556,72.2528,639.501,32.0455,-522.418 
37,20,21,3.5,37,24429.4,-0.203958,45.8081,13.0435,83.6829,2.96986,-1915.19,0.00540574,-0.606613,0.305342,1.67572,-2.42309,-6.58775,16.9849,9985.64,81.0944,16220.4,204608,-0.713562,0.198392,1.46182,-2.53004,-6.6947,1.17659,9964.02,80.6532,16198.8,0.403321,0.986033,0.0090884,24705,0.025023,952.704,0.0310647,0.0901438,0.206952,6.95607,104.104,132.996,-81903.9,348.912,115.6,76.9606,617.938,27.1439,-484.942 
38,3,4,0,38,28160.6,-0.78431,53.4347,13.1119,83.5526,-0.550672,527.718,1.03303,0.395791,2.35035,-4.22137,-0.689348,-3.71069,11.3069,11996,95.1606,17970.9,32267.9,0.324595,2.27915,-4.36376,-0.760545,-3.78189,0.307609,11981.6,94.867,17956.5,0.423048,0.986333,0.00963831,28322,0.0288449,979.521,0.0355719,-0.700863,-0.0772872,-21.7282,104.527,119.113,-327664,549.173,121.646,32.369,661.165,72.1575,-542.052 
39,3,4,9,39,27146,-0.680297,51.3474,12.986,83.551,-0.449028,548.093,395.482,-1.40081,-2.87872,-3.23457,-0.963093,-2.40817,-67.2552,11826.1,90.3721,17034.4,29718.1,-0.977322,-2.45523,-2.38759,-0.539605,-1.98468,0.71387,11911.7,92.1189,17120,0.433297,0.986647,0.00981468,27491,0.0278056,1027.84,0.0278553,-0.039179,-0.843778,-19.3796,104.771,121.084,-350562,5.11745,10.9281,100.014,232.849,4.75779,-111.765 
40,10,11,5,40,25277,-0.66857,48.232,13.0383,83.4914,0.990015,-294.215,5.47923e-08,1.14284,-0.331801,-0.912118,1.37623,-1.28451,4.94176,10815.3,77.6115,16401.4,29953.6,1.11172,-0.362918,-0.974352,1.34511,-1.31562,-3.9698,10809,77.4831,16395.1,0.420117,0.987611,0.00863065,25728.5,0.0258913,973.566,0.0323654,-0.147308,0.298009,0.365763,105.1,107.656,-86892.8,429.116,121.583,114.404,641.12,-9.30437,-533.465 
41,5,6,7,41,26850.3,-0.68806,50.9249,12.9849,83.3409,0.580905,54.9595,18.6979,-0.612143,1.18078,0.660026,-0.371428,-2.89385,-31.0609,11653.9,97.8597,16800.9,22565.4,-0.416561,1.37636,1.05119,-0.175846,-2.69827,2.21789,11693.4,98.6665,16840.4,0.432797,0.985449,0.0106775,27018.1,0.0275027,936.261,0.0275306,-0.00367889,-0.844964,-19.994,104.905,122.793,-1.48543e+06,5.18436,12.256,100.01,237.972,4.89587,-115.179 
42,1,2,10,42,26861.5,-0.349184,51.8314,12.499,83.5467,0.266444,7.94889,1.1595e-06,-2.07341,0.666884,1.14232,-3.21482,-2.124,-65.6823,11754.8,81.8902,16922.1,21158.4,-1.65983,1.08047,1.96949,-2.80124,-1.71041,1.63094,11838.4,83.5962,17005.7,0.433424,0.987793,0.0089741,27313.6,0.0275143,989.727,0.027557,-0.205228,-0.295843,-18.7477,104.413,120.28,-163825,5.14948,10.8196,100.018,230.495,4.39467,-110.215 
43,7,8,5.6,43,24765.1,-0.120457,47.3034,12.7692,83.7958,0.00505293,48.443,1.4587e-08,1.97522,4.01183,-1.51815,-2.87051,-2.62198,45.7969,10497.1,82.1249,16303.2,19671.1,1.68685,3.72346,-2.09489,-3.15888,-2.91035,0.239274,10438.8,80.9354,16244.9,0.413882,0.986613,0.00909427,25221.7,0.0253669,918.703,0.0255544,-0.0658627,0.544247,-21.2986,104.404,119.006,-81914.6,17.4469,13.8374,101.27,238.881,3.13422,-119.875 
44,20,21,0,44,28600.2,-0.0261539,53.7152,12.6844,83.3226,-0.000975478,58.4136,8.03705e-12,0.370864,0.782404,-3.25485,-2.47427,-0.682744,21.1359,12392.5,95.5684,17922.3,22182,0.237777,0.649317,-3.52102,-2.60736,-0.815831,0.418696,12365.6,95.0195,17895.4,0.431602,0.986731,0.00968632,28650.4,0.0292952,976.321,0.0293162,-0.0173576,-0.38415,-18.9401,104.323,118.382,-327665,5.13627,11.4008,100.018,233.283,4.3054,-114.901 
45,20,21,3.5,45,24467.4,-0.685582,46.7687,13.0261,83.4668,0.0568289,453.448,38.0681,1.26676,-0.83256,2.28718,-4.61232,-2.46752,29.9799,9856.39,89.806,16129,20670.8,1.07799,-1.02134,1.90963,-4.80109,-2.65629,1.34777,9818.23,89.0273,16090.9,0.401384,0.98438,0.0100891,24460.9,0.0250619,999.076,0.025093,-0.0406928,-0.691299,-19.2819,104.702,121.608,-327665,5.14187,11.2147,100.015,233.138,4.68741,-111.53 
46,3,4,0,46,27779.9,0.154314,52.1118,12.7174,83.2509,0.219006,-232.787,500,2.53254,0.143595,0.58621,-0.473023,0.111702,-12.1428,11360.3,109.517,17649.7,23233.6,2.609,0.220055,0.739131,-0.396563,0.188163,0.780007,11375.8,109.832,17665.1,0.414403,0.983385,0.0113235,27451.1,0.0284549,990.544,0.0284155,-0.0227627,-1.62288,-17.2022,105.351,124.605,-327775,5.1487,11.3605,99.9915,233.242,5.35938,-108.638 
47,3,4,9,47,28005,0.0264503,51.7476,12.995,83.3951,-0.0139379,11.32,500,-0.327784,3.13642,-6.48747,-3.22224,-0.337667,46.4376,11666.9,86.3534,18190.3,21896,-0.620189,2.84402,-7.07228,-3.51464,-0.630072,0.213594,11607.8,85.1472,18131.2,0.412984,0.987326,0.00857667,28107.2,0.0286856,937.729,0.0354361,-0.1123,0.0276692,-22.8004,104.227,115.615,-81903.6,653.492,117.583,52.4475,624.225,51.78,-508.61 
48,10,11,5,48,26913.8,-0.0527548,49.1808,13.2015,83.752,0.0351227,11.1871,243.441,0.84973,3.69982,-0.525812,-3.08126,-0.88928,4.94283,11414,83.4408,17267.9,21148.3,0.818607,3.6687,-0.588059,-3.11239,-0.920403,-3.40345,11407.7,83.3124,17261.6,0.420703,0.987381,0.00881249,27115.7,0.0275678,998.165,0.0343228,-0.119552,0.00293888,-21.1241,103.873,116.357,-81903.8,417.885,120.559,38.8384,635.234,65.0343,-518.877 
49,5,6,7,49,26650.4,-0.440786,50.5456,12.9612,83.5246,1.01888,-408.267,500,-0.490038,1.40946,-4.93282,-2.18322,-3.88151,45.6014,11401.9,83.8734,17197.7,34868.2,-0.777178,1.12232,-5.5071,-2.47036,-4.16865,0.533335,11343.9,82.6889,17139.7,0.421063,0.987404,0.00880878,26941,0.027298,933.388,0.0273118,-0.00583374,0.306748,-20.3953,103.867,116.892,-327665,5.13302,11.22,100.015,232.874,3.85169,-115.982 
50,1,2,10,50,27659.7,-0.788039,52.4669,13.1545,83.674,-0.127845,753.984,363.949,2.04083,-2.62487,-7.2321,-1.54549,-1.10383,44.2504,12137.5,87.1794,17507.4,25605.4,1.7622,-2.9035,-7.78936,-1.82413,-1.38246,0.358227,12081.1,86.03,17451.1,0.432061,0.987692,0.00899944,27961.6,0.0283318,975.808,0.0352514,-0.14001,0.0074737,-21.8576,104.225,117.18,-81903.8,406.668,120.41,101.833,634.603,2.39205,-517.422 
51,7,8,5.6,51,27688.1,-0.041726,51.9723,12.8036,83.7824,0.512723,-218.863,10.4571,-2.13561,0.531282,-7.31759,-4.66209,-3.50972,-14.9309,11812,109.217,17419.9,25315.1,-2.04159,0.625298,-7.12956,-4.56807,-3.41571,0.56868,11831,109.605,17438.9,0.427105,0.984046,0.0114453,27700.4,0.0283609,956.025,0.0285625,-0.0289944,-0.973547,-18.8443,104.894,122.066,-2.11205e+06,5.17599,12.4539,100.021,239.164,4.87345,-117.098 
52,20,21,0,52,28015.4,-0.737023,53.1265,13.0277,83.551,0.663755,-449.72,498.901,-1.42338,0.760545,-3.82573,-0.369684,-4.20124,-18.9645,12738,97.2413,17230.9,32248,-1.30396,0.87996,-3.5869,-0.25027,-4.08182,0.570071,12762.2,97.7338,17255.1,0.448358,0.986776,0.0103261,28464.3,0.0286961,987.422,0.0287239,-0.0220398,-0.528649,-19.072,104.563,120.384,-327674,5.1729,11.4414,100.015,233.398,4.54769,-113.014 
