cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,3,4,0,21,27588.7,-0.839641,51.3398,13.5272,84.7286,0.574824,-84.6156,223.864,-0.40117,0.482825,0.92069,-2.96315,-0.467697,133.92,13694.2,28.3828,16972.5,24191.2,-1.24443,-0.360436,-0.765831,-3.80641,-1.31096,0.897726,13523.8,24.9044,16802.1,0.469353,0.996788,0.00272296,28813.7,0.0282591,1022.8,0.0282403,0.0420472,-0.280513,-28.3131,103.806,96.4107,-132314,5.1589,10.776,100.016,229.564,3.78963,-133.153 
22,3,4,10,22,26063.7,-0.786599,48.5106,13.5093,84.4301,0.867498,-7.8608,248.618,0.917637,2.34542,-1.16956,-1.34229,0.389269,68.247,12235,27.8479,16869,21555.6,0.487904,1.91568,-2.02903,-1.77202,-0.0404642,-0.411077,12148.2,26.0753,16782.1,0.443042,0.996258,0.00285401,27419.9,0.026697,993.413,0.0266491,0.0323781,-0.681253,-26.5965,104.122,94.1072,-297956,5.12375,10.6528,100.012,232.389,4.10959,-138.282 
23,20,21,2.2,23,26344.6,-0.316356,47.8974,13.5682,84.8151,0.277559,-91.3541,500,-3.58476,-2.16234,1.36573,-0.361568,-2.29301,147.829,12705.8,25.2842,16539.9,21981.3,-4.5156,-3.09319,-0.495956,-1.29241,-3.22385,0.960704,12517.6,21.4445,16351.8,0.456886,0.997011,0.00241001,27397.7,0.0269847,1043.6,0.026937,0.0342846,-1.59033,-28.8112,104.167,95.1803,-273640,5.17757,11.5691,100.024,231.555,4.14265,-136.374 
24,3,4,0,24,27073.6,-0.165879,49.958,13.2786,84.8216,0.123567,1.30968,499.999,-2.76392,0.88614,-5.29912,-1.65145,3.95361,130.31,13487.3,36.8603,16612.6,21600.3,-3.58445,0.0656137,-6.94017,-2.47198,3.13308,0.291668,13321.4,33.4756,16446.8,0.470922,0.995622,0.0037354,28288,0.0277315,1051.78,0.027542,0.0493232,-1.03458,-29.0836,104.13,98.2112,-281757,5.1038,10.5446,100.027,232.058,4.10313,-133.846 
25,3,4,10,25,26151.5,-0.796971,49.1311,13.4014,84.5596,1.76181,-2217.53,77.2774,-2.00609,0.940902,-1.96846,-0.387295,3.13779,60.5528,12556.9,32.0852,16532.2,148615,-2.38737,0.559617,-2.73103,-0.76858,2.7565,-0.0623015,12479.9,30.5124,16455.2,0.454573,0.99574,0.00340415,27454.1,0.0267869,1047.3,0.0267476,0.0266175,-0.81314,-26.2711,104.017,95.3005,-268490,5.17123,11.1074,100.035,232.363,3.98193,-137.062 
26,20,21,2.2,26,26640.7,-0.583397,49.1369,13.5496,84.5933,-1.4079,-1397.94,8.09842,0.407978,0.495385,-1.70048,1.30076,2.67739,85.4709,12989.2,36.4282,16625.1,85743.3,-0.13021,-0.0428022,-2.77686,0.762572,2.13921,-56.7434,12880.4,34.2082,16516.3,0.461494,0.995374,0.00380082,27910.3,0.027288,989.203,0.0271535,0.039586,-1.54676,-27.0663,104.363,97.3294,-176198,5.17124,10.6454,99.9909,230.744,4.37218,-133.415 
27,3,4,0,27,27273.4,-0.838897,50.8087,13.5322,84.4774,0.909888,86.4049,445.145,1.02303,0.0561123,0.421579,3.8688,0.16719,119.375,12889.7,35.8962,17312.9,24941.4,0.271355,-0.695562,-1.08177,3.11712,-0.584485,2.05368,12737.8,32.7955,17161,0.449236,0.995515,0.00350801,28354.3,0.0279362,997.226,0.0359822,0.13761,-0.197816,7.6221,103.944,75.4133,-179642,335.212,146.197,113.26,745.62,-9.31578,-670.207 
28,3,4,10,28,26524.9,-0.0950555,48.9303,13.3423,84.3885,0.215116,-332.37,0.0868891,1.49006,0.29668,-0.939955,0.0291987,1.9146,55.2013,12446.9,34.0648,17298.5,23579.6,1.14247,-0.050908,-1.63513,-0.318389,1.56702,3.31915,12376.6,32.631,17228.3,0.441166,0.995407,0.00347688,28054.4,0.0271695,983.323,0.0352966,0.0334247,0.00570903,-27.5201,103.563,95.8622,-176542,415.18,145.406,97.3527,742.309,6.21075,-646.447 
29,20,21,2.2,29,26471.3,-0.572993,49.1285,13.5049,84.1819,-0.166517,352.506,3.52694e-11,0.29101,-1.49534,-1.23233,-0.919842,0.35899,139.261,13005.9,26.447,16528.6,23509.1,-0.58588,-2.37223,-2.98611,-1.79673,-0.517899,0.638435,12828.6,22.8298,16351.3,0.462988,0.996895,0.00256536,27708.3,0.0271145,981.007,0.0269959,0.0233829,-1.06415,-31.9643,103.769,95.9007,-267212,5.92246,10.9318,100.371,231.831,3.39746,-135.93 
30,3,4,0,30,26728.3,-0.862585,49.763,13.6326,84.467,0.410745,116.325,3.90137,-1.31742,-2.24015,1.40263,2.29591,1.96926,113.578,12751.5,31.1805,17050.5,23639.5,-2.03259,-2.95532,-0.0277103,1.58074,1.25409,0.987293,12607,28.2304,16906,0.450387,0.996097,0.0030666,27991.4,0.0273778,1046.24,0.027303,0.031378,-1.11613,-28.3206,104.113,96.3398,-393276,5.16329,10.9458,100.012,232.327,4.10035,-135.987 
