cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
122,120,0.85,10,0.01,122,7.25995e-07,6.65373e-07,9.18647e-30,13.8641,1.09111,1062.49,2846.28,2770.88,5.20744,21.2176,20.383,-2.096,-2.10091e-29,-2.04146e-14,0.128305,0.125678,26295.2,42452.3,3.20631,44.4526,2.88081,39.9399,3.40203,0.0066,1.16336,3.7,21.3649,3.41873e-29,51.5952,3.2247,3.72148 
123,120,0.85,10,0.01,123,6.90402e-07,6.87015e-07,9.48527e-30,14.3151,1.00493,1062.49,2846.28,2770.88,5.15207,21.2367,20.4009,-1.85943,-1.77242e-29,2.83428e-13,0.164225,0.160099,28945.4,47636.1,2.93904,42.0726,2.6123,37.3953,3.15926,0.0066,1.19085,3.7,17.8089,3.21429e-29,48.5097,3.03186,3.38871 
124,120,0.85,10,0.01,124,6.7938e-07,6.75386e-07,9.32472e-30,14.0728,1.00591,1062.49,2846.28,2770.88,5.1577,21.2348,20.3991,-1.86223,-1.74674e-29,1.59214e-13,0.163745,0.15964,27500.3,45242.1,2.94209,41.4035,2.61529,36.8044,3.16214,0.0066,1.12235,3.7,18.1679,3.23619e-29,48.8403,3.05252,3.47055 
125,120,0.85,0.01,10,125,6.1187e-07,7.04658e-07,9.72886e-30,14.6827,0.868323,1062.49,2846.28,2770.88,5.05117,21.2714,20.4332,-1.44413,-1.21997e-29,-1.63301e-13,0.254569,0.245653,31233.2,48838.7,2.51373,36.9083,2.21306,32.4937,2.73076,0.0066,1.213,3.7,11.4722,2.75261e-29,41.5421,2.59638,2.82932 
126,120,0.85,0.01,10,126,6.19083e-07,6.77008e-07,9.34712e-30,14.1066,0.914439,1062.49,2846.28,2770.88,5.05758,21.2692,20.4312,-1.59057,-1.35952e-29,-1.63753e-13,0.217964,0.211123,27699,43344.5,2.65722,37.4843,2.34412,33.0675,2.88206,0.0066,1.22075,3.7,11.8694,2.78738e-29,42.0668,2.62918,2.98207 
127,120,0.85,10,0.01,127,7.09173e-07,6.58172e-07,9.08705e-30,13.7141,1.07749,1062.49,2846.28,2770.88,5.20373,21.2189,20.3842,-2.05976,-2.01675e-29,1.11803e-14,0.133233,0.130416,25450.7,40900.9,3.16414,43.3932,2.83754,38.9143,3.3649,0.0066,1.17563,3.7,21.1249,3.40572e-29,51.3987,3.21242,3.74788 
128,120,0.85,10,0.01,128,7.1267e-07,6.61158e-07,9.12829e-30,13.7763,1.07791,1062.49,2846.28,2770.88,5.17992,21.2271,20.3919,-2.06089,-2.02781e-29,-5.21825e-13,0.133076,0.130266,25798.7,40131.1,3.16544,43.6082,2.83888,39.1093,3.36606,0.0066,1.11929,3.7,19.5903,3.32e-29,50.1051,3.13157,3.63704 
129,120,0.85,0.01,10,129,6.48576e-07,6.78231e-07,9.364e-30,14.1321,0.956276,1062.49,2846.28,2770.88,5.08322,21.2604,20.423,-1.71769,-1.53812e-29,-7.85629e-13,0.190589,0.185196,27849.3,41481.6,2.78765,39.3952,2.46632,34.8542,3.01329,0.0066,1.20131,3.7,13.465,2.91718e-29,44.0257,2.75161,3.11531 
130,120,0.85,0.01,10,130,6.29547e-07,6.64448e-07,9.17371e-30,13.8449,0.947473,1062.49,2846.28,2770.88,5.07795,21.2622,20.4247,-1.69136,-1.4701e-29,2.70217e-13,0.195951,0.190285,26185.7,41992.7,2.76022,38.2149,2.44035,33.7863,2.98614,0.0066,1.24986,3.7,13.1361,2.89159e-29,43.6395,2.72747,3.15204 
131,120,0.85,10,0.01,131,7.08814e-07,6.60209e-07,9.11518e-30,13.7565,1.07362,1062.49,2846.28,2770.88,5.18297,21.2261,20.3909,-2.04939,-2.00558e-29,4.39791e-13,0.134678,0.131805,25687.7,43251.7,3.15217,43.363,2.82531,38.8665,3.35428,0.0066,1.12543,3.7,19.7863,3.3312e-29,50.2741,3.14213,3.65456 
132,120,0.85,0.01,10,132,6.2034e-07,6.74392e-07,9.311e-30,14.0521,0.91985,1062.49,2846.28,2770.88,5.06406,21.267,20.4291,-1.6073,-1.37661e-29,3.82081e-13,0.21414,0.207509,27379.1,44968,2.6741,37.5767,2.35975,33.1594,2.89935,0.0066,1.20617,3.7,12.2713,2.82148e-29,42.5816,2.66135,3.03027 
133,120,0.85,0.01,10,133,6.02249e-07,6.64272e-07,9.17127e-30,13.8412,0.90663,1062.49,2846.28,2770.88,5.05652,21.2696,20.4315,-1.56628,-1.30235e-29,7.7943e-14,0.223644,0.216488,26164.9,42137,2.63285,36.4418,2.32166,32.1345,2.85694,0.0066,1.18593,3.7,11.8038,2.78171e-29,41.9813,2.62383,3.03307 
134,120,0.85,0.01,10,134,6.14874e-07,6.85712e-07,9.46728e-30,14.2879,0.896694,1062.49,2846.28,2770.88,5.06162,21.2678,20.4299,-1.53506,-1.30315e-29,2.49509e-13,0.231162,0.223586,28781.1,46316.3,2.60191,37.176,2.29323,32.7655,2.82469,0.0066,1.22895,3.7,12.1202,2.80878e-29,42.3899,2.64937,2.96683 
135,120,0.85,10,0.01,135,6.95132e-07,6.6363e-07,9.16241e-30,13.8278,1.04747,1062.49,2846.28,2770.88,5.15723,21.235,20.3993,-1.9784,-1.89874e-29,3.80587e-13,0.145019,0.141729,26089.1,43376.2,3.07112,42.4669,2.74327,37.9335,3.28148,0.0066,1.17837,3.7,18.1381,3.23438e-29,48.813,3.05081,3.53006 
136,120,0.85,10,0.01,136,7.10831e-07,6.66341e-07,9.19984e-30,13.8843,1.06677,1062.49,2846.28,2770.88,5.14352,21.2397,20.4037,-2.03094,-1.99318e-29,5.11254e-13,0.13729,0.134314,26410.2,44489.8,3.13094,43.471,2.8037,38.9274,3.33537,0.0066,1.19029,3.7,17.2651,3.18047e-29,47.9993,2.99996,3.45709 
137,120,0.85,0.01,10,137,6.26182e-07,6.10089e-07,8.42319e-30,12.7122,1.02638,1062.49,2846.28,2770.88,5.09802,21.2554,20.4183,-1.91996,-1.65988e-29,5.61378e-13,0.154144,0.150466,20270.3,34400,3.00567,38.2086,2.67795,34.0426,3.22148,0.0066,1.18887,3.7,14.3914,2.98649e-29,45.0719,2.81699,3.54556 
138,120,0.85,10,0.01,138,6.95585e-07,6.31848e-07,8.72361e-30,13.1656,1.10087,1062.49,2846.28,2770.88,5.18044,21.2269,20.3918,-2.12172,-2.03762e-29,3.34081e-13,0.124921,0.122421,22517.4,37916.7,3.23652,42.6106,2.91202,38.3384,3.42837,0.0066,1.11982,3.7,19.6237,3.32191e-29,50.134,3.13338,3.80796 
139,120,0.85,0.01,10,139,6.14782e-07,6.0426e-07,8.34271e-30,12.5907,1.01741,1062.49,2846.28,2770.88,5.08764,21.2589,20.4216,-1.8948,-1.60831e-29,4.50213e-13,0.158254,0.154396,19694.8,32746.9,2.97783,37.4931,2.65042,33.3707,3.19563,0.0066,1.21213,3.7,13.7413,2.93827e-29,44.344,2.7715,3.52196 
140,140,0.75,0.01,10,140,6.45465e-07,6.23875e-07,8.61353e-30,12.9995,1.03461,1062.49,2846.28,2770.88,5.09245,21.2573,20.4201,-1.94288,-1.73142e-29,1.03349e-13,0.150496,0.146975,21675.8,35038.4,3.03121,39.4041,2.70334,35.142,3.24503,0.0066,1.18868,3.7,14.0428,2.96086e-29,44.6851,2.79282,3.43745 
