cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,0.2,0.75,22,27450,-0.174526,46.8761,13.4666,119.534,0.0385512,75.8079,500,-9.17739,-10.0568,-14.5192,-9.50909,-6.21483,-182.42,4185.74,53.0137,23784.5,20644.8,-8.02874,-8.90816,-12.2219,-8.36044,-5.06618,0.713003,4331.04,66.2232,23929.8,0.153252,0.973939,0.00507197,28260.9,-0.00141904,0.412404,12.6901,10.2123,119.432,89.1275,1.78237,13.8472,12.2628,118.77,137.814,0.662156,-48.6869 
23,0.33,0.62,23,17396.4,-0.267773,28.0472,-14.5555,119.638,0.144504,25.2354,499.675,-3.80713,-2.63545,-0.788103,-5.67864,-6.48897,-259.5,15151.3,55.7677,2963.31,13408.4,-2.17313,-1.00145,2.4799,-4.04464,-4.85497,1.25848,15358,74.5588,3170.01,0.828907,0.991576,0.0415271,18528,-0.0015428,1.10581,15.1085,11.682,119.08,87.4442,0.201613,14.5531,13.4423,119.404,138.251,-0.323561,-50.8071 
24,0.43,0.52,24,16335.3,0.00137819,26.1179,-14.4977,119.662,-0.00667308,220.06,500,-3.38792,-1.55596,-6.69719,-2.79519,-2.86547,-217.507,12727.7,60.2588,4306.15,12374.1,-2.01834,-0.186377,-3.95802,-1.42561,-1.49588,0.564298,12900.9,76.009,4479.4,0.742272,0.989795,0.0303104,17380.3,-0.00152733,0.911338,15.2541,11.8454,119.034,87.7677,0.290351,14.6185,13.3644,119.303,138.06,-0.269332,-50.292 
25,0.38,0.57,25,26932.1,-0.336255,46.4397,13.4182,119.303,0.135284,83.0607,33.5378,-7.23623,-6.99465,-21.1086,-4.45462,-5.74774,-203.919,2043.09,22.9688,25464.9,20651,-5.95221,-5.71062,-18.5406,-3.1706,-4.46372,0.509998,2205.52,37.735,25627.3,0.0792418,0.970929,0.00270508,27832.8,-0.00144232,0.223314,11.6311,-10.2334,119.684,89.8258,1.98622,13.6567,11.9261,118.441,137.784,1.24361,-47.9583 
26,0.44,0.51,26,20242.7,-0.110305,34.8292,-13.347,119.79,0.407122,-253.085,500,-7.77875,-7.04522,-11.713,-4.16135,-4.16081,-260.486,7651.92,44.0929,13186.3,18487.1,-6.13854,-5.40501,-8.43256,-2.52113,-2.5206,0.662938,7859.4,62.9553,13393.8,0.369798,0.986176,0.00858417,21253.2,-0.0010931,0.647177,13.7554,10.8511,119.38,87.8002,0.985756,13.625,12.4081,119.102,137.445,0.277729,-49.6449 
27,0.13,0.82,27,12480.1,-0.191723,20.7258,14.4178,119.776,0.136022,105.505,406.193,-1.60126,-1.10592,-8.96956,-5.18306,-3.28664,-231.79,11362.6,22.8899,2026.71,10194.8,-0.141744,0.3536,-6.05052,-3.72354,-1.82712,0.468755,11547.3,39.6744,2211.34,0.839276,0.994023,0.0319925,13758.6,-0.00147787,0.84432,14.9927,11.5223,119.223,87.1027,0.141911,14.676,13.2549,119.284,137.749,-0.0606498,-50.6461 
28,0.42,0.53,28,12438.9,-0.134192,20.5484,14.4949,119.66,-0.324615,630.453,500,-1.94848,-2.61905,-2.01568,-3.32777,-1.09031,-285.397,11700.4,23.852,1804.83,16358.1,-0.151412,-0.821978,1.57846,-1.5307,0.706762,8.21184,11927.7,44.5184,2032.16,0.854428,0.993511,0.0387894,13959.9,-0.00175701,0.870512,15.3485,11.3624,118.983,87.4979,0.121913,15.3023,13.4113,119.466,137.785,-0.483511,-50.287 
29,0.35,0.6,29,21723.4,-0.063942,37.7145,13.2286,119.472,-0.104684,207.572,499.999,-7.67776,-8.36854,-10.7154,-5.81675,-8.02211,-225.117,6770.44,43.9894,15621.5,16948.5,-6.26026,-6.95103,-7.88043,-4.39924,-6.60461,0.75447,6949.76,60.2907,15800.8,0.305477,0.985045,0.00697982,22750.5,-0.00117511,0.593972,13.3339,10.7691,119.074,87.8771,1.19568,13.5562,12.1689,118.782,137.539,0.291522,-49.662 
30,0.11,0.84,30,22962.7,-0.0638376,39.3553,13.3431,119.388,-0.0627902,-6.12106,500,-3.84796,-6.67879,-12.5263,-2.66218,-2.60406,-267.872,5565.91,56.3159,18022.2,17107,-2.16124,-4.99207,-9.15289,-0.975464,-0.917337,0.497066,5779.28,75.7132,18235.6,0.240654,0.977587,0.00759026,24014.9,-0.00118525,0.491926,13.0513,10.8815,119.061,88.6576,1.35339,13.748,12.2539,118.676,138.206,0.385093,-49.5479 
31,0.02,0.93,31,23013.2,-0.3234,39.7672,13.4924,119.308,0.355071,-13.8902,81.0737,-10.6949,-5.87037,-11.5611,-4.59517,-3.84704,-201.624,7705.61,44.3814,16077.8,17627.2,-9.42533,-4.6008,-9.02196,-3.3256,-2.57746,0.688373,7866.21,58.9815,16238.4,0.326337,0.987048,0.00664648,24104.6,-0.00141474,0.665284,13.5047,10.8217,118.745,88.1158,1.19426,13.81,12.3959,118.671,137.72,0.0738073,-49.6047 
32,0.36,0.59,32,27015.1,0.0188046,46.5014,13.3103,119.232,-0.13721,83.3515,497.13,-10.0196,-9.42533,-15.4067,-6.25243,-7.48604,-217.65,1942.06,19.9393,25880.3,20521.1,-8.64909,-8.05485,-12.6657,-4.88195,-6.11556,0.686237,2115.42,35.6999,26053.7,0.0750972,0.971314,0.00251777,28169.1,-0.00173417,0.211388,11.6976,10.3475,119.368,89.9497,1.9971,13.7708,11.9833,118.441,137.905,0.927065,-47.9553 
33,0.22,0.73,33,17145.7,-0.0225753,28.3743,14.0526,119.479,-0.00163244,7.01511,500,-5.42402,-5.94299,-7.55556,-4.00473,-7.33933,-260.544,14530.3,46.7649,3503.57,12980.5,-3.78345,-4.30241,-4.2744,-2.36416,-5.69876,0.790708,14737.8,65.6315,3711.1,0.798844,0.992267,0.0315501,18448.9,-0.00162339,1.10615,14.7009,11.4717,118.892,87.5772,0.24601,14.3288,13.0821,119.364,137.876,-0.471335,-50.2991 
