cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
24,0.43,0.52,24,24147.5,-0.311401,43.7255,12.8034,118.981,0.349166,390.45,299.381,-4.71994,-6.11331,-8.76169,-3.58259,-3.07695,-157.405,16310.9,36.2396,8840.74,22662.5,-3.72881,-5.12217,-6.77941,-2.59145,-2.08582,0.666165,16436.3,47.6377,8966.11,0.647037,0.994954,0.00969239,25402.4,-0.00155031,1.51096,13.0778,10.4631,118.419,87.4882,0.76688,12.7078,11.3593,118.393,136.92,0.0261148,-49.4314 
25,0.38,0.57,25,22614.1,-0.155422,41.2459,12.611,119.256,-0.0198276,59.9827,492.047,-6.16231,-3.50709,-5.37743,-6.01456,-2.76049,-208.559,15298.7,8.58714,8376.7,16971.4,-4.84907,-2.19385,-2.75094,-4.70132,-1.44724,0.827445,15464.9,23.6894,8542.83,0.644163,0.997326,0.00508223,24007.7,-0.00152438,1.45562,12.8472,10.3317,118.847,87.5126,0.745864,12.6668,11.1235,118.786,136.657,0.0611278,-49.1443 
26,0.44,0.51,26,26873.7,-0.0412657,46.0437,13.3137,119.137,-0.0163238,33.372,500,0.820849,0.131933,0.988301,-3.33947,-7.3009,-222.652,25795.9,21.6205,2079.54,19973.3,2.22283,1.53391,3.79226,-1.93749,-5.89891,14.1953,25973.3,37.7433,2256.89,0.920054,0.997463,0.0298858,28230.2,-0.00191885,2.27604,13.7577,10.5177,118.656,87.3413,0.172793,12.8186,12.0257,119.33,137.138,-0.673783,-49.7972 
27,0.13,0.82,27,24779.6,-0.198148,44.0717,12.9667,119.26,0.014361,371.193,500,-2.68752,0.673309,-2.14143,0.178663,-2.26116,-194.548,22665.3,5.82903,3292.02,18776.6,-1.46251,1.89833,0.308603,1.40368,-1.03615,0.722469,22820.3,19.9167,3446.99,0.868772,0.998475,0.0105316,26267.2,-0.00184959,2.09491,13.4105,10.2471,118.774,87.5051,0.301178,12.3535,11.1473,118.931,137.062,-0.157173,-49.5573 
28,0.42,0.53,28,22919.5,-0.0870286,40.7304,12.922,118.949,-0.00164216,-71.4363,499.666,-11.9321,-6.59638,-14.4887,-4.62378,-1.26451,-194.164,3383.86,18.6501,20424.2,17137.2,-10.7095,-5.37378,-12.0435,-3.40118,-0.0419089,0.618513,3538.52,32.71,20578.9,0.14672,0.984081,0.00291946,24117.4,-0.00137881,0.368605,11.6309,10.0613,118.575,88.2326,1.67905,13.4131,11.4064,118.218,137,0.357314,-48.7677 
29,0.35,0.6,29,21973.2,0.0125783,40.4477,12.4387,119.059,-0.043116,8.49664,500,-4.87327,-4.77972,-8.23855,-2.38681,-4.82431,-199.383,13355.3,31.103,9654.29,16390.1,-3.61781,-3.52426,-5.72762,-1.13135,-3.56885,0.674009,13514.1,45.5408,9813.11,0.579327,0.994137,0.00847641,23327.2,-0.00142066,1.29629,12.6693,10.2613,118.481,87.0374,0.858275,12.7113,11.0436,118.62,136.142,-0.138436,-49.1047 
30,0.11,0.84,30,24855.3,-0.338919,43.8278,13.1955,119.134,0.167314,192.873,0.157118,0.867978,-1.20606,-10.415,-4.94882,-0.085473,-177.067,21711.7,57.9587,4196.98,19877,1.98292,-0.0911138,-8.18509,-3.83387,1.02947,0.10031,21852.7,70.7806,4338.02,0.834368,0.994364,0.0291794,26190.7,-0.00174715,1.9275,13.5493,10.5735,118.536,86.8183,0.361165,12.6028,11.5824,118.975,136.147,-0.438429,-49.3286 
31,0.02,0.93,31,22598.5,-0.0299997,40.581,12.7318,119.138,-0.0767423,81.4671,500,-7.43942,-1.87093,-7.37421,-0.542431,-3.47797,-171.02,11627.1,30.2449,11877.3,17022.8,-6.36256,-0.794065,-5.22048,0.534436,-2.4011,0.63349,11763.3,42.6289,12013.6,0.494737,0.993698,0.00649406,23776.9,-0.00144408,1.1063,12.8327,10.3622,118.543,87.4234,1.00058,13.1938,11.3536,118.513,136.573,0.029767,-49.1501 
32,0.36,0.59,32,23824.1,-0.0340727,41.4781,13.2429,119.106,0.00523318,13.0692,499.345,0.00382173,-0.526626,-3.14283,-1.14219,-3.50849,-222.059,22634.5,35.2771,2396.1,17883.4,1.40207,0.871621,-0.346333,0.256052,-2.11025,5.73383,22811.4,51.3569,2572.98,0.898639,0.996076,0.0354646,25384.4,-0.00194873,1.98059,13.7106,10.6079,118.494,87.4759,0.194245,13.0426,12.2218,119.604,137.323,-1.11019,-49.8475 
33,0.22,0.73,33,23812.1,-0.296725,43.0408,12.7991,119.191,0.150098,46.0058,296.331,-3.80937,-4.81669,-6.90212,-4.87609,-3.11533,-156.757,17969.9,34.3452,6804.84,18157.9,-2.82231,-3.82963,-4.928,-3.88903,-2.12827,0.719956,18094.7,45.6964,6929.7,0.723083,0.9956,0.0120016,25024.4,-0.00148605,1.66349,13.1091,10.4336,118.676,87.7246,0.610487,12.4428,11.1802,118.788,137.275,-0.112602,-49.5502 
