cyc,freq,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
143,2,0.01,100,143,4.1488e-07,5.88877e-07,8.13033e-30,12.2702,0.704527,950.317,2545.79,2478.35,4.4854,19.0278,18.2799,-0.862372,-4.9397e-30,-9.14955e-14,0.476602,0.451293,25475.4,38152.2,2.00134,24.5569,1.77971,21.8374,2.1249,0.0066,1.27701,3.7,4.41684,1.73067e-29,26.1192,1.63245,2.12866 
144,2,100,0.01,144,4.1915e-07,5.81678e-07,8.03094e-30,12.1202,0.720588,950.317,2545.79,2478.35,4.4896,19.0264,18.2786,-0.924221,-5.34847e-30,1.48018e-13,0.445439,0.422792,24552.5,37700.8,2.05186,24.8689,1.8199,22.0576,2.18977,0.0066,1.32575,3.7,4.67383,1.79667e-29,27.1152,1.6947,2.23719 
145,2,100,0.01,145,4.05696e-07,5.69654e-07,7.86494e-30,11.8697,0.712179,950.317,2545.79,2478.35,4.49216,19.0255,18.2778,-0.891986,-4.99624e-30,6.55959e-13,0.461403,0.437406,23061.2,37879.6,2.02542,24.0411,1.7988,21.3511,2.15597,0.0066,1.31819,3.7,4.83027,1.83489e-29,27.692,1.73075,2.333 
146,2,0.01,100,146,3.91543e-07,6.00516e-07,8.29102e-30,12.5127,0.652012,950.317,2545.79,2478.35,4.48669,19.0273,18.2795,-0.651499,-3.5219e-30,6.73959e-13,0.601288,0.564407,27015.9,42877.3,1.83606,22.9741,1.65192,20.6701,1.90305,0.0066,1.3382,3.7,4.49584,1.75139e-29,26.4319,1.65199,2.1124 
147,2,100,0.01,147,3.90002e-07,5.72243e-07,7.90068e-30,11.9236,0.681531,950.317,2545.79,2478.35,4.48895,19.0266,18.2788,-0.771738,-4.15547e-30,1.52701e-13,0.526491,0.496715,23377,35484.7,1.92896,23.0002,1.72306,20.5452,2.02966,0.0066,1.28367,3.7,4.63358,1.7866e-29,26.9632,1.6852,2.26133 
148,2,100,0.01,148,4.06365e-07,5.71999e-07,7.8973e-30,11.9185,0.71043,950.317,2545.79,2478.35,4.48411,19.0282,18.2803,-0.88524,-4.96662e-30,4.32686e-13,0.46482,0.44053,23347,37070,2.01992,24.0744,1.79442,21.3869,2.1489,0.0066,1.31619,3.7,4.33816,1.70966e-29,25.8021,1.61263,2.16487 
149,2,100,0.01,149,4.16659e-07,5.74837e-07,7.9365e-30,11.9777,0.724829,950.317,2545.79,2478.35,4.49166,19.0257,18.2779,-0.940352,-5.40947e-30,2.99998e-13,0.437666,0.415671,23696.4,36827.7,2.06521,24.7364,1.8306,21.9264,2.20668,0.0066,1.32007,3.7,4.79987,1.82758e-29,27.5817,1.72385,2.30275 
150,2,100,0.01,150,4.06707e-07,5.44043e-07,7.51134e-30,11.336,0.747563,950.317,2545.79,2478.35,4.48969,19.0263,18.2786,-1.02553,-5.75855e-30,3.27872e-13,0.398937,0.380067,20088.5,31446.2,2.13661,24.2207,1.88856,21.4088,2.29579,0.0066,1.33125,3.7,4.67905,1.79797e-29,27.1348,1.69593,2.39368 
151,2,0.01,100,151,3.94201e-07,5.70786e-07,7.88055e-30,11.8933,0.690628,950.317,2545.79,2478.35,4.48596,19.0276,18.2797,-0.807883,-4.39693e-30,3.81579e-13,0.50596,0.478054,23198.8,36391.7,1.95761,23.2823,1.74534,20.7578,2.06768,0.0066,1.3327,3.7,4.45075,1.73961e-29,26.2541,1.64088,2.20748 
152,2,100,0.01,152,3.91986e-07,5.64197e-07,7.78958e-30,11.756,0.694768,950.317,2545.79,2478.35,4.48521,19.0278,18.28,-0.824211,-4.46059e-30,2.32161e-13,0.496969,0.469867,22404.7,34658.6,1.97064,23.1668,1.75554,20.6381,2.08483,0.0066,1.30033,3.7,4.40528,1.72761e-29,26.073,1.62956,2.21785 
153,2,0.01,100,153,4.03246e-07,5.63477e-07,7.77964e-30,11.741,0.715638,950.317,2545.79,2478.35,4.48743,19.0271,18.2793,-0.905292,-5.04014e-30,3.49904e-13,0.454745,0.431312,22319,35424,2.03629,23.908,1.80746,21.2213,2.16992,0.0066,1.30622,3.7,4.54075,1.763e-29,26.607,1.66294,2.26617 
154,2,0.01,100,154,3.80302e-07,5.65445e-07,7.80682e-30,11.782,0.672572,950.317,2545.79,2478.35,4.48079,19.0293,18.2814,-0.735662,-3.8627e-30,6.2799e-13,0.547813,0.516088,22553.7,36486.8,1.90086,22.3959,1.70128,20.0445,1.99178,0.0066,1.31651,3.7,4.13501,1.6537e-29,24.9575,1.55984,2.11827 
155,2,100,0.01,155,4.01015e-07,5.64866e-07,7.79882e-30,11.7699,0.70993,950.317,2545.79,2478.35,4.48277,19.0287,18.2807,-0.883311,-4.89056e-30,1.60217e-13,0.465802,0.441428,22484.4,34711.4,2.01835,23.7557,1.79317,21.1055,2.14688,0.0066,1.28463,3.7,4.2559,1.6873e-29,25.4645,1.59153,2.16353 
156,2,0.01,100,156,3.95905e-07,5.80349e-07,8.01259e-30,12.0925,0.682185,950.317,2545.79,2478.35,4.48413,19.0282,18.2803,-0.774341,-4.2326e-30,-1.15084e-14,0.52498,0.495344,24384.5,36542.4,1.93102,23.3509,1.72466,20.8555,2.0324,0.0066,1.30857,3.7,4.3394,1.71e-29,25.8071,1.61295,2.13414 
157,2,100,0.01,157,4.09762e-07,6.03512e-07,8.33239e-30,12.5752,0.678962,950.317,2545.79,2478.35,4.48829,19.0268,18.279,-0.761439,-4.30775e-30,1.72184e-13,0.53249,0.502164,27422.3,41487.7,1.92089,24.1554,1.7168,21.5891,2.01884,0.0066,1.32118,3.7,4.5938,1.77655e-29,26.8115,1.67572,2.1321 
158,2,0.01,100,158,4.00443e-07,5.76998e-07,7.96632e-30,12.0227,0.694012,950.317,2545.79,2478.35,4.48484,19.028,18.2801,-0.821238,-4.54039e-30,1.6037e-13,0.498595,0.471348,23964.5,36780.8,1.96825,23.6637,1.75367,21.0839,2.08171,0.0066,1.27554,3.7,4.38257,1.72157e-29,25.9818,1.62386,2.16106 
