cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
91,16,0.7,0.01,10,91,4.54996e-07,7.1932e-07,9.93129e-30,14.9882,0.632537,1062.49,2846.28,2770.88,4.94631,21.307,20.4665,-0.569634,-3.57839e-30,6.47242e-13,0.658553,0.615938,33223.7,51641.3,1.77482,26.6013,1.60598,24.0708,1.81669,0.0066,1.37585,3.7,5.07809,1.89253e-29,28.5619,1.78512,1.90563 
92,16,0.7,0.01,10,92,4.23556e-07,7.93523e-07,1.09558e-29,16.5344,0.533766,1062.49,2846.28,2770.88,4.93758,21.3099,20.4692,-0.115574,-6.75855e-31,4.09182e-13,1.09596,1.00574,44602.7,65992.5,1.46947,24.2968,1.38547,22.9078,1.33914,0.0066,1.41284,3.7,4.55438,1.7665e-29,26.6598,1.66624,1.61239 
93,16,0.7,10,0.01,93,4.67181e-07,7.8053e-07,1.07764e-29,16.2636,0.598544,1062.49,2846.28,2770.88,4.95516,21.304,20.4637,-0.421387,-2.71801e-30,1.17513e-12,0.77725,0.722117,42447.3,67755.2,1.66826,27.132,1.5277,24.8459,1.66014,0.0066,1.37611,3.7,5.61011,2.00528e-29,30.2635,1.89147,1.86081 
94,16,0.7,0.01,10,94,4.14743e-07,8.01492e-07,1.10658e-29,16.7004,0.517463,1062.49,2846.28,2770.88,4.93483,21.3109,20.4701,-0.0327299,-1.87416e-31,3.56956e-13,1.20285,1.10089,45960,67550.1,1.4208,23.728,1.35115,22.5647,1.25305,0.0066,1.41613,3.7,4.3895,1.72342e-29,26.0096,1.6256,1.55743 
95,16,0.7,0.01,10,95,4.31769e-07,7.36477e-07,1.01682e-29,15.3457,0.586262,1062.49,2846.28,2770.88,4.94028,21.309,20.4684,-0.365953,-2.18153e-30,4.97308e-13,0.827128,0.766565,35658.2,54237.2,1.63001,25.0136,1.50003,23.019,1.60166,0.0066,1.36871,3.7,4.71592,1.8071e-29,27.2726,1.70454,1.77721 
96,16,0.7,10,0.01,96,4.8194e-07,7.31655e-07,1.01016e-29,15.2452,0.658699,1062.49,2846.28,2770.88,4.96056,21.3022,20.462,-0.679133,-4.51889e-30,9.4124e-13,0.583159,0.548042,34962.3,57206,1.8571,28.3119,1.66788,25.4273,1.93218,0.0066,1.31457,3.7,5.93536,2.06774e-29,31.2061,1.95038,2.04694 
97,16,0.7,0.01,10,97,4.1686e-07,7.8005e-07,1.07698e-29,16.2536,0.534401,1062.49,2846.28,2770.88,4.93264,21.3116,20.4708,-0.118751,-6.83454e-31,1.03719e-12,1.09206,1.00226,42369,65675.6,1.47138,23.9152,1.38682,22.5408,1.34245,0.0066,1.40583,3.7,4.25826,1.68795e-29,25.4743,1.59214,1.5673 
98,16,0.7,10,0.01,98,4.57017e-07,7.89627e-07,1.0902e-29,16.4532,0.578776,1062.49,2846.28,2770.88,4.94937,21.306,20.4655,-0.331631,-2.09253e-30,8.14847e-13,0.859641,0.795508,43948.8,68225.8,1.60679,26.4368,1.48332,24.4053,1.56549,0.0066,1.37661,3.7,5.26183,1.93309e-29,29.174,1.82337,1.77315 
99,16,0.7,0.01,10,99,4.11161e-07,8.1731e-07,1.12842e-29,17.03,0.503066,1062.49,2846.28,2770.88,4.93735,21.31,20.4693,0.0426975,2.42381e-31,4.0156e-13,1.3091,1.1956,48735.2,72121.5,1.37836,23.4734,1.32134,22.5025,1.17504,0.0066,1.42673,3.7,4.54053,1.76294e-29,26.6062,1.66289,1.56231 
100,18,0.7,10,0.01,100,4.79146e-07,7.85376e-07,1.08433e-29,16.3646,0.610085,1062.49,2846.28,2770.88,4.96363,21.3011,20.461,-0.472523,-3.1259e-30,8.26899e-13,0.733971,0.683484,43242.9,67574.5,1.70436,27.8911,1.554,25.4306,1.71414,0.0066,1.3599,3.7,6.12056,2.10139e-29,31.714,1.98212,1.93796 
