cyc,time,chargetime,decoherencetime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
12,0.4,0.5,1.2,2,12,12984.2,0.000513341,23.424,12.038,121.862,-0.00838422,10.6006,4.34834,1.90408,3.74684,0.496012,-1.03641,-1.39045,11.22,1093.3,45.0026,11469.1,9182.21,1.83343,3.67619,0.354713,-1.10706,-1.4611,0.892386,1081.18,44.5081,11457,0.0903593,0.9328,0.00710534,11965.3 
13,0.17,0.73,0.97,3,13,14959.7,-0.0264502,28.155,11.6479,121.94,0.00502587,-21.6631,351.324,2.49985,2.00938,1.09129,0.0707584,-2.49254,46.4836,1314.41,38.8031,13418.7,10679.3,2.20716,1.71668,0.505903,-0.221936,-2.78523,0.644377,1264.21,36.7542,13368.5,0.0905319,0.951586,0.00503902,13964.3 
14,0.14,0.76,0.94,3.1,14,15734.5,-0.0332177,29.4607,11.729,121.831,0.0194644,-3.22745,441.211,1.01876,-3.45034,7.67289,1.22459,0.0390595,-20.4758,1176.66,36.4506,14334.9,11250.7,1.14769,-3.32141,7.93075,1.35352,0.16799,-0.0896073,1198.77,37.3532,14357,0.0807912,0.948291,0.00476981,14837.9 
15,0.11,0.79,0.91,3.3,15,14605.5,-0.0427375,27.3217,11.7891,121.772,-0.0186191,-89.9986,295.611,-0.25688,0.43588,5.45092,-0.101584,-1.42795,3.11931,846.889,36.7146,13647,10539.9,-0.276521,0.416239,5.41164,-0.121226,-1.44759,-0.358842,843.521,36.5771,13643.6,0.0611027,0.929468,0.00491422,13805 
16,0.2,0.7,1,2.8,16,15199.7,-0.0571097,29.1728,11.5394,121.917,-0.0566677,82.9157,137.44,2.57886,-1.03326,-0.42848,-0.548116,1.23316,-34.448,1684.03,57.1196,13429.1,11111.6,2.79577,-0.81635,0.00534035,-0.331206,1.45007,0.998279,1721.23,58.638,13466.3,0.118589,0.943736,0.00795746,14514.3 
17,0.3,0.6,1.1,2.3,17,13956,-0.0103498,26.285,11.8053,121.813,-0.00731529,11.333,2.37775e-11,-0.397697,-1.36947,-0.523818,1.77148,2.00708,24.9315,1419.43,44.5986,12396.9,10104,-0.554684,-1.52646,-0.837792,1.6145,1.85009,2.53541,1392.51,43.4997,12370,0.105943,0.948166,0.00643617,13144 
18,0.35,0.55,1.15,2.2,18,14510.3,-0.0480806,27.0803,11.8403,121.926,-0.00372153,10.8861,11.1613,3.25118,-0.410138,2.80689,0.576694,0.473167,12.1637,1692.76,54.5444,12703.8,10439.1,3.17459,-0.48673,2.6537,0.500102,0.396575,0.574607,1679.62,54.0082,12690.6,0.122281,0.946727,0.00777857,13735.7 
19,0.08,0.82,0.88,4.7,19,15306.9,0.027542,28.0302,11.7504,121.867,-0.025818,-16.7667,488.534,-0.841285,-1.2643,5.16561,0.565182,1.57061,-35.9277,980.158,45.6402,13874.8,10736,-0.615058,-1.03808,5.61806,0.791409,1.79684,0.142696,1018.96,47.2238,13913.6,0.0715718,0.92498,0.0062134,14236.8 
20,0.05,0.85,0.85,6.5,20,15185.7,0.0153203,27.9229,-11.909,121.896,-0.00289664,-13.4216,2.77121e-11,-0.64908,-0.281328,1.67268,4.74324,-2.20182,-23.6399,953.092,54.4428,14039.6,10826.4,-0.500225,-0.132474,1.97039,4.89209,-2.05296,0.528256,978.62,55.4848,14065.2,0.0682416,0.909736,0.00721439,14340.5 
21,0.25,0.65,1.05,2.5,21,14679.4,-0.0735321,26.898,12.1643,122.07,0.0256507,-26.3927,0.0128825,-1.28432,-2.87134,-3.04418,2.95449,0.704013,72.3045,1056.17,46.0885,13519.1,10673.4,-1.7396,-3.32662,-3.95474,2.49921,0.248731,0.369563,978.089,42.9015,13441,0.071149,0.928712,0.00584533,13747.1 
22,0.4,0.5,1.2,2,22,13682.8,0.00081689,25.6924,11.6891,121.712,0.00227733,2.62987,500,0.906668,-5.79659,4.34969,5.58004,0.822007,35.7349,1260.7,40.7822,12299.2,9776.61,0.681655,-6.0216,3.89966,5.35503,0.596994,0.135663,1222.11,39.2072,12260.6,0.0949601,0.946842,0.00585621,12869.7 
23,0.17,0.73,0.97,3,23,16894.7,-0.000553139,31.4922,-11.7786,121.864,-0.00442583,2.10838,1.27042e-11,0.67851,4.99607,5.8836,0.130883,1.61192,25.8492,1653,52.083,15039.7,12075.4,0.515744,4.8333,5.55807,-0.0318824,1.44915,0.549018,1625.09,50.9437,15011.8,0.102295,0.947994,0.00621249,15886.3 
24,0.14,0.76,0.94,3.1,24,13854.8,0.0141673,25.625,11.8133,121.801,-0.0163192,9.23618,500,-4.66216,5.08743,7.1605,1.71623,-3.66192,-12.2753,1038.68,34.3237,12566.6,9859.26,-4.58487,5.16473,7.31509,1.79352,-3.58462,-0.198439,1051.93,34.8648,12579.9,0.0809004,0.945179,0.00507942,13002.8 
25,0.11,0.79,0.91,3.3,25,15552.9,-0.038892,29.3374,11.6657,121.771,0.0107361,-10.6803,349.953,-2.21016,0.0502445,-0.687442,-4.55015,-1.38797,-7.15259,863.544,48.6719,14548.1,11144.9,-2.16512,0.0952825,-0.597366,-4.50511,-1.34294,0.929848,871.268,48.9871,14555.8,0.0592729,0.91042,0.00616136,14699.3 
26,0.2,0.7,1,2.8,26,13973.4,-0.0221181,26.7288,11.4495,121.943,0.0048065,-4.97109,6.72032,-1.41907,0.981185,1.46703,1.49593,2.40087,-41.8669,1461.06,25.4703,12301.6,9963.1,-1.15545,1.24481,1.99428,1.75956,2.66449,0.69355,1506.27,27.3157,12346.8,0.113803,0.96924,0.00405888,13235.7 
27,0.3,0.6,1.1,2.3,27,13860.6,-0.0172627,25.6715,11.8042,122.092,-0.00915021,7.87627,352.151,-1.57418,0.819506,2.02603,1.48677,2.84014,9.03476,1338.6,29.3992,12299.2,9867,-1.63107,0.762616,1.91225,1.42988,2.78325,0.636242,1328.84,29.0009,12289.4,0.102189,0.963213,0.00432824,13003.8 
28,0.35,0.55,1.15,2.2,28,14515.1,-0.0498321,27.3287,11.7437,121.651,-0.0237762,45.9948,48.9528,-0.678233,-2.16539,-1.72825,-1.78445,1.03477,-16.6499,1279.14,32.7018,13210.7,10483.3,-0.573393,-2.06055,-1.51857,-1.67961,1.13961,0.676385,1297.12,33.4357,13228.7,0.0935582,0.956838,0.00463437,13864.4 
29,0.08,0.82,0.88,4.7,29,13803.1,-0.0155083,25.7046,-11.6574,121.456,0.00421379,14.0678,2.58159e-11,2.18863,-0.313297,1.59659,-3.13757,3.94579,-46.9489,884.639,27.0184,12576.6,9756.51,2.48426,-0.0176725,2.18784,-2.84194,4.24142,0.638606,935.339,29.0878,12627.3,0.0723313,0.948386,0.00422546,12931.3 
30,0.05,0.85,0.85,6.5,30,13765.8,0.00849514,25.3418,11.8604,121.841,-0.000111023,-5.13722,9.09963e-06,-0.777585,-1.43159,0.566187,0.872735,0.624683,1.39116,871.338,35.0166,12636.6,9784.33,-0.786344,-1.44035,0.548667,0.863975,0.615923,3.76927,869.836,34.9552,12635.1,0.0675695,0.934295,0.00507037,12873.2 
31,0.25,0.65,1.05,2.5,31,13995.7,-0.0259719,26.0415,11.787,121.854,-0.00194003,-2.39169,385.009,1.92114,-0.456027,5.36782,-0.115308,-0.0768948,38.0921,1252.84,28.3585,12398.6,9992.45,1.68128,-0.695883,4.8881,-0.355164,-0.316751,0.0602675,1211.7,26.6795,12357.5,0.0935583,0.962898,0.0039613,12951.3 
32,0.4,0.5,1.2,2,32,15565.9,-0.014233,29.9306,11.3506,121.925,0.0482833,-19.9781,15.3759,1.50367,-1.81228,4.88246,0.552889,1.94595,-0.959715,1269.69,63.5552,14005.4,11090.7,1.50972,-1.80624,4.89455,0.558932,1.95199,0.311495,1270.72,63.5975,14006.5,0.0871739,0.919469,0.00829484,14576.9 
33,0.17,0.73,0.97,3,33,14055.3,-0.0065618,26.74,11.4453,121.915,-0.000197351,-11.9907,213.532,-0.915854,-1.55043,-4.06955,0.0152942,0.744625,8.56748,1380.81,29.3365,12367.3,9962.91,-0.969802,-1.60438,-4.17745,-0.0386529,0.690678,0.315128,1371.56,28.9589,12358.1,0.104605,0.964367,0.00429808,13111.7 
34,0.14,0.76,0.94,3.1,34,15588.1,0.0101612,29.0467,11.6173,121.931,0.0224683,-36.1109,192.091,-0.115954,3.17275,4.02628,0.786498,0.029618,-23.3825,1171.34,48.2745,14101.1,11011.3,0.0312792,3.31998,4.32074,0.933731,0.176851,0.508033,1196.6,49.3052,14126.3,0.0818655,0.932742,0.00638843,14616.6 
35,0.11,0.79,0.91,3.3,35,16431.8,-0.00438892,31.1251,11.4834,121.887,-0.0134864,-3.7042,276.043,3.24545,-1.87444,-3.40091,-0.968875,1.34475,8.88219,1030.49,73.3817,15049.8,11636.9,3.18952,-1.93037,-3.51277,-1.0248,1.28883,-0.765568,1020.9,72.9902,15040.2,0.0666861,0.888796,0.00886056,15309.1 
36,0.2,0.7,1,2.8,36,15315.5,-0.0160562,28.5171,11.7297,122.056,-0.0246836,1.94156,96.7997,0.516294,-0.831021,-1.91581,3.16663,1.16805,-15.7103,1117.93,77.1701,13819.9,10890.5,0.615217,-0.732098,-1.71796,3.26555,1.26697,1.63683,1134.9,77.8626,13836.9,0.0794749,0.892807,0.0102595,14279.9 
37,0.3,0.6,1.1,2.3,37,14458.3,-0.000837903,27.0523,11.7401,121.896,-0.0180305,-2.52629,500,6.11874,3.39886,0.463547,2.07645,1.4306,4.15762,1520.62,46.4352,12752.8,10340.3,6.09256,3.37268,0.411188,2.05027,1.40442,0.969156,1516.13,46.2519,12748.3,0.11126,0.949319,0.00663896,13627 
38,0.35,0.55,1.15,2.2,38,15742.9,-0.032019,29.1205,11.7325,121.962,0.012686,2.24074,4.40498e-11,-0.165711,2.97914,0.800073,4.65612,2.74769,-28.1907,1014.86,59.2006,14349.6,11123,0.0117988,3.15665,1.15509,4.83363,2.9252,0.904399,1045.3,60.4432,14380.1,0.0710779,0.908107,0.00768336,14706.4 
39,0.08,0.82,0.88,4.7,39,13517.4,-0.0380315,25.9367,11.4868,121.852,0.0371197,20.5567,188.34,3.35889,2.15988,1.21656,3.38832,1.68818,-2.88331,966.903,36.8225,12411.8,9723.47,3.37705,2.17803,1.25287,3.40648,1.70633,0.8949,970.017,36.9496,12414.9,0.075995,0.937505,0.00545261,12764.2 
40,0.05,0.85,0.85,6.5,40,15051.6,-0.0674575,28.5948,11.7012,121.916,-0.00216396,16.6953,1.61273,1.11332,0.158862,9.83088,0.800028,0.593231,63.2775,827.92,39.7613,14084.3,10893.3,0.714881,-0.23958,9.034,0.401586,0.194789,0.106047,759.588,36.9722,14016,0.0539681,0.921506,0.00483573,14074.8 
41,0.25,0.65,1.05,2.5,41,14408.2,-0.00927596,27.7268,11.3255,121.973,-0.00353509,8.19629,435.856,1.5394,1.76674,-3.88489,0.0715676,-0.160835,8.77395,1400.71,50.1638,12787.5,10223.3,1.48415,1.7115,-3.99538,0.0163204,-0.216083,-2.99738,1391.24,49.7771,12778.1,0.102823,0.941076,0.00712481,13530.4 
42,0.4,0.5,1.2,2,42,14846.4,0.00374253,28.3783,11.4869,121.834,-0.0123276,15.5429,500,2.79612,-0.0103545,1.35704,-4.08468,1.1867,-28.6054,949.591,34.7813,13724.3,10617.9,2.97624,0.169766,1.71728,-3.90456,1.36682,0.261559,980.482,36.0421,13755.2,0.0697955,0.939559,0.0048036,14047.9 
43,0.17,0.73,0.97,3,43,15852.1,-0.065215,29.7427,11.8256,121.984,-0.0194474,20.9159,396.72,-2.23716,0.0203328,2.98683,5.85219,1.26143,-8.14547,1237.31,44.9367,14494.6,11463.1,-2.18587,0.0716226,3.08941,5.90348,1.31272,0.622845,1246.11,45.2957,14503.4,0.0829393,0.940192,0.00572019,15024.3 
44,0.14,0.76,0.94,3.1,44,15776,0.0401901,29.0015,11.8982,121.897,-0.0145336,-13.3533,7.3328e-11,2.71453,-1.09647,-2.1828,2.16881,-2.49504,-12.7965,1195.51,41.4172,14398.5,11239.3,2.79511,-1.0159,-2.02165,2.24939,-2.41446,-3.96088,1209.33,41.9812,14412.4,0.0811573,0.942729,0.00533716,14901.1 
45,0.11,0.79,0.91,3.3,45,14358.7,-0.0473653,26.7721,11.8505,121.78,0.0179488,32.14,139.382,-1.92431,0.963173,0.371974,-0.0370709,0.376462,22.7244,868.004,44.4331,13280.4,10346.8,-2.0674,0.820084,0.0857955,-0.18016,0.233372,1.07741,843.465,43.4315,13255.9,0.0627739,0.917338,0.00599925,13436.6 
46,0.2,0.7,1,2.8,46,13395.2,-0.016414,25.7255,11.3827,122.057,0.00504697,2.65819,53.8221,0.499902,1.46989,0.517413,2.53294,0.173474,-16.1227,1406.87,21.9187,11878.7,9532.88,0.601422,1.57141,0.720455,2.63446,0.274994,0.875842,1424.28,22.6294,11896.1,0.111923,0.972948,0.00349192,12725.6 
47,0.3,0.6,1.1,2.3,47,13694.6,-0.0320288,26.1924,11.4957,121.923,0.00571956,16.2695,223.337,3.25086,0.809477,4.43157,0.483602,-4.08112,-6.1932,1298.41,31.33,12248.5,9804.82,3.28986,0.848474,4.50956,0.522599,-4.04212,0.120665,1305.1,31.603,12255.1,0.1008,0.959347,0.00472788,12947.5 
48,0.35,0.55,1.15,2.2,48,14025.4,-0.0187515,26.9066,11.3816,121.968,0.000262517,-19.5806,5.1721e-11,0.494354,-2.3286,2.05651,-0.65915,1.55599,36.8305,1662.81,46.3084,12165.9,9969.3,0.262442,-2.56051,1.59269,-0.891062,1.32408,6.84746,1623.04,44.685,12126.1,0.123492,0.954034,0.00674244,13142.8 
49,0.08,0.82,0.88,4.7,49,15241,-0.0147716,28.153,11.8187,121.951,0.00676267,-8.75021,128.398,1.37059,4.17925,4.68117,-1.76149,0.480938,31.9102,1196.74,54.5106,13778.8,10833.5,1.16966,3.97832,4.27931,-1.96242,0.280008,0.447466,1162.28,53.1041,13744.4,0.0817386,0.925963,0.00706704,14219.4 
50,0.05,0.85,0.85,6.5,50,14424.1,0.00590375,26.7776,11.7055,121.809,-0.0103847,0.630085,3.02045e-10,4.03837,1.17434,8.15213,0.977663,2.64694,19.6376,882.311,59.9096,13328.4,10203.9,3.91471,1.05069,7.90482,0.85401,2.52329,0.513475,861.104,59.044,13307.1,0.0637718,0.892862,0.00810719,13502.9 
51,0.25,0.65,1.05,2.5,51,15005.9,0.0130921,27.9903,-11.5921,122.114,-0.010526,-19.2213,342.592,-4.1122,-2.64973,0.234787,0.345418,0.09631,6.8446,1532.13,48.0725,13158.9,10569,-4.1553,-2.69282,0.14859,0.302319,0.0532113,1.02342,1524.74,47.7708,13151.6,0.108765,0.948022,0.00664666,14018.7 
52,0.4,0.5,1.2,2,52,16270.8,-0.0489625,29.7719,12.0576,122.087,0.0122007,37.4346,0.120902,2.6386,-0.389383,0.568628,-1.14995,-4.81293,-17.3337,910.679,62.133,15103,11700.8,2.74774,-0.280237,0.786919,-1.0408,-4.70378,1.31601,929.397,62.897,15121.8,0.0607645,0.894109,0.00760374,15295.1 
53,0.17,0.73,0.97,3,53,14997.9,0.0198578,28.106,-11.6882,121.78,-0.0170893,-15.1365,500,3.27294,-0.383887,-1.0435,-1.29882,-2.44328,39.3718,1529.58,42.8308,13245.5,10702.5,3.02502,-0.631801,-1.53933,-1.54674,-2.69119,0.54512,1487.06,41.0954,13203,0.105992,0.953869,0.00570102,14029.9 
54,0.14,0.76,0.94,3.1,54,14177.5,-0.0196446,26.5292,11.6921,121.788,-0.00188207,1.09894,19.0689,2.65868,-0.444758,-2.75411,-0.837054,-2.34466,-8.81859,1009.24,40.2013,12903.8,10097.6,2.71421,-0.38923,-2.64305,-0.781526,-2.28913,0.220045,1018.76,40.59,12913.4,0.0766767,0.93482,0.00575687,13286.5 
55,0.11,0.79,0.91,3.3,55,14879.5,0.44153,26.3815,11.8239,121.991,-0.12746,95.0751,0.115357,-2.50366,-2.92791,2.51968,5.06294,-3.07688,9.03804,953.759,46.0453,13632.5,10548.9,-2.56057,-2.98482,2.40586,5.00603,-3.13379,2.89843,943.999,45.6469,13622.7,0.0679841,0.921981,0.00613465,13885.6 
56,0.2,0.7,1,2.8,56,14680.1,-0.0662412,27.7724,11.7673,121.717,0.00420983,37.3042,500,-0.269746,-1.40308,5.39634,-5.44569,1.99754,-26.8758,1518.24,44.6426,13165.8,10643.7,-0.100516,-1.23385,5.7348,-5.27646,2.16677,-3.44301,1547.26,45.8272,13194.8,0.109873,0.950722,0.00635719,14082.3 
57,0.3,0.6,1.1,2.3,57,15143.6,-0.0404688,28.7447,11.6032,121.903,0.0165074,-7.07658,211.775,0.212773,-2.3849,3.59618,-3.34607,-0.627039,4.70732,1639.23,53.9837,13314.7,10861.3,0.183132,-2.41454,3.5369,-3.37571,-0.656679,2.29704,1634.15,53.7762,13309.6,0.11445,0.945547,0.00738787,14278.3 
58,0.35,0.55,1.15,2.2,58,13768.2,-0.0257819,26.3354,11.4671,121.886,0.029231,6.88684,467.822,-5.78405,-0.659888,2.36339,1.72115,0.841371,-31.4739,1594.76,38.1486,12039.2,9837.34,-5.58587,-0.461705,2.75975,1.91933,1.03955,9.38994,1628.75,39.5359,12073.1,0.124349,0.959252,0.00599617,13098.2 
59,0.08,0.82,0.88,4.7,59,13842.5,-0.0161826,25.8506,11.7024,121.908,0.0069418,-10.9986,478.208,-0.818925,-0.823386,-1.62386,-0.425462,-1.58575,-0.944694,1007.85,36.0925,12596.6,9850.35,-0.812976,-0.817438,-1.61197,-0.419514,-1.5798,0.692472,1008.87,36.1341,12597.6,0.0777451,0.941018,0.00525601,12976.6 
60,0.05,0.85,0.85,6.5,60,14063,-0.0488014,26.7489,11.6268,121.895,-0.00329293,-51.3438,222.169,1.84352,1.20163,3.93661,-0.127778,-1.12104,47.6663,834.972,33.0342,13090.4,10129.7,1.54338,0.901492,3.33632,-0.427919,-1.42118,0.151514,783.498,30.9332,13038.9,0.0594889,0.935374,0.00435115,13170.5 
61,0.25,0.65,1.05,2.5,61,14143.5,-0.0118829,27.3787,11.3985,122.07,0.00806235,-22.1538,500,1.71119,1.21387,-0.500158,5.77572,-0.76295,-37.8464,1586.56,32.6006,12504.1,10164.9,1.9495,1.45218,-0.0235398,6.01402,-0.524641,1.00265,1627.43,34.2687,12545,0.120148,0.96446,0.00500683,13545.2 
62,0.4,0.5,1.2,2,62,12785.5,-0.0472377,25.0388,11.3055,121.599,0.00797705,10.0889,181.3,0.774923,-0.227603,-0.100903,-0.913101,1.8459,55.8785,1018.29,35.8756,11684,9217.69,0.423071,-0.579455,-0.804607,-1.26495,1.49405,-0.0993491,957.95,33.4127,11623.7,0.0798264,0.942473,0.00526731,12000.4 
63,0.17,0.73,0.97,3,63,13671.5,0.00733629,25.8026,11.6296,121.896,0.0049605,-2.38697,7.47501e-11,1.82761,-2.3277,-4.17904,0.930961,1.36289,51.0633,1045.54,45.1715,12463.7,9768.78,1.50607,-2.64924,-4.8221,0.609429,1.04136,-0.117657,990.401,42.9207,12408.5,0.0775054,0.929507,0.00633145,12778.5 
64,0.14,0.76,0.94,3.1,64,14585.9,-0.0232189,27.4386,-11.6801,121.623,-0.00888138,13.9553,500,0.110267,0.842466,4.36056,1.8328,2.72328,-19.8413,1176.51,38.9469,13265.5,10436.9,0.235202,0.967401,4.61043,1.95774,2.84821,0.565831,1197.94,39.8214,13286.9,0.0866784,0.945025,0.00549055,13820.5 
65,0.11,0.79,0.91,3.3,65,13929.2,0.00867872,26.3943,-11.5553,122.023,-0.007122,-0.0334223,1.25394e-10,2.35983,-0.141621,0.506322,0.373438,4.62799,4.91861,791.18,31.4752,12954.6,9928.61,2.32886,-0.172592,0.44438,0.342466,4.59702,0.941065,785.869,31.2584,12949.3,0.0600462,0.934923,0.00442697,13087.7 
66,0.2,0.7,1,2.8,66,15078.6,0.0141882,27.8198,-11.7154,121.952,-0.00567822,-0.963864,113.378,-1.22992,4.34871,5.47584,0.202291,-3.32504,-13.3684,1649.33,47.1922,13118.8,10610,-1.14574,4.43289,5.64419,0.286469,-3.24087,0.0556718,1663.77,47.7815,13133.2,0.117661,0.952147,0.00665734,14140.4 
67,0.3,0.6,1.1,2.3,67,13583.1,-0.00212726,26.0514,11.4768,121.855,-0.00870334,13.0394,3.09325e-11,2.98383,-0.942927,1.13094,-0.0940409,-5.32818,2.54674,1528.14,52.8121,11935.9,9736.74,2.96779,-0.958964,1.09887,-0.110077,-5.34422,1.46828,1525.39,52.6998,11933.2,0.118597,0.942987,0.00806954,12861.9 
68,0.35,0.55,1.15,2.2,68,13900.2,-0.0545437,26.5345,11.612,122.043,-0.0551686,129.885,216.041,0.35716,-1.57662,7.04327,1.18017,0.286751,-0.794409,1158.45,32.7462,12656.1,10263.6,0.362162,-1.57162,7.05328,1.18517,0.291753,0.0365356,1159.31,32.7812,12656.9,0.087937,0.952849,0.00474835,13183.4 
69,0.08,0.82,0.88,4.7,69,13436.1,-0.164158,24.3159,-12.352,121.654,0.0134856,71.678,13.1729,-0.0958203,-2.21179,-4.2543,-5.38837,0.0433687,-5.82728,965.627,45.496,12399.4,9808.82,-0.0591275,-2.1751,-4.18091,-5.35168,0.0800615,0.642252,971.92,45.7529,12405.6,0.0761855,0.923889,0.00674797,12757.3 
70,0.08,0.82,0.88,4.7,70,13926.1,-0.0361997,26.1696,11.7815,121.757,-0.00741535,-15.009,0.042966,2.37049,-0.779639,-0.841862,0.317694,-0.883497,11.7516,1022.05,35.2556,12918,10040.3,2.29649,-0.853636,-0.989855,0.243698,-0.957493,-2.79559,1009.36,34.7376,12905.3,0.0760672,0.943194,0.004934,13269.4 
