cyc,time,chargetime,decoherencetime,VVA,PhaseOGain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,0.1,0.8,0.9,3.8,-9,17,15418.9,0.0413724,27.7319,11.9079,121.218,-0.0391932,-24.2459,315.217,0.670497,-3.07236,1.02079,2.17862,3.88457,-99.916,574.669,17.4747,14308.8,10781,1.29964,-2.44322,2.27908,2.80776,4.51371,0.730509,682.567,21.8787,14416.7,0.048443,0.946886,0.00278777,14090.1 
18,0.03,0.87,0.83,2.5,-6,18,15482.7,0.0389335,27.4486,12.0914,121.156,-0.0276321,-16.4633,273.454,4.24941,2.85463,2.23986,1.55351,0.219107,-35.6076,1030.43,36.4442,13949,10819,4.47362,3.07884,2.68829,1.77772,0.443319,0.784277,1068.88,38.0137,13987.5,0.0759297,0.941409,0.00498135,14077.2 
19,0.06,0.84,0.86,1.9,-6,19,16000.3,0.0374072,28.0672,12.2316,121.22,-0.0334209,-3.62117,35.0609,-1.1015,-2.11068,3.10664,-1.65109,2.04775,-48.7085,1049.99,55.8032,14398.9,11179.7,-0.7948,-1.80398,3.72005,-1.34438,2.35445,-0.745403,1102.59,57.9501,14451.5,0.0758185,0.91577,0.00733265,14542.4 
20,0.05,0.85,0.85,2.05,-6,20,16251.1,0.0695994,28.5481,12.0885,121.424,-0.0801586,-94.8369,2.16094,-1.58602,1.74108,1.13908,-1.49615,5.45284,-77.6298,1138.25,24.2681,14429.4,11481.8,-1.0972,2.22989,2.11671,-1.00734,5.94165,0.741351,1222.08,27.6898,14513.2,0.0830251,0.961861,0.00350225,14719.4 
21,0.09,0.81,0.89,4.3,-9,21,15603.8,0.0468042,27.2866,12.2269,120.999,0.000254133,-43.4869,17.7889,0.319866,0.544254,2.84129,1.62449,-2.8688,-44.1317,673.162,42.4907,14327.2,10861.1,0.597752,0.82214,3.39706,1.90238,-2.59092,0.177151,720.82,44.4359,14374.9,0.0511602,0.902624,0.0056621,14089.5 
22,0.04,0.86,0.84,2.2,-6,22,15687.3,0.0489515,27.7625,12.0738,121.329,0.0366433,-8.61941,215.201,-1.26749,-1.42942,3.38642,3.09234,-0.316075,-29.8571,1093.05,36.3303,14028.6,10922.2,-1.07949,-1.24141,3.76242,3.28034,-0.128073,0.180977,1125.29,37.6463,14060.8,0.0792354,0.944692,0.00490782,14201.9 
23,0.14,0.76,0.94,3.1,-9,23,16864.5,0.00504427,29.5932,12.3126,121.267,-0.012191,-48.1877,500,1.91927,-2.64601,2.13723,-0.00935237,-2.38123,-65.6309,570.459,37.5912,15765.5,11880.6,2.33253,-2.23275,2.96375,0.403908,-1.96797,-0.976541,641.333,40.484,15836.4,0.0417285,0.900521,0.00468706,15369.2 
24,0.2,0.7,1,2.8,-9,24,16718,0.080172,28.8961,12.2525,121.276,0.0156484,-48.5661,171.406,0.186317,-0.223408,4.09702,2.50558,1.69602,-117.732,623.377,37.6442,15425.9,11550.2,0.927646,0.517921,5.57968,3.24691,2.43735,0.560984,750.515,42.8335,15553,0.0493278,0.909193,0.0050476,15214.8 
25,0.02,0.88,0.82,3.5,-6,25,13925.4,0.06857,23.7713,12.0867,121.398,0.341681,-260.399,1.14365e-05,0.931708,-3.23284,0.738332,-0.492736,4.01944,-3.6483,1233.99,18.7522,11819.7,12249.5,0.954681,-3.20987,0.784276,-0.469763,4.04242,0.626844,1237.92,18.913,11823.6,0.101188,0.97396,0.00293797,12233.9 
26,0.17,0.73,0.97,3,-9,26,16815.9,0.0130764,29.6853,12.2546,121.621,-0.0128991,-8.37585,379.282,-0.241021,-1.48386,6.52823,0.888064,1.73019,-73.1942,720.09,34.7083,15625.1,11845.9,0.219864,-1.02297,7.45,1.34895,2.19107,0.268669,799.132,37.9345,15704.1,0.0518784,0.9233,0.00443004,15403.9 
27,0.25,0.65,1.05,2.499,-9,27,15713,-0.0318381,27.4279,12.2793,121.499,0.0060634,17.522,0.340476,-0.471627,-0.653511,2.75553,1.83069,0.767216,-43.5656,603.508,33.4075,14478,10967.2,-0.197306,-0.37919,3.30418,2.10501,1.04154,0.437513,650.554,35.3278,14525,0.045947,0.913215,0.00446039,14158.8 
28,0.11,0.79,0.91,3.3,-9,28,17136.8,-0.042771,31.1571,12.1028,121.399,-0.0182788,-17.3163,195.831,1.79798,-0.973725,6.62086,4.15511,2.69789,24.7494,541.2,37.0748,16266.7,12285.7,1.64214,-1.12957,6.30918,3.99927,2.54205,0.527865,514.474,35.984,16240,0.0329418,0.890947,0.00406508,15617.7 
29,0.08,0.82,0.88,5,-9,29,16491,0.0538188,29.0761,12.1098,121.243,-0.0424781,35.5113,47.8831,-0.276002,-0.40478,4.9578,0.649117,1.89231,-69.0861,708.972,56.2923,15218.3,11511.3,0.159015,0.0302367,5.82783,1.08413,2.32733,0.381895,783.578,59.3374,15293,0.0522176,0.882986,0.00709674,15006 
30,0.01,0.89,0.81,7,-6,30,15117.2,0.0665318,27.1056,11.836,121.169,-0.0845959,11.8066,13.5576,5.15028,-2.55465,0.684829,-0.690273,1.42966,-36.8877,1370.1,31.1681,13144.9,10476.4,5.38255,-2.32238,1.14937,-0.458001,1.66193,0.787683,1409.93,32.794,13184.7,0.103128,0.960888,0.00456093,13671.7 
31,0.07,0.83,0.87,1.8,-6,31,15525.1,0.0035453,27.8713,12.085,121.394,-0.00158299,-18.8013,189.169,0.585154,1.82147,6.5778,1.46196,-1.30362,-67.4288,886.793,38.0056,14098.2,10965.8,1.00974,2.24605,7.42697,1.88654,-0.87904,0.364687,959.609,40.9777,14171,0.0678712,0.930467,0.0052985,14138.7 
32,0.1,0.8,0.9,3.8,-9,32,15570.5,-0.00914114,27.6926,12.1013,121.281,0.00132265,-0.877455,4.04367e-11,0.934057,-0.706448,5.48632,-2.19216,4.1757,-44.7295,652.266,22.0455,14445.4,10909.2,1.21571,-0.424799,6.04962,-1.91051,4.45735,0.355557,700.569,24.017,14493.7,0.0494064,0.943402,0.00304319,14179.7 
33,0.03,0.87,0.83,2.5,-6,33,16373.8,-0.00998229,28.8511,12.1411,121.521,-0.0152852,10.4565,5.07115e-06,5.53798,-3.32046,4.3326,-0.238294,3.40462,-73.5527,1190.39,40.4714,14492.2,11408.1,6.00112,-2.85732,5.25888,0.224848,3.86776,0.579131,1269.82,43.7134,14571.6,0.0856744,0.943179,0.00549576,14821.4 
34,0.06,0.84,0.86,1.9,-6,34,14680.3,0.0798682,26.026,11.9043,121.41,0.189308,48.5935,124.845,-0.586167,4.46018,0.851232,2.0966,-2.74856,-86.6372,886.248,33.1744,13069.9,10385.1,-0.0406357,5.00571,1.94229,2.64213,-2.20303,0.735615,979.806,36.9931,13163.5,0.074105,0.938023,0.00515017,13221.9 
35,0.05,0.85,0.85,2.05,-6,35,14097.7,0.0612046,24.8504,12.0434,121.466,0.00802726,1.2252,163.602,-0.344574,1.56298,3.96298,1.14463,-4.55087,-43.0545,960.569,29.3295,12526.9,9742.98,-0.0734715,1.83409,4.50518,1.41573,-4.27976,-0.324365,1007.06,31.2272,12573.4,0.0792941,0.948529,0.00455419,12700.4 
36,0.09,0.81,0.89,4.3,-9,36,13821.7,0.00331845,24.1691,12.2279,121.115,-0.00901273,4.06459,500,-1.29496,2.2315,4.77931,-4.35484,1.33564,-81.9801,565.049,31.8762,12658.1,9621.92,-0.77875,2.74771,5.81173,-3.83863,1.85185,-0.00307601,653.579,35.4897,12746.6,0.052253,0.91322,0.00510269,12508 
37,0.04,0.86,0.84,2.2,-6,37,14489.2,0.0574901,24.8422,12.1916,121.387,-0.0459295,-9.28307,500,-1.63227,-3.00354,2.39355,-1.17876,-3.40579,-98.3548,1081.4,13.6526,12568.7,9873.17,-1.01295,-2.38423,3.63218,-0.55945,-2.78647,2.16756,1187.61,17.9878,12675,0.0915286,0.974179,0.00260743,12975.3 
38,0.14,0.76,0.94,3.1,-9,38,14410.7,0.0138731,24.8854,12.2005,121.33,0.00707436,4.13579,500,-0.697477,0.355154,4.59197,-0.533764,2.04402,-101.458,532.747,30.9969,13048.7,9884.61,-0.0586225,0.994008,5.86968,0.10509,2.68288,0.388131,642.311,35.4688,13158.3,0.0498706,0.911879,0.00494095,12879.5 
39,0.2,0.7,1,2.8,-9,39,16067.1,0.0101837,28.5112,12.2004,121.274,-0.0249056,-14.9464,252.979,-3.47737,-3.19206,0.272606,-3.12629,-0.350853,-30.8565,650.873,18.3879,14889.6,11335.7,-3.28307,-2.99776,0.661197,-2.932,-0.156558,1.07593,684.195,19.748,14922.9,0.0469833,0.951918,0.00243179,14562.5 
40,0.02,0.88,0.82,3.5,-6,40,15027.7,0.0384012,26.2786,12.256,121.616,-0.0128865,-25.8897,39.6503,-1.02728,-3.80109,-4.59935,-5.15027,0.309241,-40.3355,1249.97,53.0698,13189.6,10495.3,-0.773294,-3.54711,-4.09139,-4.89629,0.563223,0.678977,1293.53,54.8477,13233.1,0.0951101,0.930923,0.00757717,13600.3 
41,0.17,0.73,0.97,3,-9,41,14061.7,0.049955,24.7723,12.1013,121.39,-0.012326,-19.215,294.581,-0.588327,-0.556407,-1.10154,1.89393,-1.14061,-62.5419,631.42,30.9457,12821.1,9766.41,-0.194518,-0.162597,-0.313924,2.28774,-0.746803,1.36087,698.958,33.7024,12888.6,0.0550996,0.922185,0.00479383,12685.4 
42,0.25,0.65,1.05,2.499,-9,42,13760.4,0.0636488,24.0466,12.1297,121.671,-0.060239,-14.6499,499.954,0.131491,-1.5398,6.91173,-1.54506,2.53349,-77.1444,446.455,21.3193,12641.9,9523.83,0.617249,-1.05405,7.88325,-1.0593,3.01925,0.161927,529.762,24.7196,12725.2,0.0428466,0.924507,0.00356568,12364.2 
43,0.11,0.79,0.91,3.3,-9,43,15157.7,0.0970644,26.4233,-12.044,121.181,-0.394363,322.158,5.94906,0.109663,4.02653,1.37536,1.20599,0.610496,-70.8517,435.831,30.2412,13957.7,14495.6,0.555797,4.47267,2.26762,1.65212,1.05663,0.773347,512.344,33.3641,14034.2,0.0377718,0.897697,0.00436021,13564.2 
44,0.08,0.82,0.88,5,-9,44,13373.1,0.0554461,23.6241,12.0299,121.211,0.00822793,-40.4878,2.03657,-0.302484,-3.78464,-3.11563,-3.18085,-1.4414,-89.4155,617.408,23.1496,12112.4,9262.36,0.260542,-3.22162,-1.98958,-2.61782,-0.878373,0.764459,713.967,27.0908,12208.9,0.0591607,0.937733,0.00407087,12068.3 
45,0.01,0.89,0.81,7,-6,45,15925.8,0.106732,27.7338,12.0369,121.647,-0.0879326,-44.3835,495.409,-0.293136,0.258283,-3.62674,-4.42902,-2.46862,-88.7694,1689.12,59.2457,13460.3,10994.3,0.265821,0.81724,-2.50882,-3.87007,-1.90966,0.651818,1784.98,63.1584,13556.2,0.124024,0.94169,0.00850936,14392.2 
46,0.07,0.83,0.87,1.8,-6,46,14561.6,0.0156842,25.7972,12.0117,121.215,-0.0326268,-11.7229,500,-2.37734,-4.49422,1.39931,0.167459,0.347756,-88.4728,836.719,13.2864,13168.1,10099.7,-1.82025,-3.93713,2.51349,0.724549,0.904846,2.55681,932.26,17.186,13263.6,0.0702667,0.968747,0.00238118,13267.4 
47,0.1,0.8,0.9,3.8,-9,47,13854.9,0.0565461,24.4105,12.066,121.423,-0.0136219,-5.30667,21.5369,-0.330123,-3.43429,5.43107,-0.138419,0.178453,-90.7436,592.524,22.8324,12695.4,9590.5,0.241265,-2.8629,6.57385,0.43297,0.749842,-0.280198,690.517,26.8321,12793.4,0.0548535,0.936328,0.00384866,12588.4 
48,0.03,0.87,0.83,2.5,-6,48,17856.9,0.0162442,31.2765,12.3805,121.689,-0.0204202,-18.4791,500,2.52243,0.305884,1.2057,1.24414,-3.30245,-6.05539,1275.72,31.5436,16100.8,12617.5,2.56056,0.344013,1.28195,1.28227,-3.26433,0.418477,1282.26,31.8105,16107.3,0.0788496,0.958392,0.00362481,16262.1 
49,0.06,0.84,0.86,1.9,-6,49,11169.5,0.061365,20.2915,11.6137,121.32,-0.0366487,49.0224,101.908,-1.31071,-0.763799,-2.19559,2.52149,-1.18922,-74.9182,700.275,18.7301,9924.56,7729.98,-0.838966,-0.292059,-1.25211,2.99323,-0.717478,-10.66,781.178,22.0323,10005.5,0.0774497,0.952965,0.00403998,10086.3 
50,0.05,0.85,0.85,2.05,-6,50,15260.9,0.00889649,27.0989,12.1953,121.43,-0.0117619,0.294782,58.637,-0.899296,-2.43683,4.38897,2.2953,0.973081,-38.8259,1193.2,61.5791,13609,10758.3,-0.654819,-2.19236,4.87792,2.53978,1.21756,0.157248,1235.13,63.2904,13651,0.0886635,0.917706,0.00846829,13930.5 
51,0.09,0.81,0.89,4.3,-9,51,14142.7,0.000289157,25.4306,12.0787,121.208,-0.00288559,0.83032,26.1115,0.4491,-0.000508078,-0.338395,-1.0114,0.97941,-50.7741,598.952,34.965,13227.8,9999.39,0.768811,0.319203,0.301027,-0.69169,1.29912,0.84922,653.782,37.203,13282.6,0.0502653,0.909436,0.00513302,13006.6 
52,0.04,0.86,0.84,2.2,-6,52,12883.2,0.115105,22.9573,11.621,121.077,-0.00798095,-94.8817,499.317,-2.92895,0.115662,4.41298,2.13256,-1.1901,-148.966,917.822,17.9217,11284.2,8709.49,-1.99094,1.05366,6.28898,3.07056,-0.252095,0.230251,1078.69,24.4877,11445.1,0.0920178,0.961791,0.00392586,11722.6 
53,0.14,0.76,0.94,3.1,-9,53,15703.9,0.0929987,27.2186,12.1449,121.573,0.0302672,-88.7742,295.248,-0.618063,-3.70492,0.00521288,4.32424,-1.42169,-77.6333,650.046,26.8596,14306.7,10848.5,-0.129226,-3.21608,0.982885,4.81307,-0.932858,0.352424,733.881,30.2815,14390.5,0.0519854,0.932654,0.00386131,14117.1 
54,0.2,0.7,1,2.8,-9,54,11499,0.0050526,20.4118,12.068,121.072,0.0275179,-21.0799,9.55407e-12,1.56112,0.210093,1.07932,-0.864566,0.405235,-140.165,485.304,15.9193,10603.6,8037.71,2.44371,1.09268,2.84449,0.0180179,1.28782,0.629947,636.668,22.0974,10754.9,0.0598441,0.942739,0.00377056,10638.8 
55,0.02,0.88,0.82,3.5,-6,55,12930,0.0930393,22.3368,12.1014,121.473,-0.0782643,45.7129,24.7466,-1.30523,0.858959,2.40944,-1.80998,0.932626,-34.8628,1130.62,18.7246,11097.3,8915.86,-1.08571,1.07848,2.84848,-1.59046,1.15215,-0.185415,1168.27,20.2613,11134.9,0.101379,0.970544,0.00334073,11523.7 
56,0.17,0.73,0.97,3,-9,56,16237.2,0.000537711,28.6213,12.3207,121.279,-0.0373971,-15.1992,423.93,-1.56931,-1.4167,5.27848,1.14652,2.03608,-67.3454,723.461,40.0261,15068.4,11497.9,-1.14526,-0.992646,6.1266,1.57058,2.46014,0.236029,796.186,42.9945,15141.1,0.0535164,0.913658,0.0052036,14877.4 
57,0.25,0.65,1.05,2.499,-9,57,14121.4,0.0162766,25.912,11.815,121.017,-0.0108977,-9.69925,5.3228e-11,3.90653,-0.729742,0.0723396,-1.39085,-2.55474,-52.7348,624.047,37.5201,13097.5,9969.65,4.23859,-0.397684,0.736454,-1.05879,-2.22268,0.431699,680.994,39.8445,13154.4,0.0527306,0.907119,0.00554876,12914.6 
58,0.11,0.79,0.91,3.3,-9,58,16678.3,0.0539544,29.4136,12.1087,121.353,0.0398461,-52.5021,366.932,3.66705,1.22647,7.47881,-1.77561,-1.89262,-42.6305,525.575,30.3745,15603.5,11662.3,3.93548,1.4949,8.01567,-1.50718,-1.62418,0.222887,571.611,32.2535,15649.5,0.0377908,0.910129,0.0037822,15125.7 
59,0.08,0.82,0.88,5,-9,59,15310,0.00377012,27.4294,12.1085,121.527,0.00719382,-47.8687,196.675,1.60507,-0.562288,1.72651,2.08695,0.55687,14.8625,621.66,27.4063,14248.2,10823.1,1.51149,-0.655873,1.53934,1.99336,0.463285,0.682715,605.611,26.7512,14232.1,0.0437533,0.928245,0.00345053,13841.5 
60,0.08,0.82,0.88,5,-9,60,17462.7,0.0122832,30.6159,12.2244,121.535,0.00611287,-52.1731,2.02753,2.16892,-3.01341,5.52509,1.33253,4.81796,-50.9866,862.381,33.9308,15924.5,12193.8,2.48997,-2.69237,6.16719,1.65357,5.13901,0.516578,917.44,36.1781,15979.6,0.0581452,0.935446,0.00415325,15778.4 
61,0.08,0.82,0.88,5,-9,61,16411.9,-0.0487105,29.8619,12.123,121.48,-0.0226118,37.6272,225.628,4.97731,0.13265,1.16661,1.15603,4.23884,22.792,641.247,36.2801,15588.8,11812.5,4.83379,-0.0108646,0.87958,1.01251,4.09533,0.918635,616.634,35.2755,15564.2,0.0408601,0.908999,0.00415768,15091.4 
62,0.08,0.82,0.88,5,-9,62,13149,0.0174258,23.6901,11.9729,121.383,-0.0112342,-17.8987,187.276,0.337363,2.21509,4.80462,2.27931,5.08685,-18.9128,592.891,32.4342,12148.5,9239.96,0.456452,2.33418,5.0428,2.3984,5.20594,0.673346,613.315,33.2678,12168.9,0.0514076,0.913305,0.00501077,11930.4 
63,0.08,0.82,0.88,5,-9,63,13426.1,0.0850112,24.0442,-11.7282,121.368,0.0328431,127.277,34.2613,-3.45364,-1.78792,7.37318,-1.46816,-2.75918,-26.7494,641.258,21.7672,12153.5,9315.97,-3.2852,-1.61949,7.71004,-1.29972,-2.59075,8.10526,670.145,22.9463,12182.4,0.0558464,0.943466,0.00345771,11999.8 
64,0.08,0.82,0.88,5,-9,64,11899.6,0.000899643,21.3832,11.9175,121.247,-0.0291031,74.9244,500,-0.301137,2.59842,-1.33932,-3.88335,-0.751981,-41.8279,537.685,30.1261,10970.5,8366.67,-0.0377578,2.8618,-0.812559,-3.61998,-0.488602,0.612531,582.855,31.9698,11015.7,0.0538311,0.912419,0.00531773,10827.5 
65,0.08,0.82,0.88,5,-9,65,13291.2,0.0348306,24.1066,-11.8769,121.554,-0.0174912,-0.668482,56.7043,1.84525,1.2618,0.349417,1.33305,3.35381,-13.0705,619.532,18.6103,12231.9,9320.74,1.92755,1.3441,0.51402,1.41535,3.43611,0.940487,633.646,19.1864,12246,0.0527055,0.949678,0.00287782,12022.4 
66,0.08,0.82,0.88,5,-9,66,12421.4,0.0436692,22.2953,11.8796,121.412,-0.0213616,-8.72308,405.846,3.91298,0.475136,4.3921,1.14596,3.93225,-29.4239,612.47,13.0316,11436.3,8628.1,4.09826,0.66041,4.76265,1.33124,4.11752,0.681855,644.245,14.3285,11468.1,0.0569645,0.962537,0.00229628,11309.6 
67,0.08,0.82,0.88,5,-9,67,14693.2,-0.0112426,25.9486,12.2021,121.452,-0.00644256,3.49209,500,1.00402,-0.0625769,2.43004,1.1185,-2.69019,-58.3879,684.619,29.6839,13556.5,10308,1.37168,0.305076,3.16535,1.48616,-2.32254,0.209793,747.672,32.2575,13619.6,0.0557387,0.929799,0.00434401,13413.9 
68,0.08,0.82,0.88,5,-9,68,12427.4,-0.00883189,22.2419,-12.0505,121.389,0.00735941,-2.0759,4.14891e-11,2.07954,1.01776,4.01433,-1.73909,3.47383,-25.8262,573.055,36.4306,11500.7,8725.64,2.24216,1.18038,4.33958,-1.57647,3.63645,0.558182,600.945,37.5689,11528.6,0.0530749,0.901385,0.00596714,11322.6 
69,0.08,0.82,0.88,5,-9,69,13062.3,0.000128581,23.1085,-12.2627,121.438,-0.00724077,-1.36018,500,-0.214376,3.95706,-0.952251,-3.9961,0.678263,-22.0137,618.116,17.2372,12187.3,9225.01,-0.0757615,4.09567,-0.675022,-3.85748,0.816877,3.21841,641.889,18.2075,12211.1,0.0534987,0.952708,0.00273917,11998.2 
70,0.08,0.82,0.88,5,-9,70,13442.3,-0.00409683,24.5723,11.8956,121.336,-0.00621177,-7.79259,6.11479e-09,0.573902,0.719363,3.55687,6.91155,2.46308,-69.7415,659.859,32.4688,12563.9,9516.99,1.01305,1.15851,4.43516,7.35069,2.90223,0.736936,735.172,35.5428,12639.2,0.0588626,0.921994,0.0051535,12489.6 
71,0.08,0.82,0.88,5,-9,71,13078.4,0.00539917,23.907,11.8572,121.403,-0.00654919,2.1675,21.05,-2.58997,-3.79231,0.69212,1.3853,0.497529,-7.45956,661.449,41.8581,12135.7,9228.38,-2.543,-3.74534,0.786062,1.43228,0.5445,1.22296,669.505,42.1869,12143.8,0.0559636,0.900681,0.00635869,11963.2 
72,0.08,0.82,0.88,5,-9,72,17705.8,-0.015544,31.3005,-12.3405,121.39,-0.0153789,10.3022,1.8746e-09,3.05977,-1.64691,2.52523,1.68622,0.342731,-61.318,699.881,45.7161,16711.9,12579.3,3.44587,-1.26081,3.29744,2.07232,0.728834,0.601934,766.097,48.4188,16778.2,0.0467995,0.900412,0.00528788,16369.8 
73,0.08,0.82,0.88,5,-9,73,12511.8,-0.0093651,23.5338,-11.5934,121.222,-0.00600797,11.3498,308.793,2.2561,-1.7148,1.16694,2.34632,0.210106,-61.157,571.374,20.4995,11717.4,8884,2.64118,-1.32971,1.93712,2.73141,0.595196,0.70539,637.417,23.1951,11783.4,0.0549688,0.940131,0.003613,11596 
