cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
28,0.23,3.77,28,16059.8,-0.310605,27.0969,13.3342,121.766,-0.0519454,157.068,1.11201e-12,-1.28521,-2.82338,-0.404364,0.428817,1.33601,23.3353,1513.22,730.289,13328.5,12027.6,-1.43215,-2.97031,-0.698236,0.281881,1.18907,0.807635,1487,724.117,13302.3,0.176935,0.539901,0.091137,8404.2 
29,0.15,3.85,29,15533.1,-0.051959,26.43,12.9888,121.811,-0.0857405,113.647,464.129,-1.03125,-0.686067,0.6518,0.0753062,1.67475,44.0704,1553.2,672.033,12926.1,11492.6,-1.30875,-0.963566,0.0968007,-0.202193,1.39725,1.09873,1503.66,660.378,12876.6,0.183385,0.56543,0.086318,8199.49 
30,0.21,3.79,30,16391.8,-0.0691175,28.6602,12.7657,121.768,0.150605,2.84009,500,-2.12824,2.27362,-0.481811,3.11588,2.43195,40.4735,1434.6,591.147,14167,11924.1,-2.38309,2.01877,-0.991513,2.86103,2.1771,1.26926,1389.11,580.443,14121.5,0.159078,0.577621,0.0703876,8732.28 
31,0.03,3.97,31,16398.2,-0.119939,28.492,12.9789,121.748,0.0432244,43.6584,474.583,-0.761466,-1.34164,-1.15232,4.16768,-1.92957,39.7592,1440.88,649.024,14095.8,12099.5,-1.01182,-1.59199,-1.65303,3.91733,-2.17992,0.343888,1396.19,638.509,14051.2,0.16043,0.555459,0.0772427,8702.79 
32,0.31,3.69,32,16802.3,-0.0519179,28.4287,13.0452,121.943,-0.0243921,68.1568,491.838,2.10156,2.29043,-4.53689,-3.76583,2.5214,27.7415,1741.99,686.66,13971.2,12126.8,1.92687,2.11575,-4.88625,-3.94051,2.34671,-1.00468,1710.81,679.323,13940,0.190947,0.590011,0.0823745,8959.62 
33,0.35,3.65,33,15212.7,-0.091506,26.6029,12.8114,121.72,0.0391875,15.4068,379.022,0.691351,0.315372,-1.22189,2.30954,-1.15019,34.5432,1453.18,583.768,12979.7,11114.5,0.473842,0.0978625,-1.65691,2.09203,-1.3677,-3.59134,1414.36,574.632,12940.8,0.173678,0.584454,0.075613,8143.59 
34,0.37,3.63,34,15539.8,-0.00290067,26.8264,12.8059,121.728,0.0164674,-41.4422,500,0.448849,-4.21871,1.8811,2.42358,1.10947,14.607,1391.39,580.182,13281.3,11205.4,0.356872,-4.31069,1.69715,2.33161,1.01749,-0.553553,1374.97,576.319,13264.9,0.166205,0.576864,0.0741029,8272.74 
35,0.29,3.71,35,15798.9,-0.0647937,26.9629,13.0002,121.888,0.088566,51.8882,273.211,1.79823,4.42215,-2.07016,0.869665,0.00510966,39.6826,1440.01,691.92,13252,11560.3,1.54836,4.17228,-2.56991,0.619794,-0.244761,1.72889,1395.41,681.425,13207.4,0.168869,0.539204,0.0867929,8263.26 
36,0.19,3.81,36,17897.3,-0.0286996,30.5005,12.9398,121.969,0.0333592,16.2132,500,0.614785,2.74295,-0.536023,1.62115,0.49413,25.663,1647.93,807.022,15012.4,12865.5,0.453192,2.58136,-0.859208,1.45955,0.332537,1.21657,1619.09,800.235,14983.5,0.172051,0.536211,0.0895703,9410.53 
37,0.39,3.61,37,16591.8,-0.105887,28.6969,12.9772,121.995,-0.00567958,15.2704,473.384,-0.0835899,1.8956,-3.43296,2.09203,4.04031,51.0599,1544.18,667.422,14141.2,12125.9,-0.4051,1.57408,-4.07598,1.77052,3.7188,2.57842,1486.79,653.918,14083.8,0.168754,0.565072,0.0787911,8810.35 
