cyc,freq,VVA,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
42,47.3227,3,200,42,9554.25,-0.300796,17.935,13.4733,89.4241,-0.17652,-71.6974,59.9543,-0.329034,0.975521,-2.86074,-2.50312,-0.253465,-47.8943,651.007,31.3969,10492.2,8278.3,-0.0274562,1.2771,-2.25759,-2.20154,0.0481133,0.285884,714.451,32.6409,10555.6,0.071421,0.925967,0.00566404,10003.4,3926.21,680.712,97728.1,-0.00115584,0.0136536,38.8166,0.211551,80.6175,81.0273,0.705834,13.6741,13.5338,89.2776,126.085,-8.66013,-45.0576 
44,47.3227,3,75,44,10837.5,-0.328168,20.316,13.4191,89.4637,-0.0917458,185.566,472.873,-1.89232,1.94012,-0.601319,-0.373788,0.754936,-29.3753,900.971,21.3685,11644.5,9428.96,-1.70735,2.12509,-0.231382,-0.18882,0.939905,1.24682,939.884,22.1314,11683.4,0.0837591,0.960424,0.0034773,11221.3,4915.57,841.489,123196,-0.00282091,0.0313636,30.406,21.8952,80.8858,83.6281,0.798643,13.8872,13.1357,89.4946,126.418,-8.60879,-42.7895 
46,47.3227,3,15,46,11693.6,-0.333006,21.9637,13.284,89.2471,0.414754,-290.6,0.982832,-0.344962,1.2751,-3.73958,-0.951419,-0.0231702,-47.9314,1454.13,30.2695,12061.2,13421.5,-0.0431509,1.57691,-3.13596,-0.649608,0.278641,-0.589305,1517.62,31.5145,12124.7,0.124525,0.964934,0.00476519,12187.3,5448.34,1722.25,135906,-0.00231853,0.0650979,19.1224,16.4904,89.5524,77.1199,0.855828,13.4903,13.037,89.0731,125.046,0.479317,-47.9265 
48,47.3227,3,150,48,8613.4,-0.0388052,16.7214,12.8224,89.337,-0.000641786,35.8008,500,0.833882,0.190281,0.223365,-1.55374,-0.473302,-68.0092,649.399,26.8126,9587.17,6980.46,1.26212,0.618517,1.07984,-1.1255,-0.0450661,0.396707,739.489,28.5791,9677.26,0.0798974,0.936652,0.00541071,9255.48,3488.72,583.847,86685.9,-0.00247988,0.0248287,31.4681,22.0283,75.1253,89.2385,0.688824,13.2737,12.9082,89.0992,124.827,-13.9739,-35.5881 
49,47.3227,0,5,49,11617.8,-0.00823745,22.6275,12.6051,89.4656,-0.00954004,-31.159,500,0.0796996,0.516834,-0.699408,0.121231,-4.0805,-77.2899,525.975,30.8919,13200.5,9294.61,0.566374,1.00351,0.273941,0.607906,-3.59383,1.23986,628.359,32.8994,13302.9,0.0509415,0.916065,0.00453506,12334.9,7011.69,635.13,177308,-0.00304907,0.0333988,31.2854,14.879,73.4289,93.2851,1.02652,13.0422,12.1986,89.2856,126.188,-15.8567,-32.9032 
51,47.3227,3,5,51,12311.6,-0.29512,22.948,13.3124,89.5299,-0.0798253,48.0681,0.000479431,-1.88033,-0.959662,0.837162,-2.56925,-4.1471,-65.3197,1613.82,29.5061,12593.5,10069.7,-1.46903,-0.548361,1.65976,-2.15795,-3.7358,1.2655,1700.34,31.2027,12680,0.132232,0.968885,0.00451254,12858.8,5803.15,2178.98,144997,-0.00236436,0.084536,14.855,16.4423,90.589,77.0701,0.866807,13.8554,13.1989,89.4232,126.972,1.16583,-49.902 
53,47.3227,3,30,53,11378.5,-0.307712,21.6361,13.0362,89.3596,-0.374456,437.359,16.3483,0.104086,0.383452,-1.46466,-3.84417,-1.24429,-44.5765,1314.68,31.1007,11890,14513.1,0.384772,0.664138,-0.90329,-3.56348,-0.963608,0.793839,1373.73,32.2585,11949.1,0.115547,0.960528,0.00494846,11888.9,5313.91,1485.94,132822,-0.00242933,0.0571952,18.5438,18.6575,88.5483,80.2835,0.845595,13.6082,12.9244,89.2932,127.054,-0.744993,-46.7704 
55,47.3227,3,1,55,11984.4,-0.390483,22.9543,13.2699,89.5841,5.78331,8632.79,344.255,-0.512381,-0.723208,-6.25647,-2.98077,-0.786829,-2.75181,1498.38,36.6543,12460.1,1.63517e+06,-0.495054,-0.705881,-6.22181,-2.96344,-0.769502,0.442275,1502.02,36.7258,12463.8,0.120449,0.958967,0.00539865,12470.1,5731.56,1970.76,142980,-0.00232169,0.0817193,14.9736,15.4173,90.6412,76.6709,0.870282,13.5232,13.2366,89.3858,126.32,1.25539,-49.6488 
61,47.3227,3,50,61,10119.6,-0.0935452,19.679,12.883,89.4995,-0.0182871,77.3971,3.15924e-10,-0.126354,-0.647668,-4.16798,-2.19527,-0.932204,-16.8594,964.833,30.7341,11040.4,8299.14,-0.0201952,-0.541509,-3.95566,-2.08911,-0.826044,0.46779,987.167,31.172,11062.7,0.0920664,0.947634,0.00516381,10722.3,4570.25,933.845,114299,-0.0029809,0.033799,30.0548,21.6004,81.2839,88.5432,0.782284,13.4367,13.1039,89.37,128.736,-8.08607,-40.1929 
63,47.3227,3,20,63,11396.7,-0.348971,21.4862,13.3633,89.3584,0.385443,-162.097,4.05096,-0.796067,-1.14285,-2.73195,-1.79968,0.651473,-11.0851,1406.33,24.2366,11891.9,11380.8,-0.726267,-1.07305,-2.59235,-1.72988,0.721273,0.519959,1421.02,24.5245,11906.6,0.119425,0.970683,0.00377991,11898.8,5237.3,1710.18,130609,-0.00236034,0.0692709,16.0636,16.8766,89.4628,78.3141,0.829901,13.7144,13.1025,89.1747,126.736,0.28811,-48.4219 
64,47.3227,3,100,64,10673.2,-0.0567585,19.8627,13.1119,89.4827,0.0535368,954.052,2.16071e-06,-1.94763,-0.260932,0.200184,-0.263088,-2.33553,-36.753,838.084,34.3207,11601.5,10140.8,-1.71621,-0.0295087,0.663031,-0.0316645,-2.1041,1.20601,886.769,35.2753,11650.2,0.0796098,0.934916,0.00554672,11138.9,4834.26,764.416,121156,-0.00284112,0.0276819,31.6454,25.8641,76.405,90.1587,0.795474,13.5773,13.161,89.3829,127.085,-12.9779,-36.9266 
