cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
25,1,25,27787.1,-0.0480524,52.0993,12.5704,89.1625,0.00943949,-301.943,0.901459,-2.35162,-0.828102,-0.712971,-0.345436,0.275025,84.7132,2229.83,18.4563,28289.8,21412.3,-2.88504,-1.36152,-1.7798,-0.878852,-0.258392,0.751549,2117.61,16.2559,28177.6,0.0786809,0.986744,0.0010616,26913.9,33181,5663.11,850890,-0.00367806,0.201514,11.5488,10.1294,90.7189,69.9115,2.22318,13.1471,12.3497,89.1724,121.409,1.54657,-51.4974 
26,5,26,28468.2,-0.222747,53.291,12.6159,89.1295,-0.646601,122.294,500,-2.40867,-0.52751,-0.503388,0.229935,-0.46997,96.3914,1914.73,18.1098,29313.8,24460.1,-3.01563,-1.13446,-1.71729,-0.377016,-1.07692,0.76544,1787.05,15.6061,29186.1,0.0650525,0.984947,0.000984021,27470.8,35980.7,4111.15,924796,-0.00387531,0.159825,11.5326,10.9232,90.5358,70.279,2.32468,13.2147,12.2107,89.1969,121.174,1.33884,-50.8955 
27,90,27,25699.7,-0.464891,47.6127,12.8318,88.9767,0.148321,104.589,298.254,-3.23496,-1.04872,-5.88242,-2.19535,0.346911,23.5872,526.153,10.7824,27633.2,20393.6,-3.38348,-1.19724,-6.17947,-2.34388,0.198388,0.521183,494.907,10.1698,27602,0.0199683,0.965288,0.000678252,24784.6,31127.3,835.669,802695,-0.0143947,0.0165373,-7171.81,-89.6927,60.3572,59.0102,2.15063,13.2417,12.3788,89.0962,121.022,-28.7389,-62.0115 
28,30,28,25454.4,0.0787822,47.5689,12.5377,88.9189,0.0151764,-92.7729,3.07444e-12,-3.17065,-0.880224,-3.296,-1.4854,-1.99845,40.1679,940.979,17.2898,27226.1,19460.7,-3.42358,-1.13315,-3.80186,-1.73833,-2.25137,0.692115,887.769,16.2465,27172.9,0.0357972,0.968968,0.00110017,24799.9,30761.5,1162.83,792753,-0.00474139,0.0445309,27.8722,17.4295,67.4088,81.8795,2.15626,13.1595,12.2305,88.989,121.223,-21.5802,-39.3436 
29,2,29,28148.2,-0.569437,53.4314,12.6517,89.1014,-1.29424,1640.61,20.8578,-2.76134,0.196681,-1.53136,-0.866555,-1.19885,108.516,1979.11,12.9177,28957.5,91127.9,-3.44464,-0.486616,-2.89795,-1.54985,-1.88215,0.717582,1835.36,10.0991,28813.8,0.0674975,0.990462,0.000645234,27191.5,35326.9,4844.94,907349,-0.00391553,0.185009,10.8931,10.6096,90.5946,71.7214,2.3102,13.1801,12.1655,89.1921,122.905,1.40253,-51.1831 
30,7,30,26152,-0.363606,49.7576,12.5469,89.1641,0.122438,23.9524,0.588176,-2.12654,0.328539,-5.46375,-1.05657,-1.20321,93.0277,1786.91,10.0648,27141.8,20418.5,-2.71231,-0.257231,-6.63529,-1.64234,-1.78898,0.491008,1663.68,7.64845,27018.6,0.0653963,0.992019,0.000521194,25440,31444.1,3436.55,808094,-0.00379104,0.138495,12.1786,11.2127,90.8012,71.1603,2.19752,13.0269,12.1194,89.185,121.72,1.61624,-50.5601 
31,25,31,24736.9,-0.0574184,46.768,12.4552,88.908,-0.0604376,112.094,499.5,-1.85504,-1.39885,-5.74432,0.305958,-1.63272,56.296,1066.22,15.456,26264.1,19182.9,-2.20952,-1.75333,-6.45328,-0.0485231,-1.9872,0.481742,991.643,13.9938,26189.5,0.0412525,0.9759,0.000983322,24038.4,29420.5,1355.51,757850,-0.00465448,0.0436273,32.9907,16.5752,75.21,77.6546,2.13601,13.0181,12.0473,88.9494,120.444,-13.7394,-42.7897 
32,20,32,24766.7,0.0975873,46.588,12.4272,89.2554,-0.0133596,-60.3738,9.82631e-13,-1.65932,-2.48971,-2.9893,0.14474,-0.678939,29.0637,1091.53,13.9822,26246.2,18873.3,-1.84232,-2.67272,-3.35532,-0.0382668,-0.861945,0.617435,1053.03,13.2273,26207.7,0.0436655,0.978491,0.000928867,24115.8,28833.1,1456.85,742561,-0.00462187,0.0445007,33.2803,16.3023,76.8105,77.3169,2.09766,13.0386,12.2369,89.3256,121.155,-12.5151,-43.8386 
33,150,33,23919.4,-0.479118,45.2027,12.6961,88.8707,0.890633,-1057.52,307.962,-2.21019,-1.17022,-3.76954,-0.639916,-0.585851,0.0113904,544.097,15.9664,25905.8,49342.9,-2.21026,-1.17029,-3.76968,-0.639987,-0.585922,0.54995,544.082,15.9661,25905.8,0.02331,0.951155,0.00113403,23341.2,27941.9,787.963,720344,-0.0151975,0.0170667,-2487.93,-98.4742,60.5741,57.2518,2.06435,13.0184,12.2757,88.9691,122.026,-28.3949,-64.7743 
34,40,34,24411.6,-0.0670679,45.7925,12.5267,88.9848,0.368843,21.8704,500,-3.87185,-0.268732,1.02904,0.0342028,-2.5636,7.57668,781.701,14.5604,26121.1,18936.1,-3.91956,-0.31644,0.933622,-0.0135055,-2.61131,1.15751,771.664,14.3636,26111.1,0.032492,0.968453,0.00101231,23749.4,28954.2,930.873,746373,-0.00399663,0.0592701,16.1131,14.6274,60,87.2782,2.1161,13.0578,12.0519,89.0753,121.126,-29.0753,-33.8473 
