cyc,freq,VVA,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
19,47.2227,1.4,1,19,8813.3,-0.0703432,18.5312,11.9482,89.647,-0.0124082,29.2215,481.948,-1.66971,-0.54023,0.0150924,-1.2878,-3.62155,-19.7174,1443,21.7116,9195.26,7219.54,-1.54556,-0.416075,0.263403,-1.16364,-3.49739,1.04142,1469.12,22.2237,9221.38,0.15329,0.97421,0.00441988,9583.94,3762.88,1987.5,92228.6,-0.0020077,0.0906496,13.7351,13.8524,91.1152,76.0207,0.759832,12.4325,12.1505,89.3852,126.453,1.72993,-50.4324 
21,47.2227,1.4,200,21,8001.7,-0.249912,16.1623,12.56,89.9663,0.779038,159.073,1.61613e-06,0.106274,-0.778861,-1.12916,-0.686895,-1.25107,-37.9455,581.36,29.4513,8954.49,10642.4,0.345207,-0.539928,-0.651294,-0.447962,-1.01214,0.71758,631.626,30.4369,9004.75,0.0738242,0.922229,0.00618797,8555.81,3272.45,592.261,81050.4,-0.00224989,0.0267054,31.1649,17.8815,76.0706,89.8438,0.693108,12.8341,12.3774,89.7856,124.638,-13.715,-34.7947 
24,47.2227,1.4,100,24,9726.15,-0.264626,19.296,12.5039,89.5115,2.02455,-267.517,491.629,-2.2211,-0.0804364,-1.89761,2.56411,0.66521,-28.5775,741.565,28.9388,10536,25485.2,-2.04116,0.0995087,-1.53772,2.74405,0.845155,14.9997,779.421,29.6811,10573.8,0.0772898,0.937522,0.00514426,10084.4,4494.64,695.035,112551,-0.00241632,0.0282638,31.9947,19.9041,78.2142,88.0612,0.814628,12.9243,12.3579,89.3766,125.864,-11.1624,-37.8032 
26,47.2227,1.4,5,26,9900.12,-0.375851,20.6869,12.4556,89.5052,0.289359,88.3282,491.919,-0.387414,0.472275,-0.620946,-1.86647,-2.27741,-7.24499,1476.96,22.7209,10446.8,9219.96,-0.341794,0.517895,-0.529707,-1.82085,-2.23179,0.879783,1486.56,22.9091,10456.4,0.139084,0.973739,0.00401967,10688.2,4663.9,2146.33,115307,-0.00228696,0.0951176,13.5003,14.2471,89.9753,75.453,0.837597,12.8302,12.1335,89.3141,125.404,0.661169,-49.9512 
28,47.2227,0,5,28,11012.2,-0.339501,21.8025,12.7372,89.5744,0.781788,-159.637,43.1807,-1.85233,-2.32319,-1.78551,-3.40289,-1.58041,-65.3516,527.064,27.1296,12517.1,13102.8,-1.44083,-1.91169,-0.962505,-2.99139,-1.16891,0.886434,613.634,28.8271,12603.7,0.0524255,0.924034,0.00419558,11704.9,6241.57,602.501,157642,-0.00160906,-0.0116463,9.32817,-8.71561,89.8312,56.4079,0.960208,12.8598,12.5649,89.3655,125.739,0.465796,-69.3311 
30,47.2227,1.4,30,30,10755.7,-0.332993,21.5674,12.5834,89.5814,0.0352205,-1121.15,0.374281,-0.021635,0.676019,-3.00528,-1.18458,-1.86986,-44.3375,1166.64,29.9037,11489.3,10120.2,0.257546,0.9552,-2.44692,-0.905399,-1.59068,0.344034,1225.38,31.0553,11548.1,0.107606,0.957532,0.00492942,11387.7,5341.33,1403.63,133693,-0.00230358,0.061889,14.7399,17.1048,90.194,79.9801,0.880074,13.0321,12.5352,89.4459,127.98,0.748103,-47.9997 
32,47.2227,1.4,75,32,8584.2,-0.312961,17.6504,12.5749,89.6341,-0.0831099,87.0814,153.188,0.226205,-1.79533,-2.24855,-2.16142,-0.153955,-45.2613,828.279,28.7597,9597.87,7460.88,0.511203,-1.51033,-1.67855,-1.87642,0.131043,0.6205,888.235,29.9354,9657.82,0.0946228,0.944306,0.00567737,9387.12,3739.93,740.632,92893.6,-0.00291052,0.025091,32.7258,29.3664,78.8252,88.865,0.742588,12.6301,12.3593,89.4259,126.357,-10.6007,-37.4919 
33,47.2227,1.4,50,33,9970.6,-0.0107469,19.6354,12.3999,89.4682,0.0132437,5.72937,500,-0.930538,-0.0147971,-0.199764,-0.607092,-1.38125,-58.7435,942.339,28.2215,10825.6,7928.48,-0.560646,0.355095,0.54002,-0.2372,-1.01135,1.59078,1020.15,29.7473,10903.4,0.0961037,0.951448,0.00500061,10615.1,4694.92,977.663,117417,-0.00273145,0.0342161,29.3248,20.9281,81.9873,82.0214,0.828169,13.0802,12.3582,89.3413,125.331,-7.35399,-43.3092 
34,47.2227,1.4,15,34,9787.73,-0.118853,19.9833,12.4093,89.4004,-0.00672939,24.6789,499.92,-3.12414,1.69609,0.199882,-2.61569,-0.462922,-34.1573,1314.88,25.0985,10523.4,8077.98,-2.90906,1.91117,0.630042,-2.40061,-0.247843,1.20888,1360.13,25.9857,10568.7,0.127585,0.967647,0.00450884,10660.6,4562.6,1566.56,113211,-0.00232068,0.0689346,14.8145,16.6771,89.2638,77.4441,0.821078,12.8476,12.3883,89.1826,125.828,0.0811501,-48.3834 
36,47.2227,0,5,36,10771.5,-0.0318246,21.6249,12.2609,89.6925,-0.00484374,10.71,2.51804e-12,-0.0261213,-1.5354,-1.84905,-2.82085,-0.999957,-76.662,395.939,25.8732,12322.8,8632.88,0.456599,-1.05268,-0.883606,-2.33813,-0.517237,0.796172,497.491,27.8644,12424.3,0.0435216,0.910732,0.00411435,11430.9,6215.32,520.692,157114,-0.001766,-0.0105355,9.59113,10.2069,90.3745,59.7925,0.962971,12.8518,12.4556,89.543,125.861,0.831546,-66.0686 
40,47.2227,1.4,150,40,8847.46,-0.286003,17.5855,12.7727,89.6677,2.14816,-62.6142,70.6044,-0.844659,-0.851657,0.447655,0.660981,-0.641006,-36.8798,683.877,28.1025,9708.91,11690.5,-0.612436,-0.619434,0.912099,0.893203,-0.408783,-4.53967,732.731,29.0604,9757.77,0.0786228,0.935099,0.00545619,9319.57,3762.29,651.041,93623.2,-0.00240327,0.0266501,30.2902,22.7932,76.8973,90.3654,0.736066,12.9552,12.4564,89.5676,125.55,-12.6703,-35.1847 
41,47.2227,1.4,10,41,10907.3,-0.36295,21.9457,12.6713,89.5145,0.115693,-284.22,233.781,-1.7423,-1.94605,-6.48802,-2.11716,-1.68533,-5.54384,1646.66,24.8915,11139.1,10122.9,-1.70739,-1.91114,-6.4182,-2.08225,-1.65042,0.533879,1654,25.0354,11146.4,0.144292,0.974195,0.00412041,11462.9,5113.02,2561.64,126476,-0.00231267,0.102504,13.7479,14.5966,90.4186,76.1523,0.851153,13.0467,12.6764,89.4012,125.936,1.01741,-49.7835 
43,47.2227,1.4,20,43,10245.8,-0.364793,21.0504,12.5376,89.5235,-0.143813,212.75,226.904,-1.51136,-0.134412,-4.0549,-1.15927,-0.817089,-36.9432,1440.15,32.4872,10771.1,9587.54,-1.27874,0.0982093,-3.58966,-0.926646,-0.584467,0.428517,1489.09,33.4468,10820.1,0.13524,0.96218,0.00566204,11010.7,4789.21,2005.9,118317,-0.00219132,0.0863056,13.706,15.235,89.8279,76.3416,0.837812,12.7926,12.48,89.3381,125.311,0.489824,-48.9692 
45,47.2227,1.4,1,45,10307.5,-0.316545,20.801,12.4893,89.9337,0.190235,68.7421,172.03,-1.5356,0.45002,-1.08161,-0.0660792,0.0349732,-36.4647,1629.74,28.7566,10452,8882.76,-1.30599,0.679629,-0.622398,0.163529,0.264582,0.241576,1678.04,29.7038,10500.4,0.15369,0.969953,0.005184,10918.4,4690.01,2542.91,115358,-0.00189235,0.105616,13.5472,13.1956,91.1065,74.602,0.837959,12.7631,12.1627,89.638,124.993,1.46844,-50.3907 
47,47.2227,1.4,200,47,9808.27,-0.310804,19.2693,12.8856,89.652,1.12712,-68.6156,176.01,0.632511,0.510082,-3.90517,-1.28448,-3.82267,-42.6027,675.613,38.3214,10923.8,10600.5,0.900769,0.77834,-3.36865,-1.01622,-3.55441,0.461891,732.048,39.428,10980.2,0.0704255,0.913864,0.0065712,10394.6,4614.07,738.717,115547,-0.00253089,0.0370596,-29.6198,-14.6006,78.3456,91.7172,0.811459,13.094,12.6544,89.4245,124.992,-11.0789,-33.2745 
50,47.2227,1.4,100,50,9863.09,-0.300129,19.765,12.5614,89.4639,-0.130004,171.843,0.60853,-2.07103,-0.0981907,-0.562799,-1.28973,-2.25343,-58.6006,787.725,31.5238,10788.4,8809.46,-1.70203,0.270802,0.175185,-0.920733,-1.88444,1.04314,865.352,33.0459,10866,0.0829881,0.937358,0.00557104,10427.4,4687.81,769.021,117591,-0.00250331,0.0325637,30.5002,18.0173,79.0875,89.9872,0.833309,12.7709,12.491,89.329,125.916,-10.2415,-35.9286 
52,47.2227,1.4,5,52,10157.4,-0.357595,20.6372,12.6726,89.3103,0.298483,313.049,38.9155,-1.97665,-1.13442,-3.20814,-3.16614,-2.20377,-55.4761,1477.61,26.8355,10743,11555.3,-1.62734,-0.785097,-2.5095,-2.81682,-1.85445,0.738408,1551.1,28.2764,10816.5,0.140123,0.969084,0.00479255,11069.6,4747.13,2025.31,117475,-0.00220565,0.0890502,13.8629,14.2673,89.8027,76.8013,0.834995,12.86,12.4097,88.9956,127.106,0.80716,-50.3049 
54,47.2227,0,5,54,11916.4,-0.367904,23.5164,12.7811,89.5744,2.33218,-1530.42,458.962,-0.906679,0.784346,-1.41651,-1.83561,-2.73118,-75.0064,438.067,33.4613,13543,125975,-0.434384,1.25664,-0.471922,-1.36332,-2.25889,0.855764,537.426,35.4095,13642.3,0.0428478,0.896618,0.00475855,12542.7,7284.91,603.909,184754,-0.00190888,-0.0130009,-8.33974,6.00581,83.072,70.6603,1.03069,13.0904,12.5649,89.4432,126.512,-6.37123,-55.8516 
56,47.2227,1.4,30,56,10686.5,-0.0124145,21.3528,12.3081,89.535,-0.0588825,117.442,500,-2.93103,-1.03194,-4.14935,-1.86682,0.118067,-43.6505,1018.11,23.8488,11590.2,8780.58,-2.65617,-0.757082,-3.59964,-1.59197,0.392923,0.561658,1075.93,24.9826,11648.1,0.094995,0.960953,0.00393537,11326.2,5424.31,1076.01,136182,-0.00300004,0.0349526,30.7378,21.9496,82.6251,83.6579,0.897437,12.861,12.4137,89.3397,126.494,-6.71457,-42.8364 
59,47.2227,1.4,50,59,10186.8,-0.064785,20.4163,12.6646,89.4575,1.18969,-429.93,38.4534,-0.441569,-0.882882,1.47711,-1.20829,-1.76859,-57.2289,976.594,32.2599,11198.3,25067.6,-0.081214,-0.522527,2.19782,-0.84793,-1.40824,4.31953,1052.4,33.7464,11274.1,0.0959032,0.946866,0.00548368,10973.6,4908.76,1051.6,122686,-0.00315816,0.0346327,29.9627,22.5501,81.4283,85.5508,0.831381,13.174,12.7116,89.2652,127.4,-7.83686,-41.8488 
60,47.2227,1.4,15,60,10709,-0.357453,21.8316,12.5117,89.1192,0.135446,91.4919,431.714,-0.301118,1.29979,-1.76338,-3.4254,-2.92056,-17.0354,1402.7,27.5129,11327.2,9295.4,-0.19385,1.40706,-1.54885,-3.31813,-2.81329,0.760502,1425.27,27.9554,11349.8,0.12488,0.966814,0.00451674,11413.1,5360.44,1910.41,133567,-0.00222003,0.0827918,13.7953,14.9418,89.7949,76.1528,0.898654,12.7691,12.2645,88.9243,125.807,0.870519,-49.6544 
62,47.2227,0,5,62,12098.4,-0.38473,23.8716,12.8364,89.6393,0.346789,-418.255,455.482,-0.251555,-1.64491,0.148611,-1.76626,-2.85503,-41.2728,495.008,29.1367,13742.2,14696.9,0.00832848,-1.38502,0.668379,-1.50638,-2.59515,1.13896,549.681,30.2087,13796.8,0.043313,0.912264,0.00401716,12690.9,7504.52,686.58,190181,-0.00106507,-0.00638997,-15.1359,5362.19,122.337,74.7947,1.04827,13.1419,12.428,89.5115,124.855,32.8251,-50.0599 
66,47.2227,1.4,150,66,9938.92,-0.290735,20.1338,12.5557,89.39,0.113566,35.2944,1.06863e-07,0.0935208,-0.467092,-2.25448,-2.17593,-2.38504,-47.219,551.375,33.7245,11270.9,8359.73,0.390846,-0.169767,-1.65983,-1.8786,-2.08772,0.692912,613.925,34.951,11333.5,0.0579864,0.909398,0.00564872,10587.4,5190.37,628.177,130487,-0.00154207,-0.137329,39.7234,-0.0890914,103.777,68.3879,0.878236,12.9209,12.3596,89.2602,126.338,14.5166,-57.9503 
67,47.2227,1.4,10,67,10970.2,-0.348391,22.121,12.5581,89.568,0.471169,-144.929,448.9,-0.227242,-0.458596,-2.59778,-0.604598,-1.83251,-31.0982,1434.47,25.6807,11474.2,11266.2,-0.0314249,-0.262779,-2.20615,-0.408781,-1.6367,0.514688,1475.66,26.4884,11515.4,0.127111,0.969544,0.00421942,11609.3,5489.79,1999.91,136844,-0.00224253,0.0855191,13.747,15.2194,90.3023,75.5724,0.902877,12.9576,12.2555,89.3205,125.002,0.981826,-49.4292 
69,47.2227,1.4,20,69,9899.87,-0.142422,20.1797,12.1467,89.5091,0.222791,10.7828,500,-0.795339,-1.74218,-4.51821,-1.51025,-1.53807,-55.2729,1290.85,23.5191,10397,8057.57,-0.4473,-1.39414,-3.82213,-1.16221,-1.19003,0.523176,1364.06,24.9548,10470.2,0.128955,0.968978,0.00437131,10577.8,4558.81,1639.45,113318,-0.00183916,0.0805167,13.5755,13.5787,90.8505,74.9202,0.834324,12.4921,12.3278,89.2575,124.773,1.59306,-49.8532 
71,47.2227,1.4,1,71,11382.6,-0.0268514,22.2469,12.5029,89.7773,0.0475181,13.4147,500,-2.88036,-0.910284,-3.34017,-1.62639,-1.85413,-24.7228,1580.28,30.9535,11674.2,9075.49,-2.72469,-0.754611,-3.02883,-1.47072,-1.69845,0.687017,1613.03,31.5956,11707,0.135376,0.966858,0.00494701,11915.2,5522.78,2405.68,137350,-0.0021015,0.101727,12.7402,14.3579,90.9782,76.7486,0.890368,13.1559,12.4666,89.5789,126.811,1.39925,-50.0628 
73,47.2227,1.4,200,73,9081.99,-0.000274162,17.8064,12.4958,89.5109,-0.0153223,4.16769,500,0.4686,-0.758257,-0.912189,0.159791,-1.31959,-45.9186,580.221,27.1583,10140.3,7245.35,0.757737,-0.46912,-0.333915,0.448928,-1.03045,0.46729,641.048,28.3509,10201.1,0.0666507,0.928164,0.00509351,9618.02,4061.8,593.084,101430,-0.384648,0.387322,1569,626.667,82.1298,75.3108,0.764016,12.8872,12.639,89.3315,125.183,-7.20173,-49.8722 
76,47.2227,1.4,100,76,9200.53,-0.353488,18.9459,12.6643,89.5711,0.643153,-116.294,5.32424,-1.58894,-0.683378,-4.77615,-0.648056,-0.522872,7.49737,844.313,31.5629,10197.9,10245.5,-1.63615,-0.730587,-4.87057,-0.695265,-0.570081,0.42717,834.381,31.3682,10187.9,0.0851431,0.938271,0.00563978,9799.75,4262.35,795.283,106406,-0.00284009,0.0315867,29.926,21.6959,80.5014,87.6698,0.792794,12.8967,12.3455,89.3933,125.877,-8.89186,-38.2071 
78,47.2227,1.4,5,78,11584.9,-0.370101,23.1331,12.6923,89.7015,0.092349,166.296,296.012,-2.44271,-2.07059,-3.94346,-2.44467,-1.37968,-11.3585,1624.19,27.4983,12024.3,10058,-2.37119,-1.99907,-3.80042,-2.37315,-1.30815,0.679343,1639.24,27.7933,12039.4,0.133992,0.971184,0.00423456,12233.9,5997.01,2327.09,149534,-0.00245948,0.0846597,14.82,17.1238,90.1012,77.6171,0.944233,13.0112,12.2024,89.5078,125.888,0.593403,-48.2707 
80,47.2227,0,5,80,11876.9,-0.360136,23.2769,12.8378,89.4059,-0.182701,709.001,174.185,-2.10175,-2.58436,-1.89983,-1.57906,-1.29506,-40.692,449.542,32.6852,13420.2,13944.5,-1.84552,-2.32813,-1.38738,-1.32283,-1.03883,0.824886,503.446,33.7422,13474.1,0.0407298,0.895023,0.00459188,12360.6,7207.95,584.156,182798,-0.00183093,-0.0134422,-6.98899,2.93941,93.6976,59.6223,1.02963,13.0899,12.4452,89.3337,125.997,4.36384,-66.375 
82,47.2227,1.4,30,82,10056.7,-0.347639,20.1873,12.7739,89.4968,0.239855,-2.42555,157.391,-2.26012,0.665486,-0.972529,0.0941884,-0.187854,-46.8902,1074.34,28.6697,10803.8,8413.48,-1.96487,0.960741,-0.38202,0.389443,0.107401,0.570429,1136.45,29.8876,10865.9,0.106226,0.956002,0.00504134,10698.4,4811.04,1125.94,120397,-0.00278002,0.0377446,27.7268,21.7725,83.3785,82.2086,0.850239,12.8636,12.2264,89.4031,125.974,-6.02452,-43.7659 
84,47.2227,1.4,75,84,10392.2,-0.325756,20.9711,12.5256,89.4453,-0.290278,166.637,441.882,-0.408056,1.07902,-1.31825,-1.73064,-0.0768939,-37.0998,789.526,35.3425,11421.3,10125.6,-0.174448,1.31263,-0.85104,-1.49703,0.156714,0.191931,838.671,36.3061,11470.4,0.0767127,0.929577,0.00579684,10932.6,5409.68,826.235,136052,-0.00276782,0.0345538,30.139,18.5389,77.6464,90.4609,0.907537,12.7834,12.1682,89.3482,126.194,-11.7018,-35.733 
85,47.2227,1.4,50,85,10569.5,-0.334974,21.2011,12.6207,89.3993,0.601757,217.788,55.708,-0.310691,0.245558,-1.17954,-0.44862,0.481464,-35.6013,974.963,38.1367,11405.5,12976.6,-0.0865197,0.46973,-0.731196,-0.224448,0.705636,6.48939,1022.12,39.0614,11452.7,0.0920792,0.937314,0.0062436,11100.5,5328.13,1049.21,133766,-0.00280065,0.0388419,28.1008,20.5695,81.6301,88.7312,0.893689,12.8606,12.232,89.2323,126.281,-7.60221,-37.5497 
86,47.2227,1.4,15,86,10979.7,-0.360335,22.3134,12.5197,89.2912,1.53678,-695.301,7.28324,-0.541642,0.986631,2.2009,-1.35551,0.0202731,-26.6652,1554.73,26.3682,11412.3,43878.1,-0.373738,1.15454,2.53671,-1.18761,0.188177,-0.0943174,1590.05,27.0608,11447.6,0.136322,0.971078,0.00433566,11663.9,5434.22,2502.41,134677,-0.00238691,0.102341,13.4762,13.921,89.6236,75.483,0.886138,12.9452,12.5457,89.0671,125.536,0.556503,-50.053 
88,47.2227,0,5,88,11711.6,-0.221765,22.7021,-12.7563,89.4198,-3.8414,1513.3,0.00288147,-1.97413,-0.0419613,-2.24688,-2.60368,-1.02293,-46.3884,348.373,31.5618,13358.9,198665,-1.68203,0.250134,-1.66269,-2.31158,-0.730833,0.729071,409.823,32.7667,13420.4,0.0335378,0.877256,0.00447749,12219.7,7090.03,544.909,179759,-0.00187637,-0.0133612,-8.59028,-8.53822,82.1314,67.7685,1.01811,13.2134,12.4105,89.222,126.473,-7.09058,-58.7045 
92,47.2227,1.4,150,92,8621.76,-0.00619898,17.3636,12.2692,89.675,-0.00145834,-6.10196,494.87,-1.16912,0.285806,0.851834,1.10583,-1.60242,-67.2479,624.775,29.9567,9627.53,6935.33,-0.745683,0.709248,1.69872,1.52927,-1.17898,0.15595,713.857,31.7034,9716.61,0.0770531,0.927885,0.00597452,9264.48,3735.33,646.01,93003.3,-0.00250907,0.0309889,30.8655,16.2005,78.0431,90.6148,0.731396,13.0004,12.64,89.4581,126.084,-11.4151,-35.4693 
93,47.2227,1.4,10,93,10577.7,-0.0404351,21.1037,12.3085,89.7066,-0.0339782,-25.1223,500,0.305422,1.42265,-2.15191,-2.59511,-1.69831,-32.9523,1511.27,29.4623,10947.1,8483.68,0.512914,1.63015,-1.73693,-2.38762,-1.49082,0.499777,1554.93,30.3182,10990.8,0.138501,0.967004,0.00505578,11226.8,5041.47,2154.31,125349,-0.00211536,0.0940795,13.1561,14.4882,90.6778,77.0875,0.866323,12.8563,12.3011,89.3997,126.708,1.27818,-49.6209 
95,47.2227,1.4,20,95,9661.88,-0.363234,20.0911,12.4962,89.2865,0.438099,528.081,356.337,-1.04212,0.0417522,1.16849,-1.76474,-2.06676,-28.9767,1353.1,26.4393,10255.7,15704.2,-0.859658,0.22421,1.53341,-1.58228,-1.88431,1.59698,1391.48,27.1919,10294.1,0.133152,0.966933,0.00484235,10450.3,4571.47,1913.1,113235,-0.00216783,0.087173,13.3316,14.1871,89.6886,76.0096,0.838501,12.6389,12.0645,89.0689,125.7,0.619695,-49.6899 
97,47.2227,1.4,1,97,10532.9,-0.389013,22.0325,12.3865,89.5713,-0.261126,148.529,444.194,-1.40335,1.62458,-1.53586,0.907538,-2.60359,-15.7504,1530.96,25.1151,11061.9,10146.6,-1.30417,1.72375,-1.3375,1.00671,-2.50441,0.44631,1551.82,25.5242,11082.8,0.137272,0.972021,0.00422453,11304.7,5191.11,2325.65,128868,-0.00232345,0.103626,12.9908,13.3852,90.7673,75.994,0.878799,12.7097,12.4324,89.3518,126.76,1.41548,-50.7659 
99,47.2227,1.4,200,99,9185.08,-0.32178,18.4438,12.7958,89.3161,-0.327647,948.963,3.26314,-2.85212,-0.407166,0.336721,-1.14972,-1.88581,-51.1032,513.354,32.0395,10470.6,17804.4,-2.53033,-0.0853824,0.980287,-0.827937,-1.56402,1.24341,581.049,33.3668,10538.3,0.0589614,0.908683,0.00579874,9854.74,4384.11,632.193,109721,-0.00135751,-0.013942,9.80374,6.8418,92.1243,55.4003,0.798491,12.9676,12.5299,89.2039,126.004,2.92046,-70.6036 
