cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
28,15,0.4,6,5,28,14211.9,0,5,101,125,0,5,135,-1.30452,-1.85711,-9.07333,-4.78717,3.35267,-123.598,7.96724,16819,-8.90436,16439.4,-0.826961,-1.37956,-8.11821,-4.30961,3.83023,0.2486,15.1903,17360.7,-1.6813,1.15316,0.000499739,1.00005,13.1727,251.898,516.072,6.4515e+10,23269.5,7.5758e-07,0.475926,106.918,74.7003,16.6479,23.6074,0.705199,251.899,516.071,0.475926 
29,15,0.4,4,7,29,16475.8,0,5,101,125,0,5,135,-1.725,-2.0022,-3.74973,-2.53772,-4.853,-153.55,9.88237,18976.6,-6.26976,16439.4,-1.13172,-1.40891,-2.56316,-1.94443,-4.25972,0.773331,18.8558,19649.6,2.70367,0.853196,0.000548045,0.999925,22.1002,220.181,495.908,247.888,24770.5,7.73531e-07,0.427182,106.862,74.011,16.3964,23.7576,0.690154,244.344,522.656,0.461988 
30,15,0.4,10,1,30,15732.8,0,5,101,125,0,5,135,-2.9659,-1.48011,-6.52983,-2.56624,-0.380537,-148.165,11.27,18401.6,-6.37428,16439.4,-2.39342,-0.90763,-5.38487,-1.99376,0.191943,0.486556,19.9288,19051,2.28447,0.879076,0.0005974,0.999935,22.6701,220.691,493.021,326.804,24038.2,7.65832e-07,0.430717,106.601,74.2455,16.4214,23.8225,0.689322,245.09,525.518,0.468623 
31,15,0.4,2,9,31,15206.3,0,5,101,125,0,5,135,-1.39355,-1.40746,-6.16098,-6.05741,-5.877,-76.8132,3.93724,17732.5,-5.56214,16439.4,-1.09676,-1.11067,-5.5674,-5.76062,-5.58021,0.708752,8.4262,18069.2,-1.07318,1.18041,0.000266403,1.00003,7.13838,233.626,504.053,2.28844e+06,24028.4,7.65728e-07,0.44815,106.967,74.214,16.0327,23.331,0.687187,233.627,504.055,0.448152 
32,15,0.4,5,6,32,14135.3,0,5,101,125,0,5,135,-1.53177,-5.18768,-2.41841,-0.931049,-2.04509,-110.848,-1.65196,16552.8,-22.4422,16439.4,-1.10347,-4.75939,-1.56181,-0.502753,-1.6168,0.83636,4.82602,17038.7,-15.9642,-0.336753,0.000161825,1.00051,-14.331,234.908,502.261,807.349,22065.6,7.44283e-07,0.461504,106.441,75.0293,16.5286,23.3203,0.708764,248.301,503.594,0.475107 
33,15,0.4,0.1,10.9,33,14476.5,0,5,101,125,0,5,135,-1.74012,-4.68145,-4.98752,-4.02271,-1.3693,-187.176,8.06028,17075.7,-14.2735,16439.4,-1.01691,-3.95824,-3.5411,-3.2995,-0.646087,0.715844,18.9988,17896.1,-3.33492,1.26685,0.000606271,1.0001,14.9969,230.24,524.384,758.634,23093.1,7.55661e-07,0.45982,107.081,74.2173,15.9656,23.5423,0.678168,231.674,513.226,0.456316 
34,15,0.4,3,8,34,15193.2,0,5,101,125,0,5,135,0.309089,-2.43953,-7.13426,-2.77421,-1.32514,-135.18,2.41917,17828.2,-27.6291,16439.4,0.831397,-1.91722,-6.08964,-2.2519,-0.802837,0.404739,10.3191,18420.7,-19.7292,-0.772623,0.000320005,1.00058,-13.3559,218.541,502.422,935.091,23402.7,7.59023e-07,0.436562,107.266,74.7401,15.9292,23.3328,0.682695,230.619,504.135,0.449227 
35,15,0.4,9,2,35,15239.1,0,5,101,125,0,5,135,-1.1392,-3.22802,-8.90746,-0.584674,1.66278,-142.089,14.6299,17770.3,-10.5737,16439.4,-0.590198,-2.67901,-7.80945,-0.0356691,2.21179,0.122784,22.9336,18393,-2.27004,1.13479,0.000711986,1.00007,20.2096,243.132,515.041,3.32314e+06,23908.2,7.64449e-07,0.462907,106.941,74.6045,16.3556,23.5838,0.693511,243.132,515.039,0.462906 
37,15,0.4,7,4,37,15747.5,0,5,101,125,0,5,135,-0.808538,0.211422,-4.16102,-2.1568,-3.01421,-155.406,10.6539,18236.3,-11.7676,16439.4,-0.208079,0.811882,-2.9601,-1.55634,-2.41375,0.532103,19.7358,18917.4,-2.6856,1.19516,0.000595795,1.00008,16.5131,244.522,513.397,3.03233e+07,25091.8,7.76862e-07,0.456081,106.73,74.8245,16.4024,23.5462,0.696602,244.523,513.4,0.456083 
38,15,0.4,1,10,38,16991.8,0,5,101,125,0,5,135,-0.928014,-1.61558,-8.03538,-0.505854,-1.38673,-100.989,5.80357,19756.4,-15.0603,16439.4,-0.537813,-1.22538,-7.25498,-0.115653,-0.996526,0.283837,11.7054,20199,-9.15852,16.3683,0.000331034,1.00025,0.715123,217.056,452.969,442.532,25060.2,7.76535e-07,0.403793,106.752,74.2456,16.3172,23.273,0.701122,241.991,501.555,0.44864 
39,15,0.4,6,5,39,16603.6,0,5,101,125,0,5,135,-2.27111,-2.33717,-10.8273,-1.94329,-0.505569,-162.318,6.6522,19100.4,-21.05,16439.4,-1.64394,-1.71001,-9.573,-1.31613,0.121595,0.322097,16.1381,19811.8,-11.5642,7.13741,0.000465251,1.00032,2.26105,209.926,457.126,241.032,24180.5,7.6734e-07,0.403704,107.186,74.4672,16.3092,23.4829,0.694515,241.753,510.639,0.457883 
40,15,0.4,4,7,40,16887.7,0,5,101,125,0,5,135,3.49315,-4.01916,-5.23786,-6.11651,-1.97238,-177.481,19.1598,19470.1,-17.3139,16439.4,4.1789,-3.33341,-3.86636,-5.43076,-1.28663,0.602972,29.5318,20248,-6.94197,1.39292,0.000832734,1.00019,21.2014,245.278,516.395,215.054,26343.7,7.89572e-07,0.450742,106.566,73.905,16.3793,23.4616,0.698132,243.835,509.714,0.446498 
41,15,0.4,10,1,41,14710.4,0,5,101,125,0,5,135,-1.6372,-1.79804,-3.88951,-2.07839,0.210294,-161.985,13.2513,17254.2,-17.3024,16439.4,-1.01132,-1.17216,-2.63775,-1.45251,0.836172,0.514902,22.7177,17964.2,-7.836,1.70624,0.000722113,1.00024,13.3145,228.514,499.767,374.051,22567.5,7.49884e-07,0.450657,107.241,74.707,16.3962,23.7199,0.691241,244.338,521,0.475796 
42,15,0.4,2,9,42,16230.2,0,5,101,125,0,5,135,0.261388,-1.46529,-2.72207,-1.12861,-0.788232,-78.9838,23.724,19112.8,-7.26051,16439.4,0.566565,-1.16011,-2.11171,-0.823434,-0.483054,0.473618,28.3398,19459,-2.6447,1.12611,0.000831528,1.00007,25.1662,192.49,432.406,972.273,23424,7.59253e-07,0.379982,106.655,74.0501,16.2841,23.7889,0.684524,241.01,524.037,0.468071 
132,15,0.4,0.1,10.9,132,16804.9,0,5,101,125,0,5,135,-2.74807,-2.4771,-7.49731,-0.611919,-3.15173,-122.01,4.35025,19733,-20.0256,16439.4,-2.27665,-2.00567,-6.55446,-0.140495,-2.68031,0.520086,11.4805,20267.8,-12.8953,-2.87453,0.000323577,1.00035,-3.99388,218.577,477.555,326.271,25368.2,7.79704e-07,0.414366,106.559,74.2238,16.0477,23.2588,0.689962,234.062,500.941,0.439167 
133,15,0.4,3,8,133,16493.1,0,5,101,125,0,5,135,-2.58003,-1.75529,-4.04888,-3.03882,-1.31704,-123.602,12.3102,19150.6,-13.6932,16439.4,-2.10246,-1.27771,-3.09373,-2.56125,-0.83947,0.686699,19.5335,19692.3,-6.46988,1.65965,0.000566499,1.00018,11.7697,242.953,513.601,3.90492e+10,25716.9,7.8326e-07,0.450992,106.615,74.5652,16.3497,23.5508,0.694229,242.954,513.599,0.450991 
134,15,0.4,9,2,134,14680.5,0,5,101,125,0,5,135,-1.62212,-4.70517,-7.64095,-3.70791,-1.32566,-147.907,19.3928,17538.9,-15.8546,16439.4,-1.05064,-4.13369,-6.49798,-3.13643,-0.754173,0.582738,28.0365,18187.2,-7.21088,1.44641,0.00088011,1.00022,19.3834,222.617,492.715,446.278,22435.2,7.48416e-07,0.442521,107.011,74.6978,16.2807,23.7668,0.685019,240.909,523.063,0.474308 
