cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
155,140,0.75,10,0.01,155,7.22187e-07,7.45048e-07,1.02865e-29,15.5243,0.969316,1062.49,2846.28,2770.88,5.21833,21.2138,20.3795,-1.7563,-1.75118e-29,5.09118e-13,0.183,0.177985,36917.6,60905.6,2.82826,43.9067,2.50504,38.889,3.05309,0.0066,1.17407,3.7,22.0708,3.45645e-29,52.1645,3.26028,3.36018 
156,140,0.75,10,0.01,156,7.29447e-07,7.20028e-07,9.94107e-30,15.003,1.01308,1062.49,2846.28,2770.88,5.1995,21.2203,20.3856,-1.88257,-1.89596e-29,3.96677e-15,0.160294,0.156345,33321.9,54211.4,2.96437,44.4743,2.63716,39.5652,3.18305,0.0066,1.1612,3.7,20.8511,3.39074e-29,51.1728,3.1983,3.41084 
157,140,0.75,0.01,10,157,6.85405e-07,7.16131e-07,9.88726e-30,14.9218,0.957096,1062.49,2846.28,2770.88,5.12732,21.2453,20.4089,-1.72013,-1.62777e-29,-7.46223e-13,0.1901,0.184732,32783.7,49992.8,2.7902,41.6347,2.46875,36.838,3.01581,0.0066,1.17545,3.7,16.2377,3.11428e-29,47.0004,2.93752,3.14979 
158,140,0.75,10,0.01,158,7.4218e-07,6.98656e-07,9.646e-30,14.5577,1.0623,1062.49,2846.28,2770.88,5.23939,21.2064,20.3727,-2.01884,-2.06869e-29,-2.34655e-13,0.139031,0.135986,30442,49078.6,3.11709,45.3775,2.78964,40.6107,3.32297,0.0066,1.10584,3.7,23.4421,3.52754e-29,53.2373,3.32733,3.657 
159,140,0.75,0.01,10,159,6.72049e-07,7.35848e-07,1.01595e-29,15.3326,0.913299,1062.49,2846.28,2770.88,5.12593,21.2458,20.4093,-1.58704,-1.47255e-29,2.01873e-13,0.218781,0.211896,35566.9,57781.5,2.65366,40.6875,2.34083,35.891,2.8784,0.0066,1.17898,3.7,16.1499,3.10847e-29,46.9128,2.93205,3.05968 
160,140,0.75,0.01,10,159,7.2307e-07,7.10438e-07,9.80867e-30,14.8031,1.01778,1062.49,2846.28,2770.88,5.16337,21.2328,20.3973,-1.89584,-1.89263e-29,-1.45908e-13,0.158083,0.154233,32008.1,51187.4,2.97897,44.0981,2.65154,39.2511,3.19669,0.0066,1.20111,3.7,18.5299,3.25796e-29,49.1688,3.07305,3.32151 
161,140,0.75,0.01,10,159,6.84533e-07,7.02751e-07,9.70254e-30,14.643,0.974075,1062.49,2846.28,2770.88,5.15062,21.2372,20.4014,-1.77027,-1.67309e-29,-3.75297e-13,0.180331,0.175447,30980.4,48786.2,2.84307,41.6311,2.51925,36.8893,3.06749,0.0066,1.13896,3.7,17.7167,3.20861e-29,48.424,3.0265,3.30698 
162,140,0.75,0.01,10,159,6.83496e-07,7.18474e-07,9.91961e-30,14.9706,0.951317,1062.49,2846.28,2770.88,5.12347,21.2466,20.4101,-1.70289,-1.60696e-29,6.82029e-13,0.193585,0.18804,33106.6,55954.2,2.7722,41.5015,2.45168,36.703,2.99803,0.0066,1.19359,3.7,15.9939,3.09809e-29,46.7561,2.92226,3.1232 
163,140,0.75,0.01,10,159,6.98474e-07,7.0037e-07,9.66966e-30,14.5934,0.997293,1062.49,2846.28,2770.88,5.17372,21.2293,20.3939,-1.83759,-1.77208e-29,1.18253e-13,0.168028,0.163727,30666.5,49187.5,2.9153,42.544,2.58911,37.7839,3.1368,0.0066,1.20999,3.7,19.1924,3.29701e-29,49.7581,3.10988,3.40964 
164,140,0.75,0.01,10,159,6.79118e-07,7.39577e-07,1.0211e-29,15.4103,0.918252,1062.49,2846.28,2770.88,5.12746,21.2452,20.4088,-1.60237,-1.50242e-29,5.65442e-13,0.21526,0.208568,36110.4,60533.5,2.66912,41.1319,2.35513,36.2932,2.89425,0.0066,1.15726,3.7,16.2467,3.11487e-29,47.0093,2.93808,3.05051 
