cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
27,-15,47.2009,2.1,27,19833.5,-0.0421745,36.4757,11.9421,122.429,0.0586713,-102.843,97.7051,2.53764,-2.38053,4.04373,-2.9102,-0.441504,-23.0018,1025.38,58.0565,18517.2,14376.5,2.68248,-2.2357,4.33341,-2.76536,-0.296668,-1.52213,1050.22,59.0703,18542,0.0562663,0.91039,0.00583425,18665.2 
28,40,47.2559,2.5,28,20981.5,-0.0424368,39.0536,11.7944,122.447,-0.0652295,224.482,9.12314e-10,2.26561,4.42376,-3.76351,-2.66993,3.26153,4.76988,1418.54,62.3526,19271.6,15471.1,2.23557,4.39373,-3.82358,-2.69997,3.23149,2.14573,1413.38,62.1423,19266.4,0.0716854,0.928555,0.00590647,19716.5 
29,-30,47.1859,2.3,29,18564.7,-0.0352536,33.7184,12.078,122.587,-0.0143625,36.7665,411.176,0.525569,1.35424,-3.5826,-0.272523,1.46945,19.7557,1193.65,49.8144,17102.9,13274.5,0.401172,1.22984,-3.83139,-0.39692,1.34505,-2.05964,1172.32,48.9436,17081.6,0.0673751,0.931913,0.00525044,17399.8 
30,10,47.2259,2.1,30,19700.4,-1.99241,34.8245,-13.5343,122.361,1.31292,-7.23848,1.01796e-13,2.3947,0.915414,2.87183,0.601247,1.90244,-2.85986,1059.87,41.9551,18241,15652.5,2.41271,0.933421,2.90784,0.619255,1.92045,0.669325,1062.96,42.0812,18244.1,0.0577856,0.935209,0.00423095,18394.9 
31,130,47.3459,10,31,17707.3,-0.0301967,31.2144,-12.4319,122.495,-0.0218615,22.6398,75.1592,1.99754,-0.491291,-1.84605,1.79346,5.81198,6.42121,612.752,39.2214,16836.5,12648.6,1.95711,-0.531724,-1.92692,1.75303,5.77155,1.27437,605.817,38.9383,16829.5,0.0365085,0.898893,0.00424398,16593.9 
32,110,47.3259,7,32,17050.1,-0.00120934,31.5384,11.9549,122.195,-0.0114577,-2.87092,7.20734e-11,1.42897,1.0567,-1.88574,-4.21483,0.290909,-54.8512,491.143,41.7285,16487.2,12275,1.77436,1.40209,-1.19497,-3.86945,0.636293,0.0453092,550.377,44.1461,16546.4,0.0338288,0.876909,0.00489074,16269.5 
33,-200,47.0159,10,33,20381.3,-0.0406121,37.1394,12.0443,122.285,-0.0293428,218.611,301.019,1.59845,0.760905,4.22757,0.315161,1.6919,4.26147,188.386,56.6902,19889.6,14770.5,1.57162,0.734072,4.1739,0.288328,1.66506,0.505051,183.784,56.5024,19885,0.00963506,0.650187,0.00520701,19074.5 
34,-50,47.1659,2.5,34,18824.7,-0.0527223,35.308,11.7503,122.418,-0.00749531,59.1407,0.0800535,2.52436,1.69971,2.14923,5.22343,0.371536,-31.64,704.65,48.8364,17891.1,13520.2,2.72359,1.89894,2.54769,5.42266,0.570764,0.80646,738.818,50.231,17925.3,0.0415817,0.893671,0.00513551,17767.9 
35,15,47.2309,2.1,35,17981.8,-0.00478817,33.5195,11.6688,122.375,0.00594904,-23.7213,477.801,-1.34709,-1.14432,-2.28173,-2.26226,0.846422,-19.9958,928.427,34.1811,16605.8,12737.3,-1.22118,-1.01841,-2.02991,-2.13635,0.97233,0.62641,950.02,35.0624,16627.4,0.0567311,0.939331,0.00386945,16746 
36,35,47.2509,2.3,36,19599.1,-0.00999079,35.0827,12.0681,122.417,-0.0176192,19.9155,259.449,-0.375486,-3.04904,-1.85446,-0.0394257,1.4648,-101.433,1204.54,54.0959,17845.4,13793.9,0.263209,-2.41035,-0.577073,0.59927,2.10349,-25.9064,1314.07,58.5668,17955,0.0715285,0.927648,0.00597282,18371.3 
37,-20,47.1959,2.3,37,20299.6,-0.00656465,37.4938,11.7801,122.315,-0.019081,3.40296,310.638,2.01451,1.06687,1.8613,-0.220772,0.440138,-29.073,1398.19,52.9892,18536,14380.3,2.19758,1.24993,2.22743,-0.0377074,0.623203,0.644205,1429.59,54.2706,18567.4,0.0749705,0.937704,0.00535544,19068.7 
38,-100,47.1159,7,38,18440.8,0.00953393,33.5304,11.9017,121.966,-0.0261574,-6.74984,500,0.742852,-0.785013,4.5835,1.00961,-0.155131,-32.212,202.15,61.0535,17762.4,12996.8,0.945683,-0.582182,4.98916,1.21244,0.0476996,0.245529,236.936,62.4733,17797.2,0.0138201,0.684263,0.00642479,17144.3 
39,-25,47.1909,2.3,39,20437,0.0347036,37.2072,11.9655,122.581,0.00190161,-66.0492,5.94975e-11,-0.245793,-1.24845,4.24405,2.94537,-0.233116,-47.5647,1237.99,60.3957,18779.2,14496.9,0.0537094,-0.948952,4.84305,3.24487,0.0663863,0.332828,1289.35,62.4922,18830.6,0.0672292,0.921813,0.00607616,19178.4 
40,140,47.3559,10,40,16498.3,-0.0172157,29.4253,12.1577,122.129,-0.0215301,6.36922,9.51311e-11,0.31002,0.245721,4.27474,-1.52408,-1.65975,-71.4515,518.072,36.2418,15661.6,11650.2,0.759931,0.695631,5.17456,-1.07417,-1.20984,-0.190617,595.232,39.3912,15738.7,0.0382859,0.896209,0.00458929,15547 
41,70,47.2859,2.7,41,19694.6,0.010712,35.7299,11.9397,122.289,-0.0366124,106.069,14.7707,-2.49814,-0.239311,1.35019,0.322186,2.02936,-29.5781,731.183,53.2747,18385.1,14013.8,-2.3119,-0.053065,1.72268,0.508432,2.21561,0.172488,763.124,54.5784,18417.1,0.0417936,0.888763,0.00542938,18259.4 
42,160,47.3759,10,42,16448.6,-0.000542222,29.7674,12.0048,122.26,-0.0220576,1.71187,0.361992,0.444968,2.3356,0.215483,1.85727,1.7114,7.06194,435.655,45.8613,15681.2,11634.2,0.400501,2.29113,0.126548,1.8128,1.66693,0.979906,428.028,45.5501,15673.6,0.0279429,0.843005,0.00532495,15317.9 
43,180,47.3959,10,43,22273.5,0.0354626,38.8592,12.3971,122.419,-0.0385731,-14.0675,8.46376e-10,1.0565,-1.30017,1.5694,2.16658,0.732312,24.0478,528.362,62.9624,21139.7,15699.9,0.905076,-1.45159,1.26655,2.01516,0.580889,0.618058,502.393,61.9024,21113.7,0.024435,0.822621,0.00537178,20560.4 
44,0,47.2159,2.1,44,18874,-0.0208421,35.1333,11.806,122.133,-0.0199986,59.1189,1.03994,0.177636,-0.346435,2.00227,1.27242,1.47734,7.32686,1119.02,51.2403,17542.8,13541.1,0.131501,-0.39257,1.91,1.22629,1.43121,0.556477,1111.11,50.9173,17534.9,0.0625299,0.925759,0.00532059,17769.3 
45,60,47.2759,2.7,45,18320.7,0.0069771,33.3066,11.857,122.395,0.0729139,-99.7938,6.16411e-11,1.06199,-1.13675,0.253534,3.16288,4.98148,-56.2839,872.029,25.4028,16947,13092.7,1.4164,-0.782344,0.962344,3.51728,5.33588,0.907906,932.81,27.8836,17007.8,0.0545815,0.950289,0.00301097,17090.2 
46,30,47.2459,2.3,46,18885.6,-0.00664876,34.7565,11.9096,122.473,-0.0148816,-17.1585,4.60974e-10,-0.538566,1.15989,3.34831,1.02536,1.58884,0.244082,1299.7,34.7089,17183.6,13483.3,-0.540103,1.15835,3.34523,1.02382,1.5873,0.491189,1299.44,34.6982,17183.3,0.0737328,0.955357,0.00370597,17623.6 
47,200,47.4159,10,47,15147.4,-0.0296876,27.2936,12.0388,122.334,0.0277327,-22.4335,5.90272e-11,1.85463,-2.92633,5.60778,5.76792,0.00210402,-30.411,216.031,41.3642,14583.5,10716.7,2.04612,-2.73484,5.99076,5.95941,0.193594,0.477019,248.872,42.7046,14616.3,0.0176075,0.769061,0.00535327,14134.4 
