cyc,time,chargetime,decoherencetime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
45,0.4,0.5,1.2,2.4,45,15629.4,0.0998053,27.2461,12.0449,122.45,-0.0903895,50.6915,289.463,0.514527,2.06377,0.993247,0.59693,2.23972,-95.2483,2098.41,39.9186,12765.7,10832.4,1.11428,2.66353,2.19275,1.19668,2.83948,0.780872,2201.27,44.1169,12868.5,0.152587,0.966116,0.00627562,14426.4 
46,0.4,0.5,1.2,2.4,46,16589,0.0891039,29.0388,12.0609,122.133,-0.0126219,-35.0668,13.4402,-0.701169,1.72868,-2.39483,-1.34857,0.504091,-76.7967,2068.62,38.2387,13700.9,11415.7,-0.217601,2.21224,-1.4277,-0.864999,0.987659,3.0703,2151.55,41.6237,13783.9,0.14112,0.967253,0.0055319,15246.2 
47,0.4,0.5,1.2,2.4,47,17065.1,-0.0209801,30.3466,12.15,122.201,0.00195159,-12.306,6.7782e-11,1.03315,-3.12528,-3.69713,-2.62707,3.56937,-57.0063,1335.28,37.066,15049.6,12003.5,1.39211,-2.76633,-2.97922,-2.26811,3.92833,-0.106191,1396.84,39.5787,15111.2,0.0886745,0.952757,0.00480161,15752.5 
48,0.4,0.5,1.2,2.4,48,16229.4,-0.00539199,29.3829,11.9897,122.225,-0.017051,-9.46553,1.53074e-10,-0.405914,1.88394,-0.379784,-0.825624,5.73106,1.03096,1953.65,38.211,13717.9,11473.6,-0.412405,1.87745,-0.392768,-0.832115,5.72457,1.06585,1952.54,38.1656,13716.8,0.130313,0.966925,0.00509934,14983.5 
49,0.4,0.5,1.2,2.4,49,15647.4,0.0645556,28.5391,11.6529,122.215,-0.025415,-46.8254,282.307,1.17039,2.61659,-7.13743,0.492239,-1.52374,-34.4627,1899.11,28.8125,13104,10864.8,1.38739,2.83359,-6.70342,0.709242,-1.30674,-1.17648,1936.33,30.3315,13141.2,0.134277,0.973319,0.00423381,14420.5 
50,0.4,0.5,1.2,2.4,50,14851.5,-0.00455299,26.8601,11.9033,122.566,0.0103602,-27.4111,500,1.74976,-0.752463,0.531776,-1.01207,0.403225,-20.9543,2511.69,26.3582,11786.2,10417.3,1.8817,-0.620519,0.795664,-0.880123,0.535169,0.535214,2534.32,27.2818,11808.9,0.184278,0.98151,0.00423775,13752.7 
51,0.4,0.5,1.2,2.4,51,15223.7,0.025759,26.7803,12.1826,122.269,0.0103638,-16.8719,3.78189e-10,1.80715,2.07391,-2.91092,0.318186,-3.84555,-53.8819,2494.59,40.1795,12098.9,10626.3,2.14643,2.41319,-2.23236,0.657466,-3.50627,-3.28028,2552.78,42.5544,12157.1,0.181022,0.971655,0.00640675,14102 
52,0.4,0.5,1.2,2.4,52,15783.3,0.00781837,28.8148,12.058,122.253,0.00454896,-7.39321,500,1.74473,2.93667,6.99413,1.11625,2.82965,18.1891,2194.53,41.4415,13323.7,11311.7,1.6302,2.82214,6.76507,1.00172,2.71512,0.54701,2174.88,40.6398,13304.1,0.146815,0.968335,0.00559556,14813.8 
53,0.4,0.5,1.2,2.4,53,15439.4,0.042246,27.6452,-11.9578,122.238,0.0225552,-49.3445,339.869,0.0728781,3.20595,8.98084,5.04052,1.40409,-54.9102,2288.36,46.9467,12609.2,10797.6,0.418633,3.55171,9.67235,5.38628,1.74984,0.534509,2347.66,49.367,12668.5,0.163228,0.964507,0.00712722,14382.7 
54,0.4,0.5,1.2,2.4,54,16503.5,0.00456184,29.6034,-11.9975,122.324,-0.0248145,1.49512,4.46401e-12,-1.01283,-0.42304,0.0875163,4.42695,0.422032,-14.2039,1473.31,42.3089,14472.7,11563.1,-0.923395,-0.333602,0.266392,4.51638,0.51147,0.934016,1488.65,42.935,14488,0.0976019,0.951952,0.00542941,15252.2 
55,0.4,0.5,1.2,2.4,55,17176.8,0.00358327,30.7954,11.9279,122.215,0.00714034,-13.7238,4.41016e-11,-1.10947,-1.8661,2.95517,-0.896693,0.110886,-69.3015,1866.09,52.8583,14634.2,11960.8,-0.6731,-1.42973,3.82791,-0.460319,0.547259,-1.11251,1940.93,55.9129,14709,0.12196,0.952007,0.00695364,15914.5 
56,0.4,0.5,1.2,2.4,56,17865.9,-0.0217855,31.8703,-12.1752,122.275,0.00982538,-11.9161,500,0.325777,0.599462,8.31112,2.30223,2.50294,39.0181,1528.39,44.78,15692.2,12635.4,0.0800906,0.353775,7.81975,2.05654,2.25726,0.377776,1486.26,43.0602,15650.1,0.0908813,0.951745,0.00504287,16353.8 
57,0.4,0.5,1.2,2.4,57,15027.1,-0.0464415,28.2788,11.7289,121.881,-0.03407,34.4392,486.979,3.81464,2.39626,-0.590209,-1.71949,1.54448,-43.1087,2579.59,35.3589,12128.3,10835.4,4.08609,2.66771,-0.0473213,-1.44805,1.81593,1.00669,2626.14,37.259,12174.9,0.18504,0.975773,0.00560582,14192.3 
58,0.4,0.5,1.2,2.4,58,16899.7,0.0291419,30.9801,11.7425,122.085,-0.0618969,18.1504,177.723,-3.26052,-1.00347,0.710893,-0.436322,1.67879,-38.7277,2912.16,53.4555,13416.6,11878.9,-3.01666,-0.759611,1.19861,-0.192464,1.92265,2.41433,2953.98,55.1625,13458.4,0.18768,0.968355,0.00749372,15739.5 
59,0.4,0.5,1.2,2.4,59,17235,0.0205648,31.4388,11.9167,122.288,0.00512534,27.398,1.48651e-11,0.877546,2.349,3.04981,5.56452,1.7408,-19.0886,1796.05,36.4158,15040.7,12200.5,0.997742,2.46919,3.29021,5.68471,1.86099,0.769962,1816.67,37.2572,15061.3,0.112662,0.965354,0.00453614,16124.9 
60,0.4,0.5,1.2,2.4,60,17204.2,0.00741821,31.2083,11.8684,122.04,-0.0343064,-42.043,8.70676e-11,1.28557,5.21122,3.40452,3.20159,-3.12915,-53.8404,2678.74,46.9047,14020.6,12104.4,1.62459,5.55023,4.08256,3.54061,-2.79013,0.66001,2736.88,49.2779,14078.7,0.169869,0.969454,0.00640637,16111.7 
61,0.4,0.5,1.2,2.4,61,16474.6,0.082759,29.4364,11.838,122.456,-0.0721976,-8.50523,294.731,1.47216,5.17955,-1.6231,2.77373,-2.07714,6.74173,2752,43.3617,12925.1,11363.8,1.42971,5.1371,-1.70801,2.73128,-2.1196,1.31222,2744.72,43.0646,12917.9,0.182778,0.973276,0.00610359,15016.7 
62,0.4,0.5,1.2,2.4,62,16249.6,-0.0696555,30.5509,11.7146,122.508,0.0355289,23.4278,0.00047797,-1.60162,0.732118,3.18088,-4.73774,-2.39796,-12.5385,2506.67,35.4952,13414,11677.7,-1.52267,0.811069,3.33878,-4.65879,-2.31901,1.76743,2520.21,36.0479,13427.6,0.164974,0.97558,0.00492101,15276.4 
63,0.4,0.5,1.2,2.4,63,15588.7,0.00732757,28.2399,11.7689,122.356,-0.0240926,-13.9609,500,0.798176,-1.77716,1.40341,1.31151,2.96382,-9.95417,2753.48,49.2859,12027.4,10830.1,0.860855,-1.71448,1.52877,1.37419,3.0265,0.698814,2764.23,49.7247,12038.2,0.194658,0.969481,0.00755153,14200.5 
