cyc,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
289,0.28,289,3.45993e-07,6.79486e-07,9.38132e-30,14.1582,0.509199,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0102964,4.91853e-32,-2.79956e-14,28004.2,38076.5,1.39636,19.7699,1.33398,18.8868,1.22908,0.0066,1.36988,6.683e-06 
290,0.28,290,3.3815e-07,6.98306e-07,9.64117e-30,14.5504,0.484243,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.144856,6.76284e-31,4.65419e-13,30396.2,41310.1,1.32355,19.2582,1.2831,18.6696,1.35963,0.0066,1.4502,6.683e-06 
291,0.28,291,3.49583e-07,7.23867e-07,9.99407e-30,15.083,0.482939,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.152093,7.34081e-31,-3.82736e-13,33857.8,45171.2,1.3198,19.9064,1.28048,19.3135,1.36669,0.0066,1.38316,6.683e-06 
292,0.28,292,3.56161e-07,6.81726e-07,9.41225e-30,14.2049,0.52244,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0583011,-2.86686e-31,-8.51659e-13,28282.1,36600.5,1.4356,20.3925,1.36156,19.3408,1.16298,0.0066,1.40015,6.683e-06 
293,0.28,293,3.45024e-07,7.04355e-07,9.72469e-30,14.6764,0.489844,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.114012,5.43107e-31,8.82166e-14,31193,42211.6,1.33974,19.6626,1.2944,18.9971,1.32959,0.0066,1.41759,6.683e-06 
294,0.28,294,3.7489e-07,7.12459e-07,9.83657e-30,14.8453,0.526192,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0774146,-4.00692e-31,-5.48785e-13,32282.1,42666.9,1.44679,21.478,1.36945,20.3298,1.14461,0.0066,1.39402,6.683e-06 
295,0.28,295,3.4796e-07,6.96696e-07,9.61894e-30,14.5168,0.499443,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0620378,2.98037e-31,-3.75414e-14,30186.4,40679,1.3677,19.8546,1.31392,19.0739,1.27913,0.0066,1.41799,6.683e-06 
296,0.28,296,3.27479e-07,7.13727e-07,9.85407e-30,14.8717,0.458829,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.289987,1.31113e-30,-3.61536e-13,32454.7,43153.3,1.25129,18.6088,1.2328,18.3339,1.50205,0.0066,1.4022,6.683e-06 
297,0.28,297,3.59704e-07,6.96956e-07,9.62252e-30,14.5222,0.516107,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0257195,-1.2773e-31,-2.70999e-13,30220.2,41055,1.41678,20.5748,1.34832,19.5806,1.19434,0.0066,1.34966,6.683e-06 
298,0.28,298,3.42546e-07,6.74097e-07,9.30693e-30,14.0459,0.508154,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0158061,7.47529e-32,-7.40382e-13,27343.2,35536.4,1.39331,19.5703,1.33182,18.7067,1.23443,0.0066,1.41619,6.683e-06 
299,0.28,299,3.6047e-07,6.67516e-07,9.21606e-30,13.9088,0.540018,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.146658,-7.29891e-31,-1.80719e-13,26550.1,35752.7,1.48829,20.7003,1.39879,19.4554,1.07823,0.0066,1.38744,6.683e-06 
300,0.28,300,3.30661e-07,7.17768e-07,9.90987e-30,14.9559,0.460679,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.279117,1.27425e-30,-2.46222e-13,33009.1,43713.9,1.25648,18.7918,1.23641,18.4917,1.49132,0.0066,1.42116,6.683e-06 
301,0.28,301,3.66014e-07,6.69302e-07,9.24072e-30,13.946,0.546859,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.180256,-9.109e-31,7.57428e-14,26763.8,36555.1,1.50897,21.0442,1.41347,19.7122,1.04612,0.0066,1.41686,6.683e-06 
302,0.28,302,3.44935e-07,7.10806e-07,9.81375e-30,14.8108,0.485273,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.139156,6.62708e-31,-2.61308e-13,32057.9,43031.3,1.32652,19.6469,1.28517,19.0345,1.35407,0.0066,1.38961,6.683e-06 
