cyc,time,charge time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
37,0.6,0.1,3,37,9983.38,-0.297215,19.3497,12.949,91.9119,0.313839,-69.3165,0.701268,1.08497,0.700063,-0.250497,-0.0350433,0.750719,-6.26195,1615.94,22.1736,10005.9,8864.69,1.1244,0.739492,-0.171638,0.00438652,0.790149,1.06902,1623.91,22.3363,10013.9,0.155604,0.976495,0.00409205,10436.1,4117.36,2459.72,100578,-8.27185e-05,0.765179,13.2218,12.1909,91.8012,113.366,36510.8,5.38813,13.343,100.232,251.919,-8.43123,-138.553 
38,0.6,0.1,3,38,10367.8,-0.273334,19.2832,13.2862,91.9556,0.0352466,-57.9318,357.606,1.32283,1.73421,3.32165,-0.256195,1.26089,4.42773,1641.16,19.858,10200.5,8406.66,1.29495,1.70633,3.26589,-0.284076,1.23301,0.547416,1635.53,19.743,10194.9,0.154193,0.979312,0.00355467,10607,4158.75,2310.59,101924,0.000163915,0.763067,13.273,12.3544,91.8966,113.386,-113763,5.24347,10.3132,100.135,229.27,-8.23835,-115.884 
39,0.6,0.1,3,39,10101.9,-0.0112415,18.853,-12.8556,91.8885,-0.0208884,12.9026,500,0.691997,0.426469,0.197735,0.731352,0.831948,-9.98845,1593.22,17.4216,10024.6,7898.58,0.754891,0.489364,0.323524,0.794247,0.894843,0.900664,1605.93,17.681,10037.3,0.153843,0.981097,0.00323443,10438.8,4049.22,2126.61,99228.1,4.87626e-05,0.754962,13.213,12.3543,91.6821,113.965,-97594.8,5.19316,10.7343,100.114,229.687,-8.43235,-115.721 
40,0.6,0.1,3,40,9464.71,-0.301167,18.0537,13.2793,92.0869,-1.49506,476.524,476.865,-1.93014,-1.20368,-3.40288,1.72502,1.69226,-20.1222,1682.03,22.0491,9471.36,30996.3,-1.80343,-1.07698,-3.14947,1.85172,1.81896,-0.334978,1707.64,22.5717,9496.97,0.169661,0.977391,0.0043591,10065,3633.8,2525.6,87608.5,-3.6253e-05,0.70502,13.35,12.3698,91.7776,114.011,5091.94,-3.25438,78.5407,92.148,892.408,-0.37036,-778.397 
41,0.11,0.61,3,41,10689.1,-0.258671,19.7224,13.2599,91.8589,-0.585337,266.175,481.032,-1.11168,-2.57236,1.45709,1.24484,-0.674575,-22.1082,1651.03,19.3302,10444.8,13585.1,-0.972474,-2.43315,1.73551,1.38405,-0.535366,3.11277,1679.17,19.9044,10473,0.154117,0.979677,0.00348881,10895.4,4292.45,2427.62,104955,0.000140375,0.760173,13.5754,12.5344,91.7663,114.024,-178454,5.15273,10.5021,100.013,230.744,-8.24653,-116.72 
42,0.05,0.66,3,42,10053.4,-0.301731,19.1383,13.1982,91.8555,-0.0796085,41.7065,235.493,-0.523242,-0.54171,-1.76384,1.83937,0.22005,-7.25147,1644.05,20.6022,10093.7,8330.77,-0.477581,-0.496049,-1.67252,1.88503,0.26571,-2.37607,1653.28,20.7905,10102.9,0.156801,0.978467,0.00377651,10543.8,4048.79,2483.76,98483.4,-0.000140266,0.739159,13.4754,12.5378,91.8339,113.719,876547,5.08668,7.9839,99.987,236.318,-8.15313,-122.599 
43,0.02,0.68,0,43,10929.3,-0.251083,20.4781,12.9833,91.803,-0.576482,212.609,487.16,-1.0307,-1.09212,-1.61353,-1.84585,-0.539039,-5.9335,489.011,22.7951,11933.2,12645,-0.993335,-1.05476,-1.53881,-1.80849,-0.501677,0.739055,496.563,22.9492,11940.8,0.0451239,0.925174,0.00352789,11004.4,5680.09,515.074,143191,-0.00118568,0.911418,13.2838,12.2345,91.811,113.856,32968.1,5.4034,10.3544,100.083,231.76,-8.27172,-117.904 
44,0.09,0.63,3,44,11367.9,-0.00198434,20.8032,13.1579,91.624,0.00174282,-3.71336,2.58558e-12,-0.665429,0.914978,-6.04528,-1.30759,-0.149486,17.0181,1738.34,29.3193,11345.3,8910.96,-0.772587,0.80782,-6.2596,-1.41475,-0.256645,0.20722,1716.68,28.8772,11323.6,0.146958,0.971404,0.00467574,11681.5,4871.42,2602.49,119986,0.015326,-0.0239162,-74.4067,-44.9076,124.692,7.21822,-8.38468e+06,16.7662,15.2093,96.6148,252.996,28.0772,-245.778 
45,0.1,0.62,3,45,10331.8,-0.125355,19.1646,13.2497,91.5955,-0.249805,172.567,0.000497736,-0.642358,2.57935,-1.63423,-1.06236,-0.904796,11.4733,1662.27,21.6836,10252,9669.42,-0.714602,2.50711,-1.77871,-1.1346,-0.97704,0.152124,1647.66,21.3856,10237.4,0.154615,0.977791,0.00383335,10656.6,4185.48,2560.1,102236,-5.43997e-05,0.752955,13.6538,12.3792,91.4438,112.968,1.91242,5.16518,8.92332,100.082,218.827,-8.63797,-105.859 
46,0.12,0.58,3,46,10068,-0.352855,19.4037,13.3311,91.7974,-0.193304,-153.093,72.8829,-1.64164,0.544488,-8.05573,-0.42078,-0.219741,15.5082,1688.02,22.3273,10225.3,9384.03,-1.73929,0.446837,-8.25103,-0.51843,-0.317391,0.20505,1668.28,21.9245,10205.6,0.156657,0.977519,0.00394177,10649.2,4162.7,2387.43,101461,-0.000218812,0.755236,13.4118,12.4441,91.7187,114.323,-283488,5.34607,11.3738,100.14,234.433,-8.42116,-120.111 
47,0.14,0.59,3,47,10011.7,-0.116603,19.1984,13.0477,91.7045,-0.445969,328.535,500,-2.03787,-2.50573,-5.16232,0.695381,-3.18046,26.2891,1678.79,19.2676,10232.5,12924,-2.20341,-2.67126,-5.4934,0.529845,-3.34599,0.583335,1645.33,18.5848,10199,0.154921,0.980616,0.00334548,10620.5,4151.47,2508.11,100549,-0.000405481,0.739715,13.6134,12.6712,91.5318,113.357,-124772,5.24709,10.5625,100.141,229.707,-8.60963,-116.35 
48,0.2,0.5,3,48,10172.6,-0.311395,19.3431,13.2825,91.6907,1.16769,432.276,331.021,-3.3371,-1.94562,-0.42559,-1.55318,-0.986006,18.108,1623.94,22.5273,10237.4,24795.5,-3.45112,-2.05965,-0.653632,-1.6672,-1.10003,0.926818,1600.89,22.057,10214.3,0.151177,0.976456,0.00396211,10589.5,4188.88,2519.95,102331,0.0114719,-0.337681,-49.7071,-54.5777,127.563,-84.222,-171621,5.16672,10.7159,100.047,229.921,27.5161,-314.143 
49,0.04,0.66,3,49,10364.5,-0.327547,19.4862,13.4597,91.5891,-0.0782535,151.186,493.238,-0.836971,-2.18317,-2.52963,-1.21415,0.883502,-12.849,1704,20.2882,10415.5,8923.15,-0.756064,-2.10227,-2.36782,-1.13324,0.964409,0.561107,1720.36,20.6219,10431.9,0.157825,0.979454,0.00362829,10900.4,4315.8,2570.92,105306,-0.000174415,0.765191,-13.5513,12.4508,91.4594,114.01,-193339,5.19594,9.75322,100.185,230.994,-8.72547,-116.984 
50,0.13,0.6,3,50,10075.8,-0.254475,19.2937,13.0577,91.5481,-0.236148,222.863,1.69829e-09,0.729646,0.0477784,-10.7744,2.25583,0.815264,-17.0477,1588.64,22.6837,10242.5,9914.41,0.836991,0.155123,-10.5597,2.36317,0.922609,-0.681,1610.33,23.1265,10264.2,0.151306,0.975484,0.00413332,10642.9,4174.71,2351.7,101538,0.0103233,-0.0285897,1.32948,6.22733,101.877,88.0699,-207.047,6.07431,7.89108,100.456,210.429,1.42144,-122.359 
