cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,42.7885,22,28250.2,0.0329068,56.9836,11.8026,121.282,-0.0652215,-51.9633,1.85968e-12,-4.65059,-3.49318,-4.49524,-1.78554,-0.910898,-0.362283,13637.5,62.953,16495.6,22004.2,-4.64831,-3.4909,-4.49068,-1.78326,-0.908616,0.706908,13638,62.9719,16496.1,0.548695,0.991984,0.00698292,24855.3,-0.00239303,1.34651,11.9493,10.5273,121.927,86.8106,1.45335,12.1447,11.9005,119.975,136.453,1.95258,-49.6422 
23,42.8885,23,19984.5,0.00182292,39.0287,-12.6279,121.261,-0.0434727,-12.1817,1.66554e-12,-7.68423,0.261423,-4.00308,-3.55089,-2.27858,1.4082,9325.59,53.0038,12712.4,16061.1,-7.69309,0.252556,-4.02081,-3.55976,-2.28744,0.767698,9323.62,52.9306,12710.4,0.518939,0.990163,0.00761279,17966.7,-0.00241856,0.768066,12.9996,11.6429,122.432,87.4724,0.978949,12.7587,12.9895,119.66,137.606,2.77175,-50.1339 
24,43.0685,24,25328.2,-0.33214,51.9382,11.9168,121.14,0.191307,314.802,224.469,-1.70645,-3.22733,-5.12098,-2.66891,-0.552524,51.4379,11916.8,59.4632,15293.5,22108.9,-2.03034,-3.55122,-5.76876,-2.9928,-0.876414,0.620963,11844.7,56.7911,15221.4,0.533659,0.991679,0.00682599,22195.2,-0.00229412,1.16806,11.9526,10.5132,121.798,87.0224,1.36759,12.0504,11.861,119.74,136.867,2.05801,-49.8442 
25,43.1285,25,26953.1,-0.249428,55.0573,12.008,121.009,-0.0778861,447.693,495.888,-6.80281,-1.86384,-7.89884,-3.06799,1.23892,33.446,13123.3,66.2388,15946.4,22657,-7.01341,-2.07444,-8.32004,-3.27859,1.02832,0.576764,13076.4,64.5013,15899.5,0.547403,0.991442,0.00741763,23888.1,-0.00261566,1.29332,12.002,10.4874,121.861,86.7523,1.4174,12.1248,11.8609,119.885,136.505,1.97667,-49.7523 
26,42.7685,26,28081.9,0.0365417,56.5062,11.9209,121.446,-0.0342108,-79.6528,7.24002e-12,-7.06171,-3.19721,-3.82296,-0.693817,-3.89421,32.5839,13551,76.9974,16598,22016.8,-7.26688,-3.40238,-4.2333,-0.898989,-4.09938,0.787281,13505.3,75.3047,16552.3,0.54543,0.990336,0.00831101,24760.9,-0.00255463,1.31098,12.1138,10.5777,122.12,86.7247,1.43708,12.1828,12.0878,120.087,136.385,2.03335,-49.6598 
27,42.6485,27,26303.5,-0.391285,54.0786,11.9594,121.734,0.137514,330.14,0.000348668,-3.54225,-5.29472,-7.23414,-4.97731,0.380608,59.1999,12763.5,60.0306,15864.1,22531.6,-3.91501,-5.66748,-7.97967,-5.35007,0.0078417,0.65161,12680.5,56.9553,15781.1,0.541632,0.992201,0.0066044,23411.6,-0.00294215,1.27121,12.0602,10.387,122.398,86.916,1.43019,12.124,11.7624,120.408,136.591,1.98963,-49.6746 
28,42.9885,28,24332.3,-0.0209382,50.4208,11.9079,120.857,-0.0680789,6.82917,1.59385e-12,-6.98705,-4.00954,-4.58088,-1.45271,-1.59349,80.0067,11768.5,66.292,14963.5,19560.4,-7.49084,-4.51332,-5.58844,-1.95649,-2.09727,0.74183,11656.3,62.1358,14851.2,0.535795,0.990758,0.00764821,21755.1,-0.00292168,1.14011,12.054,10.6384,121.477,87.0276,1.30177,12.2306,12.094,119.402,136.808,2.07528,-49.7803 
29,42.8685,29,24598.2,0.0245861,48.7691,12.3602,120.788,0.112747,314.21,5.0703e-07,-5.72318,-1.5272,-4.07373,0.720233,-4.22999,117.201,11540.3,63.2375,15296.3,20776.2,-6.46116,-2.26519,-5.5497,-0.0177529,-4.96798,0.71188,11375.9,57.1491,15131.9,0.525067,0.991285,0.00690908,21665.6,-0.00262657,1.01823,12.7266,11.0292,121.45,86.4018,1.23926,12.56,12.5277,119.38,136.294,2.06947,-49.8924 
30,42.6685,30,26139.5,0.0500785,54.5768,11.6797,121.204,-0.0806132,-70.0047,7.58472e-13,-7.7394,2.16545,-1.19456,-3.45628,-4.06013,134.577,13101.9,60.0297,15352.2,20934.5,-8.5868,1.31806,-2.88936,-4.30368,-4.90753,0.850828,12913.2,53.0386,15163.4,0.556021,0.992863,0.00640208,23224.3,-0.00286324,1.31731,11.8831,10.4022,121.921,86.1144,1.37771,11.9961,11.9355,119.832,135.496,2.08922,-49.3814 
31,42.8485,31,28853.7,-0.0728954,57.1088,12.123,120.994,-0.11662,34.8014,500,-4.92988,-4.48454,-7.58106,-1.92272,-3.90811,49.2811,13979.1,81.7636,16997.3,22669.7,-5.24019,-4.79485,-8.20168,-2.23303,-4.21842,0.667789,13910,79.2035,16928.2,0.547181,0.990134,0.00854517,25421.2,-0.00255268,1.29056,12.3877,10.8167,121.808,86.7997,1.42885,12.2894,12.3075,119.629,136.511,2.17841,-49.7116 
32,42.8285,32,31239.5,-0.415439,61.8897,12.2928,121.112,0.317864,-78.3844,4.77774e-06,-2.89527,0.609792,-7.05205,-2.46886,-0.828511,128.89,14239.9,83.6405,19027.4,25577.6,-3.70686,-0.201797,-8.67523,-3.28045,-1.6401,0.504398,14059.1,76.9449,18846.6,0.523133,0.990513,0.0074646,26874.8,-0.00257398,1.31348,12.3466,10.871,121.726,86.8743,1.58135,12.4895,12.2673,119.736,136.363,1.99073,-49.4884 
33,42.7085,33,28816.5,-0.744686,58.0393,12.2398,120.893,1.29184,-419.342,98.5051,-3.05323,-4.25723,-3.57014,-0.379913,-3.71355,114.139,13709.3,64.7759,16965.2,40760.4,-3.77193,-4.97593,-5.00754,-1.09861,-4.43225,0.740357,13549.2,58.8466,16805.1,0.542476,0.992457,0.00640919,24976.7,-0.00225947,1.29687,12.1993,10.7064,121.527,86.9905,1.46998,12.1998,11.9961,119.436,136.542,2.09157,-49.5518 
34,43.0485,34,27880.5,-0.591359,55.8234,12.2563,120.732,0.3968,224.131,481.463,-2.2344,-3.4819,-10.6862,-4.05684,-1.90816,55.754,13211.3,64.6451,16492.2,25167.8,-2.58547,-3.83296,-11.3884,-4.40791,-2.25922,0.534674,13133.1,61.7488,16414,0.540576,0.991839,0.00688223,24294.6,-0.00211408,1.23755,12.2037,10.7266,121.38,86.9188,1.41551,12.3084,11.9975,119.344,136.748,2.03537,-49.8288 
35,43.1485,35,28083,-0.026844,56.672,12.0286,120.818,-0.00690364,-15.4392,499.998,-7.8342,-2.39984,-7.03317,-3.36981,0.517951,123.616,13731.4,72.9495,16687.8,22194.6,-8.61258,-3.17821,-8.58993,-4.14819,-0.260427,0.653483,13558,66.5279,16514.4,0.546964,0.991486,0.00736622,24787.8,-0.00271498,1.30504,12.1851,10.6367,121.376,86.2767,1.45079,12.307,11.913,119.499,135.724,1.87665,-49.4476 
36,43.0285,36,25832.1,-0.782443,53.3883,12.172,120.815,2.60507,-3257.36,69.6888,-4.7851,-2.46003,-12.64,-5.29692,-3.78055,92.0626,12989.4,68.3843,15365,297391,-5.36479,-3.03972,-13.7994,-5.87661,-4.36024,0.574628,12860.2,63.6019,15235.9,0.553828,0.991419,0.00763116,23220.6,-0.00292601,1.23808,12.2254,10.5953,121.477,87.0238,1.36963,12.0781,11.8981,119.502,136.486,1.97482,-49.4625 
