cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,43.1318,22,30599.7,-0.260277,63.9338,11.5562,120.817,2.02392,-1192.62,0.39616,-11.3233,-4.87741,-9.0418,-2.92695,-2.01499,-9.88508,14384.6,56.3833,18525.9,102627,-11.2611,-4.81516,-8.91731,-2.8647,-1.95275,0.700872,14398.5,56.8968,18539.7,0.533168,0.993132,0.00562147,27005.5,-0.00290947,1.48927,11.7216,10.2518,121.181,88.6475,1.746,11.7924,11.4832,119.9,138.654,1.28175,-50.007 
23,43.4118,23,30249.2,-0.083814,63.1509,11.3833,120.58,0.0105121,-11.2181,499.997,-9.92316,-9.77507,-8.11921,-2.51945,-7.09514,-51.2718,14544.8,62.6946,17852.9,23405.4,-9.60031,-9.45222,-7.47352,-2.19661,-6.77229,0.789448,14616.7,65.358,17924.8,0.545286,0.992236,0.00667193,26805.6,-0.00269505,1.5102,11.617,10.293,120.932,87.8204,1.71281,11.6627,11.3908,119.645,137.6,1.28645,-49.7797 
24,43.2318,24,29973.3,-0.0468259,61.5446,11.5162,120.762,0.151906,-163.058,499.212,-5.45219,-4.86553,-3.27957,-1.75247,1.12499,10.5414,13895.2,78.3269,17966.4,23878.7,-5.51857,-4.93191,-3.41232,-1.81885,1.05861,0.766648,13880.4,77.7793,17951.6,0.532072,0.990289,0.00791814,26087.5,-0.00233268,1.41837,11.701,10.2985,120.989,88.5454,1.65186,11.8678,11.6707,119.81,138.499,1.17897,-49.9535 
25,43.2118,25,29779.9,-0.049689,61.8378,11.4366,120.615,-0.0430165,3.51837,500,-5.03132,-5.4954,-10.0984,-1.78397,-3.71867,-3.40538,13782.9,49.3741,18074.6,23027.1,-5.00988,-5.47396,-10.0555,-1.76253,-3.69723,0.613237,13787.7,49.551,18079.4,0.528635,0.99375,0.00502338,26081.7,-0.00252648,1.44561,11.5331,10.1541,120.884,88.9636,1.68677,11.7784,11.6139,119.655,139.019,1.22931,-50.0551 
26,43.2518,26,29710.1,-0.677686,62.6364,11.53,120.585,1.41926,-773.113,380.054,-5.68218,-7.86893,-6.93256,-1.08795,-3.68505,-43.6852,13630.4,80.3206,18305.2,59228.9,-5.40711,-7.59386,-6.38241,-0.812881,-3.40997,0.72963,13691.6,82.59,18366.5,0.522964,0.989554,0.00821548,26180.9,-0.00257071,1.43871,11.5898,10.0525,120.819,87.9352,1.73222,11.6682,11.4868,119.652,137.69,1.16681,-49.7545 
27,43.3218,27,24056.3,-0.41198,49.6617,11.7748,120.664,0.649373,135.278,500,-3.95912,-7.75477,-9.10139,-3.23174,-3.4147,-24.769,10372.5,66.1716,15630.8,21895.4,-3.80315,-7.5988,-8.78946,-3.07577,-3.25873,0.668646,10407.2,67.4583,15665.5,0.494175,0.988784,0.00786999,21059.8,-0.00240426,1.04092,11.8835,10.3785,120.884,87.8932,1.42256,11.9904,11.7144,119.799,137.931,1.08468,-50.0382 
28,43.3318,28,28785.5,-0.00370061,59.3649,11.559,120.823,-0.0571679,-9.14946,500,-3.77524,-1.90897,-4.69524,-5.28516,-3.18159,-23.3082,13496.5,54.5799,17424.2,22355,-3.62847,-1.7622,-4.40171,-5.1384,-3.03482,0.754992,13529.2,55.7907,17456.9,0.532648,0.992835,0.00585276,25399.8,-0.00265712,1.37601,11.709,10.3549,121.048,88.3959,1.59061,11.8965,11.7754,119.917,138.635,1.13129,-50.2394 
29,43.2918,29,23289.1,-0.0256766,49.2645,11.4041,120.944,0.0255165,-4.53391,493.181,-6.53249,-4.91462,-13.286,-2.93716,-2.61524,-19.4693,10506.7,57.1257,14920.8,18292.8,-6.40989,-4.79203,-13.0408,-2.81457,-2.49264,0.558687,10534,58.1371,14948.1,0.508922,0.990434,0.00711348,20698.7,-0.00248181,1.05643,11.7585,10.4241,120.968,88.2001,1.33226,11.8717,12.0369,120.161,138.491,0.806514,-50.291 
30,43.4118,30,28426,-0.330572,59.8295,-11.3924,120.432,0.136733,295.416,0.48312,-2.36876,-10.0223,-2.20637,-0.293522,-0.182916,7.37152,13389.3,74.5944,17126.6,23503.3,-2.41518,-10.0688,-2.29921,-0.339938,-0.229333,0.850238,13378.9,74.2114,17116.3,0.534772,0.990386,0.00792356,25018,-0.0025875,1.39828,11.7046,10.1525,120.742,88.1777,1.63935,11.6126,11.458,119.442,137.995,1.30056,-49.8176 
31,43.2818,31,23173.8,-0.194181,49.8532,11.4065,120.566,0.167314,62.1985,497.859,-3.43968,-6.82009,-7.61137,-1.64577,-2.9254,9.53312,10357.7,39.8491,14924,18850.2,-3.49971,-6.88011,-7.73142,-1.7058,-2.98543,0.660939,10344.3,39.3539,14910.7,0.505005,0.993386,0.00483836,20483.6,-0.00256889,1.07448,11.6053,10.3078,120.807,88.7728,1.39594,11.7166,11.6857,119.676,138.915,1.13094,-50.1422 
