cyc,time (ms),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
34,6.01,34,22323,0,5,101,125,0,5,135,-5.14731,-5.5362,-17.5769,-10.7802,-16.486,-31.4863,28.35,30666.4,-12.9499,16439.4,-5.02565,-5.41454,-17.3335,-10.6586,-16.3643,0.683675,30.19,30804.4,-11.1098,1.79082,0.000559718,1.0002,16.8582,641.011,736.224,1.00834,40994.9,9.15922e-07,0.750031,110.358,83.6811,26.8143,28.469,0.941875,653.579,750.513,0.764662 
35,0.51,35,24368.5,0,5,101,125,0,5,135,-5.70879,-2.70566,-11.0714,-8.24837,-10.5649,-129.803,-3.03318,32494.8,-20.2662,16439.4,-5.20725,-2.20413,-10.0683,-7.74684,-10.0634,0.714696,4.55248,33063.7,-12.6805,-0.426896,7.86729e-05,1.00021,-10.6641,504.657,581.421,0.834987,42515.3,9.27108e-07,0.58427,109.942,85.452,23.9429,25.4596,0.940425,521.096,600.229,0.603236 
36,7.01,36,23645.2,0,5,101,125,0,5,135,-0.348219,-5.66646,-10.8895,-6.75478,-14.5546,-89.2313,17.0948,31281.2,14.6048,16439.4,-0.00344708,-5.32168,-10.2,-6.41001,-14.2098,0.717803,22.3094,31672.3,19.8194,0.484012,0.000402342,0.99966,46.0928,654.724,757.069,0.803996,42221.9,9.2497e-07,0.761148,110.374,84.621,27.3376,29.1227,0.938701,679.336,785.374,0.789684 
37,2.01,37,20662.1,0,5,101,125,0,5,135,-8.64696,-3.25859,-10.221,-9.25181,-7.899,-54.3119,21.5071,28802.2,-27.3177,16439.4,-8.43711,-3.04874,-9.80127,-9.04196,-7.68915,0.742195,24.6811,29040.3,-24.1437,-5.75136,0.000485417,1.00045,-4.29135,546.337,630.484,1.0367,38006.4,8.93102e-07,0.657153,109.788,84.6661,24.7303,26.321,0.939566,555.936,641.529,0.668682 
38,4.01,38,18974.3,0,5,101,125,0,5,135,-0.846723,-3.54185,-6.9962,-9.44209,-7.56298,-160.996,6.05626,26980,-12.0853,16439.4,-0.224668,-2.91979,-5.75209,-8.82004,-6.94092,0.76672,15.4649,27685.7,-2.67669,1.26215,0.000319091,1.00005,12.2528,584.958,675.584,137.534,34794.8,8.67201e-07,0.724907,110.088,85.0026,26.1933,27.3066,0.959232,623.66,690.473,0.756706 
39,5.01,39,20222.3,0,5,101,125,0,5,135,-3.82401,-5.83542,-12.7707,-8.4329,-9.84303,-77.9489,6.86757,28308,-6.04518,16439.4,-3.52283,-5.53424,-12.1683,-8.13172,-9.54185,0.687182,11.4229,28649.6,-1.48984,1.18555,0.000227783,1.00003,9.63509,605.861,712.762,0.689552,38172,8.94397e-07,0.734732,110.397,84.2165,26.5512,28.5254,0.930793,640.818,753.485,0.776917 
40,6.51,40,19116.3,0,5,101,125,0,5,135,-5.03281,-6.63901,-14.1403,-8.95603,-8.15574,-130.092,19.4086,27709.1,-34.6068,16439.4,-4.53016,-6.13636,-13.135,-8.45338,-7.65309,0.670868,27.0112,28279.3,-27.0042,-5.00774,0.000545506,1.00052,-5.39389,647.359,727.469,0.729784,37662.2,8.90397e-07,0.770719,110.305,84.0194,27.3377,28.7041,0.952399,679.345,762.956,0.808559 
41,1.51,41,20489.7,0,5,101,125,0,5,135,-1.46869,-3.14932,-10.4759,-9.0501,-6.77766,-66.1607,14.2806,28530.4,-9.2753,16439.4,-1.21306,-2.89369,-9.96465,-8.79446,-6.52203,0.660927,18.1471,28820.4,-5.40887,1.55683,0.000359677,1.0001,11.6564,522.47,596.631,0.646122,37918.9,8.92415e-07,0.625629,109.508,85.4285,24.7687,26.2148,0.944838,557.664,636.363,0.667532 
42,5.51,42,19757.1,0,5,101,125,0,5,135,-4.32586,0.0789371,-13.1214,-15.2281,-8.24723,-37.0646,5.18966,27471.8,-13.5694,16439.4,-4.18265,0.222147,-12.835,-15.0849,-8.10402,0.679001,7.35572,27634.2,-11.4033,-1.16236,0.000152081,1.00022,-6.32829,628.844,736.705,1.12933,36931.9,8.84604e-07,0.76943,110.471,84.7148,26.4872,28.4016,0.932596,637.73,746.959,0.780221 
43,3.01,43,19950.1,0,5,101,125,0,5,135,-8.76252,-9.13026,-17.9704,-10.7947,-11.9618,-48.5982,10.4454,28191.1,-14.5101,16439.4,-8.57474,-8.94249,-17.5949,-10.6069,-11.7741,0.693965,13.2855,28404.1,-11.67,-18.4898,0.000267205,1.00022,-0.718532,589.539,675.045,2.7572,37563.6,8.89619e-07,0.709118,109.561,84.9522,25.4791,27.0129,0.943221,590.111,675.699,0.709806 
