cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,1.4,23,19065.1,0,5,101,125,0,5,135,-7.18295,-4.58061,-14.5066,-8.41123,-4.83402,-203.032,24.5029,26105.8,-10.3301,16439.4,-6.39847,-3.79614,-12.9376,-7.62676,-4.04955,0.628321,36.3682,26995.7,1.5351,0.95179,0.000769228,0.999969,38.2103,543.572,608.255,0.629866,34776.2,8.67047e-07,0.663176,109.539,85.3468,25.3271,26.5327,0.954561,583.089,651.89,0.711069 
24,0.2,24,19452.3,0,5,101,125,0,5,135,-4.66198,-4.57398,-7.68233,-5.49881,-9.99208,-138.146,-0.246326,27061.9,-26.5915,16439.4,-4.12821,-4.04022,-6.6148,-4.96504,-9.45831,0.773517,7.8269,27667.4,-18.5183,-0.54372,0.000161627,1.00036,-14.3951,425.664,471.652,0.503554,35257.9,8.71032e-07,0.514411,109.426,85.8584,22.9812,23.9561,0.959303,480.077,531.43,0.579888 
25,1.6,25,18486.9,0,5,101,125,0,5,135,-3.9139,-6.90813,-11.5851,-6.19243,-7.5504,-163.851,30.5742,26144.2,-17.873,16439.4,-3.28082,-6.27505,-10.3189,-5.55935,-6.91731,0.681036,40.1496,26862.3,-8.29759,1.32979,0.000853353,1.00017,30.1925,574.826,649.746,41.3914,34781,8.67087e-07,0.704819,109.442,84.5662,25.2661,26.5183,0.952779,580.287,651.186,0.708943 
26,0.4,26,18555.7,0,5,101,125,0,5,135,-3.45522,-1.7274,-12.6679,-7.99683,-9.19766,-101.401,7.43814,26464.4,-25.4181,16439.4,-3.06343,-1.33561,-11.8843,-7.60503,-8.80587,0.636501,13.364,26908.8,-19.4922,-1.33284,0.000283714,1.00039,-10.0267,442.618,497.119,0.529087,34659.7,8.66077e-07,0.541612,109.927,85.5749,23.2812,24.4253,0.95316,492.694,552.45,0.602391 
27,0.6,27,16114.6,0,5,101,125,0,5,135,-6.94743,-3.64816,-17.7637,-8.42256,-10.5782,-134.725,22.8815,23879.3,-7.03025,16439.4,-6.42688,-3.12761,-16.7226,-7.90201,-10.0576,0.621975,30.7548,24469.8,0.843065,0.968153,0.000717685,0.999981,31.7665,440.545,506.056,0.529526,31310.3,8.37229e-07,0.563962,109.456,85.9222,23.2294,24.6544,0.942202,490.504,562.861,0.627592 
28,2,28,18917.1,0,5,101,125,0,5,135,-7.75725,-5.9449,-12.1598,-7.29509,-9.18203,-184.697,11.888,25975.3,-4.34983,16439.4,-7.04361,-5.23127,-10.7326,-6.58146,-8.4684,0.71799,22.6817,26784.8,6.44387,0.745757,0.000483658,0.999869,30.4143,609.326,707.162,65.7174,35066.9,8.69456e-07,0.754982,109.529,84.4351,26.0021,27.7382,0.937411,614.585,712.473,0.761075 
29,1.8,29,20069.3,0,5,101,125,0,5,135,-5.60409,-6.33885,-14.1249,-7.50604,-10.7457,-197.088,10.2506,26895,1.22704,16439.4,-4.84258,-5.57734,-12.6019,-6.74453,-9.9842,0.682976,21.7685,27758.8,12.7449,0.587348,0.000447913,0.999751,37.0624,602.28,694.877,3.88111e+10,35830.9,8.75725e-07,0.73873,109.365,84.5424,25.7404,27.3935,0.939656,602.279,694.875,0.738728 
30,0.8,30,18671.7,0,5,101,125,0,5,135,-4.68614,-2.0411,-12.5612,-6.80101,-4.50492,-247.044,25.5558,26244.4,-11.0421,16439.4,-3.73161,-1.08657,-10.6521,-5.84648,-3.55039,0.57164,39.993,27327.2,3.39515,0.907546,0.000835581,0.999933,44.0672,458.496,553.203,0.602653,34221.5,8.62412e-07,0.583976,109.598,86.1042,23.3555,25.409,0.919182,495.843,597.844,0.631323 
31,1,31,18587.9,0,5,101,125,0,5,135,-9.166,-1.41838,-14.3851,-5.97477,-7.48885,-144.314,8.65879,25909.9,-4.21033,16439.4,-8.6084,-0.860781,-13.2699,-5.41717,-6.93125,0.621806,17.0925,26542.5,4.22335,0.771304,0.000367846,0.999914,22.1605,480.186,543.201,0.495801,34042.8,8.60908e-07,0.593237,109.463,85.5565,24.4961,25.8016,0.949402,545.454,616.459,0.673556 
32,1.2,32,18258.5,0,5,101,125,0,5,135,-1.82901,-4.19599,-10.0066,-4.82027,-7.93709,-172.478,19.098,25928.9,-24.3769,16439.4,-1.16259,-3.52958,-8.67374,-4.15386,-7.27067,0.650118,29.1775,26684.9,-14.2973,2.42726,0.000624416,1.00029,12.0208,502.017,573.63,0.545754,34498,8.64729e-07,0.620576,109.33,84.9646,24.7098,26.1507,0.944901,555.014,633.255,0.685585 
33,1.4,33,16501.2,0,5,101,125,0,5,135,-7.18515,-1.81249,-6.419,-6.44233,-6.82451,-149.032,11.3627,24407.4,3.28607,16439.4,-6.60932,-1.23666,-5.26734,-5.8665,-6.24868,0.791215,20.0721,25060.7,11.9955,0.582362,0.000457471,0.99974,34.4667,557.718,643.883,0.760654,32794.6,8.50255e-07,0.704793,109.4,85.3543,25.2999,26.928,0.93954,581.84,671.46,0.735127 
34,0.2,34,18688.2,0,5,101,125,0,5,135,-2.21348,-2.92473,-13.2892,-7.53844,-8.75867,-206.923,12.0812,26234.6,-16.2396,16439.4,-1.41398,-2.12522,-11.6902,-6.73893,-7.95916,0.609382,24.1738,27141.6,-4.14703,1.25923,0.000508687,1.00008,19.1973,449.969,496.614,0.732458,34108.4,8.61461e-07,0.548738,109.567,86.0454,22.7643,23.6906,0.960901,471.06,519.715,0.574361 
