cyc,field,FB,79,VVA,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,202.3,3.417,44.848,2.025,47.3998,11,13123.3,0.0268582,29.8731,11.5094,121.107,0.00456248,-60.0877,1.40277e-06,-3.65956,-3.4367,-7.79781,-0.226812,-3.0478,18.6375,569.379,361.265,14594.2,11201.5,-3.77692,-3.55405,-8.03252,-0.344167,-3.16515,0.574387,548.431,356.336,14573.2,0.0629698,0.467937,0.0431007,8709.43,-0.00260509,0.0720912,11.8627,20.4843,124.565,107,1.32636,11.8205,11.4475,120.61,137.692,3.95454,-30.6921 
12,202.7,3.635,44.9104,2.023,47.4677,12,14721.3,-0.545851,35.074,11.0145,121.27,0.876941,195.597,13.2393,-5.50471,-3.15235,-5.59069,-2.58984,-4.2607,48.5939,-46.8773,267.299,17033.1,18159.8,-5.8107,-3.45833,-6.20265,-2.89583,-4.56668,0.729546,-101.495,254.447,16978.4,-0.01079,-0.295227,0.026865,9406.44,-0.00241767,-0.017069,9.47258,-7.15081,120.452,81.2277,1.6024,11.6487,11.5255,121.097,138.223,-0.644614,-56.9955 
13,202.1,3.308,44.8167,2.027,47.3659,13,14301.8,-0.697863,30.9025,-12.6137,120.878,0.116446,1184.93,246.515,-3.43685,-6.90481,-9.77911,-1.97744,1.0476,52.3477,1035.05,373.843,15245.3,17180.8,-3.76647,-7.23443,-10.4383,-2.30706,0.717981,0.546717,976.21,359.999,15186.4,0.102969,0.607773,0.0418405,9480.61,-0.00310171,0.0657569,12.9932,45.0798,124.454,107,1.22948,12.497,11.7048,120.198,137.472,4.25578,-30.4722 
14,202.14,3.329,44.823,2.026,47.3727,14,16481.8,-0.682878,34.8411,12.4981,121.186,1.18409,-340.074,78.2198,-8.78574,-1.95588,-12.137,-2.19202,-2.13553,80.0467,1087.61,589.978,17124.9,27283.8,-9.28978,-2.45992,-13.145,-2.69605,-2.63956,0.565171,997.644,568.809,17035,0.0946781,0.500559,0.057945,10537.2,-0.00282962,0.0860553,12.4429,38.3317,123.763,107,1.35633,12.4601,11.8478,120.49,137.561,3.27254,-30.5606 
15,202.1,3.308,44.8167,2.027,47.3659,15,14158.4,-0.126291,30.2624,12.2264,120.978,0.0503479,-44.5147,1.50492e-07,-2.03159,-5.6338,-5.06631,-0.925658,0.983132,93.7361,1001.88,453.065,14909.5,12117.7,-2.62182,-6.22403,-6.24677,-1.51589,0.392901,0.614768,896.519,428.276,14804.2,0.0975872,0.544665,0.0505948,9186.85,-0.00281559,0.0716741,12.4571,42.3861,124.334,107,1.20172,12.4076,11.7213,120.196,137.16,4.13793,-30.1597 
16,201.6,3.035,44.7386,2.03,47.2809,16,13595.9,-0.0222368,25.9711,13.6993,120.91,-0.0270519,1.79333,500,-3.24104,-3.41785,-3.87049,-1.23667,-0.0860868,103.053,2490.43,577.901,12657.1,11583.6,-3.88994,-4.06674,-5.16828,-1.88557,-0.734983,0.671762,2374.6,550.648,12541.3,0.252678,0.711334,0.0748287,9397.73,-0.0025041,0.115384,17.658,21.8443,124.373,91.5252,0.875997,13.4852,13.2802,120.038,138.214,4.33529,-46.6892 
17,202.6,3.58,44.8948,2.023,47.4507,17,15997.9,-0.692562,37.1173,11.4781,121.442,0.259855,-340.238,190.377,-8.08335,-3.12567,-3.48344,-2.36823,-4.30452,74.5901,117.223,436.76,17990.4,16747,-8.55303,-3.59535,-4.42279,-2.83791,-4.7742,0.817114,33.3863,417.033,17906.5,0.00331837,0.0437455,0.0411368,10061,-0.00202206,-0.0178213,4.33775,8.54241,116.053,77.1625,1.63576,11.7071,11.7384,121.06,137.325,-5.00683,-60.1621 
18,201.7,3.089,44.7542,2.029,47.2979,18,11779.8,-0.0852593,24.5119,-13.1667,120.804,-0.281942,120.199,500,-4.2018,-2.94717,0.154435,-4.3963,-3.71956,85.2989,1925,435.365,11885.8,11609.5,-4.7389,-3.48428,-0.919774,-4.9334,-4.25666,0.94983,1829.13,412.807,11789.9,0.216941,0.716873,0.0605907,8431.48,-0.00290967,0.0911546,17.3504,23.5954,124.868,92.2312,0.898909,13.1037,12.5172,119.922,138.28,4.94593,-46.0486 
19,201.98,3.242,44.798,2.027,47.3455,19,15370.1,-0.566849,32.9464,12.7205,120.881,0.538591,70.8223,435.21,-7.93189,2.17249,-8.53271,-4.05043,-6.82177,117.141,1687.55,542.247,15631.1,14884.6,-8.6695,1.43488,-10.0079,-4.78804,-7.55938,0.66178,1555.88,511.267,15499.4,0.152008,0.634899,0.0572833,10235.6,-0.00348579,0.0826443,14.3054,49.7567,123.997,107,1.18093,12.6788,11.8918,119.931,137.684,4.06667,-30.6837 
20,201.2,2.817,44.676,2.033,47.2128,20,13519.2,-0.205666,27.6831,13.0101,120.721,0.218974,-31.9433,2.11013,-3.81855,-12.1783,-9.49664,-2.47456,-2.7047,86.8826,1419.01,519.337,13892.2,11952.1,-4.36563,-12.7254,-10.5908,-3.02164,-3.25177,0.688095,1321.36,496.359,13794.6,0.146066,0.603364,0.0621627,9046.32,-0.00269682,0.0950832,14.1978,22.2755,124.515,95.8983,1.00838,13.2781,12.9244,119.951,137.598,4.56318,-41.6994 
21,202.8,3.689,44.926,2.022,47.4846,21,15500.2,-0.689599,36.2582,11.4427,121.183,0.357717,571.674,234.324,-3.40052,-4.47076,-9.15882,-1.18371,-0.730614,72.3183,-78.5974,431.667,17569.1,20163.1,-3.85589,-4.92612,-10.0696,-1.63908,-1.18598,0.535465,-159.881,412.541,17487.8,-0.0165967,-0.284452,0.0416458,9633.31,-0.00213595,-0.0191317,9.32195,7.95989,118.612,79.6401,1.6005,11.68,11.8237,120.861,136.89,-2.24953,-57.2498 
22,201.1,2.762,44.6603,2.033,47.1958,22,14375.2,-0.754821,30.7398,12.9424,120.655,-0.155752,377.068,494.464,-3.98094,-5.1581,-5.38367,-1.00653,-5.87502,76.0555,1003.17,302.249,15513,14863.1,-4.45984,-5.637,-6.34148,-1.48543,-6.35392,0.738794,917.689,282.135,15427.6,0.0960215,0.650186,0.03259,9557.12,-0.00298026,0.0737465,13.529,22.8831,125.75,96.0971,1.18287,13.0201,12.6429,119.93,137.649,5.82003,-41.5519 
23,201.9,3.199,44.7855,2.028,47.3319,23,13299.9,-0.0198412,27.6088,-12.8421,120.803,-0.0176159,5.47721,4.89578e-12,-3.74341,-6.73911,-7.12575,-5.19086,0.646642,129.781,1669.87,442.135,13641.2,11545.1,-4.5606,-7.55631,-8.76013,-6.00806,-0.170551,0.676218,1524,407.813,13495.3,0.167816,0.681065,0.0527309,9081.39,-0.00290845,0.0820364,15.6778,28.8475,125.279,95.8559,1.03987,12.8706,12.4232,120.028,138.185,5.25123,-42.3292 
24,202.5,3.526,44.8792,2.024,47.4338,24,14116.7,-0.0236579,33.6081,11.2165,121.141,-0.00711711,-3.76863,500,-6.88777,-4.51517,-12.2203,-4.50039,-5.17261,91.4461,28.8132,452.035,16444,12272.3,-7.46358,-5.09099,-13.3719,-5.0762,-5.74842,0.636149,-73.9692,427.851,16341.2,-0.008149,-0.109621,0.0460116,9077.09,-0.00698871,0.0141789,63.7051,-97.4609,148,72.8753,1.49685,11.63,11.786,120.797,137.796,27.2028,-64.9212 
25,202.06,3.286,44.8105,2.027,47.3591,25,13219.5,-0.0156339,28.9548,12.0139,121.28,-0.0158567,8.486,500,-1.86148,-5.29562,-3.98245,0.443525,-5.106,96.7474,1452.01,423.584,13675.6,11328.4,-2.47068,-5.90481,-5.20083,-0.165668,-5.71519,0.732704,1343.27,397.998,13566.9,0.150241,0.658541,0.0512693,8940.73,-0.0027629,0.098146,12.6942,26.3998,124.328,96.7149,1.14162,12.3553,11.8734,120.535,136.815,3.79312,-40.1 
26,201.94,3.22,44.7917,2.028,47.3387,26,13832.6,-0.0163739,28.5088,-12.6512,121.033,-0.00810763,-22.6494,500,-2.95198,-2.02255,-10.4978,1.22995,0.162945,93.4156,1487.04,475.653,14192.3,11747,-3.54019,-2.61076,-11.6743,0.641736,-0.425268,0.337019,1382.04,450.948,14087.3,0.149073,0.636533,0.0556842,9270.91,-0.00304622,0.0816736,13.6495,44.397,124.452,107,1.09176,12.6551,11.7503,120.209,137.417,4.24299,-30.4167 
27,203.1,3.853,44.9727,2.02,47.5354,27,14699.3,-0.00513949,35.3547,10.7654,121.026,0.00644365,-33.0311,2.16581e-11,-5.33388,-2.36856,-6.53701,-0.836461,-0.541563,57.4443,-175.492,454.675,16871.4,12397,-5.69559,-2.73027,-7.26043,-1.19817,-0.903274,0.591829,-240.057,439.483,16806.9,-0.0261734,-0.453762,0.0459555,9171.8,-0.0021138,-0.0249687,11.4408,8.10146,117.546,82.2622,1.66683,11.2473,11.2977,120.755,136.917,-3.20841,-54.6551 
28,203,3.798,44.9571,2.021,47.5185,28,16024.2,-0.156212,37.4427,11.1293,121.394,0.106995,134.751,499.553,-2.32513,-2.51694,-7.52276,-1.26306,-1.20548,77.7237,-248.723,510.11,18322,14034.6,-2.81454,-3.00634,-8.50157,-1.75247,-1.69488,0.521572,-336.082,489.555,18234.7,-0.0340325,-0.645516,0.0471253,9875.33,-0.00222813,-0.0251126,14.0141,8.37308,114.584,81.364,1.70637,11.6259,11.6075,121.05,136.679,-6.46632,-55.3153 
29,201.8,3.144,44.7699,2.029,47.3149,29,12836.5,-0.00703266,26.092,13.1109,120.767,-0.018799,7.95694,500,-5.68361,-3.68619,-4.72461,-4.61211,-4.02601,57.8319,1915.71,306.422,12941.1,11141,-6.04776,-4.05034,-5.45292,-4.97627,-4.39016,0.781161,1850.7,291.127,12876.1,0.204242,0.784138,0.0399843,9061.34,-0.00281708,0.0834837,17.8753,22.5796,125.169,89.1374,0.986947,13.079,12.6066,119.908,138.025,5.26148,-48.8878 
30,202.18,3.351,44.8292,2.026,47.3795,30,13793.5,-0.104906,30.5554,11.9502,121.005,-0.0237602,-7.19282,1.08835e-12,-7.23567,-2.09487,-5.80589,0.945095,-1.95654,79.416,597.159,342.628,15257.1,11892.2,-7.73573,-2.59494,-6.80602,0.445033,-2.4566,0.644562,507.898,321.625,15167.9,0.0564211,0.474342,0.0375922,9001.92,-0.00261387,0.0802487,11.2346,18.703,124.219,107,1.30559,12.2699,11.7649,120.456,137.244,3.7632,-30.2437 
31,201.5,2.98,44.7229,2.031,47.2639,31,13490.2,-0.0198083,26.7239,13.3108,120.933,0.0208389,-11.8158,500,-3.77905,-3.3011,-8.58254,-4.6443,-1.94004,72.6996,2083.39,456.344,13160.3,11587.8,-4.23682,-3.75887,-9.49808,-5.10207,-2.39781,0.619981,2001.68,437.118,13078.6,0.214642,0.723507,0.057997,9325.67,-0.00264179,0.104304,16.1569,22.1279,124.86,91.5316,0.943108,13.3303,13.1015,119.939,137.891,4.92166,-46.359 
32,202,3.253,44.8011,2.027,47.3489,32,13613.6,-0.758336,29.4233,12.9708,120.931,0.51871,878.191,0.172241,-10.1868,-1.87757,-9.40362,-1.48237,-5.50447,60.2505,1306.17,382.089,14469.6,27252.7,-10.5662,-2.25695,-10.1624,-1.86175,-5.88385,0.669313,1238.45,366.155,14401.9,0.133117,0.659024,0.0447386,9303.5,-0.00344768,0.0642974,13.8789,53.0998,124.365,107,1.13334,12.6196,11.7115,120.13,137.063,4.23585,-30.0625 
33,201.3,2.871,44.6916,2.032,47.2299,33,13359.1,-0.00378066,27.3815,12.8983,120.393,-0.00377318,-6.90508,9.59037e-11,-4.44718,-7.0494,-11.1372,-3.15767,-7.95861,62.7987,1555.37,380.662,13726,11497.8,-4.84261,-7.44483,-11.9281,-3.55309,-8.35403,0.669789,1484.79,364.054,13655.4,0.162595,0.69975,0.0468117,9131.8,-0.0026887,0.0897734,15.491,21.5509,124.891,92.8525,1.00665,13.1101,12.9629,119.649,137.76,5.24175,-44.9073 
34,201.4,2.926,44.7073,2.031,47.2469,34,13905.3,-0.742633,28.1659,13.7137,120.379,-0.413458,339.156,307.694,-5.34226,-3.6709,-5.85673,-3.81622,-4.16524,91.7889,1922.51,608.255,13598.9,17138.9,-5.92023,-4.24887,-7.01267,-4.39419,-4.74321,0.733553,1819.34,583.98,13495.7,0.194023,0.640319,0.0738261,9376.93,-0.00265033,0.106443,15.4141,24.3904,123.959,94.5198,0.970869,13.3304,12.9182,119.468,137.75,4.49042,-43.2304 
35,202.4,3.471,44.8636,2.025,47.4168,35,14494,-0.13386,33.5831,11.4211,120.956,0.0539083,7.07427,0.414584,-4.15866,-4.25953,-6.8168,-2.37398,-3.94868,91.9972,154.674,390.999,16492.5,12498.4,-4.73795,-4.83881,-7.97537,-2.95327,-4.52796,0.68141,51.2719,366.669,16389.1,0.00555543,0.0739915,0.0395817,9229.16,-0.00629279,0.0138713,-59.0858,-94.6676,148,73.156,1.48924,11.8516,11.6696,120.545,137.077,27.4551,-63.921 
36,202.22,3.373,44.8355,2.026,47.3862,36,12864.9,-0.00756185,29.2505,11.6275,120.852,0.00957431,0.570617,500,-4.11844,-0.567823,-4.72122,-1.57773,-1.89505,41.6387,554.33,399.051,14297,11071.9,-4.38063,-0.830011,-5.24559,-1.83992,-2.15723,0.637068,507.53,388.039,14250.2,0.0597964,0.427718,0.0477654,8487.62,-0.00258361,0.0903412,11.1185,18.2852,123.424,107,1.26013,12.0123,11.5718,120.402,137.311,3.02246,-30.3105 
37,202.02,3.264,44.8042,2.027,47.3523,37,13084.7,0.0137426,28.0965,12.3381,120.898,-0.0125518,12.6356,0.000181847,-7.12877,-4.37235,-6.86072,-1.84648,-2.71443,71.3751,1157.31,351.253,13954.1,11290,-7.5782,-4.82178,-7.75958,-2.29591,-3.16386,0.69712,1077.09,332.377,13873.9,0.121754,0.649338,0.0422662,8846.46,-0.00319911,0.0647181,13.202,50.2605,124.637,107,1.11534,12.4635,11.6485,120.024,137.144,4.61224,-30.1438 
38,202.2,3.362,44.8324,2.026,47.3829,38,14190.6,-0.0299709,31.222,11.7948,121.34,-0.0181836,7.49759,500,-2.04819,-1.11784,-9.23714,-2.63745,-5.70093,62.3058,764.31,394.139,15445.2,11992.5,-2.44051,-1.51016,-10.0218,-3.02977,-6.09326,0.566072,694.28,377.661,15375.2,0.0746186,0.512313,0.043289,9304.39,-0.00267464,0.0784839,11.4904,25.4897,124.194,107,1.3333,12.1826,11.5775,120.833,138.112,3.36178,-31.1118 
39,202.26,3.395,44.8417,2.026,47.393,39,15177.3,-0.0404282,32.8512,11.7369,121.206,-3.40577e-05,24.8723,1.9031e-11,-4.80505,-5.29479,-7.48713,-1.77776,-0.414397,38.5303,604.567,568.102,16117.6,12551.7,-5.04766,-5.5374,-7.97237,-2.02037,-0.657012,0.624562,561.261,557.912,16074.3,0.0586916,0.365022,0.0600941,9562.88,-0.00234335,0.121777,10.7156,15.765,123.05,107,1.36278,12.1498,11.9559,120.772,137.729,2.27832,-30.7293 
40,202.9,3.744,44.9416,2.021,47.5016,40,15155,-0.246454,35.8007,10.8758,121.343,-0.502408,1241.35,499.998,-5.12675,-1.77472,-4.9446,-2.04278,0.235929,16.2569,-148.767,583.929,16992.8,32977.4,-5.22911,-1.87708,-5.14933,-2.14514,0.133564,0.639077,-167.04,579.629,16974.5,-0.0178868,-0.197141,0.0591799,9338.69,-0.00174596,-0.0250037,10.6169,7.69012,118.572,81.1809,1.60796,11.3398,11.627,121.01,137.184,-2.43789,-56.0027 
41,202.3,3.417,44.848,2.025,47.3998,41,13994,-0.0845391,31.2563,-11.7129,120.989,0.00526932,-23.1191,500,-4.00358,-3.04231,-8.27593,-3.37913,-5.06951,50.1839,408.729,360.261,15516.4,11921.8,-4.31957,-3.3583,-8.90792,-3.69513,-5.3855,0.652935,352.324,346.989,15460,0.0391041,0.367175,0.0397033,9009.91,-0.00258959,0.0836207,11.1183,14.9885,123.545,107,1.37261,12.0797,11.671,120.579,137.734,2.96586,-30.7345 
42,202.7,3.635,44.9104,2.023,47.4677,42,13510.8,-0.706527,33.3852,11.1905,121.009,0.249662,472.612,386.367,-0.736563,-3.00643,-6.63135,-3.37021,-4.75311,55.2848,-96.8067,366.874,15700,16002.9,-1.08468,-3.35454,-7.32758,-3.71832,-5.10122,0.644056,-158.945,352.254,15637.9,-0.0184857,-0.347422,0.0398414,8598.27,-0.0022828,-0.0200379,9.31438,7.54321,118.015,81.1008,1.53092,11.3624,11.4216,120.735,137.806,-2.72021,-56.705 
43,202.1,3.308,44.8167,2.027,47.3659,43,15130.5,-0.68258,31.9568,12.7066,121.177,0.675267,2777.48,2.76408,-3.43407,-3.97733,-4.22992,-3.10516,-1.0448,62.001,1268.99,564.038,15572.6,74273.8,-3.82447,-4.36773,-5.01073,-3.49556,-1.43521,0.723679,1199.3,547.641,15502.9,0.121375,0.555831,0.0610966,9880.95,-0.00278047,0.091262,12.7862,36.6002,123.886,107,1.2049,12.5956,11.9475,120.417,137.692,3.46898,-30.6924 
44,202.14,3.329,44.823,2.026,47.3727,44,15223.4,-0.115628,31.8395,12.17,121.445,0.0541951,0.992285,499.994,-3.876,-6.74873,-5.53612,-2.30835,-8.00496,45.9464,1007.83,396.568,15904.4,12615.7,-4.16532,-7.03805,-6.11474,-2.59766,-8.29427,0.783242,956.186,384.417,15852.8,0.0972351,0.587008,0.0427595,9833.76,-0.00274876,0.0673336,12.2266,44.6891,124.91,107,1.2776,12.4628,11.8045,120.69,137.881,4.21982,-30.8811 
45,202.1,3.308,44.8167,2.027,47.3659,45,15014.4,-0.0103452,31.502,12.3112,120.98,0.0078298,4.45683,3.79762e-12,-5.41835,-4.33523,-8.0089,-3.4403,-6.74234,45.4379,1082.37,458.44,15877.1,12626.2,-5.70446,-4.62134,-8.58112,-3.72641,-7.02845,0.710701,1031.3,446.423,15826.1,0.104236,0.568981,0.0493956,9893.9,-0.00308521,0.0702291,13.0116,42.4539,124.503,107,1.27483,12.5646,11.7404,120.264,137.557,4.23916,-30.5568 
46,201.6,3.035,44.7386,2.03,47.2809,46,11753.5,-0.645961,24.4924,13.7428,120.457,0.0442164,-69.1605,182.011,-6.36431,-5.42219,-11.5086,-7.03009,-5.62784,116.478,2089.78,420.118,11507.3,11056.8,-7.09774,-6.15562,-12.9755,-7.76352,-6.36127,0.678456,1958.86,389.314,11376.3,0.235168,0.741948,0.059301,8329.61,-0.00272742,0.0903406,18.5607,22.7516,124.31,90.3158,0.858592,13.1656,12.7175,119.675,138.079,4.63504,-47.7633 
47,202.6,3.58,44.8948,2.023,47.4507,47,15089.9,-0.0845198,34.7488,11.2155,121.23,-0.0216636,-7.93703,5.66478e-05,-8.0757,-1.51927,-4.38357,-3.8091,-3.10644,42.038,57.6054,504.921,16890.1,12692.5,-8.3404,-1.78397,-4.91297,-4.0738,-3.37115,0.781474,10.3561,493.804,16842.9,0.00109676,0.0118421,0.0512399,9442.37,-0.00194439,-0.013933,6.67259,6.73097,114.812,81.4676,1.56314,11.6721,11.65,120.825,136.997,-6.01266,-55.5298 
48,201.7,3.089,44.7542,2.029,47.2979,48,10418.1,-0.341391,22.185,13.3715,120.817,0.664499,-45.7174,500,-8.60555,-3.7065,-5.49667,-4.55176,-1.02181,91.7165,1847.75,427.222,10579.6,10645.8,-9.18306,-4.28402,-6.65169,-5.12927,-1.59933,0.75224,1744.66,402.967,10476.5,0.229213,0.712149,0.0661662,7611.51,-0.00285654,0.0814768,18.1776,24.1791,124.942,90.6784,0.816436,12.9398,12.4496,120.033,137.18,4.90949,-46.5018 
49,201.98,3.242,44.798,2.027,47.3455,49,14402.3,-0.366615,30.0881,12.7982,120.872,-0.228775,625.931,500,-3.36602,-5.98463,-4.0502,-3.60367,-10.3061,102.703,1420.63,516.937,14704.9,17196.9,-4.01271,-6.63132,-5.34359,-4.25036,-10.9528,0.828681,1305.19,489.776,14589.4,0.137747,0.603613,0.058239,9475.28,-0.00306462,0.0802378,13.6463,47.0043,124.171,107,1.1455,12.5859,11.6277,120.011,137.363,4.15911,-30.3634 
50,201.2,2.817,44.676,2.033,47.2128,50,13927.4,-0.697121,28.6803,13.3046,120.324,-0.113298,100.838,324.128,-6.08707,-1.86252,-8.541,-4.05108,-5.09784,54.7883,1304.68,392.02,14418.6,12793.6,-6.43205,-2.2075,-9.23098,-4.39607,-5.44283,0.666865,1243.1,377.53,14357,0.133911,0.652965,0.0462018,9283.02,-0.00264072,0.0806498,14.6889,23.0477,124.924,94.7812,1.06081,13.2014,12.8562,119.574,138.069,5.34997,-43.2882 
51,202.8,3.689,44.926,2.022,47.4846,51,14407.7,0.0236621,34.69,10.8367,121.482,1.90612e-05,-19.3571,2.00414e-13,-6.45424,-3.6239,-5.65007,-2.98296,-3.27118,37.2001,-279.738,358.005,16842.6,12237.7,-6.68848,-3.85814,-6.11855,-3.21719,-3.50542,0.738387,-321.55,348.167,16800.8,-0.0353862,-1.11749,0.0367708,9086.87,-0.00240116,-0.023535,14.0097,8.86792,114.456,82.2373,1.60854,11.4883,11.5179,121.114,137.636,-6.65773,-55.399 
52,201.1,2.762,44.6603,2.033,47.1958,52,11974.6,-0.699308,27.1883,12.4837,120.544,0.617894,-564.479,52.8224,-6.46814,-5.20714,-9.66303,-0.250449,-4.78859,84.2937,689.413,253.763,13295.2,22403.1,-6.99892,-5.73792,-10.7246,-0.781223,-5.31936,0.637217,594.669,231.47,13200.5,0.0744551,0.594822,0.0312905,7986.95,-0.00275199,0.0679639,11.7436,21.8615,125.216,98.4384,1.06744,12.6577,12.3976,119.838,138.11,5.37884,-39.6716 
