cyc,field,FB,79,VVA,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
35,202.4,3.471,44.8636,2.025,47.4168,35,14352.6,-0.763462,33.9393,11.7368,120.916,0.385801,-294.652,450.142,-4.71834,-4.02252,-7.26864,-2.14029,-4.07817,124.315,531.951,84.818,16482.2,16667.8,-5.50112,-4.8053,-8.8342,-2.92307,-4.86095,0.671892,397.704,79.3385,16348,0.0402553,0.74123,0.00886071,9879.54,-0.00317441,0.106324,10.4853,13.5874,123.357,108,1.50128,11.9089,11.456,120.542,137.17,2.81532,-29.1704 
36,202.22,3.373,44.8355,2.026,47.3862,36,12645.5,-0.337427,29.2945,11.8358,120.927,-0.697267,964.712,0.27095,-4.61474,-0.219699,-4.6561,-1.88133,-2.25774,70.5553,872.232,79.0448,14241.5,33184.3,-5.05901,-0.663967,-5.54464,-2.3256,-2.702,0.659738,796.04,75.935,14165.4,0.0883316,0.856946,0.00977825,9011.94,-0.00273645,0.0923429,11.0486,17.9616,123.238,108,1.26034,11.9996,11.5474,120.403,137.326,2.83531,-29.326 
37,202.02,3.264,44.8042,2.027,47.3523,37,12900.4,-0.479804,28.5527,12.7039,121.029,-0.826552,1348.26,499.666,-7.76728,-4.45427,-7.17657,-2.58807,-2.67685,95.7471,1414.3,68.9343,13925.3,48085.7,-8.37017,-5.05716,-8.38235,-3.19097,-3.27974,0.703598,1310.9,64.7141,13821.9,0.14054,0.920479,0.00855101,9327.58,-0.00340213,0.065054,13.3864,50.4488,124.475,108,1.11523,12.446,11.6354,120.024,137.129,4.45122,-29.1286 
38,202.2,3.362,44.8324,2.026,47.3829,38,14040,-0.0131588,31.2459,11.777,121.295,-0.00108233,11.8547,500,-2.53972,-1.0261,-8.67338,-2.97985,-5.40173,91.9245,1071.71,80.7275,15415.5,11979.5,-3.11855,-1.60492,-9.83103,-3.55867,-5.98055,0.591967,972.439,76.6757,15316.2,0.0986661,0.878746,0.00913763,9855.86,-0.00286256,0.0779715,11.6413,27.3726,123.951,108,1.33045,12.175,11.5419,120.819,138.122,3.1323,-30.1217 
39,202.26,3.395,44.8417,2.026,47.393,39,14820.5,-0.672735,33.2602,11.9729,121.19,0.947356,480.57,455.353,-4.90148,-4.52689,-7.04954,-1.64637,-0.473134,70.1096,987.806,120.322,16012.2,27784,-5.34294,-4.96835,-7.93246,-2.08783,-0.914596,0.62664,912.095,117.232,15936.5,0.0898153,0.816375,0.0133697,10155.2,-0.00258234,0.125658,10.6052,15.0226,122.963,108,1.36434,12.1329,11.9286,120.772,137.738,2.19037,-29.7379 
40,202.9,3.744,44.9416,2.021,47.5016,40,14934.8,-0.542122,36.0852,11.0261,121.471,0.336675,-708.602,63.7879,-6.01244,-1.74767,-4.52605,-2.46339,0.145218,37.9712,400.197,141.075,16924.9,20718.5,-6.25153,-1.98676,-5.00424,-2.70248,-0.0938766,0.687993,359.193,139.401,16883.9,0.0353819,0.595533,0.0149814,10151.9,-0.00194478,-0.0251814,10.7466,7.38391,118.534,81.9861,1.60994,11.3286,11.6253,121.01,137.186,-2.47635,-55.2003 
41,202.3,3.417,44.848,2.025,47.3998,41,13632.8,-0.0123795,31.1549,11.6347,120.952,-0.0235354,19.2635,8.05071e-12,-5.02199,-3.13226,-7.9688,-3.6126,-5.24713,81.438,663.096,66.8293,15451.9,11814.6,-5.53479,-3.64506,-8.99438,-4.12539,-5.75992,0.679454,575.151,63.2398,15363.9,0.0606302,0.838632,0.00752527,9486.23,-0.00673891,0.0161913,57.6648,91.5414,148,74.6179,1.3668,11.9963,11.8368,120.566,137.644,27.4342,-63.026 
42,202.7,3.635,44.9104,2.023,47.4677,42,13287.9,-0.242609,33.7043,11.0087,121.295,0.33775,167.343,109.022,-1.57501,-2.88358,-5.84302,-3.90134,-5.10924,85.6934,232.593,89.6746,15661.4,13918.5,-2.1146,-3.42317,-6.9222,-4.44093,-5.64883,0.693025,140.053,85.8975,15568.9,0.015273,0.482321,0.0100611,9170.02,-0.00249286,-0.0218414,7.94034,7.33223,118.112,81.6952,1.53272,11.3515,11.4219,120.732,137.805,-2.62046,-56.11 
43,202.1,3.308,44.8167,2.027,47.3659,43,14782.3,-0.730561,31.9354,12.6778,121.174,0.707752,254.164,11.1623,-4.60077,-3.54124,-3.63405,-3.15254,-0.858256,104.765,1639.84,100.745,15489.3,19035.7,-5.26045,-4.20092,-4.9534,-3.81221,-1.51793,0.74913,1526.71,96.1268,15376.1,0.146168,0.90075,0.0113852,10444.9,-0.00310129,0.090765,12.8435,37.7578,123.758,108,1.20285,12.5752,11.9134,120.413,137.683,3.34425,-29.6833 
44,202.14,3.329,44.823,2.026,47.3727,44,14874.4,-0.418803,31.9992,12.2724,121.425,0.071392,490.89,0.00238767,-4.36555,-6.21221,-5.20465,-2.31711,-7.12793,91.9572,1238.83,78.7585,15811.9,13924.8,-4.94459,-6.79124,-6.36271,-2.89614,-7.70696,0.778315,1139.53,74.7053,15712.6,0.111143,0.897081,0.00868222,10252.8,-0.00304071,0.0673234,12.1803,45.2317,124.771,108,1.27693,12.4546,11.7858,120.693,137.867,4.07737,-29.8671 
