cyc,Field,#2,#3,#4,#5,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
26,202.6,3.586,44.8948,2.019,1.27735,26,21506.7,0,5,101,125,0,5,135,-5.72508,-2.95368,-12.9325,-5.97542,-4.62365,-94.3546,-7.5785,28391.1,-9.76084,16439.4,-5.36051,-2.58911,-12.2033,-5.61085,-4.25909,0.593532,-2.06442,28804.7,-4.24676,0.288306,-4.09558e-05,1.00008,-7.16053,407.995,470.327,0.497617,38356.7,8.95837e-07,0.488988,109.269,86.0249,22.5324,23.9673,0.940132,461.51,531.925,0.553079 
27,201.9,3.199,44.7855,2.021,1.5711,27,21487.2,0,5,101,125,0,5,135,-7.29982,-6.51381,-6.64375,-3.26781,-4.47172,-206.651,20.8393,28037.3,0.0830064,16439.4,-6.50136,-5.71535,-5.04684,-2.46935,-3.67326,0.78438,32.916,28943,12.1597,0.692857,0.000649447,0.999772,47.5077,534.559,623.681,0.582936,38293.2,8.95342e-07,0.644897,108.889,84.9703,25.3166,27.0829,0.934781,582.606,679.208,0.702587 
28,202.4,3.475,44.8636,2.02,1.35818,28,25744.2,0,5,101,125,0,5,135,-5.7167,-8.15536,-15.3853,-3.54709,-4.26782,-61.9253,10.2975,32654.2,-15.245,16439.4,-5.47743,-7.91609,-14.9067,-3.30782,-4.02856,0.581702,13.9165,32925.6,-11.6261,-399.104,0.000241464,1.00019,-0.0348692,461.333,528.396,0.54655,44468.9,9.41096e-07,0.52463,109.381,85.5887,23.6679,25.1048,0.942761,509.195,583.616,0.579257 
29,202,3.254,44.8011,2.021,1.52728,29,23248.5,0,5,101,125,0,5,135,-6.57042,-6.27625,-9.11212,-8.2851,-11.6999,-72.4114,6.86521,29564,-2.72022,16439.4,-6.29063,-5.99647,-8.55256,-8.00532,-11.4201,0.787594,11.0969,29881.4,1.5115,0.859512,0.000212164,0.999973,12.9107,546.154,604.264,0.629178,40606.8,9.13022e-07,0.629201,109.288,85.1723,25.387,26.4567,0.959567,585.85,648.161,0.674922 
30,202.5,3.53,44.8792,2.019,1.31746,30,25240.6,0,5,101,125,0,5,135,-8.34244,-6.93639,-8.5089,-2.9498,-4.75893,-130.427,1.4456,32263.1,-4.22291,16439.4,-7.83849,-6.43244,-7.50101,-2.44585,-4.25499,0.736555,9.06775,32834.8,3.39925,0.689728,0.000157782,0.999944,13.1468,424.996,485.326,0.433065,43273.8,9.32589e-07,0.486989,109.487,85.5802,23.5511,24.9276,0.944779,504.181,575.404,0.57755 
31,202.1,3.309,44.8167,2.021,1.48408,31,22166.1,0,5,101,125,0,5,135,-6.3233,-3.94831,-9.37783,-3.04542,-7.68472,-127.889,9.02344,28776.5,-16.9281,16439.4,-5.82916,-3.45417,-8.38956,-2.55128,-7.19058,0.693977,16.4973,29337,-9.45421,3.20197,0.000321232,1.00017,5.15223,499.386,563.936,0.550722,39075.9,9.01401e-07,0.588728,109.152,85.1443,24.6103,25.9184,0.949533,550.555,622.053,0.649226 
32,201.3,2.867,44.6916,2.023,1.84707,32,22551.7,0,5,101,125,0,5,135,-8.14867,-8.36673,-16.177,-7.99985,-5.05542,-92.9376,5.3366,29665.9,-11.7898,16439.4,-7.78958,-8.00763,-15.4588,-7.64075,-4.69633,0.645384,10.7679,30073.3,-6.35852,3.43183,0.000204561,1.00011,3.13765,566.563,646.705,0.604497,41016.1,9.1608e-07,0.66076,109.666,84.3474,25.9556,27.4748,0.944708,612.39,699.005,0.714202 
33,201.7,3.088,44.7542,2.022,1.66061,33,21073,0,5,101,125,0,5,135,-2.28863,-5.09503,-7.74549,-5.9977,-8.11186,-92.2618,8.3344,27518.8,12.3577,16439.4,-1.93215,-4.73855,-7.03252,-5.64122,-7.75537,0.740496,13.7262,27923.1,17.7495,0.39189,0.000280818,0.999655,35.0256,598.189,665.648,0.671538,37847,8.91851e-07,0.707537,109.245,84.253,26.4309,27.6238,0.956814,635.021,706.61,0.751089 
34,201.4,2.922,44.7073,2.023,1.79952,34,23410.9,0,5,101,125,0,5,135,-6.05684,-5.69228,-10.5929,-4.27904,-3.95029,-75.719,7.22007,29632.5,-5.76285,16439.4,-5.76428,-5.39972,-10.0078,-3.98647,-3.65773,0.652699,11.6451,29964.4,-1.33783,1.1599,0.000222025,1.00002,10.0397,582.322,686.964,1.07109,40966.2,9.15708e-07,0.690703,109.251,84.9973,25.5127,27.4552,0.929248,591.669,698.012,0.701801 
35,202.8,3.696,44.926,2.019,1.199,35,29816.6,0,5,101,125,0,5,135,-6.79048,-4.20763,-13.0852,-2.92826,-4.05604,-64.4829,6.01286,36496.5,-10.0945,16439.4,-6.54134,-3.95848,-12.5869,-2.67911,-3.80689,0.574374,9.78124,36779.2,-6.32616,4.46662,0.000151946,1.00009,2.18985,412.997,464.981,0.416423,49270.2,9.73816e-07,0.450002,109.646,86.1127,23.3815,24.5797,0.951252,496.948,559.457,0.541455 
