cyc,wiggle on time,wiggle off time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,4,6.1,23,17254.6,0,5,101,125,0,5,135,-2.79069,-4.7064,-7.80645,-7.59427,-7.37176,-60.6511,9.10753,25272.7,-10.7769,16439.4,-2.55635,-4.47205,-7.33776,-7.35992,-7.13741,0.745777,12.652,25538.5,-7.2325,3.1845,0.00028301,1.00015,3.97298,492.497,565.947,0.956095,34239.7,8.62565e-07,0.612065,109.88,84.9082,23.5311,24.9918,0.941552,503.325,578.371,0.625512 
24,0.04,10.06,24,16793.1,0,5,101,125,0,5,135,-1.7031,-1.68691,-4.91502,-4.79475,-6.80055,2.85102,-3.39369,25082.8,-4.30491,16439.4,-1.71411,-1.69793,-4.93706,-4.80577,-6.81156,0.752732,-3.56031,25070.3,-4.47152,0.398863,-8.1157e-05,1.0001,-8.92613,464.183,517.265,0.747632,33907.2,8.59764e-07,0.569931,109.752,84.7472,23.09,24.15,0.956106,484.631,540.066,0.595045 
25,0.02,10.08,25,17263.9,0,5,101,125,0,5,135,0.14487,-2.59931,-7.93621,-1.82672,-1.5234,-87.9041,-9.65213,24892.8,-9.06062,16439.4,0.484514,-2.25967,-7.25692,-1.48707,-1.18376,0.379904,-4.51502,25278.1,-3.9235,0.489527,-0.000102076,1.00008,-9.22322,461.079,511.492,0.663105,33422.5,8.55647e-07,0.56756,109.615,85.3998,23.1999,24.207,0.958396,489.256,542.616,0.60217 
26,0.4,9.7,26,17081.8,0,5,101,125,0,5,135,-6.21447,-7.18597,-10.2499,-9.58263,-6.5457,34.5811,5.97382,25446.2,-14.5759,16439.4,-6.34809,-7.31959,-10.5172,-9.71624,-6.67932,0.740831,3.9529,25294.7,-16.5968,-0.247624,8.92915e-05,1.00036,-15.9633,445.845,522.441,0.589837,34259.9,8.62735e-07,0.559414,109.861,84.6069,23.0617,24.7342,0.932383,483.448,566.51,0.606598 
27,0.2,9.9,27,18516.2,0,5,101,125,0,5,135,-3.15045,-4.56077,-10.9003,-7.73774,-3.98046,-101.284,17.2855,26480.7,-39.3434,16439.4,-2.75911,-4.16943,-10.1176,-7.3464,-3.58912,0.63842,23.2045,26924.6,-33.4244,-1.37266,0.000492233,1.00067,-16.9048,460.653,535.597,0.552001,35770.3,8.75231e-07,0.567522,109.645,84.7042,23.6361,25.2406,0.936431,507.83,589.947,0.625378 
28,0.01,10.09,28,17631,0,5,101,125,0,5,135,-0.423764,4.12467,-5.8687,-5.08697,-2.79674,-67.2616,7.22633,25979.5,-22.0317,16439.4,-0.163879,4.38456,-5.34893,-4.82709,-2.53685,0.370136,11.1571,26274.3,-18.1009,-1.05615,0.000242592,1.00037,-10.564,434.758,510.229,0.531233,34502.5,8.64766e-07,0.544638,110.277,85.07,23.0713,24.7399,0.932555,483.85,566.772,0.605565 
29,8,2.1,29,19838.1,0,5,101,125,0,5,135,-8.87863,-7.49462,-10.1893,-4.06966,-4.078,-23.1702,10.0033,28156.5,-25.9018,16439.4,-8.78911,-7.4051,-10.0102,-3.98014,-3.98847,0.707073,11.3574,28258.1,-24.5478,-0.627481,0.000229614,1.00047,-18.1,491.732,585.122,0.546666,38094.5,8.93791e-07,0.600139,109.793,84.3184,24.4458,26.4144,0.925472,543.216,646.09,0.662822 
30,2,8.1,30,17018.4,0,5,101,125,0,5,135,-3.09179,-3.44312,-11.0943,-5.33577,-4.1172,-91.507,15.2526,25158.1,-11.7074,16439.4,-2.73823,-3.08956,-10.3872,-4.9822,-3.76363,0.58386,20.6003,25559.2,-6.35976,1.58848,0.00046035,1.00014,12.9686,454.655,525.544,0.59358,33967.5,8.60273e-07,0.56821,109.46,84.5192,23.2792,24.7924,0.938967,492.608,569.178,0.615514 
31,0.8,9.3,31,16939.2,0,5,101,125,0,5,135,-6.93066,-5.14093,-9.39129,-8.79232,-3.75341,-25.2292,-1.99748,25126.8,-25.2777,16439.4,-6.83318,-5.04345,-9.19633,-8.69483,-3.65593,0.724856,-0.523085,25237.4,-23.8033,0.0179834,-1.18439e-05,1.00051,-29.0871,460.905,535.261,0.692071,34358.8,8.63564e-07,0.575168,109.489,85.3888,23.1264,24.6904,0.936657,486.162,564.504,0.606638 
32,1,9.1,32,19913.5,0,5,101,125,0,5,135,-4.09878,-3.27274,-10.8179,-3.31938,-10.418,-26.7927,6.44007,27372.9,-4.65983,16439.4,-3.99526,-3.16922,-10.6108,-3.21586,-10.3145,0.661057,8.00584,27490.4,-3.09406,1.86487,0.000166386,1.00006,4.29297,450.467,514.577,0.579231,36617.6,8.82088e-07,0.545814,109.841,85.0923,23.2255,24.5939,0.944364,490.34,560.1,0.594114 
33,0.08,10.02,33,17234.1,0,5,101,125,0,5,135,-3.3975,-5.9609,-13.6616,-3.58177,-6.17446,-81.1917,19.9457,25135.4,-22.3104,16439.4,-3.08379,-5.64719,-13.0342,-3.26806,-5.86075,0.578099,24.6906,25491.3,-17.5655,6.83585,0.000553173,1.00037,3.61192,432.256,498.956,0.573879,33312,8.54704e-07,0.543358,109.555,85.121,22.7767,24.2423,0.939546,471.572,544.201,0.592704 
34,10,0.1,34,18769.9,0,5,101,125,0,5,135,-6.46697,-6.43737,-9.35521,-4.25231,-6.27474,-106.578,19.8218,26754.1,-13.6442,16439.4,-6.05518,-6.02558,-8.53162,-3.84052,-5.86294,0.718575,26.0502,27221.3,-7.41579,1.51885,0.000546547,1.00015,17.1513,514.166,592.159,0.616577,35981.9,8.76953e-07,0.629208,109.525,84.3763,24.6756,26.2317,0.94068,553.479,637.183,0.677183 
35,4,6.1,35,19652.8,0,5,101,125,0,5,135,-3.69736,-6.7618,-14.5557,-4.46088,-6.1475,-46.255,13.7471,27749.5,-10.6862,16439.4,-3.51864,-6.58308,-14.1983,-4.28216,-5.96878,0.589062,16.4502,27952.2,-7.98305,2.3943,0.00033618,1.00016,6.87056,478.171,553.104,0.561322,37596.3,8.89877e-07,0.577917,109.6,84.3414,24.0277,25.5956,0.938742,524.794,606.656,0.634067 
36,0.04,10.06,36,17758.7,0,5,101,125,0,5,135,-8.86302,-4.64216,-16.3138,-4.42314,-1.76037,-13.7085,13.8739,25911.4,-32.7861,16439.4,-8.81006,-4.58919,-16.2078,-4.37017,-1.70741,0.545804,14.675,25971.5,-31.985,-0.61902,0.000322779,1.00067,-23.7069,446.868,520.964,0.617743,34853.1,8.67686e-07,0.556072,110.006,84.9748,22.9821,24.5937,0.934472,480.116,560.094,0.597642 
37,0.02,10.08,37,19490,0,5,101,125,0,5,135,-5.15151,-5.16173,-9.36942,-5.65751,-5.9016,-78.3241,5.74841,27110.6,-25.7408,16439.4,-4.84888,-4.8591,-8.76416,-5.35488,-5.59897,0.702163,10.3257,27453.9,-21.1635,-0.685155,0.000214873,1.00042,-15.0706,445.31,497.427,0.484997,36230.4,8.78967e-07,0.535455,109.912,85.6031,23.6465,24.7482,0.955485,508.276,567.151,0.610839 
38,0.4,9.7,38,19619.7,0,5,101,125,0,5,135,-4.44731,-5.80448,-14.9909,-6.93639,-3.8467,-95.4554,6.28856,27331.6,-24.7605,16439.4,-4.07849,-5.43566,-14.2532,-6.56756,-3.47788,0.578467,11.867,27750,-19.1821,-1.06415,0.000244306,1.00038,-11.1516,433.294,496.155,0.473761,36464.4,8.80856e-07,0.526375,109.563,85.213,23.4069,24.8092,0.943474,498.026,569.953,0.60484 
39,0.2,9.9,39,19909.7,0,5,101,125,0,5,135,-6.26739,-2.17216,-17.0363,-0.771262,-6.76629,-65.9338,0.346931,28042.5,-21.6963,16439.4,-6.01264,-1.91741,-16.5268,-0.516507,-6.51153,0.475088,4.2001,28331.5,-17.8431,-0.244027,8.47062e-05,1.00034,-17.2116,460.882,539.098,0.702173,37479.8,8.88957e-07,0.560722,109.982,84.5777,23.1047,24.7518,0.933457,485.252,567.317,0.590222 
40,0.01,10.09,40,18334.7,0,5,101,125,0,5,135,-1.75028,-2.66827,-12.2593,-4.40225,-6.9225,22.7309,-0.120469,26403.6,-17.756,16439.4,-1.83811,-2.7561,-12.4349,-4.49008,-7.01033,0.564138,-1.44886,26304,-19.0844,0.0595012,-3.14761e-05,1.00039,-24.3501,459.876,520.762,0.516766,35496.3,8.7299e-07,0.560571,109.793,85.023,23.8126,25.0892,0.949118,515.442,582.889,0.627875 
41,8,2.1,41,20604.6,0,5,101,125,0,5,135,-1.55902,-2.33818,-10.1095,-5.83672,-6.20189,-150.527,12.1116,28282.2,6.81303,16439.4,-0.977413,-1.75657,-8.94631,-5.25512,-5.62028,0.603368,20.9083,28942,15.6098,0.527454,0.000412642,0.999707,39.6401,545.038,633.291,116.402,38226.1,8.94819e-07,0.656569,110.107,84.9092,24.5886,26.0783,0.942877,549.584,629.754,0.657457 
42,2,8.1,42,18487.2,0,5,101,125,0,5,135,-2.501,-3.03762,-13.6277,-4.19542,-2.57855,-154.224,13.0233,26948,-40.1659,16439.4,-1.90511,-2.44173,-12.4359,-3.59954,-1.98266,0.443955,22.0361,27624,-31.153,-1.43581,0.000455631,1.00061,-15.3475,470.835,560.978,0.712253,36160.9,8.78405e-07,0.585076,109.798,85.77,23.3351,25.2344,0.924733,494.976,589.655,0.61503 
43,0.8,9.3,43,18510.8,0,5,101,125,0,5,135,-4.30472,-4.41772,-14.9016,-3.89656,-5.2381,-85.2857,12.0258,26475.6,-11.8823,16439.4,-3.9752,-4.08819,-14.2425,-3.56704,-4.90857,0.537302,17.0099,26849.5,-6.89822,1.94799,0.000361885,1.00014,8.73203,435.199,495.959,0.478534,34787.1,8.67137e-07,0.535771,109.805,85.6531,23.4218,24.7781,0.945261,498.661,568.524,0.614029 
44,1,9.1,44,18281.3,0,5,101,125,0,5,135,-7.21953,-5.83079,-17.5853,-7.0444,-5.79452,12.949,-4.27131,26551.8,-2.38969,16439.4,-7.26957,-5.88082,-17.6854,-7.09443,-5.84455,0.595991,-5.02804,26495.1,-3.14642,0.571125,-0.000108453,1.00006,-8.80375,464.749,534.466,0.636525,35396,8.72168e-07,0.571438,109.759,85.0549,23.3818,24.8383,0.941361,496.96,571.289,0.610926 
45,0.08,10.02,45,18075,0,5,101,125,0,5,135,-3.04267,0.928858,-12.3782,-1.6031,-9.83977,-78.0781,0.829622,26083,-24.1153,16439.4,-2.74099,1.23054,-11.7749,-1.30142,-9.5381,0.511919,5.39251,26425.3,-19.5524,-0.298418,0.000116596,1.0004,-18.0703,441.244,508.911,0.554383,34572.6,8.65351e-07,0.547605,109.943,84.7883,23.1053,24.5732,0.940266,485.278,559.16,0.601964 
53,9,1.1,53,20666.2,0,5,101,125,0,5,135,-2.65258,-6.48425,-6.06949,-2.31681,-9.23169,-62.4091,8.38387,27887.9,-16.4759,16439.4,-2.41145,-6.24311,-5.58722,-2.07568,-8.99055,0.779231,12.0311,28161.5,-12.8287,-3.57705,0.000244064,1.00025,-3.3634,526.631,606.8,159.033,37046.5,8.85518e-07,0.638379,109.553,84.7658,24.1912,25.7057,0.941083,531.963,611.889,0.644288 
54,8,2.1,54,20094.7,0,5,101,125,0,5,135,-1.40608,0.207599,-3.48929,-4.10321,-3.93888,-90.7989,14.6889,26321.2,12.5568,16439.4,-1.05526,0.558428,-2.78763,-3.75238,-3.58805,0.737632,19.9952,26719.1,17.8631,0.482615,0.000427444,0.999637,41.4309,527.872,622.003,4.29009e+10,35084,8.69597e-07,0.658934,109.782,85.2342,24.0981,25.9173,0.929806,527.874,622.003,0.658936 
55,10,0.1,55,19794,0,5,101,125,0,5,135,-8.81299,-2.71904,-2.29446,-6.08446,-8.21624,-123.461,26.5258,26125.5,10.176,16439.4,-8.33596,-2.24201,-1.3404,-5.60743,-7.73921,0.946947,33.7409,26666.7,17.3911,0.617849,0.000722496,0.999646,54.6102,527.949,626.848,0.800354,34917.8,8.68222e-07,0.662592,109.705,85.0086,24.5409,26.4959,0.926214,547.452,650.085,0.687112 
56,4,6.1,56,18529.6,0,5,101,125,0,5,135,-4.99853,-3.44066,-10.8635,-4.64118,-5.17093,-105.327,17.9717,24945.1,5.51363,16439.4,-4.59157,-3.0337,-10.0496,-4.23421,-4.76397,0.62323,24.1271,25406.8,11.669,0.632761,0.000542352,0.999751,38.1298,458.473,526.834,0.617029,32168.8,8.44812e-07,0.581746,109.618,85.0512,23.2922,24.7433,0.941354,493.157,566.926,0.625887 
57,7,3.1,57,20094.7,0,5,101,125,0,5,135,-9.92832,-2.36568,-7.08544,-3.85319,-7.673,-94.61,9.31508,26209.2,11.4267,16439.4,-9.56277,-2.00012,-6.35433,-3.48764,-7.30745,0.77869,14.8441,26623.8,16.9557,0.421816,0.000318498,0.999654,35.1909,470.163,543.885,0.4988,34556.9,8.6522e-07,0.584455,109.981,85.3474,24.2057,25.7928,0.938466,532.6,616.042,0.662032 
