cyc,Field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
107,202.5,3.53,44.8792,2.019,107,25371.4,0,5,101,125,0,5,135,-7.56099,-6.67424,-11.1756,-9.43249,-5.20666,-56.1509,3.85157,32577,-24.9094,16439.4,-7.34404,-6.45728,-10.7417,-9.21554,-4.9897,0.722782,7.13303,32823.2,-21.628,-0.379002,0.000124166,1.00036,-18.8206,417.493,488.522,0.550488,44281.4,9.39771e-07,0.480557,109.912,85.7043,22.4834,24.0943,0.933142,459.503,537.576,0.528861 
108,201.9,3.199,44.7855,2.021,108,21129,0,5,101,125,0,5,135,-1.40363,-9.94774,-3.73898,-6.03644,-9.13837,-115.245,-10.0091,28258.5,-17.2939,16439.4,-0.958344,-9.50245,-2.84842,-5.59116,-8.69309,0.896772,-3.2742,28763.6,-10.559,0.205344,-6.50507e-05,1.0002,-15.945,451.22,516.682,0.58926,38627,8.97936e-07,0.537726,110.067,85.8399,23.2112,24.5937,0.943787,489.735,560.092,0.583263 
109,202.2,3.365,44.8324,2.02,109,24043.5,0,5,101,125,0,5,135,-5.85033,-5.49636,-8.01665,-7.87912,-3.49821,-63.9947,20.1815,31027.8,-41.3132,16439.4,-5.60307,-5.2491,-7.52213,-7.63186,-3.25094,0.742896,23.9213,31308.3,-37.5733,-1.13014,0.000436414,1.00065,-21.1667,424.176,488.75,0.57121,42063.9,9.23815e-07,0.492869,110.01,86.4791,22.5674,24.0038,0.940157,462.943,533.548,0.537979 
110,201,2.701,44.6446,2.024,110,21911.2,0,5,101,125,0,5,135,-5.89814,-2.30637,-9.54153,-4.2127,-5.43217,-148.347,30.2916,28469.5,-19.0412,16439.4,-5.32496,-1.73319,-8.39516,-3.63952,-4.85898,0.649498,38.9611,29119.7,-10.3718,1.4694,0.000763965,1.00019,26.5149,537.612,610.018,0.716776,39096.4,9.01559e-07,0.635202,109.585,85.1999,24.9216,26.306,0.947373,564.571,640.801,0.667155 
111,201.6,3.033,44.7386,2.022,111,20060.3,0,5,101,125,0,5,135,-7.37989,-5.11074,-4.26981,-6.48809,-9.19112,4.83422,3.93905,27438.7,-30.9907,16439.4,-7.39857,-5.12942,-4.30717,-6.50677,-9.2098,0.867682,3.65654,27417.5,-31.2732,-0.107954,7.62028e-05,1.00062,-33.8713,484.859,565.509,0.573989,37362.7,8.88031e-07,0.589657,110.025,85.2299,24.1391,25.8181,0.934969,529.672,617.248,0.643881 
112,201.8,3.143,44.7699,2.022,112,20947.9,0,5,101,125,0,5,135,-7.37104,-2.87767,-10.5007,-7.00909,-9.11427,-95.1035,22.6801,27856.3,-37.4409,16439.4,-7.00358,-2.51021,-9.76583,-6.64163,-8.74681,0.718305,28.2379,28273.2,-31.8831,-2.81767,0.000570391,1.00061,-10.0217,479.416,554.663,0.937058,38012.3,8.93148e-07,0.577361,110.064,85.8475,23.2308,24.7574,0.938341,490.564,567.572,0.590793 
113,201.4,2.922,44.7073,2.023,113,19297.7,0,5,101,125,0,5,135,-2.4035,-3.46967,-2.76793,-4.49661,-5.80479,-130.214,-2.86286,26408.3,-29.0752,16439.4,-1.90038,-2.96655,-1.76169,-3.99349,-5.30167,0.889367,4.74682,26979,-21.4655,-0.225912,0.00010053,1.00043,-21.0118,505.969,588.451,0.62693,36467.9,8.80884e-07,0.619439,110.134,85.1601,24.4391,26.1097,0.936018,542.922,631.271,0.664596 
114,202.6,3.586,44.8948,2.019,114,26729.6,0,5,101,125,0,5,135,-3.39626,-1.5577,-11.4203,-7.09746,-7.06588,-69.8506,24.7005,33853.7,-36.4258,16439.4,-3.12637,-1.28781,-10.8805,-6.82757,-6.79599,0.62375,28.7826,34159.8,-32.3438,-2.86966,0.000481245,1.00051,-10.03,387.681,449.963,0.41575,45729.8,9.49908e-07,0.439688,109.965,85.9548,22.657,24.1796,0.937032,466.628,541.389,0.529125 
115,202.1,3.309,44.8167,2.021,115,18907.1,0,5,101,125,0,5,135,-7.08019,-1.05772,-9.29562,-8.92075,-10.0301,3.37477,3.24459,26223.8,-32.5568,16439.4,-7.09323,-1.07076,-9.3217,-8.93379,-10.0431,0.744349,3.04737,26209,-32.754,-0.0840483,6.64367e-05,1.00068,-36.2574,397.216,459.345,0.488543,35525.7,8.73232e-07,0.489163,110.393,85.8656,22.2883,23.7343,0.939073,451.562,521.633,0.555791 
116,202.8,3.696,44.926,2.019,116,23301,0,5,101,125,0,5,135,-4.29192,0.639246,-10.8138,-4.35438,-9.16152,-78.5773,11.5738,30430.6,-37.8499,16439.4,-3.98831,0.942853,-10.2066,-4.05077,-8.85791,0.60985,16.1659,30775,-33.2578,-0.680854,0.000300076,1.00059,-23.7435,356.866,420.853,0.39917,40765,9.14207e-07,0.42391,110.27,86.287,21.923,23.5765,0.92987,436.885,514.718,0.518709 
117,202.7,3.641,44.9104,2.019,117,24723.2,0,5,101,125,0,5,135,-1.0369,-2.63842,-11.2084,-3.29682,-10.167,-83.6687,13.9198,32055.4,-29.1249,16439.4,-0.713625,-2.31514,-10.5618,-2.97354,-9.8437,0.60005,18.8094,32422.1,-24.2353,-1.83096,0.0003314,1.00041,-10.273,386.81,432.436,0.421517,43532.4,9.34443e-07,0.43768,110.019,85.6676,22.5673,23.6313,0.954973,462.939,517.117,0.523604 
118,202.3,3.42,44.848,2.02,118,23848.9,0,5,101,125,0,5,135,-6.11714,-1.42877,-4.69524,-9.21289,-3.36591,-38.3322,15.4958,31106.3,-18.7257,16439.4,-5.96903,-1.28067,-4.39902,-9.06478,-3.2178,0.816181,17.7359,31274.3,-16.4855,-8.66541,0.000323956,1.00029,-2.04675,394.573,460.427,0.473006,41971.7,9.2314e-07,0.461718,109.958,85.9343,22.3336,23.8937,0.934706,453.402,528.665,0.530353 
119,202,3.254,44.8011,2.021,119,23240.7,0,5,101,125,0,5,135,-2.41543,-1.91446,-4.02041,-5.50655,-4.76706,-92.7259,2.1857,30518.8,-23.7693,16439.4,-2.05716,-1.55619,-3.30386,-5.14828,-4.40878,0.799453,7.6046,30925.2,-18.3504,-0.527514,0.000140496,1.00032,-14.4159,456.497,526.048,0.601028,41932.5,9.22852e-07,0.531006,109.911,85.6922,23.2949,24.768,0.940524,493.273,568.06,0.573599 
120,201.3,2.867,44.6916,2.023,120,19435.2,0,5,101,125,0,5,135,-3.32544,-0.853631,-3.88684,-4.63988,-2.94255,-131.474,13.2751,26456.8,-11.1701,16439.4,-2.81745,-0.345643,-2.87087,-4.13189,-2.43457,0.772161,20.9584,27033.1,-3.4868,1.24944,0.000442826,1.00007,16.7743,535.412,622.803,1.05285,36259.7,8.79205e-07,0.656794,110.41,85.1562,24.4741,26.1488,0.935955,544.476,633.163,0.667816 
121,201.1,2.756,44.6603,2.024,121,19359.1,0,5,101,125,0,5,135,-7.42569,-4.81786,-8.91939,-5.63727,-6.22529,-84.8662,15.263,26653,-34.5502,16439.4,-7.09778,-4.48995,-8.26357,-5.30936,-5.89738,0.733931,20.2226,27024.9,-29.5907,-1.32293,0.000427413,1.00059,-15.2862,528.135,601.542,0.781573,36700.8,8.82755e-07,0.638506,110.138,85.6812,24.5755,25.9817,0.945878,548.997,625.096,0.663618 
122,202.4,3.475,44.8636,2.02,122,23834.2,0,5,101,125,0,5,135,-2.82318,0.445532,-8.38682,-6.45973,-6.84182,-189.25,24.0441,31045.2,-21.7294,16439.4,-2.09195,1.17676,-6.92437,-5.7285,-6.1106,0.648128,35.1039,31874.7,-10.6696,1.57414,0.000628924,1.00018,22.3003,414.444,472.764,0.4929,42071.9,9.23873e-07,0.479118,110.214,85.6633,22.7426,24.0635,0.945108,470.158,536.202,0.543468 
123,202.9,3.752,44.9416,2.018,123,27241.2,0,5,101,125,0,5,135,-2.12939,-4.7673,-6.30474,-10.0437,-5.40179,-92.8533,7.72296,34191.9,-29.7093,16439.4,-1.77063,-4.40853,-5.58721,-9.68491,-5.04302,0.789117,13.1493,34598.9,-24.283,-0.822333,0.000217124,1.00038,-15.9902,395.96,454.38,0.446627,45976.9,9.51616e-07,0.445732,110.137,85.9757,22.5912,23.9644,0.9427,463.921,531.795,0.521954 
124,201.2,2.812,44.676,2.023,124,20828.8,0,5,101,125,0,5,135,-4.30215,-5.99649,-7.47954,-3.38413,-9.46964,-135.339,12.7829,28070.3,-22.0349,16439.4,-3.77922,-5.47357,-6.4337,-2.86121,-8.94672,0.766,20.6921,28663.5,-14.1257,5.53076,0.000412342,1.00027,3.74127,521.809,603.168,0.675981,38799.5,8.99271e-07,0.623856,109.869,85.5738,24.6648,26.2671,0.939001,552.996,638.906,0.660981 
125,201.7,3.088,44.7542,2.022,125,17138.6,0,5,101,125,0,5,135,-4.08264,-3.95536,-8.51398,-9.13049,-7.37623,-106.095,9.51571,24434.2,-23.2586,16439.4,-3.67271,-3.54543,-7.69412,-8.72056,-6.96629,0.748551,15.7159,24899.2,-17.0584,-3.30572,0.000360545,1.00037,-4.75416,460.849,546.61,0.66114,33856,8.59331e-07,0.58406,109.785,85.612,23.2062,25.0359,0.926917,489.525,580.417,0.620293 
126,201.5,2.978,44.7229,2.022,126,17575.9,0,5,101,125,0,5,135,-1.78241,-4.13297,-8.89869,-5.40106,-7.32816,-149.712,10.1229,24771.6,-34.1825,16439.4,-1.20395,-3.55452,-7.74177,-4.8226,-6.7497,0.678398,18.8721,25427.8,-25.4333,-1.62023,0.000423926,1.00054,-11.6478,493.361,589.249,0.62241,33463.7,8.55999e-07,0.629881,110.515,84.8801,24.1525,26.1452,0.923782,530.259,632.989,0.676814 
127,203,3.807,44.9571,2.018,127,23774.7,0,5,101,125,0,5,135,-1.84148,-3.95555,-11.8449,-6.26816,-5.87006,-116.933,1.49039,30625.5,-15.6315,16439.4,-1.38968,-3.50374,-10.9413,-5.81636,-5.41825,0.595805,8.32394,31138,-8.79799,-3.72663,0.000152734,1.00015,-2.23364,355.638,413.529,0.382485,41424.6,9.19111e-07,0.417243,109.899,85.9022,22.0814,23.5733,0.936712,443.217,514.578,0.519597 
128,202.5,3.53,44.8792,2.019,128,24026.8,0,5,101,125,0,5,135,-6.86894,-4.83149,-4.67848,-5.85004,-11.0689,-105.14,17.2585,30797.1,-24.9656,16439.4,-6.4627,-4.42525,-3.866,-5.44381,-10.6627,0.874726,23.4028,31257.9,-18.8212,28.6322,0.000427646,1.00033,0.81736,384.007,440.724,0.433445,41740,9.21438e-07,0.446464,110.242,86.2714,22.369,23.733,0.94253,454.841,521.575,0.528594 
129,201.9,3.199,44.7855,2.021,129,19750.1,0,5,101,125,0,5,135,-1.79736,2.69948,-14.9564,-2.50596,-5.4133,-136.205,-1.81229,26722.5,-4.98935,16439.4,-1.2711,3.22574,-13.9039,-1.97969,-4.88703,0.261059,6.14751,27319.5,2.97045,0.632978,0.000128568,0.999941,9.71204,446.626,511.779,0.601453,36833.4,8.83817e-07,0.540942,110.016,85.5763,23.0398,24.4233,0.943355,482.529,552.357,0.58413 
130,202.2,3.365,44.8324,2.02,130,21377.6,0,5,101,125,0,5,135,-3.98998,0.927701,-16.3741,-7.16819,-12.406,-110.797,2.81326,28524.5,-33.8525,16439.4,-3.56189,1.3558,-15.5179,-6.74009,-11.9779,0.574175,9.28823,29010.1,-27.3776,-0.394156,0.000182922,1.00051,-23.5649,405.34,467.274,0.491077,38329.7,8.95627e-07,0.485924,110.022,86.0739,22.5103,23.9414,0.940225,460.604,530.776,0.552068 
131,201,2.701,44.6446,2.024,131,21484.6,0,5,101,125,0,5,135,-3.64156,-5.18294,-2.1676,-8.52914,-13.0128,-44.6948,12.1119,28358.4,-12.634,16439.4,-3.46887,-5.01025,-1.82221,-8.35645,-12.8401,0.942148,14.7239,28554.3,-10.022,5.45835,0.000294568,1.00019,2.6975,527.987,602.33,0.664828,39266.5,9.02864e-07,0.624606,110.029,85.4917,24.8361,26.2789,0.945094,560.7,639.481,0.663219 
132,201.6,3.033,44.7386,2.022,132,21716.7,0,5,101,125,0,5,135,-2.38861,-3.71348,-12.3469,-6.60235,-4.10123,-131.918,6.46145,28305,-9.84647,16439.4,-1.87891,-3.20378,-11.3275,-6.09265,-3.59153,0.565902,14.1707,28883.2,-2.13719,1.22097,0.000280277,1.00004,11.6061,499.574,584.589,0.693266,39168.5,9.02113e-07,0.599051,110.276,85.3345,24.0773,25.7998,0.933235,526.963,616.375,0.631759 
133,201.8,3.143,44.7699,2.022,133,21884.8,0,5,101,125,0,5,135,-0.88217,1.32049,-4.17732,-3.8417,-9.76621,-131.128,8.62594,28630.5,-6.64624,16439.4,-0.375519,1.82714,-3.16401,-3.33505,-9.25956,0.778849,16.289,29205.2,1.01686,0.930309,0.00031861,0.999981,17.5093,487.095,549.658,0.805667,38907,9.00101e-07,0.57486,110.449,85.437,23.5616,24.7954,0.95024,504.63,569.316,0.595487 
134,201.4,2.922,44.7073,2.023,134,19359.1,0,5,101,125,0,5,135,0.163299,-1.52841,-14.1894,-7.23135,-5.10765,-164.472,13.2062,26347.9,-13.3228,16439.4,0.798786,-0.892927,-12.9184,-6.59587,-4.47216,0.463533,22.8179,27068.8,-3.7111,1.24249,0.00048146,1.00007,18.3646,537.524,613.075,1.56572,35808.4,8.75541e-07,0.655661,110.229,85.2163,24.3806,25.7969,0.945099,540.323,616.234,0.659057 
135,202.6,3.586,44.8948,2.019,135,26649.6,0,5,101,125,0,5,135,-3.87277,-5.77529,-0.595005,-5.91795,-9.25759,-139.136,10.8307,33877.7,-21.5016,16439.4,-3.33518,-5.2377,0.48018,-5.38035,-8.72,1.02164,18.9617,34487.5,-13.3705,6.50013,0.000314082,1.00021,2.91713,409.606,463.097,0.480803,46049.5,9.52117e-07,0.457435,109.981,86.4845,22.6869,23.9051,0.949039,467.86,529.169,0.522594 
136,202.1,3.309,44.8167,2.021,136,24002.7,0,5,101,125,0,5,135,-5.72983,-5.54365,-10.8604,-8.97405,-9.09474,55.4889,12.2435,31258.1,-20.9488,16439.4,-5.94423,-5.75805,-11.2892,-9.18844,-9.30913,0.7279,9.00076,31014.9,-24.1915,-0.449384,0.000165806,1.00042,-20.0291,411.54,484.481,0.458372,42795.5,9.2914e-07,0.480577,110.299,86.0499,22.9291,24.6456,0.930354,477.903,562.458,0.558 
137,202.8,3.696,44.926,2.019,137,24911.3,0,5,101,125,0,5,135,-0.100846,-4.47851,-9.39489,-7.09309,-4.22921,-55.5681,14.3987,32518.3,-25.791,16439.4,0.113858,-4.2638,-8.96548,-6.87838,-4.01451,0.626568,17.6461,32761.8,-22.5436,-1.876,0.000307687,1.00037,-9.40625,372.103,426.644,0.390583,44239.8,9.39477e-07,0.42411,110.003,86.1846,22.4779,23.8344,0.943089,459.281,526.042,0.523194 
138,202.7,3.641,44.9104,2.019,138,22727.5,0,5,101,125,0,5,135,-2.21536,-0.888822,-12.5551,-6.69402,-6.8939,-97.0983,7.56771,29871.7,-23.6756,16439.4,-1.84019,-0.513653,-11.8048,-6.31885,-6.51873,0.562725,13.2421,30297.2,-18.0012,-1.58412,0.000249694,1.00032,-8.35928,367.885,424.537,0.396395,40569.6,9.12744e-07,0.432977,109.762,85.939,22.2791,23.7223,0.939163,451.192,521.106,0.531245 
139,202.3,3.42,44.848,2.02,139,23364.7,0,5,101,125,0,5,135,-3.54667,-4.28628,-7.15756,-6.69422,-2.56282,47.5724,7.90547,30661.7,-27.1999,16439.4,-3.73048,-4.47009,-7.52518,-6.87803,-2.74663,0.703153,5.12534,30453.2,-29.98,-0.166134,9.61634e-05,1.00053,-30.8507,393.35,461.7,0.470781,41684.7,9.21031e-07,0.462695,110.062,85.9815,22.3089,23.9377,0.931953,452.397,530.614,0.531956 
140,202,3.254,44.8011,2.021,140,19028.1,0,5,101,125,0,5,135,-6.18713,-3.77574,-4.43769,-7.5775,-6.4055,-61.6704,7.26842,26384.8,-21.4366,16439.4,-5.94885,-3.53745,-3.96113,-7.33922,-6.16722,0.85304,10.8724,26655.1,-17.8325,-1.03285,0.000233027,1.00036,-10.5266,423.325,475.089,0.498511,36172.4,8.78498e-07,0.510485,110.447,85.8193,22.9563,24.0827,0.953225,479.036,537.062,0.577372 
141,201.3,2.867,44.6916,2.023,141,20782.5,0,5,101,125,0,5,135,-4.97679,-6.85076,-12.0401,-4.25806,-2.51016,-69.8188,26.3789,27857.3,-10.6081,16439.4,-4.70702,-6.58099,-11.5005,-3.9883,-2.24039,0.603666,30.4591,28163.3,-6.5279,1.34622,0.000617629,1.00013,22.6256,527.511,621.67,0.858522,38396,8.96143e-07,0.639026,109.663,85.3399,24.4502,26.3015,0.929612,543.413,640.58,0.658377 
142,201.1,2.756,44.6603,2.024,142,20760.6,0,5,101,125,0,5,135,-3.26525,0.341769,-13.5233,-6.75352,-3.28145,-114.742,4.96937,28032.4,-5.4549,16439.4,-2.82191,0.78511,-12.6367,-6.31017,-2.83811,0.469532,11.6749,28535.3,1.25062,0.886097,0.000233739,0.999976,13.1756,510.096,609.011,0.622209,38544.8,8.97299e-07,0.621157,109.867,85.2243,24.5587,26.5872,0.923706,548.248,654.571,0.667621 
143,202.4,3.475,44.8636,2.02,143,23351.8,0,5,101,125,0,5,135,-8.08203,-4.04845,-10.9276,-5.72161,-8.62849,-90.6391,17.0157,30625.6,-21.353,16439.4,-7.73182,-3.69824,-10.2272,-5.3714,-8.27827,0.710335,22.3127,31022.9,-16.0561,7.32675,0.000410821,1.00028,3.04537,416.738,476.115,0.554138,40964.5,9.15696e-07,0.486448,109.833,86.0934,22.449,23.7738,0.944278,458.101,523.37,0.534729 
144,202.9,3.752,44.9416,2.018,144,23715.2,0,5,101,125,0,5,135,-3.97666,-5.23718,-17.6566,-5.27911,-7.15451,-79.2247,14.706,31069.4,-30.1266,16439.4,-3.67055,-4.93108,-17.0444,-4.973,-6.8484,0.545087,19.3359,31416.7,-25.4967,-1.71719,0.000351571,1.00044,-11.2602,370.699,431.545,0.414196,41669.2,9.20916e-07,0.434314,110.056,86.1772,22.1554,23.6838,0.935468,446.197,519.416,0.522758 
145,201.2,2.812,44.676,2.023,145,19007.5,0,5,101,125,0,5,135,-6.88513,-4.08024,-10.1056,-5.08144,-4.6283,-72.5754,7.9406,26136.6,-32.4717,16439.4,-6.60471,-3.79982,-9.54481,-4.80102,-4.34788,0.67198,12.1819,26454.7,-28.2304,-0.561517,0.000263063,1.00058,-21.6946,502.101,574.484,0.548494,35892.7,8.76228e-07,0.61294,110.131,84.8178,24.7055,26.1668,0.944152,554.819,634.037,0.676887 
146,201.7,3.088,44.7542,2.022,146,21281.2,0,5,101,125,0,5,135,-5.00091,-5.70211,-7.49261,-4.12854,-6.28362,-116.863,4.91778,28253.3,-32.6542,16439.4,-4.54938,-5.25058,-6.58954,-3.677,-5.83209,0.745564,11.7472,28765.5,-25.8248,-0.610486,0.000233305,1.00049,-19.2425,438.764,500.129,0.447956,37948.8,8.9265e-07,0.524778,109.631,85.8776,23.7882,25.1583,0.945541,514.386,586.104,0.615107 
147,201.5,2.978,44.7229,2.022,147,20232.5,0,5,101,125,0,5,135,-0.981605,-4.16695,-11.7398,-8.003,-0.779052,-134.275,28.0467,26915,-1.01279,16439.4,-0.462794,-3.64814,-10.7021,-7.48419,-0.26024,0.525562,35.8937,27503.5,6.83424,0.814012,0.000745191,0.999865,44.0948,510.516,565.851,0.65991,36779.6,8.83387e-07,0.608422,109.849,85.2448,24.4375,25.4924,0.958619,542.851,601.776,0.647004 
148,203,3.807,44.9571,2.018,148,24463.6,0,5,101,125,0,5,135,-5.46347,-3.61855,-6.22619,-4.80273,-4.36713,-207.9,-1.26856,31323.5,-15.2247,16439.4,-4.66018,-2.81527,-4.61962,-3.99944,-3.56385,0.765005,10.8811,32234.7,-3.07498,1.51313,0.000192854,1.00005,7.19116,362.152,407.756,0.375779,42017.7,9.23477e-07,0.416121,110.125,85.736,22.3795,23.5157,0.951683,455.265,512.067,0.522841 
149,202.5,3.53,44.8792,2.019,149,24435.1,0,5,101,125,0,5,135,-5.5981,-7.68898,-7.97385,-4.19976,-1.15613,-67.0404,9.52529,31880.8,-7.80171,16439.4,-5.33907,-7.42995,-7.45578,-3.94073,-0.897095,0.702514,13.4431,32174.6,-3.88387,1.53067,0.000238696,1.00007,8.7825,412.827,481.154,0.500324,43151.7,9.31711e-07,0.478349,110.155,85.5939,22.6502,24.2361,0.934565,466.347,543.923,0.540558 
150,201.9,3.199,44.7855,2.021,150,23431.3,0,5,101,125,0,5,135,-1.50779,-3.83354,-10.7174,-3.95642,-7.00749,-184.577,15.7024,30101.9,-31.6194,16439.4,-0.794618,-3.12037,-9.29104,-3.24325,-6.29432,0.591488,26.489,30910.9,-20.8327,17.7804,0.000489445,1.00037,1.48979,471.307,532.703,0.63379,40820.4,9.1462e-07,0.54784,110.495,85.7323,23.5507,24.8059,0.949398,504.164,569.8,0.586012 
151,202.2,3.365,44.8324,2.02,151,25739.6,0,5,101,125,0,5,135,-0.00706822,-5.48218,-9.11999,-6.55376,-6.69308,-163.925,20.1465,32876.9,-9.78768,16439.4,0.626306,-4.84881,-7.85324,-5.92038,-6.0597,0.673541,29.7263,33595.4,-0.2079,1.00846,0.000505362,1,29.4768,423.205,487.624,0.510958,44330.8,9.40121e-07,0.483209,110.091,86.1669,22.8652,24.3134,0.940438,475.244,547.398,0.542534 
152,201,2.701,44.6446,2.024,152,22672.1,0,5,101,125,0,5,135,-4.02322,-7.27404,-14.7087,-3.16889,-1.67725,-107.403,20.4006,29537,-11.4089,16439.4,-3.60823,-6.85906,-13.8788,-2.75391,-1.26226,0.51066,26.6772,30007.8,-5.1323,1.30016,0.000507749,1.00009,20.5185,542.557,619.716,0.789051,40616.2,9.13093e-07,0.635044,110.113,85.3474,24.9036,26.3639,0.944608,563.754,643.625,0.6597 
153,201.6,3.033,44.7386,2.022,153,18936.5,0,5,101,125,0,5,135,-6.59359,-3.68211,-8.66863,-5.50293,-7.57386,-184.429,15.9514,26316.1,-8.44244,16439.4,-5.88099,-2.96951,-7.24344,-4.79033,-6.86126,0.738933,26.7294,27124.4,2.33561,0.905096,0.00056279,0.999953,29.5322,480.848,561.659,0.644138,35834.5,8.75754e-07,0.593415,110.149,85.3036,23.7607,25.4437,0.933855,513.198,599.478,0.633355 
