cyc,Field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
28,201.8,3.143,44.7699,2.022,28,18046.2,0,5,101,125,0,5,135,-5.83929,-0.769169,-13.2888,-4.13671,-5.82571,-152.742,6.18429,25060.9,-11.5931,16439.4,-5.24912,-0.179004,-12.1085,-3.54655,-5.23554,0.539928,15.1105,25730.4,-2.66685,1.26869,0.000335467,1.00006,11.9103,441.733,500.962,0.525717,33937.6,8.60021e-07,0.546983,110.194,85.6626,23.2751,24.5544,0.947899,492.434,558.304,0.609678 
29,201.4,2.922,44.7073,2.023,29,16848.1,0,5,101,125,0,5,135,-3.10251,-10.1243,-16.1873,-8.41222,-6.85345,-53.9035,20.5468,24216,-21.9123,16439.4,-2.89424,-9.91605,-15.7708,-8.20394,-6.64518,0.636871,23.697,24452.3,-18.7622,20.0421,0.00055347,1.00042,1.18236,526.014,616.141,235.561,33390.7,8.55376e-07,0.665551,110.478,85.5883,24.1494,25.6457,0.941656,530.125,609.033,0.664282 
30,202.6,3.586,44.8948,2.019,30,22843.3,0,5,101,125,0,5,135,-6.69146,-4.69266,-12.5166,-5.09268,-6.25296,-59.2603,9.33046,30020.9,-23.8585,16439.4,-6.46249,-4.46369,-12.0586,-4.86371,-6.02399,0.643999,12.7936,30280.6,-20.3953,-1.09528,0.000241372,1.00037,-11.6807,372.4,424.682,0.394332,40188.1,9.09873e-07,0.437075,110.557,85.6707,22.4484,23.7482,0.945269,458.075,522.243,0.537556 
31,202.1,3.309,44.8167,2.021,31,20954.1,0,5,101,125,0,5,135,-3.10709,-5.2355,-12.4747,-8.43022,-5.97746,-35.9887,12.7831,27689.3,-32.3443,16439.4,-2.96803,-5.09644,-12.1966,-8.29117,-5.8384,0.645352,14.8863,27847.1,-30.2411,-0.695521,0.000305377,1.00059,-21.4031,393.824,452.869,0.420549,37150.3,8.86345e-07,0.47647,109.759,85.8605,22.7957,24.1962,0.942117,472.356,542.134,0.570934 
32,202.8,3.696,44.926,2.019,32,23137.7,0,5,101,125,0,5,135,-3.63122,-6.11066,-10.0405,-6.31836,-4.35683,-59.155,10.1832,29801.8,-17.5081,16439.4,-3.40266,-5.8821,-9.58339,-6.0898,-4.12827,0.670518,13.6402,30061.1,-14.0511,-4.23465,0.000259218,1.00025,-3.2211,349.6,405.494,0.372498,39405.8,9.03931e-07,0.416526,110.329,86.6753,22.0351,23.4978,0.937752,441.363,511.289,0.525528 
33,202.7,3.641,44.9104,2.019,33,24486.3,0,5,101,125,0,5,135,-2.84976,-4.42984,-14.0793,-10.474,-3.25261,-80.9934,19.5602,31392.9,-25.64,16439.4,-2.53681,-4.1169,-13.4534,-10.1611,-2.93967,0.594873,24.2935,31747.9,-20.9068,-30.5702,0.000437066,1.00036,-0.794678,387.628,447.296,0.443812,42343.9,9.2586e-07,0.449738,110.781,85.1939,22.369,23.8059,0.93964,454.841,524.787,0.527686 
34,202.3,3.42,44.848,2.02,34,21422.8,0,5,101,125,0,5,135,-5.80418,-3.90594,-9.52205,-7.68241,-5.76708,-69.401,-3.70647,28857.2,-21.9354,16439.4,-5.53602,-3.63779,-8.98575,-7.41426,-5.49893,0.710816,0.349321,29161.4,-17.8796,-0.0165506,6.84502e-06,1.00033,-21.1062,390.319,453.882,0.457697,38665.7,8.98236e-07,0.468588,110.821,86.0846,22.3334,23.8515,0.936352,453.394,526.798,0.544088 
35,202,3.254,44.8011,2.021,35,20160.5,0,5,101,125,0,5,135,-4.56119,-5.44008,-7.28446,-6.96479,-6.20428,-25.9915,19.4444,27280,-14.5275,16439.4,-4.46076,-5.33966,-7.08361,-6.86437,-6.10385,0.762711,20.9633,27393.9,-13.0085,3.91613,0.000437097,1.00026,5.35307,423.62,488.567,0.551073,36995.5,8.85111e-07,0.513987,110.056,85.9622,22.6491,24.0921,0.940108,466.304,537.478,0.56561 
36,201.3,2.867,44.6916,2.023,36,15389.8,0,5,101,125,0,5,135,-6.72952,-2.06019,-7.84019,-6.69949,-7.73201,-48.0993,23.0731,22538,-0.85109,16439.4,-6.54367,-1.87435,-7.4685,-6.51365,-7.54616,0.750604,25.8841,22748.8,1.95984,0.916709,0.000649761,0.999953,28.2359,497.823,567.506,0.690829,30667.3,8.31458e-07,0.639267,110.888,85.2711,24.048,25.4322,0.945574,525.684,598.936,0.674858 
37,201.1,2.756,44.6603,2.024,37,17218.5,0,5,101,125,0,5,135,-5.78665,-2.97601,-9.39815,-9.27899,-10.1897,-52.6958,21.1342,24268.1,-2.21129,16439.4,-5.58305,-2.7724,-8.99094,-9.07538,-9.98608,0.753049,24.2138,24499.1,0.868253,0.958746,0.000564455,0.999981,25.2557,524.275,605.4,0.816454,33240.5,8.54091e-07,0.659624,110.319,85.4654,24.4329,26.0108,0.939337,542.643,626.496,0.682672 
38,202.4,3.475,44.8636,2.02,38,22594.9,0,5,101,125,0,5,135,-8.74301,-3.2978,-16.0769,-8.03162,-5.53211,-96.2134,4.77402,30028.5,-32.2226,16439.4,-8.37126,-2.92605,-15.3334,-7.65988,-5.16036,0.61133,10.3967,30450.2,-26.5999,-0.483048,0.000195067,1.00047,-21.5232,407.383,471.557,0.519227,40363.6,9.11196e-07,0.481013,110.61,86.0605,22.3821,23.8513,0.938402,455.372,526.787,0.537513 
39,202.9,3.752,44.9416,2.018,39,24002.2,0,5,101,125,0,5,135,-5.42828,-5.29868,-11.2303,-7.95664,-12.7142,34.0569,15.6137,31092,-27.7705,16439.4,-5.55987,-5.43027,-11.4935,-8.08823,-12.8458,0.73528,13.6235,30942.7,-29.7607,-0.616741,0.000251525,1.00052,-22.0894,384.658,439.503,0.452026,42165.8,9.2456e-07,0.444716,110.278,86.0735,22.1953,23.5154,0.943864,447.803,512.054,0.517924 
