cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
112,-4,48.3719,5,112,13243.9,0.0257293,21.1754,12.9613,96.1563,-0.038947,25.6874,500,3.00218,1.97933,3.27329,0.283025,-0.805517,-109.216,836.415,-13.0679,11445.2,8967.15,3.68988,2.66703,4.64869,0.970729,-0.117813,0.607987,989.601,-1.7208,11598.4,0.0883871,1.00305,-0.000273379,11196.2,5526.28,2521.41,130817,0.000984475,0.118631,10.3325,9.44806,96.5567,73.7793,0.870413,12.7856,12.4851,95.7026,124.828,0.85403,-51.0489 
113,-4,48.3719,4.5,113,14704.2,0.115158,23.2865,13.1262,95.9384,-0.13455,-100.012,500,5.63257,1.74353,2.08951,0.560826,0.177903,-147.92,1222.35,27.5669,12593.8,10388.4,6.56399,2.67495,3.95234,1.49224,1.10932,0.749739,1429.82,42.9353,12801.2,0.112629,0.950074,0.00614047,12694.9,6676.46,3549.19,159460,0.00104949,0.149408,11.2346,9.01367,96.2823,74.1279,0.967122,12.8559,12.2667,95.5764,125.309,0.705848,-51.1806 
114,-4,48.3719,1.5,114,12197,0.00303709,20.8631,12.0713,96.0575,0.00286989,14.1826,500,1.90556,0.247453,1.55074,-0.0351253,1.62405,-110.813,1812.07,26.6132,9543.73,8199.72,2.60333,0.945213,2.94626,0.662635,2.32181,0.689188,1967.5,38.1262,9699.16,0.187331,0.967201,0.00718904,10502.8,4653.67,6481.43,104536,0.00127311,0.231951,10.4611,8.92704,96.3037,72.6375,0.855383,11.6428,11.3045,95.5915,123.364,0.712268,-50.7262 
115,-4,48.3719,4,115,13805.6,0.14221,22.0963,12.8416,96.0223,-13.3803,6520.34,446.18,4.79843,2.33413,7.18314,1.03862,-1.06559,-86.376,1092.86,8.90131,11708.8,2.84932e+06,5.34232,2.87802,8.27091,1.58251,-0.521698,0.528778,1214.01,17.8754,11829.9,0.104437,0.97488,0.00277576,11624.3,5918.67,3061,140678,0.0011489,0.136046,11.0015,9.24438,96.8948,73.1232,0.917499,12.5753,12.2732,95.5797,124.138,1.31513,-51.0146 
116,-4,48.3719,0,116,16162.5,0.109029,26.5999,12.7334,96.1065,0.227737,-180.157,64.8745,4.55253,3.20316,8.32631,3.20607,1.27728,-99.4131,-148.796,-13.3238,15415.8,12361.7,5.17851,3.82914,9.57826,3.83205,1.90326,0.606177,-9.35961,-2.99518,15555.2,-0.00068422,0.641018,-0.000354825,13679.2,9714.93,1082.95,241469,0.000653206,0.0334899,7.20018,7.74046,120.044,57.326,1.19257,12.5649,12.5723,95.8215,123.599,24.2223,-66.2728 
243,-4,48.3719,1.3,243,15911.5,0.01546,26.5632,12.3861,96.0353,-0.0204578,-18.4534,500,0.870591,5.95944,0.365528,2.99201,3.88228,-168.451,508.812,21.6496,14269,10722.7,1.93128,7.02013,2.48691,4.0527,4.94297,0.878295,745.08,39.151,14505.3,0.0551515,0.915788,0.00494741,13509.7,8977.75,1431.87,223918,0.00145175,0.0693388,9.21355,8.03698,96.5182,72.3554,1.20334,12.0883,11.8582,95.704,124.389,0.814213,-52.0336 
244,-4,48.3719,1.2,244,17010,0.178582,27.9983,12.4733,96.2178,-0.0197909,-293.086,114.387,3.39835,4.13468,6.27432,2.33333,-0.652865,-152.496,-28.6888,5.85034,15791.4,11557.4,4.35858,5.09491,8.19478,3.29356,0.307363,0.614349,185.202,21.6941,16005.2,0.0129786,0.829882,0.00249064,14269.8,10794.4,1089.95,271038,0.00113492,0.0226174,12.0228,8.61314,118.191,58.2147,1.30803,12.3177,11.95,95.8292,125.479,22.3615,-67.2641 
245,-4,48.3719,1.3,245,14836.4,-0.0084576,24.5899,12.4734,96.163,0.00657622,-14.2322,1.06198e-11,-0.174105,-0.0872045,4.76486,-1.01813,-1.13226,-121.622,412.63,-20.1791,13254.4,9987.8,0.591714,0.678614,6.2965,-0.252308,-0.366445,0.0937776,583.216,-7.54308,13425,0.0470442,1.02316,-0.0010361,12397.2,7689.21,1325.24,190718,0.0013356,0.059614,9.62306,8.45957,97.5242,72.132,1.09714,12.1441,12.0828,95.7051,124.983,1.8191,-52.8507 
246,-4,48.3719,1.2,246,16009,0.160701,25.3239,12.8161,96.0015,-0.21316,27.9603,464.175,2.36954,3.07867,8.90755,1.16598,2.71691,-116.11,16.3619,24.1746,14645.3,10759.3,3.10065,3.80978,10.3698,1.89709,3.44803,0.541674,179.217,36.2379,14808.2,0.0135663,0.738633,0.00448769,13210.4,9072.67,1013.64,227031,0.00138218,0.0269591,11.2124,7.68845,117.948,57.5927,1.18678,12.3331,12.1155,95.6181,124.163,22.33,-66.5699 
247,-4,48.3719,1.1,247,18427,-0.00264935,31.2555,12.2937,96.2805,0.0715397,-42.99,500,3.39397,5.46023,7.05715,2.26427,3.0991,-112.347,-91.6005,34.2773,17100.8,12608.6,4.10139,6.16765,8.47199,2.97169,3.80652,0.668016,65.9777,45.9497,17258.4,0.00432545,0.450699,0.00488059,15253.4,13284.9,1154.4,335362,0.00144288,0.0274715,-11.3576,7.38976,119.629,57.5753,1.50993,11.8995,11.4793,95.9573,123.512,23.6717,-65.9364 
248,-4,48.3719,1.1,248,16838.4,0.15238,28.4587,12.1303,96.3201,0.0328412,-373.038,431.584,2.85114,2.32826,0.13715,0.00272492,-1.35196,-112.313,-55.944,-2.14891,15742.6,11636.6,3.55834,3.03546,1.55156,0.709932,-0.644756,0.811028,101.586,9.52001,15900.2,0.00720791,0.859108,0.00110172,14093.7,10570.7,1020.55,265267,0.00121802,-0.00225487,1940.03,-0.869934,128.612,55.8799,1.28406,12.1092,12.3361,95.9819,125.513,32.6301,-69.633 
249,-4,48.3719,1.2,249,17204.9,0.18353,28.5354,12.3581,96.0144,0.488074,-911.896,0.0079928,2.44501,3.03397,-0.100156,3.52748,2.64043,-138.067,-64.8489,1.96173,16035.7,25968.3,3.31438,3.90334,1.63858,4.39685,3.5098,0.90225,128.803,16.3063,16229.3,0.0089381,0.818634,0.00184743,14410.6,11116.9,1105.16,278602,0.00105237,0.0263949,12.8805,8.73626,120.351,57.5613,1.32529,12.1782,12.0997,95.6742,124.1,24.677,-66.5387 
250,-4,48.3719,1.3,250,16398.5,0.0126679,26.2632,12.9249,95.9081,0.00425495,-1.88092,499.99,0.0932343,3.76582,-0.979283,0.958119,-2.16674,-97.8197,92.5452,8.76042,15020.9,11050.4,0.709179,4.38177,0.252606,1.57406,-1.5508,0.952932,229.747,18.9235,15158.1,0.0169319,0.874018,0.00229443,13568.8,9338.04,1134.61,232186,0.00142497,0.0262154,10.6279,8.00243,119.356,57.1486,1.18514,12.5013,12.2629,95.4907,125.28,23.8653,-68.1319 
251,-4,48.3719,1.1,251,16781.4,0.189469,27.4908,12.478,96.1861,0.174641,-323.038,32.6044,4.1396,5.95172,3.48882,5.24369,-0.565213,-164.569,-118.997,-2.19811,15602.4,13003.3,5.17585,6.98797,5.56131,6.27994,0.471036,0.772786,111.827,14.9,15833.2,0.00796204,0.810917,0.00173053,14045.1,10350.1,1068.73,258250,0.00115323,0.0244496,11.7061,7.96093,120.765,57.8691,1.26396,12.2376,12.2564,95.8486,124.583,24.9162,-66.714 
