cyc,VVA,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
353,10,49.0227,353,10762,-0.325622,20.9776,12.9039,88.7154,0.75773,-2074.79,249.423,-0.371046,-0.647078,-3.24658,0.185394,1.01989,-26.198,568.094,28.8938,11966.7,59990.1,-0.206084,-0.482116,-2.91666,0.350356,1.18485,-0.409248,602.798,29.5743,12001.4,0.0539945,0.920931,0.00451886,11164.1,5523.15,494.233,140186,-0.0159995,0.0194113,-267.963,114.095,95.31,68.995,0.891227,13.0254,12.7505,88.6137,120.602,6.69631,-51.6065 
354,0,49.0227,354,11660.4,-0.0209775,22.3156,12.6971,88.7333,-0.0078566,-19.3048,500,-0.923757,-0.920112,-1.79307,-0.940691,-0.276715,-31.3531,560.664,27.3413,12932.1,9228.67,-0.726335,-0.72269,-1.39822,-0.743269,-0.0792932,0.618993,602.196,28.1556,12973.6,0.0501037,0.924367,0.00398185,12019,6685.99,508.468,170260,-0.00148567,0.00368044,-2.5898,0.177243,87.9247,67.588,1.0016,12.9949,12.3446,88.7027,121.961,-0.778024,-54.3734 
355,10,49.0227,355,10800.4,-0.0345043,21.1399,12.5603,88.6033,0.129904,-53.8469,500,-0.980764,-1.18769,-0.944077,-1.65799,0.0770135,-10.1012,473.394,24.1411,12189.4,8871.35,-0.91716,-1.12408,-0.816868,-1.59439,0.140618,0.810554,486.775,24.4034,12202.8,0.0433643,0.919344,0.00367036,11225.2,5845.79,465.561,148470,-0.00160608,-0.00132632,1.23672,0.20767,99.1651,65.9699,0.925951,13.039,12.551,88.6332,122.166,10.532,-56.1956 
356,0,49.0227,356,10951.9,-0.0625598,21.2255,12.7046,88.7174,0.0571716,8.88114,499.981,-1.14904,-2.10244,-0.854442,-0.325287,-0.863814,-27.2346,531.132,26.0263,12258.2,8794.87,-0.977556,-1.93095,-0.511464,-0.153798,-0.692325,0.88011,567.209,26.7337,12294.3,0.0498154,0.923804,0.00398963,11386.2,6049.02,474.676,153806,-0.0015101,-0.0193983,-6.07613,0.0418725,89.6638,67.2997,0.954356,12.9207,12.3497,88.6239,121.164,1.03988,-53.8642 
357,10,49.0227,357,11081.4,-0.308881,21.2758,12.9599,88.5054,0.284546,298.174,425.17,-1.99088,-0.36306,-1.23743,-1.59227,-0.267109,-6.89131,560.161,32.1024,12167.7,11738,-1.94749,-0.319667,-1.15065,-1.54888,-0.223716,0.778312,569.289,32.2814,12176.8,0.050447,0.909725,0.00485978,11284.9,5657.43,495.854,143766,-0.00236969,0.0296258,-30.2258,-14.9781,72.7943,88.4228,0.901127,13.0779,12.7916,88.4963,121.546,-15.7021,-33.1227 
358,0,49.0227,358,9916.77,-0.306117,19.541,12.7998,88.8335,-0.439302,309.596,0.642558,-1.6447,-1.5534,-1.26849,-1.07321,-1.11911,-40.0286,590.669,25.1844,11043.7,12569.7,-1.39265,-1.30135,-0.764391,-0.821161,-0.867061,0.851477,643.694,26.2241,11096.7,0.0618414,0.93345,0.00433446,10408.8,4942.43,476.948,125074,-0.0023091,0.027969,29.4907,16.2229,72.5707,86.5695,0.870378,12.7775,12.209,88.7561,120.706,-16.1854,-34.1361 
359,10,49.0227,359,10016.1,-0.310998,19.3777,13.0476,88.529,-0.153236,-190.761,452.082,-0.927362,0.4312,-2.12684,-0.688106,-3.03223,-22.389,584.448,25.7706,11095.7,9182.09,-0.786384,0.572178,-1.84488,-0.547129,-2.89126,0.664413,614.106,26.3521,11125.4,0.0590233,0.93015,0.00434434,10404.5,4792.7,469.864,121247,-0.00227944,0.0280063,28.4986,18.2284,72.5176,87.3524,0.84291,12.9669,12.3946,88.4889,121.466,-15.9712,-34.1138 
360,0,49.0227,360,12779.1,-0.0130974,24.091,12.7094,88.7351,0.0217344,8.71096,8.10209e-12,-1.7571,-0.933981,-3.66487,-0.485602,-0.95016,1.72202,596.422,33.6319,13985.7,9973.43,-1.76794,-0.944824,-3.68655,-0.496445,-0.961003,0.53078,594.141,33.5872,13983.4,0.0460591,0.909977,0.00440512,12899.5,7433.56,540.411,189723,-0.0189486,0.0222159,-296.161,126.182,90.1417,69.4329,1.02997,13.083,12.8542,88.7238,121.109,1.41781,-51.6763 
361,10,49.0227,361,10128.4,-0.337216,20.1326,12.8272,88.9047,0.0199066,306.516,264.898,0.164365,1.85578,-1.59868,-2.67875,-2.20289,0.468838,514.644,27.4492,11426.9,8605.36,0.161413,1.85282,-1.60459,-2.6817,-2.20584,0.641664,514.023,27.437,11426.2,0.0486345,0.91457,0.00440384,10569.1,5197.66,455.786,131766,-0.00150855,0.0106788,14.3754,0.0968226,93.6671,69.0945,0.876711,12.991,12.4801,88.8288,121.77,4.83826,-52.6753 
362,0,49.0227,362,10264.7,-0.302529,20.1899,12.7426,88.8301,0.0712255,67.4665,470.607,-1.90662,-0.964894,-0.22783,0.328746,-2.67463,13.9898,509.641,26.8173,11409.7,8531.51,-1.99472,-1.05298,-0.40401,0.240656,-2.76272,0.932369,491.109,26.4539,11391.1,0.0467042,0.913855,0.00425974,10515.3,5257.18,444.573,133371,-0.00228545,0.0279713,-28.0428,15.7897,71.3352,86.0061,0.895337,12.7454,12.3346,88.8015,120.371,-17.4664,-34.3654 
363,10,49.0227,363,10828.5,-0.308097,21.0639,12.8253,88.7944,0.431708,428.231,379.257,-1.60315,-1.18062,-4.63106,1.4041,1.05185,-5.00486,587.482,30.4808,11969.6,14812.4,-1.57163,-1.14911,-4.56803,1.43562,1.08336,0.0422996,594.112,30.6108,11976.2,0.053364,0.917291,0.00468628,11133.2,5564.56,508.065,141219,-0.00241249,0.0281332,30.7962,-16.7652,73.7648,86.9889,0.907586,12.8764,12.5828,88.6717,121.069,-14.9069,-34.0803 
