cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,8,21,4222.02,-0.025693,7.00691,14.0873,97.8533,0.0694094,-45.1572,2.41946,-1.28484,1.92902,1.18573,-0.589632,0.457228,-50.639,3251.94,32.6384,1246.35,3315.32,-0.965978,2.24788,1.82345,-0.270772,0.776089,0.494982,3322.97,37.8996,1317.38,0.741359,0.980431,0.0503282,4482.26,596.155,10032.4,2021.28,-0.000241945,0.229185,14.7848,11.5575,98.0214,69.9348,0.0964117,12.7501,12.5877,97.2675,119.863,0.753898,-49.9281 
22,0,22,3955.64,0.00181782,9.42825,9.47264,98.5039,-0.00213513,6.15093,9.29924e-12,-0.177577,2.3809,-1.22405,-0.375426,3.00132,5.33481,-92.1934,-1.08029,4175.47,2907.78,-0.211169,2.34731,-1.29124,-0.409018,2.96773,1.37937,-99.676,-1.63455,4167.99,-0.0279349,0.972103,-0.000722937,3568.16,1278.8,456.043,29174.7,-2.10546e-05,0.00632768,9.18511,6.22134,107.699,60.4313,0.55315,9.09554,9.61336,98.1079,120.308,9.59086,-59.8769 
23,0,23,4053.87,-0.0709589,9.8206,9.78586,98.6443,0.0729749,-147.785,456.2,1.88677,-0.0874371,-1.61676,-2.86809,-0.531196,9.91791,-124.744,5.79784,4376.9,3479.55,1.82432,-0.149888,-1.74166,-2.93054,-0.593647,0.51505,-138.655,4.76741,4362.99,-0.0374664,1.06402,0.00200881,3700.77,1366.74,455.187,31389.7,-8.2614e-05,-0.00748348,3.99086,11.5833,96.4019,45.8287,0.565239,9.23257,9.77555,98.4874,120.367,-2.08555,-74.5382 
24,3,24,4148.12,-0.0174784,8.39494,11.0371,98.6831,0.00469162,-10.3193,500,-0.890571,2.45724,-0.942441,1.28052,0.502327,-18.3226,845.083,2.57488,3418.17,3017.82,-0.775199,2.57262,-0.711697,1.39589,0.6177,1.22963,870.782,4.47853,3443.87,0.223198,0.99108,0.00238981,3901.39,824.478,1662.44,16100.9,7.85394e-05,0.109534,10.442,9.04113,98.4672,69.8639,0.368566,10.3973,10.322,98.4521,119.608,0.0150681,-49.7438 
25,6,25,4606.27,-0.0382123,7.79933,13.3843,99.0149,-0.0882847,39.9536,189.555,3.23915,3.08005,-2.94898,-0.133742,0.697024,-33.5834,2818.1,23.859,1952.69,3513.02,3.45062,3.29152,-2.52605,0.0777235,0.90849,1.48556,2865.2,27.3482,1999.79,0.619501,0.983571,0.0245727,4625.02,618.1,8233.05,4258.03,1.61715e-05,0.218644,13.7542,11.0377,98.7717,69.7285,0.152666,12.0639,12.5227,98.607,119.401,0.164747,-49.6723 
26,10,26,4383.41,-0.0775188,6.80115,15.2923,98.4556,0.15038,-55.0371,44.6449,2.24957,-1.34633,2.16082,-2.04582,-2.57596,-33.7303,3532.83,22.5644,1061.57,3655.13,2.46197,-1.13393,2.5856,-1.83343,-2.36357,10.1244,3580.14,26.0688,1108.88,0.785816,0.987418,0.0415088,4555.95,610.27,10818.8,1531.8,-0.000279863,0.223442,15.7094,12.3371,98.3928,69.7265,0.0755877,14.0122,12.9937,97.927,119.375,0.465845,-49.6483 
27,2.5,27,4553.14,-0.0535217,9.86615,10.6394,98.5415,-0.120872,111.938,258.641,-1.22091,-0.652752,-0.527323,0.548828,-1.26595,-24.9228,524.523,6.35197,4166.27,3857.57,-1.06398,-0.495819,-0.213458,0.70576,-1.10901,0.901926,559.48,8.94135,4201.23,0.131439,0.972793,0.00390519,4256.56,1154.74,1087.74,25224.3,4.97631e-05,0.0808221,10.1665,8.49943,98.4142,69.9643,0.477026,10.0897,10.0185,98.1144,120.012,0.299785,-50.0481 
28,7,28,4450.28,-0.0635427,7.36177,14.1097,98.4059,0.083335,15.2072,476.343,1.20275,1.47052,2.73303,0.49938,-0.030879,-37.5168,3162.84,26.5354,1527.54,3422.65,1.43898,1.70675,3.2055,0.735613,0.205354,0.560421,3215.46,30.4332,1580.16,0.698102,0.983707,0.0342625,4606.01,633.235,9892.78,2855.39,-0.00020478,0.230575,14.3707,11.5505,98.3522,70.4723,0.118144,12.5802,12.5924,97.6393,120.258,0.712887,-49.7856 
29,2,29,4292.17,-0.0406215,10.0969,9.68997,98.4624,-0.124278,159.496,26.6629,0.0569305,-0.00522752,-1.86786,0.319626,-3.40722,-24.5058,106.97,-3.15701,4404.67,3830.25,0.211237,0.149079,-1.55925,0.473933,-3.25292,0.608024,141.342,-0.610954,4439.04,0.0349191,1.00762,-0.000253597,4047.7,1320.58,549.95,30085.9,-8.067e-05,0.0350168,8.38499,7.26815,97.1818,70.5999,0.536577,9.53954,10.0478,98.2372,120.901,-1.05542,-50.3009 
30,4,30,4224.63,-0.000563927,8.33452,11.529,98.5495,-0.000733559,9.71625,1.85903e-11,1.02259,-2.62499,-0.851552,-0.434128,-0.324725,-29.2741,1643.44,34.9136,2771.33,3128.24,1.20692,-2.44066,-0.482889,-0.249796,-0.140393,0.770797,1684.5,37.9551,2812.39,0.404986,0.962065,0.0242574,4159.4,664.229,3968.86,9722.22,-5.9422e-05,0.163502,12.2584,10.0567,98.2504,69.6873,0.265293,10.94,11.1386,98.0875,119.416,0.162851,-49.7286 
31,0,31,3670.92,-0.00434446,8.69145,9.38886,98.6558,0.00299672,4.09074,6.79212e-11,0.862597,0.766427,1.84973,0.319669,0.739045,2.87522,-148.761,6.65678,3812.01,2656.84,0.844492,0.748322,1.81353,0.301565,0.72094,0.59052,-152.793,6.35805,3807.98,-0.0477744,1.07854,0.00306627,3198.23,1138.03,469.201,25370.5,8.7195e-05,0.0444372,-0.432557,-3.72336,113.66,47.7734,0.527983,9.11847,9.11525,98.4685,118.946,15.1914,-71.1723 
32,0,32,4150.93,-0.0633769,10.2491,9.4985,98.3408,0.157237,-49.517,6.46238,2.02627,0.602472,-4.25466,-1.58091,0.459225,-18.9712,-82.8092,26.0582,4500.09,3422.57,2.14572,0.721928,-4.01575,-1.46145,0.578681,-0.977353,-56.2003,28.0292,4526.7,-0.0143102,7.86104,0.0112776,3927.3,1424.22,472.182,32813.6,-8.44846e-05,-0.0016022,1.81075,-0.141022,98.4625,46.3945,0.58079,9.18674,9.72354,98.0831,119.076,0.379423,-72.6813 
33,9,33,4262.02,-0.0327145,7.00598,14.2776,98.4365,0.00791321,17.26,4.21592e-13,0.48603,3.57553,-1.68879,-1.79708,3.17932,-31.5831,3426.93,17.1187,1148.98,3260.71,0.6849,3.7744,-1.29105,-1.59821,3.37819,1.26091,3471.23,20.4,1193.28,0.767748,0.98982,0.0305307,4521.31,623.98,10801.4,1869.27,-0.000417695,0.231318,15.2669,11.8883,98.1581,69.2465,0.0879602,13.4916,12.8462,97.497,118.689,0.661109,-49.4425 
34,5,34,4756.87,-0.045134,8.43413,12.8578,98.9504,0.0775797,-37.3557,10.3647,0.393181,2.12396,5.1168,-0.193629,-0.653848,-39.2305,2353.97,26.6009,2524.14,3624.58,0.640206,2.37099,5.61085,0.053395,-0.406824,0.321428,2408.99,30.6768,2579.16,0.51489,0.978201,0.0214404,4678.66,686.364,6889.98,7402.7,-2.56913e-05,0.207737,13.1983,10.5635,98.815,70.1726,0.21788,11.8582,11.4723,98.367,120.628,0.448086,-50.4556 
35,3.5,35,4593.48,-0.0421461,9.01362,11.6002,98.3282,-0.197974,-3.01546,105.64,-0.440694,0.109336,0.537084,1.04779,0.314118,-11.9034,1451.85,10.1708,3264.16,3423.2,-0.365742,0.184289,0.686988,1.12274,0.389071,0.65946,1468.55,11.4075,3280.85,0.337156,0.986588,0.00636425,4355.7,802.662,3332.59,13952.5,3.99666e-05,0.154334,11.6004,9.74322,98.089,69.1373,0.326747,10.9707,10.7044,98.1057,119.424,-0.0166815,-50.2865 
36,8,36,3850.69,-0.0760092,6.62103,13.9347,98.7726,0.188856,31.4687,497.004,2.85459,-0.3515,0.134014,-0.67629,-0.0375037,-13.2475,2890.87,17.967,1262.3,3196.91,2.93801,-0.268083,0.300847,-0.592873,0.0459126,0.875878,2909.45,19.3434,1280.88,0.720764,0.988499,0.0270659,4036.62,543.194,8413.19,2075.35,-0.000336327,0.210066,14.6779,11.4851,98.4104,69.2944,0.0948695,12.9629,12.8493,98.5923,118.722,-0.181891,-49.4276 
37,0,37,4037.38,-0.031329,9.97522,9.14774,98.6167,0.0126491,12.1497,136.854,0.106942,0.938657,0.847657,-2.45765,-2.57604,-3.35792,-134.145,9.92181,4213.15,2975.51,0.128086,0.959801,0.889945,-2.43651,-2.5549,1.29531,-129.435,10.2707,4217.86,-0.0361321,1.16125,0.00446558,3582.28,1335.23,474.992,30518.1,2.01313e-05,0.00588145,-7.20073,3.38301,97.4036,67.7929,0.570024,8.86897,9.71096,98.3235,120.77,-0.919917,-52.9771 
38,0,38,4158.8,-0.0147509,9.69525,9.49003,98.5156,0.00268233,-3.24122,219.228,-0.177076,-0.289005,-2.65017,-1.59253,-0.651205,-41.6701,-73.9562,13.1028,4281.03,2995.45,0.0853095,-0.0266202,-2.1254,-1.33014,-0.388819,0.438568,-15.5098,17.4322,4339.48,-0.00407807,-1.03423,0.00734558,3803.23,1344.96,410.806,30930.6,-0.00891708,0.00921139,824.875,713.94,82.5624,74.1499,0.578786,9.03961,9.31853,98.1424,118.747,-15.58,-44.5969 
39,3,39,4251.43,-0.0419,8.93668,-10.8652,98.2786,-0.0228326,-33.5973,429.788,-1.05935,-0.0807342,1.6353,0.497755,2.90568,-40.7635,886.533,10.4116,3553.29,3185.87,-0.802678,0.175943,2.14865,0.754432,3.16236,0.604933,943.707,14.6468,3610.46,0.229004,0.973557,0.00741756,4120.91,850.686,1824.75,16727.2,-1.0488e-05,0.116316,11.0455,8.6391,98.0483,68.4263,0.367557,10.5853,10.5708,97.8379,118.31,0.210465,-49.8838 
