cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,-5,47.2177,1.175,22,8605.13,-0.699553,22.8494,12.9563,112.409,-0.623063,4978.7,189.304,-1.96747,-3.861,-7.71136,-2.3503,0.96709,-4.46235,317.855,371.341,11893.2,110619,-1.93938,-3.83291,-7.65516,-2.32221,0.995188,0.481163,321.41,371.665,11896.8,0.0268283,0.330729,0.0544171,11980.3,-17.221,17.223,7865.23,3842.77,103.003,97.9657,0.952147,13.3689,12.273,111.224,137.84,-8.22107,-39.8743 
23,-5,47.2177,1.25,23,9963.77,-0.994533,23.9923,13.7215,112.362,-0.289875,2612.77,86.8668,-3.77752,-5.97912,-8.93985,-3.79744,2.70249,9.17336,453.593,308.087,13070,35372,-3.83529,-6.03689,-9.05537,-3.8552,2.64472,0.550335,446.286,307.423,13062.7,0.0336877,0.453416,0.0415514,13247.7,-4.16137,4.16626,2805.02,1610.15,104.7,97.9997,1.00272,13.5424,12.4545,111.432,139.147,-6.73205,-41.1476 
24,-5,47.2177,1.2,24,9096.84,-0.945185,22.772,13.2107,112.203,-0.85168,-280.653,451.636,-2.27159,-0.644886,0.903209,-0.525344,-3.30001,46.7268,337.379,301.041,12011.2,17574.2,-2.56582,-0.939112,0.314757,-0.81957,-3.59423,1.04139,300.16,297.657,11974,0.0249413,0.365576,0.0437871,12034.7,-9.66953,9.67407,4494.03,2531.41,103.213,97.9916,0.948706,13.1158,12.5058,111.32,138.925,-8.10644,-40.9334 
25,-5,47.2177,1.225,25,8380.34,-0.0191724,21.8064,12.5107,112.046,-0.157279,220.407,0.00391594,-2.967,-0.735478,-5.46136,-5.33924,-4.80271,74.8692,286.073,253.982,12395.1,10009.4,-3.43843,-1.20691,-6.40422,-5.81067,-5.27414,0.710666,226.437,248.561,12335.5,0.0183868,0.342351,0.03579,12315.2,-5.71484,5.71929,3491.51,1859.56,106.831,98,0.97212,13.0866,12.2577,111.253,139.148,-4.4227,-41.1477 
26,-5,47.2177,1.1,26,7373.49,-0.368532,20.3969,12.9593,111.955,0.797926,137.236,6.37356e-09,-1.27008,-2.62819,-5.05111,-1.06991,-3.84612,72.2716,205.413,235.764,11587.3,12169.5,-1.72515,-3.08326,-5.96126,-1.52498,-4.30119,0.640798,147.846,230.53,11529.7,0.0129157,0.268189,0.0355236,11446.9,-8.49051,8.49244,4809.97,2725.17,109.645,97.8735,0.869172,13.3246,12.5485,111.026,139.329,-1.38101,-41.4556 
27,-5,47.2177,1.325,27,9235.54,-1.01719,23.2596,13.5841,112.23,0.586003,1255.87,168.191,-5.00945,-4.1804,-5.37744,-1.71675,-1.69289,12.9167,636.557,74.4668,12664.8,34243,-5.09078,-4.26173,-5.54011,-1.79809,-1.77422,0.699966,626.269,73.5314,12654.5,0.0480722,0.829551,0.0105906,13027.7,-0.00435308,0.0464554,13.0311,19.7718,113.782,87.7261,0.952456,13.5881,12.4902,111.208,138.898,2.5739,-51.1719 
28,-5,47.2177,1.65,28,6643.77,-0.42222,19.0006,-12.3974,112.206,-0.0432603,-35.9429,499.919,-2.23477,-1.06989,-4.12848,-1.87857,-3.33544,56.464,2217.57,72.1701,8399.4,7718.8,-2.59031,-1.42543,-4.83956,-2.2341,-3.69098,0.672569,2172.6,68.0814,8354.42,0.209711,0.948012,0.0147896,10359.9,-0.00391183,0.211768,12.4055,10.9271,111.685,88.4822,0.648694,13.1966,12.502,111.502,138.268,0.18257,-49.7856 
29,-5,47.2177,0,29,9119.01,-0.745066,22.6838,13.34,112.066,-0.902286,620.876,0.442186,-0.924146,-1.78828,0.118769,0.833431,-1.43874,40.4911,222.315,303.457,12483.8,28087.3,-1.17911,-2.04324,-0.391154,0.578469,-1.6937,0.917281,190.063,300.525,12451.5,0.0153369,0.265457,0.0425678,12392.5,-5.70402,5.70698,3640.57,2154.31,104.46,97.773,0.988938,13.2617,12.1881,111.094,138.964,-6.63414,-41.1913 
30,-5,47.2177,1.35,30,10010.2,-1.00627,24.6245,13.4642,112.138,0.208921,-310.672,452.207,-3.7073,-3.82656,-4.7487,-3.84262,-0.32294,157.284,1089.46,92.6819,12913.3,12905.9,-4.69767,-4.81694,-6.72944,-4.833,-1.31331,0.699449,964.177,81.2926,12788,0.0714396,0.871424,0.0115746,13496.4,-0.00421684,0.0907638,13.0707,13.7112,111.997,88.8022,0.960857,13.562,12.6585,111.306,139.766,0.691148,-50.964 
31,-5,47.2177,1.4,31,8219.47,-0.061113,21.2763,12.0355,111.873,0.172913,166.109,265.417,-3.99487,-3.71541,-0.301983,1.84928,-1.71889,41.8035,1182.23,82.7708,10919.3,9270.95,-4.2581,-3.97864,-0.828434,1.58605,-1.98212,0.912439,1148.93,79.7437,10886,0.0972255,0.891693,0.0133144,11817.2,-0.00388932,0.112065,11.9579,12.3521,111.559,88.6291,0.850151,13.1798,12.3318,111.001,138.216,0.557839,-49.5873 
32,-5,47.2177,1.5,32,7971.07,-0.0490783,20.9277,12.1647,112.296,0.00946512,-14.5654,499.962,-1.77215,-1.33393,0.562682,-0.138238,-2.36327,102.219,1865.84,62.7069,10094.3,8291.85,-2.41579,-1.97758,-0.72461,-0.781884,-3.00692,0.918645,1784.42,55.305,10012.9,0.153868,0.948552,0.0100721,11597.1,-0.00390338,0.192874,12.0256,10.6414,111.56,89.7593,0.805857,13.0253,12.1181,111.477,140.181,0.082693,-50.422 
33,-5,47.2177,1.45,33,7613.96,-0.861027,20.2066,13.0102,112.305,1.59964,-1084.15,74.7909,-2.53467,-2.33934,-5.32247,1.11126,0.512083,125.312,1468.24,80.9398,9854.03,65013.8,-3.32373,-3.1284,-6.90058,0.322209,-0.276971,0.481451,1368.43,71.8657,9754.22,0.125227,0.915831,0.0133903,10927.6,-0.00376455,0.131918,12.7859,11.846,112.014,89.3968,0.751046,13.3628,12.5143,111.418,139.703,0.595569,-50.3059 
34,-5,47.2177,1.15,34,9694.58,-0.646316,23.1493,-13.1959,112.032,0.168464,-313.167,500,-2.41383,-2.1959,-5.93916,1.37472,-7.71807,45.3689,197.029,275.099,13068.9,11661.6,-2.69951,-2.48158,-6.51051,1.08904,-8.00375,0.650091,160.891,271.814,13032.8,0.0124403,0.252749,0.0369977,12933,-5.8669,5.87019,3965.32,2106.25,105.248,97.8953,1.06715,13.0956,11.7958,111.134,139.109,-5.88554,-41.2138 
35,-5,47.2177,1.375,35,7943.75,-0.0230602,19.7888,12.4667,112.397,-0.00960455,27.13,500,-1.64466,-1.0285,-4.0987,-0.942101,-1.54391,95.9284,940.596,79.1058,10565.6,8039.45,-2.24869,-1.63253,-5.30678,-1.54614,-2.14795,0.58805,864.185,72.1594,10489.2,0.0775499,0.872505,0.012514,11143.6,-0.00366939,0.0776569,12.9251,14.1399,112.243,88.1513,0.811559,13.3916,12.3392,111.458,139.042,0.785112,-50.8906 
36,-5,47.2177,1.275,36,9259.64,-0.0282428,22.5899,-12.5648,112.161,-0.00522838,6.64645,500,-4.10558,-2.27513,-8.08039,-1.24709,-1.84234,48.8181,384.687,276.926,12445.2,9240.94,-4.41298,-2.58252,-8.69517,-1.55449,-2.14974,0.551677,345.802,273.391,12406.3,0.0276553,0.419542,0.0390099,12504,-9.15348,9.15749,4576.37,2531.26,104.702,97.9617,0.989988,13.0959,12.2293,111.323,139.047,-6.62094,-41.0851 
