cyc,detuning,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
46,0,47.2159,46,10846.2,-0.00548933,18.5482,12.7353,122.147,0.00391495,0.693204,50.8265,2.14731,1.1018,-2.39051,0.592561,0.41264,18.7372,3897.71,24.7252,6787.77,7689.75,2.02933,0.983815,-2.62647,0.474577,0.294656,3.27222,3877.47,23.8993,6767.54,0.376211,0.989329,0.00646328,10306.6 
47,210,47.4259,47,14353.8,-0.0216577,22.8336,13.7622,121.748,0.00549988,-8.16526,40.7629,-1.21472,-0.707423,3.28293,-2.63323,0.77672,21.4832,705.109,25.0589,13366.4,10231.1,-1.35,-0.842696,3.01238,-2.7685,0.641446,3.30415,681.91,24.112,13343.2,0.051049,0.941727,0.00331775,13357.9 
48,-60,47.1559,48,13800.4,-0.0184091,23.1596,13.2055,121.393,-0.00215693,-15.775,1.2894e-10,0.996081,-2.97837,1.73311,0.0471072,-0.580294,62.8192,173.338,27.308,13516.5,9957.07,0.600525,-3.37392,0.942001,-0.348449,-0.97585,1.29851,105.5,24.5391,13448.7,0.00818992,0.710709,0.00334994,12881.7 
49,220,47.4359,49,12446,-0.0354824,20.4863,13.3929,121.526,-0.00481867,35.6951,5.8439,-0.694968,-4.29971,1.70711,-1.0816,0.29985,49.0844,598.312,17.0836,11684.7,8937.26,-1.00404,-4.60878,1.08897,-1.39067,-0.00922123,1.18383,545.307,14.9201,11631.7,0.0470278,0.954306,0.00235732,11595.4 
50,100,47.3159,50,12817.2,-0.0227946,20.4953,13.737,121.964,-0.0166058,15.0409,500,3.09638,0.544094,-2.14202,0.479235,0.289948,60.0551,2197.55,26.7556,10310.5,9173.29,2.71823,0.165942,-2.89832,0.101084,-0.0882028,-2277.09,2132.7,24.1085,10245.7,0.179731,0.980601,0.00431585,11866.1 
51,370,47.5859,51,14246.1,-0.0114621,23.8295,-13.1804,121.54,-0.00854826,-3.05606,500,-1.9944,-0.156589,2.73203,0.722228,-1.88755,17.4324,187.362,17.4857,13968.9,10225.3,-2.10417,-0.266357,2.5125,0.61246,-1.99732,3.02151,168.537,16.7173,13950,0.0125576,0.852091,0.00220267,13421.1 
52,120,47.3359,52,13798.4,-0.068595,22.1162,13.8486,121.614,0.00902005,24.7295,4.03939e-11,0.652052,-1.995,2.66273,0.849289,0.194369,17.3184,1752.82,18.4674,11823.5,9977.67,0.543002,-2.10405,2.44463,0.740239,0.0853196,-0.430328,1734.11,17.7041,11804.8,0.133922,0.982447,0.00275506,12948.7 
53,160,47.3759,53,14360.7,-0.036802,23.4975,13.4854,121.602,0.0187059,12.2503,500,-2.94917,3.30157,0.986041,0.121546,-2.62425,45.2423,1217.52,32.187,12966.6,10322.7,-3.23405,3.01669,0.416283,-0.163333,-2.90913,1.14487,1168.66,30.1929,12917.8,0.0869502,0.956744,0.00428712,13440.5 
54,20,47.2359,54,11217.3,-0.0280181,18.2726,13.5084,122.029,0.00530681,-7.43492,440.518,2.44099,-1.91693,-4.22568,-3.24027,0.295402,36.2298,5034.24,22.1545,5980.61,8036.53,2.21286,-2.14506,-4.68194,-3.4684,0.0672731,0.415872,4995.11,20.5576,5941.49,0.469486,0.992849,0.00633334,10639.5 
55,200,47.4159,55,13951.8,-0.0291178,22.6345,13.535,121.45,0.0117214,28.4816,48.3471,5.72445,1.38696,4.01291,2.16403,-2.10256,2.81533,781.625,21.0507,12930.1,9983.78,5.70673,1.36923,3.97745,2.1463,-2.12029,0.641006,778.585,20.9266,12927.1,0.0596192,0.955077,0.00297318,13059.3 
56,190,47.4059,56,13213.5,-0.0388589,21.3479,13.6512,121.333,0.0019719,35.8785,10.9868,0.238334,-2.08451,-1.59376,2.69551,1.94152,41.9952,801.568,17.9328,12199,9489.14,-0.0260985,-2.34894,-2.12262,2.43108,1.67709,-4.44963,756.218,16.0818,12153.7,0.0614701,0.96412,0.00243155,12302.2 
57,40,47.2559,57,11753,-0.0141248,18.6293,13.7435,122.152,0.00422301,3.50612,2.10941e-10,2.88995,-0.894927,2.34736,-2.25642,-1.20944,73.9406,4522.24,34.5959,6885.01,8335.18,2.42436,-1.36051,1.41619,-2.722,-1.67502,1.73876,4442.39,31.3368,6805.17,0.407286,0.987806,0.00841128,10907.3 
58,300,47.5159,58,14551.3,-0.00984717,23.7843,13.3952,121.486,-0.0304123,-3.80191,499.385,1.29641,-0.51183,2.30757,1.29862,1.39223,35.3475,331.102,29.5143,13872.7,10375.1,1.07383,-0.734404,1.86242,1.07605,1.16965,0.581248,292.93,27.9563,13834.5,0.0218023,0.856888,0.00370865,13435.7 
59,400,47.6159,59,14558.9,-0.0864299,24.4593,13.3293,121.458,0.0737142,85.1568,17.556,-0.471172,0.141373,4.27204,1.23027,0.161912,21.7259,98.9171,21.7223,14460.4,10817.6,-0.607974,0.00457078,3.99843,1.09347,0.0251094,0.114138,75.4555,20.7646,14436.9,0.00547154,0.674954,0.0026425,13790.5 
60,-20,47.1959,60,13228.8,-0.0179268,22.7048,-12.8946,121.402,0.00820399,-18.504,4.08353e-12,-0.216309,1.31241,-1.09672,-0.529891,2.36891,12.2223,445.704,12.9299,12688.7,9535.54,-0.293269,1.23545,-1.25064,-0.606852,2.29194,1.90848,432.506,12.3912,12675.5,0.0346719,0.952257,0.00179755,12474.2 
61,60,47.2759,61,11298.1,-0.0266982,18.0973,13.728,122.057,0.00601052,8.63686,46.2878,-0.782989,-1.40631,-1.86126,0.0701111,2.37934,21.8238,3456.47,14.0421,7590.65,8089.2,-0.920408,-1.54373,-2.13609,-0.0673077,2.24192,0.119359,3432.9,13.0802,7567.08,0.323199,0.993376,0.00317409,10621.6 
62,80,47.2959,62,13003.9,-0.0248463,20.3092,14.0804,121.808,0.0020266,-11.6689,500,0.312503,3.13523,0.557668,-0.76123,-0.595773,1.85974,2456.82,26.5403,10223.7,9309.72,0.300792,3.12352,0.534247,-0.77294,-0.607483,0.792778,2454.81,26.4583,10221.7,0.201787,0.981487,0.00474557,12165.4 
63,310,47.5259,63,13385,0.00400322,22.0016,-13.384,121.383,-0.00975173,-1.00196,499.483,0.901425,-3.02197,0.838261,2.09447,1.62729,18.9482,257.135,24.6044,12902.6,9586.26,0.782113,-3.14129,0.599638,1.97515,1.50798,0.652101,236.674,23.7692,12882.2,0.0189722,0.850519,0.0033874,12474.7 
