cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,75,77,22,31754.1,-0.196662,59.4574,12.3464,116.487,0.183153,1.93799,499.28,1.98556,2.24179,6.54235,1.07049,1.17529,-7.20722,16094,97.9007,16491,23908.4,2.03094,2.28717,6.63311,1.11587,1.22067,0.500811,16104.1,98.2751,16501.1,0.459063,0.989433,0.0108519,35080.4,-0.00122207,1.23533,12.6503,12.6437,116.745,88.3557,1.22978,12.3169,13.767,115.885,139.884,0.860076,-51.5286 
23,90,92,23,32022.4,-0.0344003,60.0763,12.087,116.215,0.205673,42.8039,500,-0.721215,1.26378,-2.04335,-1.82404,1.42545,-29.0683,16188.5,108.874,16493.1,23925,-0.53818,1.44681,-1.67728,-1.641,1.60848,-1.09354,16229.3,110.384,16533.9,0.460493,0.988237,0.0121489,35243.3,-0.00102256,1.28132,12.5841,12.3474,116.548,89.3475,1.27987,12.0142,13.4972,115.495,140.357,1.05302,-51.0098 
24,20,22,24,29883.3,-0.193319,55.3713,12.39,116.674,-0.0708305,-6.99566,1.54401e-12,1.28854,0.232753,-1.18718,1.54567,-1.5751,-63.3741,14671.6,97.1469,16002.2,22349.3,1.68759,0.631803,-0.38908,1.94472,-1.17605,1.14416,14760.5,100.439,16091.1,0.443721,0.988232,0.0113675,33265.2,-0.00113845,1.09109,12.9046,12.9356,116.934,88.9538,1.17568,12.3026,13.8201,116.001,140.451,0.932639,-51.4971 
25,145,147,25,30149.8,-0.0358411,56.2022,12.2795,116.078,-0.0646787,36.8304,500,2.10349,0.186613,-1.4699,2.5993,0.103529,-51.6785,16260.2,97.8722,14719.2,22543.8,2.4289,0.512019,-0.819084,2.9247,0.428935,1.14959,16332.7,100.557,14791.7,0.489837,0.98934,0.0123681,33343.1,-0.00130569,1.26711,12.7532,12.3861,116.35,88.0476,1.12739,12.279,13.5415,115.269,139.181,1.08141,-51.1332 
26,135,137,26,30986.8,-0.0157195,58.3217,12.1472,116.417,-0.101726,15.3806,1.70157e-12,-0.149171,0.368072,0.503007,-1.20111,1.38933,-61.4973,15528.9,83.7564,16303.8,23113.2,0.238061,0.755305,1.27747,-0.813879,1.77657,0.604929,15615.1,86.9511,16390.1,0.453089,0.990349,0.00967799,34463.7,-0.00131295,1.24984,12.5425,12.2913,116.736,88.4709,1.26459,12.1953,13.3117,115.725,139.946,1.01125,-51.4754 
27,10,12,27,32703.6,0.00699312,61.0453,12.0849,116.046,-0.0563231,73.7517,499.954,-1.81577,-0.0859554,-1.14241,4.10768,3.98924,-62.728,16628.7,114.02,16842.2,24150.7,-1.42079,0.309026,-0.352444,4.50266,4.38422,1.04748,16716.7,117.278,16930.2,0.461959,0.987872,0.0125998,36186.4,-0.000947622,1.32604,12.5534,12.1603,116.404,87.5742,1.31905,11.87,13.5093,115.34,138.467,1.06361,-50.8931 
28,115,117,28,30166,-0.079867,56.6569,12.1524,116.455,0.0224247,158.764,500,-0.969702,2.49713,-1.06922,-0.410216,-2.74696,-75.0355,15146.9,83.0657,15855.4,22529.3,-0.497223,2.96961,-0.124263,0.0622626,-2.27448,1.91436,15252.2,86.9636,15960.7,0.45384,0.990121,0.00993719,33606.9,-0.00132595,1.20417,12.5472,12.4438,116.864,88.6598,1.22007,12.1441,13.5038,115.713,140.028,1.15131,-51.3684 
29,105,107,29,29434.1,-0.351139,56.5987,11.9998,116.429,0.134832,175.769,6.28215,-1.38482,3.13508,1.97538,-1.34434,-1.39307,-64.9159,14436.9,77.2662,15856.7,22880.8,-0.976057,3.54384,2.7929,-0.935583,-0.984313,0.188296,14527.9,80.6385,15947.7,0.442011,0.99038,0.00922852,32867.8,-0.00126933,1.21121,12.2683,12.0557,116.793,88.7499,1.26793,11.9194,13.1805,115.766,140.221,1.02661,-51.4714 
30,155,157,30,31666,-0.32262,59.2384,12.2289,116.691,-0.722332,1237.63,97.1079,-0.0193594,0.0947072,-1.33668,-2.00509,-0.0992575,-68.6274,15747.2,96.4388,16632.6,52684.3,0.412769,0.526836,-0.472428,-1.57296,0.332871,0.388771,15843.5,100.004,16728.8,0.451617,0.989075,0.010892,35081.6,-0.00110558,1.23465,12.5633,12.5687,117.022,88.7362,1.28731,12.0842,13.4006,115.952,140.069,1.07027,-51.3326 
31,3,5,31,37938.2,-0.394694,73.1722,11.8738,116.25,0.270526,236.796,378.299,-0.813709,-0.591524,1.94862,-3.08313,-1.26644,64.2353,20114.1,114.744,18604.2,30368.8,-1.21818,-0.995996,1.13968,-3.4876,-1.67092,1.18285,20024,111.407,18514.1,0.484665,0.990357,0.0109632,41315.3,-0.00117925,1.67984,12.1181,12.1454,116.569,89.317,1.55733,11.6829,12.8651,115.523,140.311,1.04563,-50.9942 
