cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,0.05,43.325,22,38656.5,-0.403109,74.2994,11.9165,116.763,0.308951,-145.727,489.496,-1.09618,0.420454,-0.309034,3.08505,-3.84536,-21.5627,20461.9,205.477,18867.5,30288,-0.960404,0.556229,-0.0374847,3.22082,-3.70958,0.959712,20492.1,207.157,18897.8,0.485312,0.982617,0.0197935,42224.5,-0.00110947,1.6326,12.2027,12.61,117.127,90.4785,1.5266,11.6718,13.3528,115.941,141.911,1.186,-51.432 
23,0.05,43.175,23,39234.4,-0.428933,75.3621,11.9581,116.024,0.561962,143.034,91.9203,-4.2865,-0.590938,-2.80737,1.56214,-2.18221,-32.9018,21028.9,191.107,18918.4,31953.3,-4.07933,-0.383764,-2.39302,1.76932,-1.97504,0.661133,21075,193.671,18964.6,0.491439,0.984173,0.0184647,42884.3,-0.00118998,1.70403,12.229,12.4085,116.353,90.6563,1.52565,11.7292,13.3429,115.179,141.966,1.17404,-51.3102 
24,0.05,43.35,24,39138.9,-0.430045,75.3709,11.9267,116.419,1.57766,66.6152,125.199,-1.51325,-1.97886,-2.89995,-1.00577,-2.85145,38.8102,20203.2,191.57,19611.9,32684.2,-1.75763,-2.22324,-3.3887,-1.25015,-3.09583,0.710752,20148.7,188.546,19557.5,0.472533,0.983888,0.0174491,42639.9,-0.00120099,1.62657,12.2999,12.4426,116.854,90.0295,1.61227,11.6066,13.2201,115.603,141.426,1.25104,-51.397 
25,0.05,43.1,25,41598,-0.259278,77.4132,12.1587,116.669,0.284912,-335.014,1.4956e-11,-2.5146,-0.830637,-2.57004,-0.516268,-1.36871,51.0984,21937.3,248.182,20081.9,33747.7,-2.83636,-1.15239,-3.21355,-0.83802,-1.69046,0.669754,21865.6,244.201,20010.2,0.48723,0.98083,0.0219864,44877.4,-0.000895838,1.69796,12.53,12.6439,117.022,89.0279,1.52395,11.9235,13.9353,115.842,140.319,1.18001,-51.2912 
26,0.05,43.225,26,32250.6,-0.00663739,60.1979,12.1756,116.456,-0.0607397,48.5109,500,0.0695882,1.979,0.500148,0.4116,1.5263,29.4482,16388.7,160.803,16496.5,23955.7,-0.115839,1.79358,0.129293,0.226173,1.34087,0.96168,16347.4,158.509,16455.2,0.46348,0.983315,0.0174351,35270.9,-0.00107522,1.23865,12.6027,12.9284,116.784,89.3051,1.23205,12.0468,14.0373,115.673,141.013,1.1112,-51.7083 
27,0.05,43.15,27,39944.6,-0.365225,75.8305,11.9882,116.389,0.661517,80.034,360.134,-1.42395,-4.68317,2.33129,-0.245467,-1.06906,27.2003,21528.9,217.614,18830.1,31316.9,-1.59523,-4.85444,1.98875,-0.41674,-1.24033,1.32507,21490.8,215.495,18792,0.498608,0.982755,0.0206872,43101.5,-0.000825427,1.73592,12.2572,12.3787,116.684,89.5572,1.49973,11.7019,13.5385,115.548,140.711,1.13656,-51.154 
28,0.15,43.24,28,34217.9,-0.010477,63.1307,12.3021,116.662,-0.0433027,16.2372,499.982,0.687023,-1.99992,-2.20617,-0.935937,-1.53564,21.0578,17819.5,177.003,17013.5,25305,0.554428,-2.13252,-2.47136,-1.06853,-1.66824,0.635827,17789.9,175.363,16984,0.476667,0.983042,0.018665,37321.5,-0.00108261,1.33252,12.7304,12.9154,116.99,88.8988,1.23835,12.2194,14.2269,115.835,140.459,1.15573,-51.5598 
29,0.15,43.05,29,38904.8,-0.0767313,74.6198,11.7293,116.393,-0.0261921,-25.4481,500,-2.20223,-2.25553,-0.491527,-0.0323865,0.200301,37.9963,20439.4,162.208,19002.9,28513.7,-2.44148,-2.49479,-0.970032,-0.271639,-0.0389521,0.843968,20386.1,159.247,18949.6,0.483333,0.986514,0.0152445,42178.2,-0.00102642,1.69473,12.1797,12.2106,116.736,89.7469,1.55967,11.5189,13.3025,115.694,141.029,1.04268,-51.2822 
30,0.15,43.2,30,28907.2,-0.362346,56.3983,11.862,116.368,-0.0802514,495.66,496.92,-3.72505,-3.14156,-0.95678,-2.31417,-5.0926,50.1307,14811.2,135.629,14744.2,23073,-4.04071,-3.45722,-1.5881,-2.62983,-5.40826,0.90726,14740.8,131.722,14673.9,0.466249,0.984603,0.016267,31615.8,-0.0010076,1.23088,12.0941,12.2273,116.657,89.2128,1.1864,11.7531,13.3555,115.494,140.708,1.16292,-51.495 
31,0.15,43.3,31,34513,-0.0445897,68.6433,11.4203,116.315,-0.114438,19.218,0.533031,2.07537,-3.22132,-2.90057,-2.24024,-4.73729,-18.3099,17660.8,146.116,17592.4,25591.1,2.19066,-3.10602,-2.66999,-2.12495,-4.62199,0.741588,17686.5,147.543,17618.1,0.46608,0.985611,0.0151923,37947.3,-0.00117373,1.56538,11.6472,11.9126,116.672,89.8961,1.47593,11.4809,13.1047,115.595,141.203,1.07753,-51.3065 
