cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
33,0.3,42,33,29355.5,-0.418975,60.0534,11.4092,117.231,-0.245689,244.01,15.1705,-3.8506,0.0266935,-1.76682,4.19789,-1.22465,-138.593,15516.9,115.294,15083.4,24255.8,-2.97791,0.89938,-0.0214493,5.07057,-0.351964,1.00819,15711.3,126.094,15277.8,0.472083,0.98615,0.014976,33280.7,-0.00145165,1.4325,11.6209,11.4204,117.61,88.1952,1.35768,11.229,12.4492,116.511,138.885,1.0992,-50.6894 
34,1.4,42,34,28719.4,-0.394275,58.4773,11.3972,116.981,2.97056,-4855.87,21.0603,-5.98821,-6.38114,-9.41877,0.80107,2.84782,-85.7309,15049.5,107.869,14776.2,491265,-5.44839,-5.84132,-8.33912,1.34089,3.38765,0.440338,15169.8,114.549,14896.4,0.469643,0.986958,0.0139674,32300.7,-0.00129508,1.3931,11.6593,11.3997,117.493,88.4132,1.33046,11.2128,12.386,116.254,139.314,1.23954,-50.9004 
35,0.8,42,35,22693.5,-0.176689,47.2036,11.3019,117.39,-0.010204,53.3498,500,-1.94533,0.484531,2.6499,-1.81489,-2.17462,-78.1654,12216.5,75.9991,11779.5,17384.6,-1.45315,0.976718,3.63427,-1.3227,-1.68244,-22.8002,12326.1,82.0899,11889.1,0.474107,0.98848,0.0125593,25998.6,-0.00147386,1.16309,11.5377,11.2132,117.747,87.9518,1.04929,11.2022,12.5995,116.715,138.894,1.03178,-50.9421 
36,1.1,43.2289,36,23617.8,0.0239003,48.018,11.4187,117.461,-0.088577,-21.3305,2.0384e-13,-4.14529,-0.788212,3.77814,-0.242252,0.290603,-88.4536,12413.7,95.7449,12402.8,17910.6,-3.58832,-0.231243,4.89208,0.314717,0.847572,-1.18904,12537.8,102.637,12526.8,0.465334,0.985876,0.0148687,26943.6,-0.00122352,1.14158,11.6756,11.371,117.81,87.6862,1.06303,11.3829,12.7983,116.756,138.629,1.05454,-50.9424 
37,1.1,43.2289,37,26739.3,-0.343835,53.175,11.656,117.328,0.461485,-156.597,29.0151,0.812383,1.0333,6.29111,1.72278,2.35385,-94.4272,13416.1,127.588,14318.1,22529.4,1.40697,1.62788,7.48028,2.31736,2.94843,0.525992,13548.6,134.946,14450.6,0.449123,0.982868,0.0169115,30166.8,-0.00110098,1.18255,12.0898,11.5899,117.764,87.9229,1.1882,11.3067,13.1956,116.693,139.022,1.07122,-51.0991 
38,0.4,43.216,38,23397,-0.104498,48.6748,11.3348,116.865,-0.144966,-253.813,4.92422,-0.0907096,-4.44384,-2.06922,3.54033,-2.56354,0.128009,11834.1,101.031,12975.6,19158.1,-0.0915156,-4.44465,-2.07083,3.53952,-2.56435,0.632298,11833.9,101.021,12975.4,0.442297,0.985281,0.014139,26755.7,-0.00155278,1.08702,11.7139,11.542,117.376,88.8558,1.16721,11.0951,12.457,116.17,139.751,1.2062,-50.895 
39,0.1,42,39,28545.9,-0.410176,57.8794,11.5166,117.016,-0.412506,1014.38,436.095,-3.81194,-1.39198,1.2019,0.694143,0.140088,-20.501,15237.7,126.759,14373.1,35320.8,-3.68285,-1.26289,1.46008,0.823232,0.269177,1.61008,15266.5,128.357,14401.9,0.479646,0.9855,0.0161526,31828.7,-0.00133035,1.39447,11.7447,11.4202,117.501,88.1595,1.28823,11.2296,12.5303,116.236,138.951,1.26505,-50.7918 
40,0.8,43.216,40,25213.6,-0.420088,50.8186,11.7146,117.283,0.822314,-308.247,447.29,-0.812577,0.388771,-6.75977,2.43964,-1.6607,-102.973,12541.4,117.097,13828.9,27631,-0.164182,1.03717,-5.46298,3.08804,-1.01231,-1.17279,12685.9,125.121,13973.3,0.441169,0.983033,0.0162271,28755.2,-0.00131618,1.13422,11.8691,11.5494,117.723,87.6876,1.15683,11.516,12.895,116.466,138.354,1.25689,-50.6666 
41,0.6,43.236,41,25481.1,-0.139569,51.0554,11.5558,117.237,-0.263184,-397.636,5.252,0.00281357,-0.864669,3.46374,0.182852,0.813294,-65.124,13361.4,106.901,13293.1,22612.8,0.412882,-0.4546,4.28387,0.59292,1.22336,0.292908,13452.7,111.976,13384.5,0.466382,0.985643,0.0151774,28844.8,-0.0013605,1.20937,11.8716,11.4473,117.61,88.2301,1.14047,11.3797,12.8532,116.471,139.117,1.13898,-50.8868 
42,0.5,43.2231,42,24302.7,-0.0605142,49.5926,11.3831,116.82,0.0274949,-32.3519,499.996,-0.266505,-1.86841,-1.33732,2.38572,-1.26099,-185.991,13363.9,103.464,12199,18405.9,0.904629,-0.697273,1.00495,3.55685,-0.0898573,0.785235,13624.7,117.957,12459.9,0.487406,0.985075,0.0171402,27953.6,-0.00143436,1.24612,11.6561,11.3021,117.186,87.5358,1.06885,11.2977,12.7185,116.029,138.183,1.15751,-50.6473 
