cyc,time,amplitude,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
99,1,1.7,4.23092e-07,9.33645e-07,1.28904e-29,0.453162,0.323593,-2.24433e-13,76232.8,98182.6,1.23545,0.0066,1.55602 
100,1,1.25,3.92986e-07,9.36335e-07,1.29275e-29,0.419707,0.532684,-4.86379e-13,76893.6,97785.4,1.14432,0.0066,1.52113 
101,1,1.1,3.91938e-07,9.40647e-07,1.2987e-29,0.416669,0.552664,-1.96301e-13,77960.8,99321.7,1.13625,0.0066,1.54009 
102,1,1.4,4.06242e-07,9.56127e-07,1.32008e-29,0.424883,0.499043,-4.95374e-13,81873.4,103854,1.15815,0.0066,1.57508 
103,1,0.65,3.7202e-07,9.57855e-07,1.32246e-29,0.388389,0.747935,3.61969e-13,82318.3,108062,1.06298,0.0066,1.498 
104,1,0.95,3.75542e-07,9.51173e-07,1.31324e-29,0.394819,0.701975,2.9385e-13,80607.6,104988,1.07948,0.0066,1.54395 
105,1,0.8,3.78451e-07,9.43708e-07,1.30293e-29,0.401026,0.658521,-8.38852e-13,78724.4,99094.4,1.09531,0.0066,1.53055 
106,1,1.55,4.29239e-07,9.73248e-07,1.34372e-29,0.441038,0.397177,-3.78667e-13,86351.1,110772,1.20196,0.0066,1.54379 
107,1,0.5,3.66461e-07,9.42949e-07,1.30188e-29,0.388633,0.74617,2.3433e-13,78534.7,101261,1.0636,0.0066,1.51571 
108,1,1.7,4.22631e-07,9.44765e-07,1.30439e-29,0.44734,0.358641,-2.65937e-13,78989.3,101595,1.21931,0.0066,1.5622 
109,1,1.25,4.11609e-07,9.48459e-07,1.30949e-29,0.433976,0.441147,-3.81167e-13,79919.5,103179,1.18269,0.0066,1.50967 
110,1,1.1,3.78711e-07,9.36254e-07,1.29264e-29,0.404496,0.634591,1.35912e-13,76873.7,99605.4,1.1043,0.0066,1.52744 
111,1,1.4,4.17575e-07,9.3261e-07,1.28761e-29,0.447749,0.356161,-6.71954e-13,75979.5,97004,1.22044,0.0066,1.53467 
112,1,0.65,3.70755e-07,9.2211e-07,1.27311e-29,0.402072,0.651275,1.81624e-13,73442.2,95605.8,1.09802,0.0066,1.50129 
113,1,0.95,3.88949e-07,9.37306e-07,1.29409e-29,0.414965,0.563954,2.83012e-13,77133,101014,1.13174,0.0066,1.49993 
114,1,0.8,3.76421e-07,9.58352e-07,1.32315e-29,0.392779,0.716449,-3.55727e-13,82446.4,105052,1.07414,0.0066,1.53025 
115,1,1.55,4.01984e-07,9.3354e-07,1.28889e-29,0.430602,0.462456,3.90162e-13,76207,98903.3,1.17355,0.0066,1.56715 
116,1,0.5,3.72371e-07,9.42129e-07,1.30075e-29,0.395244,0.698909,2.20171e-13,78329.9,102303,1.08048,0.0066,1.50619 
117,1,1.7,4.20443e-07,9.41665e-07,1.30011e-29,0.446489,0.363806,8.27477e-14,78214.3,100931,1.21696,0.0066,1.56153 
118,1,1.25,3.97215e-07,9.3472e-07,1.29052e-29,0.424956,0.498573,-5.24702e-14,76496.4,97743.6,1.15834,0.0066,1.56516 
119,1,1.1,3.95966e-07,9.44918e-07,1.3046e-29,0.419048,0.536999,-1.85658e-13,79027.8,101830,1.14256,0.0066,1.52594 
120,1,1.4,3.99357e-07,9.32322e-07,1.28721e-29,0.428346,0.47682,4.70953e-13,75909.4,98854.3,1.16745,0.0066,1.56238 
121,1,0.65,3.81055e-07,9.46914e-07,1.30736e-29,0.402417,0.648894,3.34891e-13,79529.6,103976,1.09891,0.0066,1.4963 
122,1,0.95,3.88029e-07,9.59611e-07,1.32489e-29,0.404361,0.635512,2.35874e-13,82771.8,107745,1.10394,0.0066,1.51592 
123,1,0.8,3.91988e-07,9.53227e-07,1.31607e-29,0.411222,0.58894,2.45738e-13,81130.8,105891,1.12187,0.0066,1.51879 
124,1,1.55,4.08403e-07,9.26386e-07,1.27901e-29,0.440856,0.398297,-4.59906e-13,74468.4,96261.7,1.20146,0.0066,1.52414 
125,1,0.5,3.68018e-07,9.60106e-07,1.32557e-29,0.383309,0.784931,2.38973e-13,82900,108058,1.05017,0.0066,1.50113 
126,1,1.7,4.30361e-07,9.43116e-07,1.30211e-29,0.456319,0.304816,-2.04921e-13,78576.4,101131,1.24427,0.0066,1.53769 
127,1,1.25,3.9429e-07,9.27361e-07,1.28036e-29,0.425174,0.497168,4.40531e-13,74703.9,98139.2,1.15893,0.0066,1.50944 
128,1,1.1,3.83341e-07,9.23049e-07,1.27441e-29,0.415299,0.561737,1.76192e-13,73666.7,95401.8,1.13262,0.0066,1.51443 
129,1,1.4,4.00494e-07,9.20517e-07,1.27091e-29,0.435075,0.434248,-2.03996e-13,73062.1,93053.9,1.18567,0.0066,1.56257 
130,1,0.65,3.7861e-07,9.41704e-07,1.30016e-29,0.402047,0.651449,-3.84116e-15,78224,100155,1.09795,0.0066,1.52364 
131,1,0.95,3.6781e-07,9.15706e-07,1.26427e-29,0.401668,0.654073,6.00536e-13,71922.6,93413.1,1.09697,0.0066,1.53085 
132,1,0.8,3.87159e-07,9.56551e-07,1.32066e-29,0.404745,0.632884,1.55135e-13,81982.5,107449,1.10495,0.0066,1.48791 
133,1,1.55,4.24835e-07,9.43385e-07,1.30248e-29,0.45033,0.340573,-5.54462e-13,78643.6,100739,1.22759,0.0066,1.54048 
134,1,0.5,3.67172e-07,9.51067e-07,1.31309e-29,0.386063,0.764799,1.38691e-13,80580.6,104198,1.05711,0.0066,1.53086 
135,3,1.7,5.2739e-07,9.15282e-07,1.26368e-29,0.576204,-0.319743,-1.53449e-12,71822.7,95635.2,1.59884,0.0066,1.34985 
136,3,1.25,4.67352e-07,9.23149e-07,1.27455e-29,0.506259,0.0257796,-7.13961e-13,73690.7,97994.3,1.3877,0.0066,1.38159 
137,3,1.1,4.70569e-07,9.40255e-07,1.29816e-29,0.50047,0.0565527,-9.74934e-13,77863.5,102461,1.37072,0.0066,1.40692 
138,3,1.4,4.98862e-07,9.16459e-07,1.26531e-29,0.544337,-0.167915,-1.72417e-12,72100.2,94083,1.50134,0.0066,1.38403 
139,3,0.65,4.04652e-07,9.44189e-07,1.30359e-29,0.428571,0.475386,-7.87206e-14,78844.9,103965,1.16806,0.0066,1.44972 
140,3,0.95,4.49207e-07,9.33784e-07,1.28923e-29,0.481061,0.162555,-7.94424e-13,76266.9,100119,1.31439,0.0066,1.42401 
141,3,0.8,4.39641e-07,9.46196e-07,1.30637e-29,0.464641,0.256008,-8.09517e-13,79348.7,103366,1.26764,0.0066,1.44333 
142,3,1.55,5.03228e-07,9.23736e-07,1.27536e-29,0.544775,-0.170069,-1.46956e-12,73831.3,96677.6,1.50266,0.0066,1.3867 
143,3,0.5,3.73329e-07,9.23209e-07,1.27463e-29,0.404382,0.635368,-2.15508e-15,73705.1,95946.3,1.104,0.0066,1.48193 
144,3,1.7,5.29724e-07,9.26266e-07,1.27885e-29,0.571892,-0.299686,-1.65803e-12,74439.6,99028.7,1.58553,0.0066,1.34462 
145,3,1.25,4.73064e-07,9.24392e-07,1.27626e-29,0.511757,-0.0030979,-1.05176e-12,73988.6,97226.6,1.40391,0.0066,1.39381 
146,3,1.1,4.64294e-07,9.23911e-07,1.2756e-29,0.502531,0.0455441,-6.77624e-13,73873.2,97515.9,1.37675,0.0066,1.40746 
147,3,1.4,4.8712e-07,9.16412e-07,1.26524e-29,0.531551,-0.104471,-9.02157e-13,72089.1,96222.2,1.46282,0.0066,1.36117 
148,3,0.65,3.96116e-07,9.18113e-07,1.26759e-29,0.431446,0.457105,-2.91108e-14,72491.1,96021.7,1.17583,0.0066,1.43447 
149,3,0.95,4.42244e-07,9.3562e-07,1.29176e-29,0.472675,0.209824,-7.73893e-13,76717.6,99910.6,1.29041,0.0066,1.42495 
150,3,0.8,4.17715e-07,9.18881e-07,1.26865e-29,0.454591,0.315082,-2.09949e-13,72673.3,95559.8,1.23945,0.0066,1.44446 
151,3,1.55,5.09267e-07,9.01986e-07,1.24533e-29,0.564606,-0.265476,-1.57554e-12,68737.8,90153.8,1.56311,0.0066,1.37708 
152,3,0.5,3.88441e-07,9.27242e-07,1.2802e-29,0.418921,0.537838,3.94195e-15,74675.2,96727.4,1.14222,0.0066,1.4764 
153,3,1.7,5.21815e-07,9.15645e-07,1.26419e-29,0.569888,-0.290321,-1.1072e-12,71908.1,96917.9,1.57935,0.0066,1.33374 
154,3,1.25,4.8019e-07,9.34786e-07,1.29061e-29,0.51369,-0.0131732,-1.4882e-12,76512.8,100727,1.40962,0.0066,1.37989 
155,3,1.1,4.51012e-07,9.06122e-07,1.25104e-29,0.497738,0.071176,-3.72904e-13,69687.8,93168.6,1.3627,0.0066,1.40789 
156,3,1.4,5.02721e-07,9.22216e-07,1.27326e-29,0.545122,-0.171767,-1.16376e-12,73467.5,96625.5,1.50371,0.0066,1.39113 
157,3,0.65,4.03661e-07,9.33385e-07,1.28868e-29,0.43247,0.450637,-6.65604e-13,76169.3,99052.3,1.1786,0.0066,1.44877 
158,3,0.95,4.35611e-07,9.18288e-07,1.26783e-29,0.474373,0.20018,-5.10264e-13,72532.7,96311.1,1.29525,0.0066,1.42137 
159,3,0.8,4.26904e-07,9.25438e-07,1.27771e-29,0.4613,0.275483,-1.99057e-13,74240.3,97074.4,1.25823,0.0066,1.44099 
160,3,1.55,5.18455e-07,9.15899e-07,1.26454e-29,0.566061,-0.27234,-1.82725e-12,71968.1,94438.7,1.56758,0.0066,1.37872 
161,3,0.5,3.73922e-07,9.25803e-07,1.27821e-29,0.403889,0.638756,3.01807e-13,74328.1,96233.6,1.10273,0.0066,1.51016 
162,3,1.7,5.35052e-07,9.07919e-07,1.25352e-29,0.589317,-0.379838,-1.71688e-12,70103.3,92751.3,1.6395,0.0066,1.3422 
163,3,1.25,4.89373e-07,9.24902e-07,1.27697e-29,0.529107,-0.0921704,-1.14217e-12,74111.2,97859.1,1.45551,0.0066,1.39621 
164,3,1.1,4.51496e-07,9.14325e-07,1.26236e-29,0.493802,0.0924478,-6.95633e-13,71597.7,94415.8,1.35124,0.0066,1.42014 
165,3,1.4,5.02556e-07,9.36616e-07,1.29314e-29,0.536566,-0.129543,-1.45246e-12,76962.9,101233,1.47789,0.0066,1.38756 
166,3,0.65,4.0784e-07,9.4378e-07,1.30303e-29,0.432134,0.452753,-7.99273e-14,78742.5,103221,1.17769,0.0066,1.47418 
167,3,0.95,4.58454e-07,9.41156e-07,1.29941e-29,0.487118,0.128977,-1.22683e-12,78087.5,102127,1.33185,0.0066,1.41092 
168,3,0.8,4.25881e-07,9.18761e-07,1.26849e-29,0.463538,0.26242,-6.24881e-13,72644.9,94761.5,1.26453,0.0066,1.43831 
169,3,1.55,5.20381e-07,9.20699e-07,1.27116e-29,0.565203,-0.268298,-1.3032e-12,73105.4,96444.4,1.56494,0.0066,1.37917 
170,3,0.5,3.92302e-07,9.1526e-07,1.26365e-29,0.428623,0.475051,-3.35132e-14,71817.6,94717,1.1682,0.0066,1.44918 
171,3,1.7,5.40861e-07,8.97955e-07,1.23976e-29,0.602325,-0.438232,-2.04832e-12,67820.5,89118.8,1.68008,0.0066,1.35151 
172,3,1.25,4.64717e-07,8.76977e-07,1.2108e-29,0.529907,-0.0961966,-2.21457e-13,63177.4,85893,1.4579,0.0066,1.35574 
173,3,1.1,4.52196e-07,9.17766e-07,1.26711e-29,0.492714,0.0983581,-6.89042e-13,72409.1,94728.5,1.34808,0.0066,1.4397 
174,3,1.4,4.8899e-07,9.06999e-07,1.25225e-29,0.53913,-0.142266,-9.01994e-13,69890.4,94248,1.48561,0.0066,1.3664 
175,3,0.65,3.9981e-07,9.29004e-07,1.28263e-29,0.430364,0.463969,-5.97558e-13,75101.7,97571.3,1.1729,0.0066,1.45156 
176,3,0.95,4.569e-07,9.43715e-07,1.30294e-29,0.48415,0.14537,-1.12882e-12,78726.2,101782,1.32329,0.0066,1.44604 
177,3,0.8,4.15437e-07,9.22164e-07,1.27319e-29,0.450502,0.339541,-1.19213e-13,73455,96135,1.22807,0.0066,1.46379 
178,3,1.55,5.1778e-07,9.46518e-07,1.30681e-29,0.547036,-0.181121,-1.55286e-12,79429.9,103543,1.50951,0.0066,1.41656 
179,3,0.5,3.90884e-07,9.32558e-07,1.28754e-29,0.419153,0.536315,-3.38952e-13,75966.9,98829.8,1.14284,0.0066,1.47187 
180,7,1.7,6.17412e-07,8.88313e-07,1.22645e-29,0.695039,-0.825284,-2.26333e-12,65659,90163.1,1.97148,0.0066,1.22111 
