cyc,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
28,200.01,28,-9646.65,0,5,101,125,0,5,135,-14.4181,-11.7882,-20.6698,-5.11071,-14.6905,337.877,-54.8543,6246.17,-67.5077,16439.4,-15.7236,-13.0937,-23.2808,-6.4162,-15.996,0.687549,-74.5998,4765.25,-87.2532,0.416053,-0.00902643,1.01004,-179.304,818.571,991.823,707.867,16750.1,6.79654e-07,1.32574,111.66,87.0064,25.5019,28.0911,0.90783,591.17,730.719,0.967038 
29,20.01,29,-1232.01,0,5,101,125,0,5,135,-11.3783,-6.3742,-15.8855,-12.8413,-8.80321,359.979,-45.218,14374.5,-49.5871,16439.4,-12.7692,-7.76509,-18.6673,-14.2322,-10.1941,0.706617,-66.2552,12796.7,-70.6243,0.438764,-0.00296735,1.003,-151.004,488.107,590.77,1.005,22091.2,7.4534e-07,0.720464,110.552,87.6542,23.3973,25.4977,0.917626,497.62,602.023,0.734346 
30,120.01,30,-7928.68,0,5,101,125,0,5,135,-15.9748,-8.76149,-27.8582,-13.507,-20.702,381.62,-73.1109,7992.93,-44.5935,16439.4,-17.4493,-10.236,-30.8072,-14.9815,-22.1765,0.677919,-95.4127,6320.29,-66.8954,0.543083,-0.0087015,1.00578,-175.687,588.197,685.403,617055,15420.3,6.6117e-07,0.960332,111.684,86.8515,25.4379,27.2067,0.934984,588.202,685.433,0.960357 
31,60.01,31,-5000.21,0,5,101,125,0,5,135,-15.56,-13.9694,-21.9638,-13.6238,-9.73094,336.023,-81.4769,11155.5,-38.2006,16439.4,-16.8584,-15.2677,-24.5604,-14.9221,-11.0293,0.702795,-101.114,9682.67,-57.8378,0.592977,-0.00600313,1.00325,-170.519,497.092,658.076,713.997,18390.5,7.01153e-07,0.815725,110.888,86.8301,24.239,26.7176,0.907229,534.065,661.009,0.847399 
32,0.01,32,3393.09,0,5,101,125,0,5,135,-12.5776,-12.2246,-25.0598,-9.2658,-17.6138,303.514,-66.2293,18953.1,-55.6094,16439.4,-13.7503,-13.3974,-27.4052,-10.4385,-18.7865,0.672883,-83.9666,17622.8,-73.3468,0.488227,-0.00273009,1.00226,-171.983,468.278,550.983,82.9521,25888.4,7.85809e-07,0.646404,109.94,87.4014,23.648,25.2387,0.936974,508.342,589.858,0.696843 
33,40.01,33,-5604.69,0,5,101,125,0,5,135,-11.3649,-7.19684,-20.8352,-16.2021,-15.6162,393.282,-61.2337,11373.4,-49.8546,16439.4,-12.8844,-8.7164,-23.8743,-17.7217,-17.1357,0.702807,-84.217,9649.69,-72.838,0.49071,-0.0050121,1.00411,-171.623,509.714,633.624,0.699162,19250.3,7.11914e-07,0.798273,110.955,86.9538,24.3113,26.8706,0.904757,537.258,668.6,0.841874 
34,140.01,34,-8193.03,0,5,101,125,0,5,135,-10.3688,-10.4969,-20.8366,-16.3117,-7.33568,390.934,-52.2052,8157.37,-53.8336,16439.4,-11.8793,-12.0074,-23.8576,-17.8222,-8.84618,0.679388,-75.0514,6443.91,-76.6798,0.449229,-0.00669995,1.0065,-167.067,565.211,694.578,665.389,15157.6,6.57393e-07,0.953106,111.731,87.4917,25.4626,27.5354,0.924724,589.348,702.092,0.978493 
36,100.01,36,-8052.02,0,5,101,125,0,5,135,-8.68378,-9.00327,-22.4236,-6.297,-14.1612,389.129,-61.5878,7605.59,-47.1338,16439.4,-10.1873,-10.5068,-25.4307,-7.80052,-15.6647,0.634564,-84.3285,5900.04,-69.8745,0.501425,-0.00823461,1.00647,-168.178,575.792,707.621,3.45606e+06,14708.4,6.50834e-07,0.980761,111.716,86.7297,25.1682,27.6438,0.910448,575.799,707.632,0.980774 
38,160.01,38,-8867.45,0,5,101,125,0,5,135,-11.6245,-12.5338,-30.99,-9.40616,-15.9585,339.631,-57.7491,7028.14,-49.3432,16439.4,-12.9368,-13.8461,-33.6145,-10.7184,-17.2708,0.619688,-77.5971,5539.53,-69.1912,0.48309,-0.00806909,1.00683,-160.627,552.071,690.976,2.85001e+10,13909.9,6.38837e-07,0.966805,111.182,87.5848,24.6441,27.3167,0.902163,552.068,690.988,0.96681 
39,200.01,39,-9906.45,0,5,101,125,0,5,135,-13.8019,-16.5853,-26.4127,-8.30093,-14.9424,239.867,-35.0832,5309.17,-44.1476,16439.4,-14.7287,-17.5121,-28.2663,-9.22773,-15.8692,0.669801,-49.101,4257.83,-58.1655,0.412962,-0.00663339,1.00747,-118.9,577.584,737.255,5.93635e+06,11691.5,6.02891e-07,1.08237,112.224,86.5374,25.2073,28.2169,0.893341,577.587,737.275,1.08239 
40,20.01,40,-792.666,0,5,101,125,0,5,135,-13.7074,-12.8386,-18.4055,-10.7161,-12.92,330.043,-38.2366,14753.4,-42.2942,16439.4,-14.9826,-14.1138,-20.956,-11.9913,-14.1952,0.725128,-57.5243,13306.9,-61.5819,0.437705,-0.00247635,1.00252,-131.423,499.934,623.477,2.96253,22559.4,7.50569e-07,0.743833,110.365,86.918,23.4614,25.9585,0.903805,500.35,623.981,0.744444 
41,120.01,41,-8252.48,0,5,101,125,0,5,135,-11.1703,-13.1661,-26.6497,-6.30605,-13.8811,361.121,-64.2148,7857.51,-68.9534,16439.4,-12.5656,-14.5614,-29.4403,-7.70135,-15.2764,0.629891,-85.3188,6274.72,-90.0573,0.44118,-0.00783069,1.00785,-193.388,492.834,631.075,71.2784,13970.6,6.39764e-07,0.871708,111.953,87.2275,24.847,27.5355,0.902361,561.194,702.1,0.981152 
42,60.01,42,-6051.55,0,5,101,125,0,5,135,-9.9871,-15.5519,-28.5286,-17.6499,-14.5539,435.251,-54.2463,9849.67,-46.6726,16439.4,-11.6688,-17.2337,-31.892,-19.3316,-16.2356,0.669038,-79.6824,7941.97,-72.1086,0.4794,-0.00576625,1.00495,-166.213,529.529,663.651,1.97091e+10,17032.9,6.83457e-07,0.867368,111.257,87.428,24.1359,26.771,0.901568,529.53,663.652,0.86737 
43,0.01,43,2331.03,0,5,101,125,0,5,135,-12.2745,-12.0574,-20.0817,-11.5305,-13.5225,423.399,-86.2594,19156.2,-21.0334,16439.4,-13.9104,-13.6933,-23.3535,-13.1664,-15.1584,0.705437,-111.003,17300.5,-45.7768,0.668954,-0.00367988,1.00144,-165.935,497.828,614.5,1.13925e+06,28248.5,8.08997e-07,0.683681,110.704,87.4686,23.4023,25.7606,0.908453,497.831,614.503,0.683684 
