cyc,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
25,1.05,0.01,40,25,3.32804e-07,4.97967e-07,6.87519e-30,10.376,0.668325,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.718498,-3.3014e-30,6.23395e-14,15404.6,22054.3,1.88739,19.5835,1.69102,17.5459,0.536642,0.0066,1.30641,6.683e-06 
26,1.05,0.01,40,26,3.37168e-07,5.55462e-07,7.66899e-30,11.574,0.607005,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.458961,-2.13652e-30,2.31416e-13,21380.1,30501,1.69472,19.6146,1.54696,17.9044,0.781897,0.0066,1.39153,6.683e-06 
27,1.05,40,0.01,27,3.7415e-07,5.46589e-07,7.54649e-30,11.3891,0.684518,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.783629,-4.048e-30,-4.58069e-13,20371.8,28003.8,1.9384,22.0766,1.73036,19.7072,0.474935,0.0066,1.33766,6.683e-06 
28,1.05,40,0.01,28,3.38995e-07,5.18807e-07,7.16291e-30,10.8102,0.653413,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.657307,-3.07642e-30,-1.89623e-14,17420.7,24765.3,1.84047,19.8958,1.65526,17.8937,0.594559,0.0066,1.32739,6.683e-06 
29,1.05,0.01,40,29,3.40497e-07,5.23735e-07,7.23095e-30,10.9129,0.650131,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.643689,-3.02603e-30,9.01343e-14,17921.8,25368.7,1.83014,19.9721,1.64745,17.9785,0.607436,0.0066,1.34546,6.683e-06 
30,1.05,0.01,40,30,3.38708e-07,5.29419e-07,7.30942e-30,11.0313,0.639774,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.600322,-2.80733e-30,2.1152e-13,18511.6,26735.9,1.79753,19.8291,1.62296,17.9034,0.648403,0.0066,1.34204,6.683e-06 
31,1.05,40,0.01,31,3.82147e-07,5.38568e-07,7.43575e-30,11.222,0.709561,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.881882,-4.65291e-30,-1.85026e-13,19488.1,27734,2.01718,22.6367,1.79225,20.1126,0.381611,0.0066,1.29681,6.683e-06 
32,1.05,0.01,40,32,3.52071e-07,5.35004e-07,7.38653e-30,11.1477,0.658071,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.676555,-3.28864e-30,3.35854e-13,19103.7,28190.1,1.85512,20.6803,1.66638,18.5763,0.576346,0.0066,1.33341,6.683e-06 
33,1.05,0.01,40,33,3.31596e-07,5.4871e-07,7.57576e-30,11.4333,0.60432,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.447085,-2.04684e-30,2.75346e-13,20609.9,29360.5,1.68631,19.2801,1.54083,17.6167,0.793107,0.0066,1.39296,6.683e-06 
34,1.05,40,0.01,34,3.46297e-07,5.8956e-07,8.13976e-30,12.2844,0.587382,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.371052,-1.77405e-30,3.75893e-13,25564.1,36617.6,1.63348,20.0664,1.50254,18.4578,0.86493,0.0066,1.38654,6.683e-06 
35,1.05,0.01,40,35,3.29039e-07,6.01762e-07,8.30822e-30,12.5387,0.546793,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.179934,-8.17416e-31,-6.37358e-14,27184.4,37037.3,1.50877,18.9181,1.41332,17.7212,1.04643,0.0066,1.44545,6.683e-06 
36,1.05,40,0.01,36,3.57969e-07,5.97778e-07,8.25322e-30,12.4557,0.598833,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.422674,-2.08898e-30,-9.44757e-14,26648.1,37538.6,1.66916,20.7906,1.52835,19.0367,0.816154,0.0066,1.35476,6.683e-06 
37,1.05,40,0.01,37,3.44571e-07,5.86584e-07,8.09867e-30,12.2224,0.587421,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.371229,-1.76606e-30,4.61218e-13,25178.9,36445,1.63361,19.9666,1.50262,18.3657,0.864762,0.0066,1.38294,6.683e-06 
38,1.05,40,0.01,38,3.45379e-07,5.93294e-07,8.19132e-30,12.3623,0.582137,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.347092,-1.6551e-30,4.02968e-13,26053,37316.2,1.6172,19.9923,1.4908,18.4297,0.887594,0.0066,1.42624,6.683e-06 
39,1.05,40,0.01,39,3.39203e-07,6.07571e-07,8.38843e-30,12.6597,0.558294,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.235476,-1.10278e-30,-5.72344e-14,27979.4,39138.6,1.54378,19.5439,1.43823,18.2077,0.993493,0.0066,1.36763,6.683e-06 
40,1.2,0.01,40,40,3.38243e-07,5.59092e-07,7.71911e-30,11.6496,0.604987,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.450033,-2.10163e-30,2.9881e-13,21802,31331.7,1.6884,19.6692,1.54235,17.9677,0.790327,0.0066,1.36898,6.683e-06 
41,1.2,0.01,40,41,3.36748e-07,5.02153e-07,6.93297e-30,10.4632,0.670608,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.727759,-3.38357e-30,3.11803e-13,15796.3,23245.4,1.89458,19.8234,1.69653,17.7511,0.527873,0.0066,1.33454,6.683e-06 
42,1.2,40,0.01,42,3.60451e-07,6.03716e-07,8.3352e-30,12.5794,0.597054,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.414713,-2.06385e-30,2.81806e-13,27450.1,39303.3,1.66361,20.9273,1.52433,19.1751,0.823674,0.0066,1.3884,6.683e-06 
43,1.2,0.01,40,43,3.28456e-07,5.89134e-07,8.13388e-30,12.2756,0.557523,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.231788,-1.05112e-30,5.67888e-13,25508.8,36841.8,1.54143,18.9219,1.43655,17.6345,0.997003,0.0066,1.43071,6.683e-06 
44,1.2,40,0.01,44,3.60564e-07,5.24304e-07,7.2388e-30,10.9247,0.6877,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.796289,-3.96402e-30,-1.92065e-13,17980.2,25153.4,1.94839,21.2856,1.73815,18.9889,0.462911,0.0066,1.33373,6.683e-06 
45,1.2,0.01,40,45,3.21334e-07,5.86092e-07,8.09188e-30,12.2122,0.548266,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.187116,-8.30142e-31,3.2838e-13,25115.6,35876.8,1.51324,18.48,1.4165,17.2985,1.03957,0.0066,1.38227,6.683e-06 
46,1.2,0.01,40,46,3.39556e-07,5.55422e-07,7.66844e-30,11.5731,0.611348,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.478071,-2.24124e-30,2.02191e-13,21375.5,30559.4,1.70832,19.7706,1.5569,18.0182,0.763859,0.0066,1.37045,6.683e-06 
47,1.2,40,0.01,47,3.65208e-07,5.63741e-07,7.78329e-30,11.7465,0.647829,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.634093,-3.19725e-30,2.90717e-14,22350.4,32135.5,1.8229,21.4126,1.64199,19.2876,0.616512,0.0066,1.3296,6.683e-06 
48,1.2,40,0.01,48,3.62829e-07,5.71722e-07,7.89348e-30,11.9128,0.634626,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.57852,-2.89804e-30,-7.2782e-14,23313.1,32916.8,1.78138,21.2212,1.61087,19.1899,0.669027,0.0066,1.34174,6.683e-06 
49,1.2,0.01,40,49,3.24565e-07,5.58995e-07,7.71777e-30,11.6476,0.580622,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.340136,-1.52418e-30,1.00595e-13,21790.7,30714.5,1.61251,18.7818,1.48743,17.3249,0.894178,0.0066,1.36401,6.683e-06 
50,1.2,0.01,40,50,3.46783e-07,5.41314e-07,7.47365e-30,11.2792,0.640633,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.603934,-2.89156e-30,8.27131e-14,19787.6,28029.7,1.80025,20.3053,1.62498,18.3285,0.645002,0.0066,1.34943,6.683e-06 
51,1.2,40,0.01,51,3.69038e-07,5.27106e-07,7.27749e-30,10.9831,0.700121,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.845197,-4.30638e-30,1.75614e-13,18270,26634.8,1.98748,21.8287,1.76877,19.4266,0.416478,0.0066,1.3274,6.683e-06 
52,1.2,0.01,40,52,3.55228e-07,4.93416e-07,6.81235e-30,10.2811,0.719937,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.921734,-4.52061e-30,5.40637e-16,14986,21685.5,2.04981,21.0744,1.81826,18.6938,0.343692,0.0066,1.31106,6.683e-06 
53,1.2,0.01,40,53,3.3788e-07,5.34167e-07,7.37498e-30,11.1302,0.632536,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.569631,-2.65729e-30,2.7851e-13,19014.2,27419.1,1.77482,19.7541,1.60598,17.8749,0.677423,0.0066,1.37343,6.683e-06 
54,1.2,40,0.01,54,3.61159e-07,5.02715e-07,6.94073e-30,10.4749,0.718417,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.915932,-4.56715e-30,1.31347e-13,15849.3,23198.6,2.04503,21.4214,1.81444,19.006,0.349212,0.0066,1.30428,6.683e-06 
55,1.2,0.01,40,55,3.17676e-07,5.95059e-07,8.21568e-30,12.399,0.533856,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.116024,-5.0888e-31,7.77484e-13,26286.1,38343.6,1.46974,18.2234,1.38566,17.1808,1.10756,0.0066,1.4243,6.683e-06 
56,1.2,40,0.01,56,3.51591e-07,5.79263e-07,7.99759e-30,12.0699,0.606963,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.458776,-2.22701e-30,3.13084e-13,24247.9,34767.3,1.69459,20.4535,1.54686,18.6704,0.782072,0.0066,1.38559,6.683e-06 
57,1.2,40,0.01,57,3.37433e-07,4.84079e-07,6.68344e-30,10.0866,0.697063,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.833225,-3.88181e-30,9.08093e-14,14151.3,20252.3,1.97786,19.9498,1.7612,17.7645,0.427849,0.0066,1.33425,6.683e-06 
58,1.2,40,0.01,58,3.7047e-07,5.37126e-07,7.41584e-30,11.1919,0.689726,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.804326,-4.11404e-30,2.75104e-13,19332,28078,1.95476,21.8775,1.74313,19.5089,0.455279,0.0066,1.36993,6.683e-06 
59,1.2,40,0.01,59,3.45702e-07,5.77729e-07,7.97641e-30,12.0379,0.598381,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.420652,-2.00774e-30,1.10265e-12,24055.7,37024.8,1.66776,20.0763,1.52733,18.3859,0.818065,0.0066,1.36673,6.683e-06 
