cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
36,2.5,1.8,0.01,20,36,3.3202e-07,6.32237e-07,8.72898e-30,0.525152,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0721286,-3.3064e-31,4.28608e-13,31527.3,45839.8,1.44368,19.0186,1.36726,18.0118,1.14968,0.0066,1.39733 
37,2.5,1.8,20,0.01,37,3.24636e-07,6.85777e-07,9.46818e-30,0.473384,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.205788,9.2236e-31,6.40744e-13,40234.2,58232.8,1.29243,18.468,1.26142,18.0248,1.41921,0.0066,1.43301 
38,2.5,1.8,20,0.01,38,3.34585e-07,6.44181e-07,8.89389e-30,0.519395,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0426854,-1.97183e-31,9.82005e-14,33348,46658.3,1.42654,19.1479,1.35518,18.19,1.178,0.0066,1.43002 
39,2.5,1.8,20,0.01,39,3.24954e-07,6.59417e-07,9.10424e-30,0.49279,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0979418,4.39414e-31,3.17796e-13,35770.7,50518.7,1.3483,18.5257,1.30036,17.8671,1.31396,0.0066,1.4369 
40,1,1.8,0.01,20,40,3.3349e-07,6.5521e-07,9.04616e-30,0.508981,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0114396,5.26715e-32,2.69003e-13,35090.4,49481.5,1.39571,19.0548,1.33353,18.2059,1.23018,0.0066,1.43106 
41,1,1.8,20,0.01,41,3.22106e-07,6.19556e-07,8.5539e-30,0.519899,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0452762,-2.01351e-31,2.43562e-13,29667.9,42110.1,1.42804,18.4352,1.35623,17.5083,1.17551,0.0066,1.42363 
42,1,1.8,20,0.01,42,3.26725e-07,6.68708e-07,9.23252e-30,0.488591,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.120878,5.4527e-31,5.55927e-13,37304.1,53927.4,1.33612,18.6169,1.29186,18.0004,1.33627,0.0066,1.41524 
43,1,1.8,0.01,20,43,3.29221e-07,6.53394e-07,9.02109e-30,0.503863,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0384683,1.74853e-31,4.17566e-13,34799.5,50041.4,1.38068,18.7973,1.32298,18.0118,1.25633,0.0066,1.41515 
44,1,1.8,0.01,20,44,3.46226e-07,5.91028e-07,8.16003e-30,0.585802,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.363858,-1.7393e-30,5.46582e-13,25755.5,38517.3,1.62858,20.056,1.499,18.4602,0.871733,0.0066,1.38425 
45,1,1.8,0.01,20,45,3.33277e-07,6.14652e-07,8.48619e-30,0.542222,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.157529,-7.24854e-31,4.87653e-14,28969,40886.7,1.49494,19.1461,1.4035,17.9751,1.06783,0.0066,1.38435 
46,1,1.8,20,0.01,46,3.33764e-07,6.62288e-07,9.14389e-30,0.503956,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.037971,1.74975e-31,2.92055e-13,36240,51748.8,1.38096,19.057,1.32317,18.2596,1.25585,0.0066,1.4062 
47,1,1.8,20,0.01,47,3.37651e-07,6.61259e-07,9.12967e-30,0.510618,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.00285682,1.33179e-32,4.71968e-13,36071.3,52134.6,1.40054,19.2973,1.33692,18.4206,1.2219,0.0066,1.41256 
48,1,1.8,20,0.01,48,3.42083e-07,5.41744e-07,7.47959e-30,0.631448,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.564991,-2.66844e-30,3.52499e-13,19834.9,28939.4,1.77139,19.9957,1.60343,18.0998,0.681805,0.0066,1.36023 
49,1,1.8,0.01,20,49,3.34104e-07,6.43827e-07,8.889e-30,0.518935,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0403187,-1.85983e-31,3.35767e-13,33293.1,47706.3,1.42517,19.119,1.35422,18.1671,1.18028,0.0066,1.39352 
50,1,1.8,20,0.01,50,3.32143e-07,6.46924e-07,8.93176e-30,0.513419,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0117623,-5.39386e-32,3.25245e-13,33775.9,48487.1,1.40882,18.9905,1.34272,18.0996,1.20779,0.0066,1.39523 
51,1,1.8,0.01,20,51,3.3916e-07,6.26695e-07,8.65247e-30,0.541188,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.152437,-7.13803e-31,3.00502e-13,30705.5,43526.5,1.49182,19.4806,1.40129,18.2984,1.0727,0.0066,1.42474 
52,1,1.8,0.01,20,52,3.34185e-07,6.29747e-07,8.69461e-30,0.530665,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.100018,-4.61474e-31,2.60558e-13,31156.3,43925.6,1.46017,19.1601,1.37889,18.0936,1.12291,0.0066,1.43271 
53,1,1.8,0.01,20,53,3.35426e-07,5.92542e-07,8.18093e-30,0.56608,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.272427,-1.26162e-30,6.44419e-14,25954,36860.2,1.56764,19.355,1.45526,17.9675,0.958369,0.0066,1.37105 
54,1,1.8,20,0.01,54,3.15099e-07,6.5293e-07,9.01468e-30,0.482593,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.154014,6.70025e-31,7.72401e-13,34725.3,50105.9,1.3188,17.9421,1.27979,17.4114,1.36856,0.0066,1.47181 
55,1,1.8,0.01,20,55,3.35096e-07,6.47972e-07,8.94623e-30,0.517145,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0310867,-1.43822e-31,3.67236e-13,33940.3,48381.5,1.41986,19.1703,1.35048,18.2336,1.18917,0.0066,1.40666 
56,1,1.8,0.01,20,56,3.28654e-07,6.13464e-07,8.46979e-30,0.535736,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.125402,-5.6902e-31,5.22163e-13,28801.4,42240.5,1.47539,18.8592,1.38965,17.7633,1.09857,0.0066,1.40199 
57,1,1.8,20,0.01,57,3.33772e-07,5.90286e-07,8.14979e-30,0.565441,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.26942,-1.24155e-30,1.42688e-13,25658.7,36367.8,1.56568,19.2572,1.45386,17.8819,0.961224,0.0066,1.41738 
58,1,1.8,20,0.01,58,3.33786e-07,6.35972e-07,8.78055e-30,0.524844,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0705685,-3.2521e-31,5.66688e-13,32089.3,46857.7,1.44276,19.1188,1.36661,18.1097,1.15118,0.0066,1.41295 
59,1,1.8,20,0.01,59,3.19082e-07,6.257e-07,8.63873e-30,0.509961,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0063013,2.77598e-32,1.39655e-13,30559.5,42845.8,1.3986,18.2343,1.33556,17.4123,1.22522,0.0066,1.4191 
60,1,1.8,20,0.01,59,3.32421e-07,6.32487e-07,8.73243e-30,0.525578,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0742943,-3.40979e-31,4.81469e-13,31564.6,45262.6,1.44496,19.043,1.36815,18.0308,1.14761,0.0066,1.41138 
61,1,1.8,20,0.01,59,3.41499e-07,6.32229e-07,8.72887e-30,0.540151,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.147314,-6.94574e-31,1.66763e-13,31526.1,44383.5,1.48869,19.6113,1.39907,18.4307,1.0776,0.0066,1.40843 
62,1,1.8,20,0.01,59,3.49071e-07,5.96058e-07,8.22947e-30,0.585633,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.363082,-1.74986e-30,6.08178e-14,26418.7,37803.8,1.62805,20.2201,1.49862,18.6126,0.872467,0.0066,1.34583 
63,1,1.8,20,0.01,59,3.3332e-07,6.13601e-07,8.47168e-30,0.54322,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.162441,-7.47551e-31,1.63463e-13,28820.7,40742.5,1.49796,19.152,1.40565,17.9717,1.06314,0.0066,1.40776 
64,1,1.8,20,0.01,59,3.35398e-07,6.42061e-07,8.86462e-30,0.522377,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0579786,-2.6848e-31,6.55392e-14,33019.9,46357.3,1.43541,19.2035,1.36143,18.2137,1.16329,0.0066,1.40324 
65,1,1.8,20,0.01,59,3.23871e-07,6.7018e-07,9.25285e-30,0.483259,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.150312,6.72122e-31,1.62917e-13,37551,51986.5,1.32072,18.4429,1.28113,17.8901,1.36495,0.0066,1.45035 
66,1,1.8,20,0.01,59,3.23995e-07,6.59454e-07,9.10475e-30,0.491308,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.106017,4.74237e-31,2.33529e-13,35776.6,50374.9,1.34399,18.4675,1.29736,17.8267,1.32181,0.0066,1.42268 
67,1,1.8,20,0.01,59,3.22116e-07,6.64776e-07,9.17824e-30,0.484548,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.143165,6.36699e-31,5.03935e-13,36650,52350.2,1.32443,18.3457,1.28372,17.7817,1.35798,0.0066,1.42869 
68,1,1.8,20,0.01,59,3.26345e-07,6.1276e-07,8.46007e-30,0.532583,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.109646,-4.94029e-31,1.76262e-13,28702.4,40972.9,1.46592,18.7166,1.38295,17.6574,1.11367,0.0066,1.39735 
69,1,1.8,20,0.01,59,3.25353e-07,5.95016e-07,8.21509e-30,0.546797,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.179956,-8.08361e-31,3.60761e-13,26280.4,38097.4,1.50879,18.7062,1.41333,17.5227,1.04641,0.0066,1.38278 
70,1,1.8,20,0.01,59,3.40784e-07,6.08726e-07,8.40437e-30,0.559831,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.242812,-1.14244e-30,2.00303e-13,28139.2,40751,1.54848,19.6407,1.44158,18.2848,0.986515,0.0066,1.35587 
71,1,1.8,20,0.01,59,3.39684e-07,6.57387e-07,9.07622e-30,0.516719,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0288839,-1.35461e-31,2.61613e-13,35441.3,50104.2,1.4186,19.4316,1.34959,18.4864,1.19129,0.0066,1.42036 
72,1,1.8,20,0.01,59,3.22194e-07,6.2041e-07,8.56569e-30,0.519324,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0423169,-1.88241e-31,3.18413e-13,29790.9,42801,1.42633,18.4385,1.35503,17.5168,1.17836,0.0066,1.3973 
73,1,1.8,20,0.01,59,3.25665e-07,6.33391e-07,8.74491e-30,0.514161,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0156255,-7.02566e-32,4.96025e-13,31700.2,45382.1,1.41102,18.6222,1.34427,17.7413,1.20407,0.0066,1.44308 
