cyc,freq,Vpp,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
22,5,0.9,0.1,10.9,3.78775e-07,7.40592e-07,1.0225e-29,0.511449,-0.00148839,-4.17573e-13,36259.2,46773.4,1.403,0.0066,1.41862 
23,5,0.9,3,8,3.93872e-07,7.91451e-07,1.09272e-29,0.497658,0.0716051,2.31502e-13,44254.1,60321.7,1.36246,0.0066,1.41054 
24,5,0.9,9,2,4.0295e-07,7.37356e-07,1.01803e-29,0.54648,-0.178406,7.80987e-14,35786,48462.5,1.50783,0.0066,1.41747 
25,5,0.9,8,3,3.89419e-07,7.59917e-07,1.04918e-29,0.512449,-0.00671154,3.55441e-13,39172.3,53652.8,1.40595,0.0066,1.39358 
26,5,0.9,7,4,3.99971e-07,7.87659e-07,1.08748e-29,0.507798,0.0176811,3.71714e-13,43621.1,60428.5,1.39225,0.0066,1.40304 
27,5,0.9,1,10,3.83293e-07,7.90347e-07,1.09119e-29,0.484968,0.140839,2.45274e-14,44069.1,59240,1.32564,0.0066,1.40929 
28,5,0.9,6,5,3.83292e-07,7.55182e-07,1.04264e-29,0.507549,0.0189886,1.66317e-13,38444.8,51868.6,1.39152,0.0066,1.42054 
29,5,0.9,4,7,3.99072e-07,7.9072e-07,1.09171e-29,0.504694,0.0340575,9.87718e-14,44131.6,59615.8,1.38311,0.0066,1.43699 
30,5,0.9,10,1,3.87332e-07,7.92811e-07,1.0946e-29,0.488555,0.121079,-1.48751e-13,44482.7,58712.8,1.33601,0.0066,1.44295 
31,5,0.9,2,9,3.8048e-07,7.38435e-07,1.01952e-29,0.515251,-0.0212866,-3.15463e-13,35943.4,46915,1.41424,0.0066,1.41878 
32,5,0.9,5,6,3.89712e-07,7.7114e-07,1.06467e-29,0.505371,0.0304683,5.16131e-13,40933.7,56542,1.38509,0.0066,1.42318 
33,5,0.9,0.1,10.9,3.94783e-07,7.72947e-07,1.06717e-29,0.510751,0.0021636,-1.65012e-13,41222.1,54655.4,1.40094,0.0066,1.45514 
34,5,0.9,3,8,3.6755e-07,8.01928e-07,1.10718e-29,0.458333,0.292909,4.30257e-13,46035,62249.9,1.2499,0.0066,1.44886 
35,5,0.9,9,2,4.14152e-07,7.78682e-07,1.07509e-29,0.531862,-0.106034,-3.61588e-14,42146.6,57806.7,1.46376,0.0066,1.39704 
36,5,0.9,8,3,3.9217e-07,7.93718e-07,1.09585e-29,0.494093,0.0908719,-6.92581e-14,44635.4,59604.7,1.35209,0.0066,1.41672 
37,5,0.9,7,4,3.96775e-07,7.95906e-07,1.09887e-29,0.49852,0.0669808,4.36176e-13,45005.6,61912.2,1.36499,0.0066,1.42649 
38,5,0.9,1,10,3.89528e-07,8.04345e-07,1.11052e-29,0.484279,0.144654,8.06104e-13,46452.5,64274.6,1.32366,0.0066,1.44857 
39,5,0.9,6,5,4.09646e-07,7.33838e-07,1.01317e-29,0.558225,-0.235145,3.08226e-13,35276.2,49068.4,1.54357,0.0066,1.40167 
40,5,0.9,4,7,3.88629e-07,7.75125e-07,1.07018e-29,0.501376,0.0517028,-2.00467e-13,41571.6,54609.4,1.37336,0.0066,1.45988 
41,5,0.9,10,1,3.8837e-07,7.81896e-07,1.07953e-29,0.496703,0.0767702,2.31093e-14,42670.6,57429.3,1.3597,0.0066,1.42711 
42,5,0.9,2,9,3.87098e-07,7.42858e-07,1.02563e-29,0.521093,-0.0514062,-6.10152e-14,36593.2,49258.9,1.43159,0.0066,1.40009 
43,5,0.9,5,6,3.90729e-07,7.8054e-07,1.07765e-29,0.500588,0.0559224,-3.10829e-13,42449,55708.8,1.37107,0.0066,1.41804 
44,20,0.7,0.1,10.9,3.89134e-07,7.24164e-07,9.99818e-30,0.537355,-0.133465,4.80888e-13,33899.5,47561.3,1.48026,0.0066,1.41262 
45,20,0.7,3,8,4.11117e-07,7.82087e-07,1.07979e-29,0.525666,-0.0747408,9.95702e-14,42701.8,58349.7,1.44523,0.0066,1.40163 
46,20,0.7,9,2,4.47446e-07,7.89144e-07,1.08953e-29,0.567001,-0.27677,4.1326e-13,43868.3,61625.7,1.5705,0.0066,1.39233 
47,20,0.7,8,3,4.27418e-07,7.34683e-07,1.01434e-29,0.581771,-0.345415,4.24182e-13,35398.3,50343.6,1.61607,0.0066,1.35959 
48,20,0.7,7,4,4.37319e-07,7.82504e-07,1.08036e-29,0.558872,-0.238237,8.09539e-13,42770.2,61490.1,1.54555,0.0066,1.3866 
49,20,0.7,1,10,3.8859e-07,7.6085e-07,1.05047e-29,0.510732,0.00226379,6.47592e-13,39316.9,54805.7,1.40088,0.0066,1.43359 
