cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
50,1,1.8,20,0.01,50,3.92371e-07,6.81274e-07,9.40601e-30,0.575938,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.31851,-1.72546e-30,6.803e-13,28225.8,41779.4,1.59801,22.6845,1.47702,20.9669,0.914658,0.0066,1.35637 
51,1,1.8,0.01,20,51,4.2002e-07,5.86002e-07,8.09064e-30,0.716755,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.909559,-5.27454e-30,4.48197e-13,17963,27159.4,2.03981,24.9067,1.81026,22.1039,0.355284,0.0066,1.31871 
52,1,1.8,0.01,20,52,3.99678e-07,6.8328e-07,9.43371e-30,0.584939,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.359914,-1.98606e-30,5.29248e-13,28476,41504.3,1.6259,23.1484,1.49706,21.3141,0.875469,0.0066,1.3716 
53,1,1.8,0.01,20,53,4.06561e-07,6.60388e-07,9.11765e-30,0.61564,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.496838,-2.78885e-30,3.76777e-13,25708.6,37617,1.72177,23.692,1.56676,21.5591,0.746145,0.0066,1.35141 
54,1,1.8,20,0.01,54,3.88143e-07,7.2511e-07,1.00112e-29,0.535288,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.123177,-6.60095e-31,9.72457e-13,34032.5,49762,1.47404,22.2711,1.3887,20.9817,1.10071,0.0066,1.41196 
55,1,1.8,0.01,20,55,3.67303e-07,6.9584e-07,9.60712e-30,0.527855,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0858393,-4.35305e-31,9.24066e-13,30075.4,43365.3,1.45176,21.049,1.37295,19.9064,1.13652,0.0066,1.44271 
56,1,1.8,0.01,20,56,3.99714e-07,6.84592e-07,9.45183e-30,0.583872,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.355045,-1.95937e-30,-1.01301e-14,28640.3,40174.6,1.62258,23.1455,1.49468,21.321,0.880068,0.0066,1.38875 
57,1,1.8,20,0.01,57,3.8584e-07,7.09318e-07,9.79321e-30,0.543958,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.166064,-8.8464e-31,4.76249e-13,31857,45959.9,1.50019,22.1725,1.40723,20.7986,1.05967,0.0066,1.3901 
58,1,1.8,20,0.01,58,4.01085e-07,6.71471e-07,9.27067e-30,0.597323,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.415918,-2.30318e-30,5.41511e-14,27024.9,38036.8,1.66445,23.2877,1.52494,21.3357,0.822535,0.0066,1.37639 
59,1,1.8,20,0.01,59,3.93803e-07,6.50766e-07,8.98481e-30,0.605137,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.450695,-2.45045e-30,5.05178e-13,24601.2,35808.7,1.68887,22.9007,1.54269,20.9185,0.789702,0.0066,1.38103 
