cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
24,1.49,3.51,24,16952.2,0,5,101,125,0,5,135,-9.82532,-4.4534,-26.0165,-6.03421,-7.71542,420.725,-29.6476,31328.6,-49.2612,16439.4,-11.4509,-6.079,-29.2677,-7.65981,-9.34102,0.541248,-54.2348,29484.5,-73.8484,0.379655,-0.00105221,1.00136,-142.853,577.424,593.31,0.646768,42987.9,9.30531e-07,0.62901,111.827,86.6491,26.0313,26.1477,0.995548,615.966,633.111,0.671101 
25,2.99,2.01,25,20333.2,0,5,101,125,0,5,135,-7.43059,-9.84117,-20.3035,-10.586,-10.2797,371.318,-30.36,33644.4,-60.619,16439.4,-8.86529,-11.2759,-23.1729,-12.0207,-11.7144,0.65439,-52.0598,32016.9,-82.3188,0.345127,-0.000930013,1.0014,-150.842,579.445,624.158,0.61983,45495.9,9.48286e-07,0.634182,112.435,86.6494,26.1814,26.9206,0.972543,623.093,671.091,0.681911 
26,4.49,0.51,26,15131,0,5,101,125,0,5,135,-7.53503,-10.0004,-27.5643,-10.27,-9.75058,401.878,-50.1512,29021.3,-40.212,16439.4,-9.08781,-11.5531,-30.6698,-11.8228,-11.3034,0.587976,-73.637,27259.9,-63.6977,0.49067,-0.00154598,1.00127,-150.074,592.611,623.922,0.593449,40189.8,9.09886e-07,0.668287,111.545,86.3291,26.5939,27.0441,0.983354,642.882,677.265,0.7252 
27,3.49,1.51,27,16851.6,0,5,101,125,0,5,135,-8.65495,-5.13613,-20.8294,-14.7646,-13.448,319.872,-29.6662,31099.6,-44.8981,16439.4,-9.89087,-6.37205,-23.3012,-16.0005,-14.684,0.668303,-48.3595,29697.6,-63.5913,0.387903,-0.000931379,1.00116,-124.669,588.44,632.694,0.701257,42798.9,9.29165e-07,0.656682,111.905,86.6297,26.1139,26.8329,0.973206,619.882,666.725,0.691887 
28,3.99,1.01,28,16113.4,0,5,101,125,0,5,135,-5.36836,-8.31484,-12.1338,-10.0543,-11.6887,399.002,-43.4962,30432.7,-26.6881,16439.4,-6.91003,-9.8565,-15.2171,-11.596,-13.2304,0.732141,-66.8138,28683.8,-50.0058,0.526837,-0.00133281,1.00095,-126.821,565.886,592.911,0.507312,41889.7,9.22538e-07,0.627877,112.425,86.0324,26.5009,26.8833,0.985776,638.393,669.235,0.708515 
29,0.49,4.51,29,14975.3,0,5,101,125,0,5,135,-3.73075,-8.1633,-24.8755,-11.4862,-10.9621,362.834,-47.8788,29220.1,-37.6513,16439.4,-5.13267,-9.56522,-27.6794,-12.8881,-12.364,0.59072,-69.0828,27629.8,-58.8554,0.494476,-0.00143079,1.00116,-139.709,537.557,552.526,0.552962,40046.9,9.08807e-07,0.599677,111.3,86.5492,25.5141,25.6473,0.994806,591.735,609.111,0.660603 
30,0.99,4.01,30,18758.6,0,5,101,125,0,5,135,-10.2136,-7.85007,-17.1134,-14.1489,-11.4637,404.319,-3.92944,31828.8,-40.2664,16439.4,-11.7758,-9.41228,-20.2378,-15.7111,-13.0259,0.71156,-27.5579,30056.7,-63.8948,0.26439,-0.000524196,1.00116,-104.232,546.989,575.621,0.531747,42745.7,9.2878e-07,0.60415,111.905,86.91,25.8596,26.2886,0.983681,607.868,639.953,0.671531 
31,0.01,4.99,31,13980.9,0,5,101,125,0,5,135,-9.77711,-7.97647,-14.7178,-6.4517,-10.6162,458.664,-40.1449,28724.6,-45.9883,16439.4,-11.5493,-9.74866,-18.2622,-8.22389,-12.3884,0.696502,-66.9492,26714.3,-72.7927,0.433889,-0.00143412,1.00148,-154.3,555.915,561.486,0.704291,40024,9.08634e-07,0.614872,111.478,87.111,25.3658,25.2705,1.00377,584.875,591.342,0.647235 
32,1.99,3.01,32,15427.5,0,5,101,125,0,5,135,-8.01163,-8.38173,-18.133,-11.957,-13.1702,364.843,-18.6798,29273.5,-38.6614,16439.4,-9.42131,-9.79141,-20.9523,-13.3666,-14.5799,0.692382,-40.0012,27674.4,-59.9828,0.357215,-0.000826639,1.00118,-111.981,548.033,577.08,0.574214,40322.6,9.10887e-07,0.617386,111.566,86.8943,25.6412,26.092,0.982723,597.643,630.415,0.67386 
33,2.49,2.51,33,13459.7,0,5,101,125,0,5,135,-8.17699,-7.84574,-22.6261,-7.21481,-10.2658,399.061,-49.3861,28165,-46.9943,16439.4,-9.71888,-9.38763,-25.7099,-8.7567,-11.8077,0.606767,-72.7073,26415.9,-70.3154,0.462851,-0.00157528,1.00145,-157.086,580.415,618.133,0.917789,39250,9.02738e-07,0.663511,111.539,86.2346,25.5796,26.1574,0.977912,594.776,633.579,0.68001 
34,4.99,0.01,34,14368.3,0,5,101,125,0,5,135,-11.2888,-9.3846,-21.063,-11.336,-12.1348,391.168,-26.2731,28576.6,-69.5152,16439.4,-12.8002,-10.896,-24.0858,-12.8474,-13.6462,0.675723,-49.133,26862.1,-92.3751,0.307114,-0.00104628,1.00187,-159.983,579.541,604.574,0.513174,39819,9.0708e-07,0.652561,111.454,86.7703,26.772,27.0872,0.988364,651.521,679.425,0.733482 
35,1.49,3.51,35,16274.8,0,5,101,125,0,5,135,-8.27525,-9.44714,-20.7475,-8.65692,-11.2803,319.158,-47.998,29388.8,-31.2246,16439.4,-9.50841,-10.6803,-23.2138,-9.89008,-12.5135,0.647239,-66.6496,27989.9,-49.8761,0.52687,-0.00136254,1.00097,-126.501,552.756,580.367,0.632615,40485.9,9.12115e-07,0.620967,111.796,86.5316,25.5144,25.9084,0.984794,591.747,621.573,0.664912 
36,2.99,2.01,36,14306.2,0,5,101,125,0,5,135,-10.1898,-5.65097,-23.3784,-13.5654,-13.92,469.931,-23.4996,29139.8,-76.3762,16439.4,-12.0055,-7.46669,-27.0099,-15.3811,-15.7357,0.65193,-50.9624,27080.1,-103.839,0.29027,-0.00107654,1.00209,-175.569,571.64,604.382,0.633167,40560.8,9.12678e-07,0.64402,112.259,86.8223,25.9483,26.4417,0.981338,612.044,647.429,0.689716 
37,4.49,0.51,37,19689.8,0,5,101,125,0,5,135,-1.4268,-4.53319,-17.0313,-9.54301,-10.3408,340.681,-18.1891,33754.3,-35.1275,16439.4,-2.74312,-5.84951,-19.6639,-10.8593,-11.6571,0.612709,-38.0986,32261.1,-55.0369,0.36583,-0.000675282,1.00093,-104.143,592.93,625.902,0.564819,46348.1,9.5417e-07,0.638453,112.351,86.5637,26.7477,27.2398,0.981936,650.337,687.099,0.700573 
38,3.49,1.51,38,17040.4,0,5,101,125,0,5,135,-4.29231,-7.72944,-16.7779,-10.7043,-16.0498,343.457,-45.2947,31113.4,-62.2656,16439.4,-5.61936,-9.05648,-19.432,-12.0314,-17.3769,0.694061,-65.3663,29608,-82.3372,0.39816,-0.00126315,1.00151,-164.171,589.141,623.845,0.59645,43003.4,9.30642e-07,0.651426,111.769,86.636,26.4976,27.0246,0.9805,638.232,676.286,0.705947 
39,3.99,1.01,39,17664.9,0,5,101,125,0,5,135,-6.516,-5.75263,-18.1656,-4.38625,-9.60015,329.98,-42.6974,30938.7,-37.6211,16439.4,-7.79098,-7.02761,-20.7155,-5.66122,-10.8751,0.602164,-61.9815,29492.4,-56.9052,0.475801,-0.00120236,1.00105,-130.268,605.16,630.456,0.696822,42527.5,9.27196e-07,0.666178,111.778,86.4195,26.495,26.7967,0.98874,638.108,664.931,0.702528 
40,0.49,4.51,40,16959.3,0,5,101,125,0,5,135,-7.4369,-13.4983,-24.9938,-8.22896,-14.1876,404.227,-55.1542,31181.8,-35.8588,16439.4,-8.99875,-15.0601,-28.1175,-9.79082,-15.7494,0.638205,-78.7772,29410,-59.4818,0.524638,-0.00153297,1.0011,-150.155,553.667,576.648,0.694275,42881.1,9.29759e-07,0.607728,111.353,86.9158,25.338,25.6314,0.988553,583.592,608.353,0.640858 
41,0.99,4.01,41,19274,0,5,101,125,0,5,135,-6.99974,-6.57364,-20.9242,-10.7426,-9.28703,388.748,-47.0756,33124.9,-40.3996,16439.4,-8.50179,-8.07569,-23.9283,-12.2447,-10.7891,0.623411,-69.794,31421,-63.1181,0.479566,-0.0012709,1.00109,-145.536,547.44,570.419,0.534294,44607.5,9.42073e-07,0.593172,111.552,86.9787,25.8629,26.1746,0.988092,608.022,634.412,0.659267 
