cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
44,1.2,44,19177.2,0,5,101,125,0,5,135,-7.35097,-5.57967,-8.37124,-8.48323,-9.73917,3.22086,8.39583,25435.9,6.0938,16439.4,-7.36342,-5.59212,-8.39613,-8.49568,-9.75162,0.787971,8.2076,25421.8,5.90558,0.536645,0.000184456,0.999874,15.2943,442.533,516.288,0.498677,33534.1,8.56599e-07,0.558009,109.501,85.0897,23.4832,25.1373,0.934199,501.281,585.126,0.632249 
45,1.6,45,19001.9,0,5,101,125,0,5,135,-7.06496,-4.89162,-6.92458,-2.88096,-3.30802,-49.4265,16.1347,25603.9,-10.8325,16439.4,-6.87399,-4.70065,-6.54263,-2.68999,-3.11704,0.726528,19.0232,25820.5,-7.94404,2.00448,0.00042082,1.00017,9.49031,450.455,542.941,0.568029,33787.2,8.58748e-07,0.575886,109.602,85.1596,23.2918,25.3414,0.91912,493.141,594.667,0.630604 
46,1.8,46,18841.2,0,5,101,125,0,5,135,-4.50613,-1.9884,-9.2813,-6.5277,-7.94903,-43.0379,-2.37457,25213.2,6.36841,16439.4,-4.33984,-1.82211,-8.94872,-6.36141,-7.78274,0.694111,0.140566,25401.8,8.88354,0.0130144,3.1621e-06,0.99981,10.8008,509.674,624.292,1.15763,34119.4,8.61553e-07,0.654723,109.656,85.2981,23.8274,26.1286,0.911928,516.083,632.188,0.662981 
47,0.2,47,16495,0,5,101,125,0,5,135,-4.75916,-6.35896,-6.31975,-9.11674,-5.6431,-55.3081,-2.1029,22927,1.90324,16439.4,-4.54546,-6.14526,-5.89235,-8.90304,-5.4294,0.809405,1.12931,23169.4,5.13544,0.154873,2.78514e-05,0.99988,7.29184,433.407,516.106,0.738874,30692,8.31681e-07,0.56867,109.892,85.3086,22.326,24.1369,0.924975,453.093,539.478,0.594462 
48,0.8,48,20926.1,0,5,101,125,0,5,135,-3.25406,-1.11067,-5.47155,-5.05979,-7.1486,-167.354,13.2315,26898.7,-12.8301,16439.4,-2.60744,-0.464052,-4.1783,-4.41317,-6.50197,0.76998,23.0117,27632.2,-3.04991,1.18912,0.000475651,1.00006,19.3518,468.276,555.984,0.757868,35554.9,8.7347e-07,0.584162,109.114,85.3209,23.1795,25.0246,0.926269,488.398,579.891,0.609273 
49,0.01,49,17583.1,0,5,101,125,0,5,135,-5.95093,-0.457153,-11.8741,-10.2437,-6.04177,-126.756,6.22067,24353.4,-9.17664,16439.4,-5.46117,0.0326056,-10.8946,-9.75396,-5.55201,0.655553,13.6283,24909,-1.76904,1.18451,0.000312543,1.00004,11.5054,427.351,480.832,0.542803,32276.6,8.45755e-07,0.535975,109.794,85.5061,22.8,23.9557,0.951754,472.535,531.413,0.5925 
50,2,50,20796,0,5,101,125,0,5,135,-4.78126,-3.30812,-6.38425,-5.60582,-4.1082,-41.0818,9.38965,26964.2,2.31949,16439.4,-4.62253,-3.14939,-6.06679,-5.44709,-3.94947,0.738897,11.7905,27144.3,4.72031,0.675484,0.000248146,0.999906,17.4548,493.153,599.72,0.641792,36069.7,8.77666e-07,0.619634,109.636,85.1397,24.0772,26.3039,0.915348,526.96,640.697,0.662043 
51,1,51,20491.6,0,5,101,125,0,5,135,-9.55615,-0.644699,-6.47597,-5.03776,-4.30755,-42.9979,8.29241,26900.3,-15.1149,16439.4,-9.39001,-0.478563,-6.1437,-4.87163,-4.14141,0.754501,10.8052,27088.7,-12.6021,-2.50277,0.000227881,1.00025,-4.31729,449.578,530.411,0.59735,35861.6,8.75975e-07,0.557464,109.518,84.7453,23.131,24.9013,0.928908,486.355,574.189,0.603271 
52,0.4,52,17160.5,0,5,101,125,0,5,135,-3.97492,-3.35624,-11.9877,-7.07139,-3.5408,-110.708,-1.35559,24153.2,-2.1608,16439.4,-3.54716,-2.92849,-11.1322,-6.64364,-3.11305,0.59319,5.11415,24638.5,4.30894,0.49725,0.000118596,0.999905,10.2849,428.417,516.597,0.558595,31818.9,8.41738e-07,0.558897,109.385,85.724,22.7487,24.7604,0.918753,470.411,567.709,0.613938 
53,0.6,53,16426,0,5,101,125,0,5,135,-4.32033,-3.46861,-15.499,-6.3173,-3.4923,-87.1301,5.2599,23375.2,1.19258,16439.4,-3.98367,-3.13195,-14.8257,-5.98065,-3.15564,0.522947,10.3518,23757,6.28446,0.578534,0.00024893,0.999856,17.8931,441.228,514.813,0.751872,30912.9,8.33672e-07,0.57169,109.838,85.7565,22.5052,24.0914,0.934159,460.396,537.448,0.596677 
