cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,60,23,19305.9,0,5,101,125,0,5,135,-8.80904,-5.50826,-11.2483,-6.78661,-4.02897,-82.3135,24.9507,26568.8,-10.9225,16439.4,-8.491,-5.19022,-10.6122,-6.46857,-3.71093,0.692159,29.7611,26929.6,-6.11205,1.32704,0.000631112,1.00012,22.4266,585.766,657.928,0.778145,35505,8.73062e-07,0.71106,108.86,83.8976,25.8986,27.1889,0.952545,609.704,684.533,0.739966 
24,70,24,18578.8,0,5,101,125,0,5,135,-6.80479,-1.72273,-13.6675,-5.01789,-9.01163,-9.47422,4.38838,25689.2,1.40773,16439.4,-6.76819,-1.68612,-13.5943,-4.98128,-8.97502,0.622432,4.94205,25730.7,1.96141,0.677389,0.000109741,0.999959,7.29574,614.232,699.267,2.05696,34866.7,8.67798e-07,0.755212,108.353,84.6811,26.0251,27.5117,0.945962,615.671,700.887,0.756972 
25,80,25,19798.4,0,5,101,125,0,5,135,-3.31504,-3.57591,-17.4087,-7.8674,-4.66619,-146,30.1487,26959.5,-20.185,16439.4,-2.75093,-3.0118,-16.2805,-7.30329,-4.10208,0.513269,38.6809,27599.4,-11.6528,1.56618,0.000800223,1.00023,24.6976,600.448,675.418,0.743383,36118.9,8.78065e-07,0.725266,109.326,84.4577,26.2977,27.6262,0.951913,628.641,706.733,0.759106 
26,90,26,19643,0,5,101,125,0,5,135,-9.95977,-6.49414,-6.37346,-4.22596,-6.33032,-174.267,22.5166,26512.4,11.5036,16439.4,-9.28644,-5.8208,-5.0268,-3.55263,-5.65699,0.828692,32.7008,27276.2,21.6877,0.556836,0.000684603,0.999569,58.7261,560.851,701.032,791.528,33826.5,8.59081e-07,0.729892,108.638,84.6407,26.7868,27.8701,0.961131,652.239,719.265,0.797285 
27,100,27,16938.5,0,5,101,125,0,5,135,-3.62569,-3.25658,-4.26665,-4.71118,-6.64529,-90.064,28.4061,24219.3,-4.83524,16439.4,-3.2777,-2.90859,-3.57067,-4.36319,-6.2973,0.825117,33.6694,24614.1,0.428101,0.984972,0.000781043,0.999991,34.1832,643.686,718.769,727.837,32876,8.50958e-07,0.799325,108.912,84.6653,26.6336,27.8441,0.956524,644.801,717.927,0.799548 
28,20,28,19394.4,0,5,101,125,0,5,135,-3.81017,-1.91291,-9.0511,-4.7645,-5.03659,-56.5044,7.17104,26983.8,-14.579,16439.4,-3.59185,-1.69459,-8.61446,-4.54618,-4.81827,0.62973,10.4732,27231.5,-11.2769,-3.42362,0.000219722,1.00022,-3.05909,508.306,571.154,0.678248,36056.2,8.77557e-07,0.613994,109.176,85.4873,24.3326,25.5473,0.952453,538.199,604.369,0.649901 
29,30,29,20746.1,0,5,101,125,0,5,135,-6.37804,-2.57241,-10.0188,-3.42314,-0.436069,-202.801,9.62914,28025.5,-12.294,16439.4,-5.59446,-1.78883,-8.45168,-2.63956,0.347512,0.533752,21.4808,28914.4,-0.442286,1.02533,0.000424341,1.00001,20.9501,539.548,608.941,0.604101,37223.8,8.86929e-07,0.64627,109.127,85.5459,25.3308,26.654,0.950358,583.261,657.863,0.698411 
30,40,30,20143.6,0,5,101,125,0,5,135,-4.93512,-7.47907,-12.2401,-10.149,-6.23552,-129.394,23.237,27189.1,-13.9034,16439.4,-4.43517,-6.97912,-11.2402,-9.64908,-5.73557,0.70451,30.7988,27756.2,-6.34161,1.32817,0.000633666,1.00012,23.1889,557.72,608.654,0.560113,36293.6,8.79478e-07,0.662473,109.103,85.1212,25.9749,26.877,0.966434,613.299,668.921,0.72828 
31,50,31,20057.8,0,5,101,125,0,5,135,-7.10096,-6.3921,-17.8328,-7.28411,-5.48482,-163.418,18.5498,27174.6,-5.4807,16439.4,-6.46954,-5.76068,-16.5699,-6.6527,-4.8534,0.588899,28.0999,27890.9,4.06947,0.851944,0.00057538,0.999921,32.9833,582.491,656.437,0.790634,36478.5,8.80969e-07,0.701908,108.797,84.0196,25.8018,27.128,0.951114,605.154,681.471,0.728947 
32,60,32,18592.4,0,5,101,125,0,5,135,-2.28386,-1.71241,-10.5074,-7.09188,-8.57035,-131.037,16.2599,25454.6,0.736161,16439.4,-1.77756,-1.20611,-9.49478,-6.58558,-8.06405,0.650002,23.9177,26029,8.39395,0.703659,0.000524803,0.999825,33.9904,573.161,646.091,0.59777,34048.4,8.60955e-07,0.706813,109.069,84.8237,26.1595,27.5008,0.951228,622.049,700.33,0.766625 
33,70,33,20740.1,0,5,101,125,0,5,135,-1.26031,0.316807,-7.16599,-10.7878,-9.77826,-153.414,24.6256,27701.7,-6.63861,16439.4,-0.667548,0.909569,-5.98046,-10.1951,-9.18549,0.761915,33.5911,28374.2,2.32692,0.923253,0.000676035,0.999955,36.3834,596.651,664.907,0.668443,37136.9,8.86238e-07,0.710706,108.852,84.7951,26.4077,27.6079,0.956529,633.91,705.794,0.754748 
34,80,34,19949.8,0,5,101,125,0,5,135,-2.36618,-1.7919,-9.14362,-0.735051,-4.99092,-140.091,7.64435,26434.9,-12.7663,16439.4,-1.8249,-1.25061,-8.06105,-0.193767,-4.44963,0.489159,15.8313,27048.9,-4.57938,1.53166,0.000334336,1.00009,10.336,622.575,692.349,0.771962,35528.1,8.73251e-07,0.751829,108.917,84.1661,26.712,27.9036,0.957296,648.6,720.994,0.783096 
35,90,35,17793.5,0,5,101,125,0,5,135,-3.6946,-3.07886,-9.62208,-5.27097,-4.51873,-177.888,13.2156,24461,-1.21558,16439.4,-3.00728,-2.39153,-8.24743,-4.58365,-3.83141,0.626158,23.6114,25240.7,9.18021,0.681866,0.000534258,0.999803,34.6277,602.695,657.566,0.609211,32864.8,8.50862e-07,0.739877,109.269,84.4797,26.7762,27.688,0.967069,651.722,709.895,0.79941 
36,100,36,18388.6,0,5,101,125,0,5,135,-1.33186,-2.96495,-11.6727,-5.21849,-7.54814,-223.163,10.5566,25185,-4.3129,16439.4,-0.469597,-2.10269,-9.94822,-4.35624,-6.68588,0.577796,23.5982,26163.1,8.72877,0.692584,0.000515144,0.999819,34.0727,588.14,661.8,0.541573,33561.4,8.56831e-07,0.728129,109.164,84.732,26.8017,28.1552,0.951928,652.967,734.058,0.808007 
