cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
25,480,25,-694.221,0,5,101,125,0,5,135,-0.0604265,-0.947516,0.51103,1.80684,-1.31218,-342.937,5.68095,570.59,1.97151,16439.4,1.26461,0.377524,3.16111,3.13188,0.0128631,0.602276,25.7222,2073.68,22.0127,0.493353,0.00703818,0.99427,52.1375,0,0,0,0,0,0 
26,0.1,26,33342.5,0,5,101,125,0,5,135,0.990786,-1.9179,3.22355,-6.12356,-7.20627,-169.256,29.3655,34684.9,22.1362,16439.4,1.64476,-1.26393,4.53149,-5.46959,-6.5523,1.63738,39.2568,35426.7,32.0275,0.505302,0.000632806,0.999509,77.6898,7.26217e-30,10.96,1.15907e-29,17.4926,2.31815e-29,34.9853 
27,380,27,6537.18,0,5,101,125,0,5,135,0.61463,-1.1665,-0.498327,-2.85493,0.380957,-303.796,19.4774,7690.82,9.85903,16439.4,1.78844,0.00731266,1.84929,-1.68112,1.55477,0.474438,37.2312,9022.36,27.6129,0.529103,0.00235248,0.998341,70.3667,1.3727e-29,20.7166,2.08342e-29,31.4428,4.16684e-29,62.8856 
28,20,28,24541.5,0,5,101,125,0,5,135,6.00824,-0.837689,-1.55749,-4.49574,3.40364,-246.014,8.23987,25698.7,18.1759,16439.4,6.95879,0.112861,0.343608,-3.54519,4.35419,0.95822,22.617,26777,32.5529,0.366679,0.000482419,0.99934,61.6805,7.96286e-30,12.0175,1.25188e-29,18.8933,2.50377e-29,37.7866 
29,40,29,20467.1,0,5,101,125,0,5,135,0.374101,-1.64063,-4.69198,-2.8903,-1.427,-308.491,21.7542,22070.8,8.54477,16439.4,1.56605,-0.448685,-2.30808,-1.69835,-0.235056,0.261208,39.7824,23423,26.573,0.555078,0.000969594,0.999385,71.67,8.76695e-30,13.231,1.37499e-29,20.7512,2.74998e-29,41.5025 
30,220,30,9189.86,0,5,101,125,0,5,135,-1.58247,-2.40342,-4.17944,-1.76948,2.53731,-239.306,6.23742,10400.8,25.0451,16439.4,-0.65784,-1.47879,-2.33018,-0.84485,3.46195,-0.259752,20.2225,11449.7,39.0302,0.301564,0.00100824,0.998153,67.0587,1.12999e-29,17.0537,1.73977e-29,26.2564,3.47953e-29,52.5128 
31,160,31,11149.9,0,5,101,125,0,5,135,-2.38239,-3.43697,-4.8781,0.274969,-1.54163,-235.212,16.0168,12278.9,21.9816,16439.4,-1.47358,-2.52816,-3.06048,1.18378,-0.632814,0.529971,29.7626,13309.8,35.7274,0.409753,0.00127616,0.998545,72.6355,1.08354e-29,16.3527,1.66737e-29,25.1639,3.33475e-29,50.3277 
32,320,32,8225.91,0,5,101,125,0,5,135,2.1006,-3.67099,-0.181684,-0.659882,-1.07745,-304.318,16.6284,9607.5,6.3159,16439.4,3.27643,-2.49517,2.16996,0.515943,0.0983741,0.391406,34.4128,10941.3,24.1002,0.543362,0.00179404,0.998806,63.333,1.21131e-29,18.281,1.83148e-29,27.6405,3.66295e-29,55.2809 
33,10,33,27288.4,0,5,101,125,0,5,135,-2.37163,-3.07087,-0.253833,-1.17785,-0.754463,-201.366,13.0521,28405.6,32.4393,16439.4,-1.59359,-2.29283,1.30225,-0.399811,0.0235768,1.43989,24.82,29288.2,44.2072,0.318742,0.000484018,0.999181,77.8686,7.31788e-30,11.0441,1.18023e-29,17.812,2.36047e-29,35.624 
34,420,34,6409.12,0,5,101,125,0,5,135,0.0799724,-3.09914,1.53281,-0.339174,-1.18935,-319.209,4.19163,7827.92,1.81518,16439.4,1.31333,-1.86578,3.99953,0.894185,0.0440048,0.0879624,22.8462,9227.01,20.4697,0.481887,0.00141286,0.998797,47.4099,1.27017e-29,19.1692,1.92242e-29,29.0129,3.84483e-29,58.0258 
35,500,35,5906.65,0,5,101,125,0,5,135,-2.29217,-4.89664,-2.80005,-1.97417,3.71699,-261.719,16.7335,7240.99,13.6317,16439.4,-1.28094,-3.88541,-0.777593,-0.962944,4.72822,0.643089,32.0284,8388.11,28.9265,0.479896,0.00217714,0.998131,66.7402,1.38062e-29,20.8362,2.09659e-29,31.6415,4.19317e-29,63.283 
36,280,36,9096.64,0,5,101,125,0,5,135,0.16665,0.911376,-2.78166,-0.00642055,-1.65583,-313.353,-9.06983,10414.3,12.651,16439.4,1.37738,2.12211,-0.360199,1.20431,-0.445094,1.09239,9.24249,11787.7,30.9633,0.199198,0.000447845,0.998576,46.3985,1.09415e-29,16.5128,1.63258e-29,24.6387,3.26516e-29,49.2774 
37,80,37,16027.1,0,5,101,125,0,5,135,-0.48819,-4.37157,0.113806,-0.227286,-2.50629,-261.013,32.7617,17465.8,24.7929,16439.4,0.520312,-3.36307,2.13081,0.781217,-1.49778,2.49163,48.0153,18609.8,40.0465,0.499789,0.00147218,0.998833,96.0712,9.38529e-30,14.1642,1.44579e-29,21.8197,2.89157e-29,43.6393 
38,480,38,5545.76,0,5,101,125,0,5,135,-2.31839,-4.68391,-0.250468,-1.44919,-1.45477,-284.929,10.0715,7217.62,-0.762791,16439.4,-1.21748,-3.58301,1.95135,-0.348284,-0.353867,1.54947,26.7227,8466.46,15.8884,0.583607,0.00180035,0.998982,45.7888,1.392e-29,21.0079,2.06055e-29,31.0977,4.12111e-29,62.1954 
39,0.1,39,31037.4,0,5,101,125,0,5,135,-2.78841,-7.44815,-8.86175,-5.58765,-1.32836,-164.271,17.9246,32417.9,13.8066,16439.4,-2.1537,-6.81344,-7.59232,-4.95294,-0.69365,0.658097,27.5246,33137.9,23.4066,0.494935,0.000474409,0.999617,55.6126,6.79299e-30,10.2519,1.0914e-29,16.4713,2.1828e-29,32.9427 
40,1,40,31059.7,0,5,101,125,0,5,135,2.81611,1.47503,3.67413,1.33761,-2.17103,-183.563,16.3935,32445.1,24.9706,16439.4,3.52535,2.18428,5.09263,2.04686,-1.46178,0.552782,27.1209,33249.6,35.698,0.387671,0.000465883,0.999418,69.9585,7.19352e-30,10.8564,1.14723e-29,17.3139,2.29446e-29,34.6278 
41,2,41,30867.9,0,5,101,125,0,5,135,-6.07387,-8.4086,-6.49538,-3.2701,-0.906062,-235.902,27.9163,32256.8,15.6821,16439.4,-5.16239,-7.49712,-4.67242,-2.35862,0.00541644,0.762642,41.7024,33290.7,29.4682,0.541138,0.000715301,0.99952,77.0643,7.11171e-30,10.7329,1.13785e-29,17.1724,2.27571e-29,34.3448 
42,3,42,28695.7,0,5,101,125,0,5,135,-4.60187,-6.34801,1.75759,-5.63279,-8.12666,-235.462,8.70176,30118.9,23.9482,16439.4,-3.69209,-5.43824,3.57714,-4.72301,-7.21689,1.20449,22.4621,31150.9,37.7086,0.331729,0.000411873,0.999343,67.7124,7.30803e-30,11.0292,1.15953e-29,17.4996,2.31907e-29,34.9992 
43,4,43,29238.3,0,5,101,125,0,5,135,1.1419,-2.67092,-5.17553,-4.65218,-4.02645,-180.136,15.0709,30613,11.2605,16439.4,1.83791,-1.97492,-3.78351,-3.95617,-3.33044,0.662401,25.598,31402.5,21.7876,0.494713,0.000465588,0.999623,51.7431,6.98517e-30,10.542,1.11204e-29,16.7829,2.22409e-29,33.5657 
44,5,44,28604.6,0,5,101,125,0,5,135,-1.93278,-0.136356,0.441339,-1.72885,-0.432926,-265.212,15.6441,29685.2,2.77139,16439.4,-0.908057,0.888371,2.49079,-0.704125,0.591801,-0.055965,31.1431,30847.6,18.2704,0.586858,0.00057657,0.999679,53.0676,7.47677e-30,11.2839,1.18305e-29,17.8544,2.3661e-29,35.7089 
45,10,45,28009.2,0,5,101,125,0,5,135,-2.54741,1.77705,3.29987,2.37028,-3.96698,-298.145,25.3335,29163.4,21.1279,16439.4,-1.39543,2.92903,5.60382,3.52225,-2.815,0.285652,42.7571,30470.1,38.5515,0.480315,0.000801213,0.999314,89.019,7.68625e-30,11.6,1.22074e-29,18.4233,2.44148e-29,36.8465 
46,15,46,24760.4,0,5,101,125,0,5,135,-7.3348,-2.94312,-2.64916,1.94876,0.821746,-294.118,10.5365,26095.4,28.5487,16439.4,-6.19839,-1.80671,-0.376338,3.08517,1.95816,0.88726,27.7247,27384.5,45.7369,0.335614,0.000578193,0.999094,82.609,7.9416e-30,11.9854,1.23754e-29,18.6769,2.47509e-29,37.3537 
47,20,47,23156.4,0,5,101,125,0,5,135,4.56894,-1.16455,-0.450002,-0.904842,-0.731716,-271.151,14.9764,24644.8,15.701,16439.4,5.61662,-0.116883,1.64534,0.14283,0.315956,0.783618,30.8224,25833.3,31.547,0.448791,0.000681324,0.999338,68.6789,7.91281e-30,11.9419,1.24296e-29,18.7586,2.48592e-29,37.5172 
48,25,48,24059.1,0,5,101,125,0,5,135,5.34026,-2.31213,-6.85343,-2.38203,-3.4155,-287.426,-0.591629,25580.9,21.2506,16439.4,6.45082,-1.20157,-4.63232,-1.27147,-2.30494,-0.565248,16.2056,26840.7,38.0477,0.261959,0.000344892,0.999231,61.8628,7.88038e-30,11.893,1.22587e-29,18.5007,2.45174e-29,37.0014 
49,1,49,30382.4,0,5,101,125,0,5,135,0.655769,0.3588,-1.50206,-1.5197,1.21116,-274.238,14.9233,31719.6,10.568,16439.4,1.71537,1.4184,0.61714,-0.460094,2.27077,0.889035,30.9498,32921.6,26.5945,0.492336,0.000536915,0.999562,62.8631,7.21581e-30,10.89,1.14276e-29,17.2464,2.28551e-29,34.4927 
50,2,50,31299.5,0,5,101,125,0,5,135,4.61899,1.09626,-5.5291,0.379526,-0.710131,-215.797,15.1877,32992.4,17.2375,16439.4,5.45279,1.93006,-3.8615,1.21332,0.123667,1.79482,27.7989,33938.2,29.8487,0.43697,0.000467839,0.999523,63.6173,7.1715e-30,10.8232,1.13948e-29,17.197,2.27897e-29,34.394 
51,3,51,25726.7,0,5,101,125,0,5,135,3.39005,-3.65087,-7.86558,-0.865057,0.272034,-290.889,8.6435,27169.4,4.50513,16439.4,4.51399,-2.52693,-5.6177,0.25888,1.39597,-1.84326,25.643,28444.4,21.5047,0.49842,0.000514886,0.99959,51.4487,7.19036e-30,10.8516,1.12475e-29,16.9747,2.24951e-29,33.9494 
52,4,52,27806.7,0,5,101,125,0,5,135,-1.34946,-1.24023,-0.68791,-1.95894,1.65036,-228.934,3.82558,29188.2,45.6149,16439.4,-0.464902,-0.355678,1.0812,-1.07439,2.53491,0.371813,17.2045,30191.6,58.9938,0.195512,0.000325518,0.99894,87.997,7.55074e-30,11.3955,1.18817e-29,17.9317,2.37634e-29,35.8635 
53,5,53,28738.4,0,5,101,125,0,5,135,-4.34903,-4.66885,-0.214727,-7.23205,-1.39307,-225.656,16.4274,29921.9,11.735,16439.4,-3.47714,-3.79696,1.52905,-6.36016,-0.521179,1.1211,29.6148,30911,24.9224,0.497547,0.000547167,0.999563,59.5216,7.48765e-30,11.3003,1.17952e-29,17.8012,2.35905e-29,35.6025 
