cyc,freq,amplitude,time,waittime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR
53,5,1.1,0.01,10.99,3.90719e-07,7.19005e-07,9.92694e-30,0.543416,1062.49,2846.28,2770.88,-0.1634,-2.70351e-13,33180.1,43158.8,1.49855,22.4507,1.40606,21.0652,1.91775e-23,0.0066,1.41615 
54,5,1.1,7,4,3.87525e-07,7.47643e-07,1.03223e-29,0.518328,1062.49,2846.28,2770.88,-0.0371934,-4.42735e-14,37304.8,50239.6,1.42337,22.1738,1.35295,21.0768,1.73641e-23,0.0066,1.37604 
55,5,1.1,7,4,3.99808e-07,7.28501e-07,1.0058e-29,0.54881,1062.49,2846.28,2770.88,-0.189758,3.70358e-13,34512.1,47527.1,1.51489,22.9953,1.41767,21.5195,1.95579e-23,0.0066,1.44683 
56,5,1.1,7,4,3.77439e-07,7.38778e-07,1.01999e-29,0.510897,1062.49,2846.28,2770.88,0.00139827,-3.14478e-13,35993.5,46638,1.40137,21.5722,1.33749,20.5889,1.68121e-23,0.0066,1.44891 
57,5,1.1,7,4,3.89907e-07,7.58271e-07,1.04691e-29,0.514206,1062.49,2846.28,2770.88,-0.0158597,-1.57425e-13,38918.3,51639.1,1.41115,22.2959,1.34436,21.2406,1.70588e-23,0.0066,1.43657 
58,5,1.1,0.01,10.99,3.83735e-07,7.73073e-07,1.06734e-29,0.496376,1062.49,2846.28,2770.88,0.078529,6.56215e-13,41242.3,56880.8,1.35874,21.887,1.30766,21.0641,1.57127e-23,0.0066,1.48502 
59,5,1.1,7,4,3.83014e-07,7.52729e-07,1.03926e-29,0.508834,1062.49,2846.28,2770.88,0.0122123,2.69182e-13,38071.4,51986.7,1.39528,21.8841,1.33323,20.9108,1.66576e-23,0.0066,1.44846 
60,5,1.3,0.01,10.99,3.81233e-07,7.74993e-07,1.06999e-29,0.491918,1062.49,2846.28,2770.88,0.102688,2.53932e-13,41550.3,56118.3,1.34576,21.7317,1.2986,20.97,1.53694e-23,0.0066,1.46055 
61,5,1.3,0.01,10.99,3.89833e-07,7.77333e-07,1.07322e-29,0.501501,1062.49,2846.28,2770.88,0.0510334,-1.06252e-14,41927.8,55399.4,1.37373,22.2503,1.31813,21.3498,1.61039e-23,0.0066,1.45148 
62,5,1.3,5,6,3.9332e-07,7.71893e-07,1.06571e-29,0.509552,1062.49,2846.28,2770.88,0.00844493,1.72125e-13,41053.7,55285.3,1.3974,22.4753,1.33471,21.467,1.67114e-23,0.0066,1.44312 
63,5,1.3,5,6,3.96814e-07,7.26641e-07,1.00324e-29,0.546094,1062.49,2846.28,2770.88,-0.176519,-2.93375e-13,34248.5,45020.2,1.50665,22.8119,1.41182,21.376,1.93668e-23,0.0066,1.40418 
64,5,1.3,0.01,10.99,3.9157e-07,7.57775e-07,1.04622e-29,0.516736,1062.49,2846.28,2770.88,-0.0289735,-2.09679e-13,38842,51351.2,1.41865,22.3997,1.34963,21.31,1.72464e-23,0.0066,1.41817 
65,5,1.3,0.01,10.99,3.81022e-07,7.55873e-07,1.0436e-29,0.504081,1062.49,2846.28,2770.88,0.0373087,3.06707e-13,38550.4,51933.5,1.38132,21.7556,1.32343,20.8438,1.62999e-23,0.0066,1.46862 
66,5,1.3,5,6,4.38642e-07,6.67251e-07,9.2124e-30,0.657388,1062.49,2846.28,2770.88,-0.673732,1.70649e-14,26518.5,37258.1,1.85297,25.7624,1.66475,23.1454,2.6598e-23,0.0066,1.34143 
67,5,1.3,0.01,10.99,3.94009e-07,7.158e-07,9.88269e-30,0.550446,1062.49,2846.28,2770.88,-0.197703,2.80341e-13,32738.3,45035.7,1.51986,22.6685,1.4212,21.1971,1.96726e-23,0.0066,1.42786 
68,5,1.3,0.01,10.99,3.82242e-07,7.42774e-07,1.02551e-29,0.514614,1062.49,2846.28,2770.88,-0.0179752,6.67543e-13,36580.7,50971.2,1.41236,21.859,1.34521,20.8197,1.7089e-23,0.0066,1.45908 
69,5,1.3,5,6,4.00369e-07,7.47356e-07,1.03184e-29,0.535714,1062.49,2846.28,2770.88,-0.125293,-2.02415e-13,37261.9,49767,1.47532,22.9743,1.38961,21.6395,1.86286e-23,0.0066,1.38551 
70,5,1.3,5,6,3.86994e-07,7.58151e-07,1.04674e-29,0.510445,1062.49,2846.28,2770.88,0.00376301,1.17334e-12,38900,55537.4,1.40003,22.1168,1.33656,21.114,1.67783e-23,0.0066,1.47944 
71,5,1.3,0.01,10.99,4.02323e-07,7.34245e-07,1.01374e-29,0.547941,1062.49,2846.28,2770.88,-0.18553,3.99753e-14,35335,48057.2,1.51226,23.1363,1.4158,21.6606,1.94968e-23,0.0066,1.41528 
72,5,1.3,0.01,10.99,3.89845e-07,7.42647e-07,1.02534e-29,0.52494,1062.49,2846.28,2770.88,-0.0710539,-1.96355e-13,36561.9,48005.8,1.44305,22.3301,1.36681,21.1504,1.78493e-23,0.0066,1.44094 
73,5,1.3,0.01,10.99,3.90682e-07,7.66233e-07,1.0579e-29,0.509873,1062.49,2846.28,2770.88,0.00675706,6.20869e-13,40157.2,55312.1,1.39835,22.3256,1.33537,21.3202,1.67355e-23,0.0066,1.46904 
74,5,1.3,5,6,3.83757e-07,7.29079e-07,1.0066e-29,0.526359,1062.49,2846.28,2770.88,-0.0782583,1.98052e-13,34594.4,46491.9,1.44729,21.9866,1.3698,20.8094,1.79528e-23,0.0066,1.44951 
75,5,1.3,5,6,4.02701e-07,7.30853e-07,1.00905e-29,0.551,1062.49,2846.28,2770.88,-0.200389,-2.85793e-13,34847.6,46110.3,1.52155,23.1709,1.4224,21.6611,1.97114e-23,0.0066,1.40908 
76,5,1.3,5,6,3.86809e-07,7.31333e-07,1.00971e-29,0.52891,1062.49,2846.28,2770.88,-0.0911738,3.39818e-13,34916.1,47847.4,1.45491,22.1707,1.37518,20.9557,1.81382e-23,0.0066,1.4273 
77,5,1.3,5,6,4.02617e-07,7.16062e-07,9.88631e-30,0.562266,1062.49,2846.28,2770.88,-0.254388,-2.24673e-13,32774.3,43778.6,1.55594,23.2151,1.4469,21.5883,2.04928e-23,0.0066,1.40778 
78,5,1.3,0.01,10.99,3.87487e-07,7.70469e-07,1.06375e-29,0.502923,1062.49,2846.28,2770.88,0.0435382,2.66613e-14,40826.9,54072.2,1.37806,22.1233,1.32105,21.2081,1.62127e-23,0.0066,1.46231 
79,5,1.3,5,6,3.85756e-07,7.09613e-07,9.79728e-30,0.543614,1062.49,2846.28,2770.88,-0.164377,5.85668e-13,31896.8,44062.6,1.49914,22.1663,1.40649,20.7963,1.91915e-23,0.0066,1.49021 
80,5,1.5,0.01,10.99,3.98214e-07,7.20342e-07,9.94541e-30,0.552813,1062.49,2846.28,2770.88,-0.209152,-5.42141e-13,33365.6,43387.1,1.52706,22.9205,1.42632,21.4084,1.98381e-23,0.0066,1.36687 
81,5,1.5,0.01,10.99,3.85091e-07,7.74501e-07,1.06931e-29,0.497211,1062.49,2846.28,2770.88,0.0740248,3.84576e-14,41471.2,54812.8,1.36118,21.9667,1.30936,21.1305,1.57767e-23,0.0066,1.45538 
82,5,1.5,4,7,3.96921e-07,7.36833e-07,1.01731e-29,0.538685,1062.49,2846.28,2770.88,-0.140067,8.81781e-13,35710,51294.7,1.48426,22.788,1.39594,21.4321,1.88412e-23,0.0066,1.40968 
83,5,1.5,4,7,3.9118e-07,7.58344e-07,1.04701e-29,0.515835,1062.49,2846.28,2770.88,-0.0243104,1.72422e-13,38929.7,53140.4,1.41598,22.3743,1.34775,21.2963,1.71797e-23,0.0066,1.42499 
84,5,1.5,4,7,4.10288e-07,7.24438e-07,1.0002e-29,0.566354,1062.49,2846.28,2770.88,-0.273718,-1.76755e-14,33937.9,46288.9,1.56853,23.6768,1.45587,21.9761,2.07735e-23,0.0066,1.38784 
85,5,1.5,0.01,10.99,3.96093e-07,7.16502e-07,9.89239e-30,0.552814,1062.49,2846.28,2770.88,-0.20916,3.38816e-15,32834.8,43874.2,1.52707,22.7984,1.42633,21.2944,1.98382e-23,0.0066,1.41539 
86,5,1.5,0.01,10.99,3.89929e-07,7.60085e-07,1.04941e-29,0.513007,1062.49,2846.28,2770.88,-0.00961796,1.53762e-13,39198.3,53287.9,1.4076,22.2931,1.34187,21.252,1.69695e-23,0.0066,1.40414 
87,5,1.5,4,7,4.08558e-07,7.37022e-07,1.01757e-29,0.554337,1062.49,2846.28,2770.88,-0.216497,1.67379e-13,35737.4,49200.5,1.53171,23.5225,1.42963,21.9549,1.99443e-23,0.0066,1.41222 
88,5,1.5,0.01,10.99,3.91928e-07,7.2424e-07,9.99922e-30,0.541157,1062.49,2846.28,2770.88,-0.152284,-1.12418e-14,33910.1,45630,1.49173,22.5113,1.40123,21.1455,1.90173e-23,0.0066,1.41246 
89,5,1.5,0.01,10.99,3.84035e-07,7.35823e-07,1.01591e-29,0.521912,1062.49,2846.28,2770.88,-0.0556027,2.2739e-13,35563.2,48138.8,1.43403,21.9866,1.36045,20.8586,1.76278e-23,0.0066,1.43261 
90,5,1.5,4,7,3.89573e-07,7.4354e-07,1.02657e-29,0.523944,1062.49,2846.28,2770.88,-0.0659772,3.24804e-13,36694,50358.8,1.44008,22.311,1.36472,21.1434,1.77766e-23,0.0066,1.42849 
91,5,1.5,4,7,3.78589e-07,7.61826e-07,1.05182e-29,0.49695,1062.49,2846.28,2770.88,0.0754408,6.73991e-13,39468.3,54953.9,1.36042,21.5952,1.30883,20.7762,1.57566e-23,0.0066,1.42912 
92,5,1.5,0.01,10.99,3.98442e-07,7.22618e-07,9.97683e-30,0.551386,1062.49,2846.28,2770.88,-0.202258,-4.04569e-13,33682.8,44083.9,1.52272,22.9275,1.42324,21.4296,1.97384e-23,0.0066,1.40483 
93,5,1.5,0.01,10.99,3.88266e-07,7.61212e-07,1.05097e-29,0.510063,1062.49,2846.28,2770.88,0.00576207,-9.9946e-14,39372.9,52287.7,1.39891,22.1882,1.33577,21.1867,1.67497e-23,0.0066,1.44842 
94,5,1.5,0.01,10.99,4.062e-07,6.96252e-07,9.6128e-30,0.583409,1062.49,2846.28,2770.88,-0.352923,2.26996e-13,30128.7,41345.6,1.62115,23.5189,1.49364,21.6691,2.19237e-23,0.0066,1.40609 
95,5,1.5,4,7,3.95572e-07,7.74016e-07,1.06865e-29,0.511065,1062.49,2846.28,2770.88,0.000514166,1.12644e-13,41393.4,55401.5,1.40186,22.6091,1.33784,21.5766,1.68247e-23,0.0066,1.46003 
96,5,1.5,4,7,4.03415e-07,7.41795e-07,1.02416e-29,0.543836,1062.49,2846.28,2770.88,-0.165465,4.14781e-13,36436.2,49933.5,1.49982,23.182,1.40697,21.7468,1.92073e-23,0.0066,1.46382 
97,5,1.5,4,7,4.02134e-07,6.99158e-07,9.65293e-30,0.575169,1062.49,2846.28,2770.88,-0.314928,-2.64286e-13,30507.6,40727.5,1.59565,23.2456,1.47531,21.4925,2.13714e-23,0.0066,1.38538 
98,5,1.5,0.01,10.99,3.84831e-07,7.55939e-07,1.04369e-29,0.509077,1062.49,2846.28,2770.88,0.0109342,2.54472e-13,38560.4,52673.5,1.396,21.9887,1.33373,21.0078,1.66759e-23,0.0066,1.42274 
99,5,1.5,4,7,3.83271e-07,7.257e-07,1.00194e-29,0.52814,1062.49,2846.28,2770.88,-0.0872829,-6.57054e-14,34115.6,45383.5,1.45261,21.9652,1.37355,20.7697,1.80823e-23,0.0066,1.43166 
100,120,0.25,0.01,10.99,3.88516e-07,7.13355e-07,9.84894e-30,0.544632,1062.49,2846.28,2770.88,-0.169366,5.02461e-13,32404,45777.2,1.50223,22.329,1.40868,20.9385,1.92636e-23,0.0066,1.4036 
101,120,0.25,0.01,10.99,3.79956e-07,7.59556e-07,1.04868e-29,0.500235,1062.49,2846.28,2770.88,0.0578074,-2.21098e-13,39116.5,51783,1.37003,21.6829,1.31554,20.8205,1.60076e-23,0.0066,1.41978 
102,120,0.25,0.01,10.99,3.98102e-07,7.48528e-07,1.03346e-29,0.531846,1062.49,2846.28,2770.88,-0.105955,2.54245e-13,37437.5,51026.4,1.46371,22.8292,1.38139,21.5454,1.83506e-23,0.0066,1.44555 
103,120,0.25,10,1,4.28943e-07,7.1873e-07,9.92315e-30,0.596806,1062.49,2846.28,2770.88,-0.413601,-2.18516e-13,33142,44516.2,1.66284,24.9026,1.52377,22.8198,2.28073e-23,0.0066,1.38123 
104,120,0.25,10,1,4.2093e-07,7.3774e-07,1.01856e-29,0.570567,1062.49,2846.28,2770.88,-0.293506,5.21356e-13,35842,50653.4,1.58144,24.31,1.46514,22.5221,2.10601e-23,0.0066,1.40842 
105,120,0.25,0.01,10.99,4.08836e-07,7.369e-07,1.0174e-29,0.554805,1062.49,2846.28,2770.88,-0.21875,1.56933e-13,35719.6,48958.7,1.53313,23.5405,1.43065,21.9669,1.99768e-23,0.0066,1.40031 
106,120,0.25,0.01,10.99,4.06597e-07,7.2673e-07,1.00336e-29,0.559488,1062.49,2846.28,2770.88,-0.241179,2.06819e-13,34261.1,47328.3,1.54743,23.4322,1.44084,21.818,2.03014e-23,0.0066,1.40839 
107,120,0.25,0.01,10.99,4.18488e-07,6.89368e-07,9.51776e-30,0.607061,1062.49,2846.28,2770.88,-0.459205,3.79663e-13,29243.8,42092.5,1.69489,24.3456,1.54708,22.2225,2.34721e-23,0.0066,1.36018 
108,120,0.25,10,1,4.17844e-07,7.63655e-07,1.05434e-29,0.547164,1062.49,2846.28,2770.88,-0.181746,5.73876e-13,39753.3,55387.1,1.5099,24.0255,1.41412,22.5015,1.94422e-23,0.0066,1.4469 
109,120,0.25,10,1,4.55423e-07,6.77024e-07,9.34734e-30,0.672683,1062.49,2846.28,2770.88,-0.736111,2.64411e-13,27700.9,39399,1.90122,26.8203,1.70155,24.0037,2.7506e-23,0.0066,1.38401 
110,120,0.25,10,1,4.43664e-07,7.30693e-07,1.00883e-29,0.607182,1062.49,2846.28,2770.88,-0.459742,1.09565e-12,34824.7,52034.3,1.69527,25.8108,1.54736,23.5588,2.34799e-23,0.0066,1.42292 
111,120,0.25,0.01,10.99,3.87289e-07,7.41938e-07,1.02436e-29,0.521997,1062.49,2846.28,2770.88,-0.0560344,9.07686e-13,36457.3,51585.8,1.43428,22.1733,1.36063,21.0346,1.7634e-23,0.0066,1.47866 
112,120,0.25,0.01,10.99,3.81128e-07,7.39397e-07,1.02085e-29,0.515458,1062.49,2846.28,2770.88,-0.0223579,-1.23984e-13,36084,48649.2,1.41486,21.7981,1.34697,20.7521,1.71518e-23,0.0066,1.37307 
113,120,0.25,0.01,10.99,3.74353e-07,7.48001e-07,1.03273e-29,0.500471,1062.49,2846.28,2770.88,0.0565466,1.98125e-13,37358.5,50836.3,1.37072,21.3639,1.31602,20.5113,1.60256e-23,0.0066,-1.41335 
