cyc,amplitude,time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
109,0.05,6.5,3.6445e-07,7.44191e-07,1.02747e-29,0.489726,0.114658,4.82571e-13,36790.4,50019.3,1.3394,0.0066,1.45137 
110,0.95,6.5,4.04578e-07,8.02667e-07,1.1082e-29,0.504042,0.037518,1.79359e-13,46162.4,61639.9,1.38121,0.0066,1.46335 
111,1.4,6.5,4.04664e-07,8.11601e-07,1.12054e-29,0.498599,0.0665572,2.35909e-13,47721,64541.6,1.36522,0.0066,1.4218 
112,0.5,6.5,3.65231e-07,7.8359e-07,1.08186e-29,0.466099,0.247559,9.07791e-13,42948.6,58806.3,1.27176,0.0066,1.48389 
113,0.35,6.5,3.68499e-07,8.1703e-07,1.12803e-29,0.451022,0.336419,6.53904e-13,48685.1,65694,1.22951,0.0066,1.45939 
114,0.8,6.5,3.8404e-07,7.62089e-07,1.05218e-29,0.503931,0.0381046,2.4842e-13,39509.2,53022,1.38088,0.0066,1.42184 
115,0.65,6.5,3.69185e-07,7.82783e-07,1.08075e-29,0.471632,0.215772,4.82564e-13,42815.9,57670.2,1.28744,0.0066,1.4548 
116,0.2,6.5,3.71752e-07,7.48497e-07,1.03341e-29,0.496664,0.0769778,8.05159e-14,37432.8,49883.1,1.35959,0.0066,1.42547 
117,1.55,6.5,4.12652e-07,8.03501e-07,1.10935e-29,0.513567,-0.0125377,-2.07239e-13,46306.4,60958.7,1.40926,0.0066,1.41235 
118,1.1,6.5,4.01833e-07,7.52309e-07,1.03868e-29,0.534133,-0.117408,2.29582e-13,38007.6,51997.6,1.47057,0.0066,1.41142 
119,1.25,6.5,4.04986e-07,7.35088e-07,1.0149e-29,0.550935,-0.200074,3.35226e-13,35456.7,48188.7,1.52135,0.0066,1.42193 
120,1.7,6.5,4.44336e-07,7.68201e-07,1.06062e-29,0.578411,-0.329948,3.27226e-13,40467.5,56748.7,1.60566,0.0066,1.37738 
121,0.05,6.5,3.67252e-07,7.85686e-07,1.08476e-29,0.467428,0.239885,1.32882e-13,43294.1,57771.7,1.27552,0.0066,1.4324 
122,0.95,6.5,4.03348e-07,7.34265e-07,1.01376e-29,0.549321,-0.192245,2.02918e-13,35337.9,48383.3,1.51645,0.0066,1.3957 
123,1.4,6.5,3.97961e-07,7.5416e-07,1.04123e-29,0.527688,-0.0849946,7.82914e-13,38288.8,53476.1,1.45126,0.0066,1.41172 
124,0.5,6.5,4.08098e-07,6.94667e-07,9.59092e-30,0.587473,-0.371467,1.21193e-13,29923.5,41503.7,1.63377,0.0066,1.37204 
125,0.35,6.5,3.56351e-07,7.39338e-07,1.02077e-29,0.481987,0.157392,6.08716e-13,36075.3,49861.8,1.31706,0.0066,1.40113 
126,0.8,6.5,3.95611e-07,7.70697e-07,1.06406e-29,0.513317,-0.0112325,4.06265e-13,40863.2,56090,1.40852,0.0066,1.42353 
127,0.65,6.5,4.04539e-07,7.83713e-07,1.08203e-29,0.516182,-0.026107,-5.85946e-13,42968.7,55293.7,1.417,0.0066,1.44803 
128,0.2,6.5,4.01672e-07,7.58675e-07,1.04747e-29,0.529439,-0.0938378,-1.3271e-12,38980.7,47833,1.4565,0.0066,1.44153 
129,1.55,6.5,4.1736e-07,7.67609e-07,1.0598e-29,0.543715,-0.164871,-4.34907e-14,40374,54780.1,1.49945,0.0066,1.38353 
130,1.1,6.5,3.94695e-07,7.5023e-07,1.03581e-29,0.526099,-0.0769416,4.90529e-13,37693.4,52220.2,1.44651,0.0066,1.37509 
