cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,10,23,21512.4,0,5,101,125,0,5,135,-0.0881485,-5.66842,-10.486,-7.51744,-5.28275,-74.8616,0.098007,28043.8,-1.43737,16439.4,0.201102,-5.37917,-9.90754,-7.22819,-4.9935,0.637184,4.47292,28371.9,2.93755,0.559256,9.00794e-05,0.999944,7.99797,519.408,600.009,0.666911,38121.3,8.94e-07,0.624447,109.351,84.8176,24.6279,26.223,0.939174,551.342,636.76,0.662767 
24,25,24,20723.9,0,5,101,125,0,5,135,-5.1377,-3.82766,-5.26449,-4.95886,-2.68157,-45.4265,14.2773,26890.2,8.57441,16439.4,-4.96218,-3.65214,-4.91345,-4.78334,-2.50605,0.763971,16.932,27089.3,11.2291,0.556846,0.000357041,0.999775,30.407,609.736,722.859,0.507787,36961.9,8.84843e-07,0.750294,109.491,83.715,27.5393,29.7036,0.927138,689.399,817.013,0.848171 
25,45,25,20284.5,0,5,101,125,0,5,135,-4.7907,-3.88288,-7.30293,-3.79615,-5.93702,-62.753,14.6714,25710.8,27.3227,16439.4,-4.54823,-3.64042,-6.818,-3.55368,-5.69456,0.718902,18.3387,25985.8,30.99,0.330268,0.000403106,0.999353,55.5267,671.23,819.321,0.646473,35784.5,8.75347e-07,0.847193,109.707,83.0288,28.1043,30.758,0.913723,717.975,876.046,0.906021 
26,35,26,19724.4,0,5,101,125,0,5,135,-3.65754,-5.83582,-1.59527,-4.25774,-9.42877,-55.8557,9.84838,25570.3,13.7796,16439.4,-3.44173,-5.62,-1.16364,-4.04193,-9.21295,0.950442,13.1126,25815.1,17.0438,0.390661,0.000290169,0.999642,33.5651,685.731,840.711,1.51733,35978.8,8.76928e-07,0.865837,109.119,83.0649,27.5477,30.2192,0.911594,689.819,845.628,0.87095 
27,40,27,19581.7,0,5,101,125,0,5,135,-6.40802,-3.90103,-9.24268,-7.97364,-6.46256,23.8208,9.01272,26144.9,12.0895,16439.4,-6.50006,-3.99307,-9.42676,-8.06567,-6.5546,0.727078,7.62063,26040.5,10.6974,0.37251,0.000167198,0.999777,20.4575,661.737,798.212,0.573663,37535.1,8.89394e-07,0.817161,109.336,83.0732,28.2535,30.7367,0.919211,725.622,874.835,0.895827 
28,60,28,19376,0,5,101,125,0,5,135,-4.17947,-2.87244,-8.25281,-6.3396,-5.44249,-34.0568,10.0347,25336.1,19.3909,16439.4,-4.04788,-2.74085,-7.98963,-6.20801,-5.3109,0.69618,12.025,25485.3,21.3812,0.319114,0.00026955,0.999545,37.6825,711.584,830.275,0.665295,36136.9,8.78211e-07,0.875237,109.785,82.6046,28.8775,30.8993,0.934569,758.027,884.116,0.932177 
29,15,29,21072.2,0,5,101,125,0,5,135,-8.19313,-4.26543,-11.4644,-6.38695,-5.92753,-95.9084,19.4445,27263.5,5.00007,16439.4,-7.82256,-3.89485,-10.7232,-6.01638,-5.55696,0.68474,25.0494,27683.9,10.605,0.663115,0.000516782,0.999792,37.7753,541.652,646.921,0.589046,36832.8,8.83812e-07,0.66977,109.728,84.6163,25.4616,27.5661,0.923655,589.3,703.661,0.728601 
30,30,30,23392.3,0,5,101,125,0,5,135,-5.77265,-4.95856,-2.62665,-3.10638,-6.11314,-115.871,9.42726,28956.7,27.2816,16439.4,-5.32495,-4.51086,-1.73124,-2.65868,-5.66544,0.912964,16.1987,29464.6,34.0531,0.283878,0.000314055,0.999373,57.0624,558.757,709.723,1176.1,35544.3,8.73384e-07,0.721026,109.194,83.5385,27.4733,29.5806,0.928761,686.101,810.266,0.853695 
31,7.5,31,19583.5,0,5,101,125,0,5,135,-5.38699,-0.749649,-6.89421,-6.07612,-4.89688,-63.5361,-7.69614,25803.3,5.50859,16439.4,-5.1415,-0.504158,-6.40323,-5.83063,-4.65139,0.715803,-3.98309,26081.8,9.22164,-0.562356,-8.72737e-05,0.999808,7.08287,500.614,593.039,0.805878,34415.7,8.6404e-07,0.630608,109.067,84.7664,23.8861,25.7597,0.927265,518.629,614.462,0.653344 
32,80,32,18375.1,0,5,101,125,0,5,135,-2.13253,-5.44546,-4.86201,-9.8009,-3.66279,-127.568,26.4026,24723.5,27.3512,16439.4,-1.63964,-4.95256,-3.87621,-9.30801,-3.16989,0.831075,33.8577,25282.6,34.8063,0.447704,0.000764654,0.999253,75.6253,735.36,867.612,0.648024,35319.9,8.71542e-07,0.916483,109.453,82.6289,29.4298,31.6593,0.929577,787.299,928.146,0.98082 
