cyc,time (ms),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
20,0.51,20,20807.6,0,5,101,125,0,5,135,-2.84766,-6.09972,-12.8123,-7.76889,-6.45187,-86.9753,18.3017,29268.9,-38.8934,16439.4,-2.5116,-5.76367,-12.1402,-7.43284,-6.11581,0.642558,23.3845,29650.1,-33.8106,-1.3605,0.000450473,1.00062,-17.1881,492.819,576.033,0.587449,38167.8,8.94364e-07,0.595735,109.576,85.3446,24.2753,26.0003,0.933654,535.668,625.995,0.647469 
21,7.01,21,17572.9,0,5,101,125,0,5,135,-4.63937,-3.42587,-14.5467,-6.29604,-5.70876,-98.7035,35.7698,25907.5,-2.30178,16439.4,-4.258,-3.0445,-13.7839,-5.91467,-5.32739,0.573629,41.538,26340.1,3.46645,0.908973,0.000900326,0.999929,45.6977,715.711,834.986,0.62906,35970.3,8.76859e-07,0.881614,110.058,82.9027,29.1181,31.147,0.934863,770.712,898.345,0.948938 
22,2.01,22,20880.2,0,5,101,125,0,5,135,-7.59692,-1.48727,-14.2059,-4.45888,-9.72372,-143.369,27.1218,29108,-5.2507,16439.4,-7.04297,-0.933315,-13.098,-3.90492,-9.16977,0.616446,35.5003,29736.4,3.12781,0.904382,0.000681726,0.999943,39.2537,633.573,728.613,1.56408e+07,38948.1,9.00417e-07,0.754576,109.106,83.9131,26.4009,28.0508,0.941181,633.58,728.622,0.754585 
23,4.01,23,18792.6,0,5,101,125,0,5,135,-6.8753,-5.01961,-6.78377,-7.1963,-6.30517,-177.474,16.6173,26943.7,-11.9629,16439.4,-6.18958,-4.33388,-5.41232,-6.51057,-5.61945,0.807156,26.9889,27721.5,-1.59135,1.07614,0.000556017,1.00003,25.0793,691.053,783.241,1.03547,36768,8.83294e-07,0.83291,110.577,83.2307,27.8247,29.3452,0.948184,703.761,797.42,0.848108 
24,5.01,24,20388,0,5,101,125,0,5,135,-7.01415,-4.21145,-8.5516,-5.8539,-4.56635,-90.8079,14.2778,28656.6,-0.446569,16439.4,-6.66329,-3.86058,-7.84987,-5.50304,-4.21548,0.720568,19.5846,29054.6,4.86024,0.770535,0.000385031,0.999909,25.4169,716.349,821.699,843.651,39564.5,9.05142e-07,0.847622,110.557,84.0415,28.211,29.6505,0.951452,723.442,814.099,0.847859 
25,6.51,25,18351.2,0,5,101,125,0,5,135,-9.96156,-5.47994,-6.53152,-6.33791,-8.39018,-178.548,17.9576,26192.2,-13.666,16439.4,-9.27169,-4.79007,-5.15177,-5.64804,-7.70031,0.841785,28.392,26974.8,-3.23169,1.1582,0.000601088,1.00007,24.514,714.639,790.434,0.59626,36065.5,8.77632e-07,0.856374,110.262,83.6284,29.2398,30.4553,0.960089,777.168,858.893,0.930925 
26,1.51,26,21294.3,0,5,101,125,0,5,135,-4.66599,-8.50849,-16.227,-5.37503,-5.89838,-102.029,8.68296,29731.7,-3.35715,16439.4,-4.27177,-8.11427,-15.4385,-4.98081,-5.50416,0.597006,14.6456,30178.9,2.60544,0.824076,0.000277232,0.999953,17.7721,618.291,688.186,0.795841,39853.3,9.07339e-07,0.718918,109.186,84.7538,26.57,27.7714,0.95674,641.725,714.18,0.74612 
27,5.51,27,19554.9,0,5,101,125,0,5,135,-8.36291,-5.0192,-7.06426,-7.71527,-5.31525,-153.165,16.3505,27606.7,1.9288,16439.4,-7.77111,-4.4274,-5.88066,-7.12347,-4.72345,0.803494,25.3015,28278.1,10.8797,0.659628,0.000511018,0.999791,38.3572,726.985,812.892,0.824974,38004.6,8.93087e-07,0.860766,110.406,83.7977,28.7788,30.1475,0.954599,752.853,841.618,0.89129 
28,3.01,28,21296.3,0,5,101,125,0,5,135,-5.91564,-7.99619,-16.8152,-8.15926,-6.59124,13.9495,40.4168,29462.8,-0.885713,16439.4,-5.96953,-8.05009,-16.923,-8.21316,-6.64514,0.630509,39.6016,29401.6,-1.70092,1.05434,0.000769075,1.00003,37.5605,687.077,772.512,1.21544,40148.7,9.09576e-07,0.800971,109.631,83.2999,27.6482,29.0458,0.951884,694.864,781.231,0.810029 
29,3.51,29,18919.8,0,5,101,125,0,5,135,-4.86913,-6.25635,-7.89546,-6.47315,-7.73052,-93.4409,1.2674,27130.7,-13.3096,16439.4,-4.50809,-5.89531,-7.17339,-6.11211,-7.36948,0.769035,6.72809,27540.2,-7.84894,-2.50055,0.000139581,1.00015,-2.69064,681.405,759.091,0.695125,37354.7,8.87967e-07,0.80994,109.582,83.6627,28.1527,29.4215,0.956874,720.453,801.572,0.855809 
30,1.01,30,22242.9,0,5,101,125,0,5,135,-4.35471,-3.13765,-14.5535,-10.6512,-5.47792,-65.9909,22.6782,30363.4,7.83936,16439.4,-4.09973,-2.88267,-14.0436,-10.3962,-5.22294,0.616769,26.5347,30652.6,11.6959,0.654052,0.000494418,0.999793,40.5697,599.425,681.504,5.09996e+10,40523.4,9.12397e-07,0.700516,108.909,84.6245,25.6791,27.1286,0.946569,599.412,681.503,0.700507 
31,2.51,31,20591.9,0,5,101,125,0,5,135,1.46501,-5.87933,-9.57281,-1.34439,-7.80807,-138.924,10.7047,28364.9,5.16185,16439.4,2.00178,-5.34256,-8.49926,-0.807619,-7.2713,0.573308,18.8235,28973.8,13.2806,0.541524,0.000371104,0.999751,34.7601,647.716,734.369,0.798358,38472.2,8.96735e-07,0.769105,108.834,84.1361,27.2035,28.6899,0.948191,672.688,762.2,0.798504 
