cyc,vva,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
25,8,46.4133,25,17932.6,0.00229569,32.7979,11.8685,122.137,0.0023637,-32.5112,448.524,1.11745,3.15949,-1.61419,-1.63487,-0.0236265,-23.5874,417.04,89.4911,16947.9,12674.3,1.26598,3.30801,-1.31714,-1.48634,0.124897,1.69492,442.511,90.5308,16973.4,0.02671,0.736365,0.00972961,16567.3 
26,5,46.3883,26,17710,-0.0343952,32.9959,-11.7769,121.954,0.0311857,-160.483,84.1988,-3.51571,0.849732,-0.657945,-0.0176823,0.73056,-50.1762,309.904,83.1853,17033,12812.8,-3.19977,1.16568,-0.0260532,0.298264,1.04651,0.963581,364.088,85.3969,17087.2,0.0219371,0.708987,0.00912231,16597 
27,10,46.4833,27,16295,-0.00671532,30.1854,11.7512,121.888,-0.0562946,2.783,198.232,1.08821,1.03358,0.55874,1.10078,-1.50277,-21.4422,226.562,60.9544,15651.9,11552.2,1.22322,1.16859,0.828772,1.23579,-1.36776,0.731669,249.718,61.8996,15675,0.0164928,0.697454,0.0072218,15141 
28,10,46.5133,28,19186,-0.0083688,34.7746,12.1287,122.112,-0.0122959,-28.4154,1.54983e-09,0.422319,4.94902,1.13986,-1.53623,0.0786401,-16.417,453.659,87.1507,18355.2,13741.4,0.525692,5.05239,1.3466,-1.43286,0.182014,0.762665,471.387,87.8743,18372.9,0.0262967,0.754018,0.0087335,17925.7 
29,10,46.4433,29,18433.5,-0.0245039,34.0782,11.9311,121.918,0.000710329,-19.5963,500,-0.908686,0.642714,6.63898,-3.2917,-0.137154,15.0498,446.029,85.51,17622.8,13236.4,-1.00345,0.547949,6.44946,-3.38646,-0.231919,-1.7149,429.777,84.8466,17606.5,0.0250512,0.743226,0.00879908,17156 
30,8,46.4233,30,17848,-0.00592735,32.7478,11.902,121.979,-0.00382544,1.1434,5.38605e-10,3.91331,1.91987,6.81962,4.61983,2.59925,31.588,354.969,77.0249,17008.8,12688.3,3.71441,1.72097,6.42181,4.42093,2.40035,0.656192,320.858,75.6326,16974.7,0.0195088,0.70796,0.00814088,16446.8 
31,2,46.3533,31,17916.3,0.00901845,33.0917,11.8147,121.947,-0.0606989,0.718335,500,0.50787,3.81231,6.65144,0.670534,-0.946563,-10.1228,369.773,79.9929,17164.7,12728.8,0.571611,3.87606,6.77892,0.734275,-0.882822,0.388076,380.704,80.439,17175.6,0.0228,0.730056,0.0085534,16697.5 
32,10,46.5033,32,16107.3,0.00843291,30.0478,11.7725,121.856,-0.0367459,-9.34342,500,-3.03241,2.77056,-4.25248,-0.199073,1.74753,-33.7922,337.358,61.0827,15563.5,11526.5,-2.81963,2.98334,-3.82692,0.0137071,1.96031,-1.26553,373.85,62.5721,15600,0.0246053,0.773454,0.00733453,15193.9 
33,2.5,46.3633,33,17489.5,-0.0402805,32.1146,11.9717,121.996,-0.0725766,-11.6178,435.869,0.892762,0.514138,2.91439,4.6857,2.22329,-7.80266,356.55,59.9682,16776.4,12543.1,0.941893,0.56327,3.01265,4.73483,2.27242,0.7386,364.976,60.3121,16784.8,0.0223767,0.775683,0.00657562,16310.6 
34,5,46.3983,34,18461.5,-0.00249405,34.0203,12.0129,122.018,0.014119,-11.4115,1.06013e-10,2.26711,3.03877,3.19812,4.38093,1.32512,-12.0674,314.625,70.0147,17995.8,13309.2,2.34309,3.11475,3.35009,4.45692,1.40111,0.771574,327.657,70.5466,18008.8,0.0187919,0.726329,0.00716445,17436 
