cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,0.63,3.37,22,7254.51,0.0362558,13.3049,11.5347,121.142,0.138782,-61.5355,6.0627,2.15189,0.656396,1.584,-1.50721,1.7746,46.8679,624.642,53.6057,6203.08,5273.88,1.85678,0.361282,0.993767,-1.80232,1.47949,0.656016,574.029,51.5399,6152.46,0.152129,0.86421,0.015197,3773.31,0.000381218,0.049793,11.2883,17.5298,124.077,106.045,0.53669,11.8225,11.6246,120.54,133.629,3.53759,-27.5838 
23,0.67,3.33,23,6158.28,-0.0267251,11.6132,11.7795,120.829,0.0482723,5.58592,2.9811,3.42121,-2.7515,-2.03673,7.79659,1.872,39.3271,465.873,30.9368,5563.19,4462,3.17358,-2.99913,-2.532,7.54896,1.62436,1.37149,423.404,29.2034,5520.72,0.128531,0.892297,0.00965029,3294.18,0.000104072,0.0350501,12.3722,13.7987,125.502,105.044,0.506474,11.7729,11.4112,120.286,134.02,5.21647,-28.9763 
24,0.41,3.59,24,5982.78,0.0141782,10.7668,11.8907,120.7,-0.0218167,-2.68251,465.78,-3.2665,-2.0533,-0.711436,-1.82507,0.247052,48.0421,475.838,18.0261,5240.27,4169.55,-3.56901,-2.35581,-1.31645,-2.12758,-0.0554569,0.860313,423.957,15.9085,5188.39,0.1358,0.93838,0.0056165,3121.92,0.000276956,0.0296918,11.7736,17.3111,125.688,104.612,0.470828,11.7957,11.4197,120.057,133.832,5.63059,-29.2204 
25,0.11,3.89,25,7278.42,-0.0134292,13.2763,11.6643,121.195,-0.00696183,-6.11209,5.0815e-11,0.857058,-1.46044,3.90805,2.20957,-1.72879,35.3712,666.25,56.6661,6184.2,5042.53,0.634335,-1.68316,3.46261,1.98685,-1.95151,-0.413821,628.053,55.1071,6146,0.164241,0.866889,0.0162485,3823.98,0.000479726,0.0554053,11.2517,13.757,124.483,105.234,0.548301,11.5954,11.6332,120.487,133.78,3.99589,-28.5456 
26,0.43,3.57,26,6085.03,0.0192079,11.2281,11.5779,120.446,-0.0353257,16.8541,91.4161,-0.0112669,-1.84799,-1.45318,-2.307,1.32402,111.357,556.067,37.2213,5241.08,4251.24,-0.71245,-2.54918,-2.85554,-3.00818,0.622832,0.664153,435.815,32.313,5120.83,0.140647,0.88515,0.0114903,3098.65,0.000253514,0.0302442,12.6258,27.8367,123.957,108,0.456219,11.5239,11.4929,119.829,134.191,4.12823,-26.1912 
27,0.31,3.69,27,6324.63,0.0102057,12.166,-11.1971,120.973,0.0161728,-15.4055,276.755,-2.18373,-4.48916,0.489116,0.402371,5.17821,27.1174,533.753,42.3766,5567.58,4442.63,-2.35448,-4.65991,0.147615,0.23162,5.00746,1.09069,504.469,41.1813,5538.3,0.149058,0.875,0.0135123,3384.38,0.000226438,0.055143,-10.4883,14.21,124.186,107.554,0.501786,11.5138,11.449,120.302,133.96,3.88421,-26.4059 
28,0.69,3.31,28,6073.81,-0.00291,11.5148,11.4863,120.887,-0.00267354,5.41137,132.549,-1.14665,-5.64625,-1.43261,2.14032,3.86607,47.711,518.175,49.3788,5346.99,4306.04,-1.44707,-5.94667,-2.03346,1.83989,3.56565,0.494373,466.653,47.2758,5295.46,0.14491,0.849409,0.0161795,3220.29,0.000156533,0.0402517,11.5124,18.082,124.407,106.54,0.476001,11.5236,11.6462,120.056,134.787,4.3512,-28.247 
29,0.49,3.51,29,6735.1,-0.00106605,12.2138,11.805,120.334,0.00659375,-27.0138,500,-2.06402,-3.99097,7.60855,4.00469,2.37085,76.7291,532.817,27.2878,5848.85,4699.45,-2.54716,-4.47412,6.64226,3.52154,1.88771,-0.320467,449.958,23.9058,5765.99,0.130488,0.914933,0.00757948,3448.27,0.000287598,0.0312188,12.1837,18.871,123.883,102.996,0.509804,11.9823,11.6832,119.952,133.259,3.93092,-30.263 
30,0.09,3.91,30,6571.3,-0.0157255,12.2124,11.4767,120.948,-0.00331873,-1.32957,500,2.31411,-1.55218,3.59901,-1.21654,0.841473,6.99144,552.208,28.3541,5622.76,4562.75,2.27008,-1.5962,3.51097,-1.26056,0.797449,0.0566336,544.658,28.046,5615.21,0.157208,0.917337,0.00911677,3464.57,0.000358039,0.0339533,11.5139,18.3329,124.888,102.965,0.513713,11.6291,11.4485,120.336,134.165,4.55188,-31.2003 
31,0.15,3.85,31,6509.24,-0.0107467,11.7796,11.4974,120.406,-0.00274491,-7.60213,500,1.57372,2.77245,-0.222982,0.53792,-1.23837,58.7546,566.909,38.3174,5452.07,4409.55,1.20376,2.40249,-0.962906,0.167958,-1.60833,1.80044,503.46,35.7277,5388.63,0.152308,0.889531,0.0120662,3305.55,0.000435098,0.0260212,11.3336,34.766,124.327,108,0.493973,11.4728,11.2007,119.816,133.579,4.51106,-25.5792 
