cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
27,0.31,3.69,27,15546.1,-0.0340431,26.5836,12.8479,121.858,-0.0161006,7.50149,228.653,1.84296,-1.42771,-2.33522,-1.39524,2.49546,98.2495,1776.44,997.903,12206.9,11122.3,1.22431,-2.04636,-3.57252,-2.01389,1.87681,0.21165,1666.01,971.92,12096.4,0.209399,0.494825,0.128927,7956.16 
28,0.69,3.31,28,13325.9,-0.000470507,22.6194,12.7882,121.456,0.000933017,3.33328,2.60749e-10,2.4793,-3.51012,-2.92263,1.42677,2.22915,83.9078,1397.29,754.131,10605.7,9416.49,1.95095,-4.03847,-3.97932,0.898425,1.70081,-0.14757,1302.98,731.94,10511.4,0.192495,0.504274,0.113688,6768.92 
29,0.49,3.51,29,16015.9,-0.00202374,26.5724,13.1008,121.875,0.00132923,2.90468,284.251,0.649772,-1.44689,-5.5747,-0.745795,-2.11105,51.4904,1849.48,992.704,12486.5,11332.5,0.32555,-1.77111,-6.22314,-1.07002,-2.43527,0.443069,1791.61,979.087,12428.6,0.217047,0.511156,0.126726,8254.48 
30,0.09,3.91,30,14532,-0.00747318,24.6318,-13.0069,121.698,-0.0129233,1.22972,1.13605e-10,-4.55044,-3.07696,-3.56447,-3.73879,-0.677687,100.452,1706.4,811.343,11551.5,10430,-5.18295,-3.70948,-4.8295,-4.37131,-1.3102,0.751101,1593.5,784.778,11438.6,0.211295,0.5371,0.112202,7541.59 
31,0.15,3.85,31,13278.1,0.0126888,22.0492,13.0143,121.403,-0.0149258,-2.37573,500,0.488651,-4.1767,0.142225,1.61542,-1.8747,78.5473,1621.69,817.178,10199.9,9342.46,-0.0059402,-4.67129,-0.846958,1.12083,-2.36929,0.874944,1533.41,796.406,10111.6,0.225785,0.523862,0.126704,6791.45 
32,0.05,3.95,32,15395.3,0.0119871,26.2467,12.6892,121.807,0.00818347,-24.1038,59.0829,3.17759,0.281099,-3.40902,3.74549,2.83859,18.1866,1893.38,957.355,11885.2,10848.3,3.06307,0.166583,-3.63806,3.63098,2.72407,1.61178,1872.94,952.545,11864.7,0.232878,0.529095,0.128837,8042.59 
33,0.47,3.53,33,15860,-0.000179739,26.8186,12.7192,121.775,-0.0239676,-7.67297,5.49949e-12,1.40858,-0.204981,-2.25426,1.59275,-1.8911,30.3546,1650.23,1031.04,12473.8,11110.3,1.21745,-0.396115,-2.63653,1.40162,-2.08223,-0.0563814,1616.11,1023.02,12439.7,0.199896,0.474435,0.131561,8084.75 
34,0.61,3.39,34,14930.9,-0.00354713,24.9927,12.9927,121.904,0.00143601,-14.8997,254.688,4.50413,-3.32688,-0.374627,-4.07064,-0.31021,81.0034,1754.2,866.829,11672,10571.5,3.99407,-3.83694,-1.39474,-4.5807,-0.820267,0.789904,1663.15,845.406,11581,0.216408,0.529226,0.118533,7685.26 
35,0.17,3.83,35,14521,-0.00992226,24.1558,-13.1017,121.472,-0.0104727,0.915812,1.73938e-09,-3.53022,2.54913,-1.75355,-0.783675,0.22253,40.2553,1761.9,860.891,11354.9,10302.8,-3.7837,2.29565,-2.2605,-1.03715,-0.0309474,0.53069,1716.65,850.245,11309.6,0.225945,0.535687,0.121642,7597.66 
36,0.27,3.73,36,14403.5,-0.0201672,24.5962,12.8131,121.549,-0.00665215,5.51982,497.155,3.50621,-1.16262,-6.97505,-4.79542,-2.53322,95.769,1502.41,697.347,11710.7,10260.5,2.90318,-1.76565,-8.18112,-5.39845,-3.13625,0.474839,1394.76,672.02,11603,0.187763,0.542541,0.096405,7428.33 
37,0.75,3.25,37,14592.9,-0.0167097,24.3626,-13.1087,121.437,-0.0139283,2.4087,500,0.413724,-2.0177,-6.74008,0.116964,1.42015,75.4883,1675.32,1020.42,11353.6,10397.3,-0.0616059,-2.49303,-7.69074,-0.358365,0.944816,0.203769,1590.47,1000.46,11268.7,0.21348,0.476007,0.140558,7450.2 
38,0.13,3.87,38,14630.2,0.00318337,25.0046,12.709,121.738,0.0235135,-34.8949,500,-0.338911,0.831063,5.65267,3.71018,-4.32878,13.1868,1571.45,726.424,11740.3,10371.6,-0.421944,0.748029,5.4866,3.62715,-4.41181,-0.0912041,1556.63,722.936,11725.5,0.203377,0.55165,0.101991,7653.9 
39,0.35,3.65,39,13868.1,-0.0166717,23.4441,-13.0082,121.463,-0.00321781,0.708562,2.38864e-11,-2.13195,2.10863,-2.8564,0.377226,-1.03352,73.1211,1528.2,802.993,11040.6,9927.76,-2.59237,1.64821,-3.77724,-0.0831985,-1.49394,0.400299,1446.02,783.655,10958.4,0.202399,0.513242,0.116399,7144.39 
40,0.59,3.41,40,14892.3,-0.0270936,25.2903,12.953,121.677,0.0345702,-100.798,47.433,0.922544,2.39136,-5.79042,2.23777,0.552371,96.1606,1561.86,889.715,11961.4,10777.5,0.317047,1.78586,-7.00142,1.63227,-0.0531262,-1.10926,1453.78,864.284,11853.3,0.190847,0.490103,0.118412,7617.52 
41,0.01,3.99,41,14365.8,0.0187171,23.8827,12.9769,121.772,-0.0134695,-8.22443,11.1756,1.73362,0.849754,-1.62793,-3.55553,-5.23977,54.0025,1763.66,938.87,11030.4,10092.6,1.39358,0.509715,-2.308,-3.89557,-5.57981,0.766398,1702.97,924.589,10969.7,0.229907,0.512788,0.134396,7407.22 
42,0.53,3.47,42,13604.5,-0.0180412,23.0341,12.9181,121.374,-0.000894046,6.38549,473.259,-2.58518,-0.298803,-2.54547,1.56499,-1.3215,93.9144,1306.05,603.728,11160.6,9686.65,-3.17653,-0.890157,-3.72818,0.973633,-1.91286,0.573146,1200.49,578.891,11055,0.172755,0.542338,0.087975,6949.1 
43,0.51,3.49,43,14102.7,-0.0199986,23.8252,12.9527,121.508,-0.0331533,-15.3235,267.482,0.782577,-2.28518,-7.20916,0.833436,3.16639,79.7959,1497.53,796.518,11270.5,10062.5,0.280124,-2.78764,-8.21406,0.330982,2.66394,-0.0630816,1407.84,775.415,11180.8,0.194942,0.509199,0.113282,7221.84 
44,0.39,3.61,44,14410.5,-0.00481465,24.8174,12.6858,121.211,-0.00765583,0.112654,3.97118e-09,-1.43625,2.91038,-1.70329,3.52466,4.2184,93.5217,1589.2,881.122,11466.9,10248.7,-2.02513,2.32149,-2.88106,2.93578,3.62952,1.72377,1484.08,856.389,11361.8,0.200763,0.497552,0.121919,7392.21 
45,0.25,3.75,45,14478.5,-0.0161527,24.5417,12.8894,121.416,-0.00846836,2.37621,356.995,-0.719342,2.00735,-2.36096,0.742644,-3.01523,85.8555,1689.59,899.114,11376.8,10298.2,-1.25995,1.46674,-3.44218,0.202035,-3.55584,0.477603,1593.1,876.408,11280.3,0.213585,0.509495,0.125201,7458.85 
46,0.71,3.29,46,15297.2,-0.00691919,25.9483,12.8356,121.714,-0.00674904,-6.08326,136.953,0.302006,-0.942336,-4.1403,-0.0212493,1.91986,58.4752,1639.64,842.409,12279.9,10843.7,-0.066196,-1.31054,-4.8767,-0.389452,1.55166,0.0421366,1573.92,826.944,12214.2,0.198594,0.52098,0.110887,7925.31 
