cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
26,0.43,3.57,26,16050.9,-0.154228,27.856,12.987,122.112,0.107237,84.0332,3.46707e-11,-0.304883,-1.81856,-6.02392,0.139262,5.59727,46.8849,1870.85,130.413,13778.3,12070.1,-0.600105,-2.11378,-6.61437,-0.15596,5.30204,-0.581563,1820.22,128.346,13727.6,0.203181,0.890159,0.0169311,8958.59,-0.000188703,0.0896066,13.1383,38.4838,125.013,108,1.04097,12.7408,11.613,121.118,135.179,3.89417,-27.179 
27,0.31,3.69,27,12845.8,-0.0857102,22.4586,12.8569,122.17,-0.0748259,156.823,0.164588,3.53826,-4.32433,-1.97936,3.55211,-0.851401,26.2127,1522.59,84.2539,11088.1,9781.72,3.37321,-4.48939,-2.30947,3.38705,-1.01646,-1.18897,1494.28,83.0986,11059.8,0.20624,0.911312,0.0136519,7245.36,-8.57269e-05,0.066568,14.396,28.8546,125.716,102.03,0.891965,12.4893,11.7562,121.337,134.75,4.37898,-32.7196 
28,0.69,3.31,28,14303.5,-0.138072,25.1374,12.9874,122.042,0.0874257,123.113,137.594,-2.40569,-0.530236,-2.422,1.82895,1.2345,46.1155,1766.87,163.146,12370,10978,-2.69607,-0.820613,-3.00275,1.53857,0.944124,0.256145,1717.07,161.113,12320.2,0.211369,0.858956,0.0235229,8123.55,-0.000127055,0.114296,13.1265,25.6615,124.391,108,0.923323,12.7808,11.741,121.16,134.943,3.2307,-26.9426 
29,0.49,3.51,29,13405.8,-0.085513,23.7104,12.731,121.904,-0.0381645,99.0156,500,-3.38419,0.325679,2.27425,2.0246,0.940508,69.309,1588.61,117.089,11525.3,9949.49,-3.82061,-0.110741,1.40141,1.58818,0.504088,4.2019,1513.77,114.034,11450.5,0.2027,0.883525,0.0180148,7468.01,-8.2965e-05,0.0888311,12.773,31.2037,124.786,108,0.894984,12.5959,11.5351,120.875,135.402,3.91102,-27.402 
30,0.09,3.91,30,13608,-0.0269646,23.8874,12.7913,122.086,0.00451394,-14.7235,500,-4.74159,-0.806094,-4.16585,-1.6854,-0.178437,77.049,1586.3,100.868,11848,9948.83,-5.22675,-1.29125,-5.13616,-2.17055,-0.663594,0.645496,1503.09,97.4719,11764.8,0.197236,0.898083,0.0150325,7620.78,-0.000293544,0.0777729,12.9986,36.1995,125.771,108,0.932866,12.6989,11.3324,121.014,135.588,4.75761,-27.5877 
31,0.15,3.85,31,14114.3,0.00640717,24.8895,-12.7985,121.936,-0.00656406,-4.14382,2.38983e-11,-1.26739,2.45521,-2.37003,5.71859,1.13417,48.5478,1491.83,87.8274,12544.2,10370.7,-1.57309,2.14952,-2.98141,5.4129,0.828472,1.77714,1439.41,85.6875,12491.8,0.181397,0.905652,0.0124782,7935.14,-0.000398795,0.0670174,13.0694,38.4162,125.913,108,0.965335,12.6253,11.886,121.032,135.35,4.88077,-27.3495 
32,0.05,3.95,32,13601.9,0.00228107,23.675,12.8054,122.153,-0.00387937,-3.44177,500,1.24849,4.48663,-1.71127,-1.62957,-1.13129,25.6277,1633.49,95.9313,11616.4,9869.56,1.08712,4.32525,-2.03401,-1.79094,-1.29267,7.90061,1605.81,94.8017,11588.7,0.210406,0.90636,0.0148456,7631.95,-0.000124653,0.0765532,13.3764,36.8259,125.368,108,0.894701,12.5861,11.6079,121.232,135.302,4.13634,-27.3023 
33,0.47,3.53,33,14959.6,-0.0116439,26.1708,-12.6513,122.252,-0.01165,1.05932,500,-1.85665,1.476,-3.09122,1.10505,0.613361,24.9363,1743.05,123.918,12734.2,10778.6,-2.01367,1.31898,-3.40526,0.948036,0.456344,-0.26328,1716.13,122.819,12707.3,0.206168,0.888696,0.017493,8323.9,0.000117021,0.0991411,12.7632,29.6318,125.207,108,0.991787,12.6266,11.5158,121.285,135.141,3.92241,-27.1408 
34,0.61,3.39,34,15781.3,-0.0895512,27.7999,12.6961,121.998,0.124364,-11.2761,345.361,-2.68573,-0.18104,0.828989,3.03059,1.16354,35.2414,1922.22,144.841,13485.5,11535.3,-2.90764,-0.402945,0.385178,2.80869,0.941633,0.533069,1884.16,143.288,13447.4,0.212256,0.882546,0.0192505,8876.83,-1.37361e-05,0.11039,12.5878,31.5635,124.268,108,1.008,12.7179,11.6798,121.064,135.212,3.20355,-27.2118 
35,0.17,3.83,35,14098.1,-0.0671637,24.6279,12.7437,122.221,0.02582,-26.6871,57.9852,-1.86417,3.96705,-2.66723,-2.99541,1.1346,79.759,1585.64,73.4862,12160.5,10239.3,-2.36639,3.46483,-3.67167,-3.49763,0.632383,0.324871,1499.51,69.9707,12074.3,0.192785,0.924506,0.0105622,7778.17,-3.45773e-05,0.0615596,15.039,27.284,126.071,96.3041,0.979809,12.5759,12.0106,121.532,135.212,4.5388,-38.9078 
36,0.27,3.73,36,14364.4,-0.0676994,25.2148,12.6788,121.942,-0.0104362,86.1727,103.036,1.80975,1.90771,1.06332,3.99329,3.01527,-25.2798,1722.73,110.245,12214.8,10436.3,1.96893,2.06689,1.38168,4.15247,3.17445,0.891585,1750.03,111.359,12242.1,0.215629,0.899801,0.0164804,8115.92,-3.43017e-07,0.0915488,12.5237,33.9207,125.054,108,0.940548,12.5237,11.6434,120.868,134.726,4.18616,-26.7255 
37,0.75,3.25,37,14109,-0.0283522,24.0358,12.946,122.162,-0.0431662,1006.97,0.303496,-2.36555,1.04215,-1.25852,1.17743,3.89912,45.6046,1583.2,102.102,12005.1,11544.5,-2.65271,0.75499,-1.83283,0.890269,3.61196,3.37516,1533.95,100.092,11955.9,0.197903,0.897513,0.0151875,7751.01,2.64223e-05,0.07422,13.524,38.0397,125.429,108,0.918965,12.6669,11.5425,121.115,134.336,4.31337,-26.3362 
38,0.13,3.87,38,15014.7,-0.0660606,26.344,12.6645,122.112,0.0388864,64.9422,359.35,0.848826,0.82706,-0.45683,1.102,-1.14715,22.4679,1662.95,85.1659,13022.1,10943.1,0.707352,0.685586,-0.739779,0.960522,-1.28862,3.27583,1638.69,84.1756,12997.8,0.195139,0.917521,0.0117891,8397.54,-0.000118828,0.0712871,13.2472,38.1716,125.096,108,1.02191,12.5186,11.6949,121.344,136.587,3.75236,-28.5868 
39,0.35,3.65,39,14243.2,-0.118849,24.7763,13.0311,122.093,-0.0990937,101.028,166.349,-0.037614,0.565044,-4.65036,4.11753,1.09738,49.8188,1625.49,79.9999,12376.3,10836.1,-0.351309,0.251348,-5.27775,3.80384,0.783684,-5.67906,1571.69,77.804,12322.5,0.196968,0.920276,0.0114973,7979.39,-0.000345789,0.0700268,12.9546,42.9557,125.479,108,0.938838,12.8575,11.6309,121.108,134.489,4.37029,-26.4893 
40,0.59,3.41,40,13800.4,-0.0790826,24.2132,12.7506,121.936,-0.0126294,61.3104,5.23169,-2.47178,2.53451,4.67603,3.67841,3.725,42.0261,1609.24,99.0509,11833.8,10075.5,-2.73641,2.26989,4.14677,3.41378,3.46037,0.607105,1563.86,97.1985,11788.4,0.203262,0.901902,0.0149614,7693.83,-8.52258e-06,0.0737133,13.2901,35.5334,125.403,108,0.918865,12.4978,11.7063,121.054,135.868,4.34936,-27.8678 
41,0.01,3.99,41,13909.1,-0.101219,24.3595,12.8741,122.288,-0.00902686,66.3634,1.33779,3.02641,-2.32171,-0.888024,1.39896,2.79619,15.092,1681.29,97.4519,11980.6,10228.4,2.93138,-2.41674,-1.07808,1.30393,2.70116,1.31325,1664.99,96.7866,11964.3,0.211121,0.907665,0.0146831,7886.43,-0.000169826,0.0863288,12.392,35.7029,125.837,108,0.911239,12.7548,11.5826,121.113,135.245,4.72476,-27.2447 
42,0.53,3.47,42,13698.9,-0.107668,24.3334,12.7302,121.906,0.026958,19.7845,401.322,-1.43893,1.45576,2.13155,-1.61508,-1.70559,81.7817,1588.05,98.1663,11914.4,10101.4,-1.95388,0.940798,1.10163,-2.13004,-2.22054,1.25848,1499.73,94.5616,11826.1,0.196061,0.900624,0.0145156,7649.32,-0.000171471,0.0805202,13.0989,33.4123,125.048,108,0.922654,12.5677,11.644,120.908,135.399,4.13915,-27.3994 
43,0.51,3.49,43,14711.4,-0.0154066,24.8924,-12.9076,122.347,-0.00132264,4.64728,89.5637,1.08333,-1.6452,-0.256691,-0.418902,1.44853,31.0349,1668.07,97.6434,12463.6,10459.6,0.887915,-1.84061,-0.647528,-0.61432,1.25311,0.326501,1634.56,96.2755,12430.1,0.201842,0.906557,0.0140671,8098.19,0.000107431,0.0769703,13.0788,38.2328,125.453,108,0.953411,12.7713,11.5233,121.278,134.596,4.17554,-26.5965 
44,0.39,3.61,44,13701.3,0.0026341,23.9885,12.5818,121.871,0.00434252,-6.60274,1.27151e-12,4.6153,-2.66617,4.31458,1.1126,-1.26748,-8.57349,1526.42,69.5104,11784.6,9826.13,4.66929,-2.61219,4.42255,1.16659,-1.21349,0.312494,1535.68,69.8883,11793.8,0.200259,0.926233,0.0107981,7668.48,-0.000150835,0.0659201,13.6858,39.0812,125.216,107.999,0.930613,12.5251,11.5461,120.958,135.012,4.25756,-27.0127 
45,0.25,3.75,45,13511.9,-0.00399383,23.4834,12.8746,121.725,-0.00710533,9.99061,7.19869e-11,-1.4009,-0.75573,-4.03872,0.27891,-0.624413,-1.39853,1568.35,86.8212,11804.2,9844.43,-1.39209,-0.746924,-4.02111,0.287717,-0.615607,0.380225,1569.86,86.8828,11805.8,0.203644,0.9117,0.0133754,7708.85,-0.000211651,0.0690575,13.825,34.454,125.06,106.373,0.939902,12.6276,11.4278,120.906,135.442,4.15379,-29.0689 
