cyc,vva,frequency,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,10,47.3259,22,13640.2,-0.00129707,23.7012,12.6083,122.316,0.00668132,13.5699,2.6139e-11,0.260073,0.499736,5.61815,0.761627,0.0265926,50.1613,967.459,25.167,12338.9,9730.97,-0.0557786,0.183884,4.98644,0.445775,-0.289259,0.0539968,913.291,22.956,12284.7,0.0725768,0.957866,0.00343046,12583.8,1.74729e-06,0.0720345,12.5657,12.9581,124.686,83.1138,0.993151,12.8984,12.1317,121.733,131.095,2.95345,-47.981 
23,10,47.4159,23,13246,-0.028325,23.7559,12.2468,122.095,-0.00315172,48.8584,11.7949,-0.943077,-1.04832,5.65302,1.5588,0.344555,66.2019,213.739,9.0933,12743.5,9475.9,-1.35993,-1.46517,4.81931,1.14194,-0.0723013,-0.572961,142.248,6.17531,12672,0.0116782,0.929393,0.000896886,12180.7,-0.000227713,0.032318,-3.91704,57.3577,129.973,106,1.09716,12.5145,11.5281,121.381,130.176,8.59178,-24.1765 
24,2,47.2259,24,14156.9,0.000681141,25.9909,11.8284,122.246,0.000141673,-3.86025,19.5613,-0.515155,1.79952,4.07309,4.05456,1.1892,60.7529,1193.84,11.6626,12612.8,10007.9,-0.8977,1.41697,3.308,3.67201,0.806656,0.601731,1128.23,8.98473,12547.2,0.0864675,0.986255,0.00131735,13048,-1.29352e-05,0.120023,11.153,11.0387,123.922,82.8311,1.11555,12.2558,11.6221,121.641,130.498,2.28051,-47.6666 
25,4,47.1859,25,12338.7,-0.00438807,22.8766,11.7835,121.897,-0.00608394,-5.17847,500,3.552,5.13701,-0.396376,2.76053,-2.71202,26.4205,25.6873,9.72853,12052.8,8776.28,3.38564,4.97065,-0.729102,2.59417,-2.87839,1.09929,-2.84396,8.56399,12024.3,-0.000249028,-0.234206,0.00131027,11420.3,-2.36482e-05,-0.0121286,-6.96538,-8.44923,118.099,77.4652,1.11949,12.0647,11.2727,121.406,129.616,-3.30651,-52.1512 
26,8,47.2859,26,11627.2,-0.0350404,21.1177,12.1478,122.331,0.0241371,2.2684,9.15277,0.241121,1.66981,3.55285,1.55086,-3.62745,38.4078,1230.61,9.68598,10173.3,8352.83,-0.000722837,1.42796,3.06916,1.30902,-3.8693,-0.585209,1189.13,7.99308,10131.8,0.109959,0.988374,0.00145115,10814.3,-0.000113344,0.12227,11.9628,10.4911,123.656,81.8457,0.868457,12.5556,11.8048,121.647,129.65,2.00982,-47.8045 
27,5,47.2759,27,12824.1,-0.00312882,23.4891,12.0775,122.223,0.0210046,-42.6718,500,-1.08239,-0.851269,4.9143,-0.273607,-1.49228,25.3837,790.432,14.2071,11907.2,9264.16,-1.24222,-1.0111,4.59464,-0.433441,-1.65211,-16.965,763.021,13.0882,11879.7,0.0633276,0.970857,0.00202538,12048.8,-0.000226774,0.064969,11.8351,12.2537,124.536,83.7301,1.01911,12.4961,11.8483,121.648,130.682,2.88824,-46.9517 
28,5,47.2659,28,12105.9,-0.0647578,22.6321,11.9433,122.256,-0.0708575,122.759,458.719,-0.120945,3.46833,4.9614,0.141739,0.371452,27.3247,1022.47,8.62691,11012.3,9082.41,-0.293002,3.29628,4.61729,-0.0303171,0.199396,0.407253,992.962,7.42252,10982.8,0.0868989,0.987087,0.0012434,11426.6,-0.000328031,0.10267,11.2582,10.745,124.038,81.982,0.969147,12.3804,11.7093,121.65,130.026,2.38781,-48.044 
29,2.5,47.1959,29,12999.7,-0.039486,23.9687,12.0202,122.085,0.000227694,-4.81336,500,1.36357,0.429036,-0.932384,3.08142,1.90709,32.2074,74.9172,4.59179,12847.2,9378.9,1.16077,0.226235,-1.33799,2.87862,1.70429,1.28886,40.1368,3.17218,12812.4,0.00328669,0.878495,0.000455873,12211.9,-0.00016559,-0.00849462,7.8079,14.372,124.24,58,1.15327,12.3054,11.4551,121.606,129.93,2.63343,-71.9295 
30,10,47.3559,30,12354.7,-0.037773,22.6265,12.0588,122.08,0.0276323,-44.4023,500,-0.251376,2.47583,3.96727,0.625103,0.342216,76.4886,526.88,20.0175,11630.2,8922.04,-0.733005,1.99421,3.00401,0.143475,-0.139413,0.296365,444.281,16.6461,11547.6,0.0389226,0.938466,0.00264841,11414.5,-0.000207662,0.0338241,12.4297,16.0155,127.106,85.1721,0.99478,12.4311,11.9322,121.584,130.5,5.52165,-45.3281 
31,10,47.3159,31,13093.9,-0.0312142,23.2984,12.3596,122.228,-0.00580962,32.6638,71.1344,0.73225,2.99368,-1.38639,2.35998,-0.593208,30.6351,1218.11,10.0344,11688,9380.17,0.539349,2.80078,-1.77219,2.16708,-0.786109,1.60096,1185.03,8.68408,11654.9,0.0966805,0.987338,0.00137067,12257.2,-0.000127381,0.109963,12.3104,10.9698,123.404,81.378,0.961802,12.7761,11.9941,121.629,129.203,1.7746,-47.8254 
