cyc,vva,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
13,5,47.1759,13,14100.1,-0.0262002,25.883,11.8068,121.975,0.000647659,-41.0632,0.630447,0.78938,-4.22278,-0.642421,-2.26245,-2.85976,-24.3725,143.762,13.3591,13595.9,9949,0.942847,-4.06932,-0.335487,-2.10899,-2.7063,0.959469,170.082,14.4334,13622.2,0.0129723,0.870696,0.00194799,13111.2 
14,2.5,47.2359,14,15233.9,0.0186101,27.2744,12.055,122.158,-0.0429422,19.4486,5.29357,-1.5205,2.65661,-0.778627,-2.31609,-5.37826,-19.3345,1239.32,25.6208,13579.3,10730.5,-1.39876,2.77836,-0.535139,-2.19435,-5.25652,0.918997,1260.2,26.4731,13600.1,0.0888698,0.964541,0.0035729,14180.3 
15,10,47.3759,15,14268.9,0.0622921,24.6274,12.2984,122.174,-0.0905523,104.15,33.912,3.82605,1.64332,-7.7002,0.388485,-0.800325,-22.4311,461.637,22.3996,13250.4,10166.7,3.96729,1.78456,-7.41772,0.529727,-0.659082,-3.13193,485.86,23.3883,13274.6,0.0370978,0.922304,0.00323507,13096.7 
16,5,47.1659,16,13711.9,-0.00393738,25.1917,11.9301,122.117,0.0455972,-7.7127,5.63374e-12,-1.86041,2.76386,1.95291,-0.987795,-2.81006,-3.02381,55.9079,21.2817,13401,9795.02,-1.84137,2.7829,1.99099,-0.968755,-2.79102,3.40675,59.1733,21.415,13404.3,0.00462536,0.612246,0.00293435,12793.2 
17,4,47.2459,17,13400.8,-0.0685048,24.9012,12.0016,122.243,-0.00350486,36.484,460.255,2.85224,0.638303,0.0622081,5.5217,0.435918,36.4732,1562.85,26.6212,11752,9732.82,2.62258,0.408641,-0.397116,5.29204,0.206256,1.04883,1523.46,25.0135,11712.7,0.120427,0.97207,0.00391858,12650.5 
18,1.7,47.2159,18,11495.6,-0.0261953,22.2093,11.3769,122.111,0.000640136,-3.4567,363.442,1.20101,-1.49995,-1.11528,0.113499,1.87008,12.5564,1864.75,16.031,9482.35,8225.41,1.12194,-1.57901,-1.27341,0.0344345,1.79101,14.4083,1851.19,15.4775,9468.79,0.170671,0.98558,0.00300204,10846.5 
19,10,47.3859,19,13149.8,-0.00379995,23.3329,12.2601,122.135,-0.000559961,7.56209,14.112,-0.989667,0.64125,-5.39752,1.81663,1.95915,-4.16725,344.45,24.1641,12477,9312.45,-0.963427,0.66749,-5.34504,1.84287,1.98539,-1.94863,348.951,24.3478,12481.5,0.0285876,0.891182,0.00358056,12206.4 
20,10,47.0159,20,14374.9,-0.012359,25.9504,-12.0347,121.903,-0.00847976,-7.48176,500,-0.362087,1.23531,0.106294,2.76081,3.82056,17.6047,202.723,36.5,13850.2,10168.7,-0.472939,1.12446,-0.11541,2.64996,3.70971,1.01674,183.712,35.724,13831.2,0.0137887,0.746102,0.00473537,13323.3 
21,2,47.2059,21,13220.2,-0.00261467,24.518,-11.7244,122.068,-0.00921374,34.417,18.7456,5.28481,0.262031,5.36673,2.14471,2.56054,-7.69398,159.544,12.2801,12775.2,9368.06,5.33325,0.310478,5.46362,2.19315,2.60899,0.656581,167.852,12.6192,12783.5,0.0136331,0.883731,0.00181513,12312.1 
22,10,47.3259,22,13987.9,0.0291243,23.7666,12.6335,122.269,-0.00863695,-5.62006,0.00162547,-0.140266,-1.04313,2.67125,-2.30813,-2.43879,-14.6009,1040.65,34.421,12418.5,9775.88,-0.0483278,-0.951192,2.85512,-2.21619,-2.34685,2.05455,1056.42,35.0645,12434.3,0.08209,0.945103,0.00516786,12869 
23,10,47.4159,23,13542.3,0.0218162,23.7744,12.2688,122.05,-0.0361295,35.624,31.2418,-1.8814,-2.59917,2.13001,-1.64355,-1.7025,15.8992,314.218,25.9249,12818.5,9537.2,-1.98151,-2.69928,1.92979,-1.74366,-1.80262,1.30645,297.049,25.2241,12801.3,0.0238434,0.870623,0.00361661,12458.3 
24,2,47.2259,24,14427.2,0.037182,26.0089,11.8495,122.21,-0.0280906,-53.086,499.984,-1.61362,-0.274379,0.0138669,0.809462,-0.840151,7.68627,1296.15,22.4524,12660.4,10081.2,-1.66201,-0.322777,-0.0829299,0.761064,-0.888549,0.962222,1287.85,22.1136,12652.1,0.096777,0.970827,0.00320933,13307.4 
25,4,47.1859,25,12509.7,0.0160821,22.8932,11.7897,121.828,-0.0204325,0.693624,108.301,3.01248,3.69461,-3.83973,1.31127,-3.91554,-14.7443,102.859,23.3748,12089.5,8786.76,3.10532,3.78745,-3.65405,1.40411,-3.8227,5.45541,118.781,24.0247,12105.4,0.0102231,0.738576,0.00364259,11618.9 
26,8,47.2859,26,11753.9,-0.0107494,21.1025,12.1564,122.301,0.00154433,-2.82572,364.362,-0.518274,0.084391,1.18198,0.54057,-4.58901,8.46407,1288.19,20.7715,10184.8,8351.1,-0.57157,0.031095,1.07539,0.487274,-4.64231,1.29706,1279.05,20.3984,10175.7,0.116851,0.972849,0.00367914,10946 
27,5,47.2759,27,13039,-0.00141092,23.5129,12.1201,122.186,-0.00171379,4.95977,6.39491e-10,-1.77646,-2.33185,2.08457,-1.82302,-2.73132,-17.9758,855.585,30.1815,11957.5,9277.28,-1.66327,-2.21866,2.31094,-1.70984,-2.61813,1.39175,874.997,30.9738,11976.9,0.0714106,0.941666,0.00474134,12253 
28,5,47.2659,28,12267.2,0.000246025,22.6142,11.8962,122.224,-0.0106149,5.85575,9.23644e-11,-0.644395,1.80345,2.04988,-0.69078,-0.614917,-10.3251,1099.04,16.9623,11026,8759.58,-0.579381,1.86846,2.17991,-0.625766,-0.549902,0.0494527,1110.19,17.4174,11037.2,0.0957436,0.973279,0.00289854,11595.5 
29,2.5,47.1959,29,12964.9,-0.0336441,23.8897,11.9996,122.053,0.034252,82.6434,6.7185,1.66038,0.137779,-0.829431,3.50923,1.8857,37.4269,85.7749,21.8618,12823.5,9424.14,1.42471,-0.0978886,-1.30077,3.27356,1.65003,1.2628,45.3579,20.2122,12783.1,0.00372112,0.561853,0.00290421,12189.3 
30,10,47.3559,30,12279.6,-0.00239055,22.5685,12.021,122.092,-0.0200167,11.3421,1.09564e-10,0.0668948,2.61826,4.55701,1.01782,0.511222,84.5068,536.555,14.7776,11589.1,8838.99,-0.465222,2.08614,3.49278,0.485703,-0.0208945,0.373887,445.297,11.0528,11497.9,0.0391701,0.958371,0.00176767,11368.3 
31,10,47.3159,31,13109.6,-0.0109746,23.2987,12.3483,122.232,-0.00912296,10.0494,500,0.487173,2.81975,-1.55014,2.70603,-0.632972,32.0142,1256.69,35.3697,11685.6,9368.56,0.285589,2.61816,-1.95331,2.50445,-0.834557,1.74545,1222.12,33.9586,11651,0.0994354,0.953628,0.00534039,12290.6 
32,10,47.3359,32,11996,-0.0235639,21.6624,12.1109,122.395,0.00701248,20.7642,100.924,-0.638858,-1.49975,1.4752,3.73187,0.233665,25.801,759.315,18.6962,10939.4,8545.11,-0.80132,-1.66221,1.15028,3.56941,0.0712032,0.505758,731.452,17.559,10911.5,0.0659121,0.959684,0.00295559,11097.4 
33,10,47.4059,33,13771.3,-0.00559103,25.411,12.0177,121.957,-0.0037704,0.359171,9.20855e-11,1.02482,1.14802,-0.0444273,0.486076,-1.60985,-1.00121,265.198,28.2064,13413.3,9941.19,1.03112,1.15432,-0.0318186,0.49238,-1.60354,1.03052,266.279,28.2505,13414.4,0.0204673,0.843409,0.00386445,13010 
34,10,47.3059,34,12036.8,0.00314331,21.423,12.1879,122.145,-0.000601777,-7.45702,101.398,2.09295,3.16875,5.53884,0.938093,-0.57662,19.7555,1425.82,26.0192,10426.5,8499.87,1.96856,3.04435,5.29005,0.813698,-0.701016,0.492105,1404.49,25.1484,10405.2,0.124407,0.969617,0.00443247,11289.4 
35,10,47.3959,35,11133.3,-0.0343683,20.5041,11.9844,122.158,0.00672442,16.1122,386.957,0.938568,1.42213,3.8379,-3.86617,3.22442,53.7,296.893,32.8285,10609.8,8002.81,0.600434,1.08399,3.16163,-4.20431,2.88629,0.103857,238.903,30.4616,10551.8,0.0232779,0.817571,0.00528979,10263.1 
36,10,47.3459,36,11630.9,-0.0540714,21.252,12.1763,121.873,-0.0230406,-25.6491,157.419,-0.366423,1.68623,3.51089,3.08198,1.30294,22.9182,627.702,27.9757,10864.5,8443.14,-0.510732,1.54192,3.22227,2.93767,1.15863,0.614088,602.953,26.9656,10839.7,0.0553132,0.927416,0.00456163,10900.7 
37,8,47.2959,37,11151.3,-0.0284314,20.1626,12.1734,122.317,0.010499,-15.6045,408.786,1.42236,1.02167,6.18465,1.11326,-1.6164,18.976,866.577,22.1769,9972.3,7995.44,1.30288,0.902183,5.94567,0.993777,-1.73589,0.197466,846.085,21.3405,9951.81,0.0821417,0.957726,0.00393463,10300.3 
38,10,47.3659,38,10988,-0.0581525,20.416,12.0137,121.988,0.122792,-498.47,246.087,3.17731,-1.95445,2.87338,1.93147,-0.193832,34.4832,292.384,14.9609,10502.7,9976.92,2.96018,-2.17158,2.43912,1.71434,-0.410963,0.461693,255.146,13.4409,10465.4,0.0250209,0.915592,0.00236027,10197.3 
39,5,47.2559,39,12348.4,-0.0363073,22.8949,11.8954,122.347,-0.016361,12.8117,480.434,0.139971,-1.04658,-0.415037,-1.05425,-1.06359,49.6591,1435.54,25.0597,10675,8872.52,-0.172719,-1.35927,-1.04042,-1.36694,-1.37628,0.804272,1381.91,22.8708,10621.4,0.120457,0.971852,0.00395089,11472.3 
40,5,47.1759,40,10975.6,-0.0888978,21.2697,-11.6827,121.987,0.0238767,-10.6899,499.959,0.175614,-0.237834,3.16317,0.360349,-0.877914,86.7234,124.176,11.0281,10840.2,8097.38,-0.37046,-0.783908,2.07102,-0.185726,-1.42399,3.98823,30.524,7.2056,10746.6,0.00298093,0.707659,0.00123361,10239.8 
41,2.5,47.2359,41,10925.1,-0.0388562,20.5581,11.7577,122.213,-0.0692463,-29.5634,320.8,4.8319,2.2611,1.9022,-1.75157,-0.45679,38.0304,649.541,10.1203,10088.9,7935.29,4.59244,2.02163,1.42327,-1.99104,-0.696258,0.733971,608.472,8.44402,10047.8,0.059925,0.97629,0.00154568,10153.9 
42,10,47.3759,42,11286,-0.0765959,21.2456,11.9476,122.145,-0.00591622,23.579,488.354,6.69269,6.37548,2.83491,-1.37066,-1.61746,97.0632,673.582,18.3868,10560.6,8267.7,6.08151,5.7643,1.61254,-1.98184,-2.22864,0.825631,568.764,14.1086,10455.8,0.0541588,0.958396,0.00247948,10501.8 
43,5,47.1659,43,11616.5,0.00725859,21.4078,11.7483,122.244,-0.00651721,-8.96436,45.3479,0.13254,-0.923569,0.792116,6.99815,4.22308,7.36435,33.124,26.2732,11095.8,8189.2,0.0861683,-0.96994,0.699373,6.95177,4.17671,0.936096,25.1713,25.9486,11087.9,0.00238395,0.356628,0.0042925,10558.7 
44,4,47.2459,44,10611.2,-0.0366644,19.8513,11.8203,122.537,0.00797557,4.77233,377.192,3.19077,0.544299,3.5607,0.461666,1.63557,54.0461,1180.1,16.1095,9254.54,7639.86,2.85046,0.203985,2.88007,0.121351,1.29526,0.608213,1121.73,13.7273,9196.17,0.113788,0.979033,0.0027422,9858.1 
45,1.7,47.2159,45,9461.95,-0.0109692,18.4807,11.3957,122.101,-0.00264769,-22.0611,500,1.8727,-3.90221,2.55718,0.744656,-0.322733,2.88498,1333.26,9.56443,8046.01,6857.64,1.85454,-3.92038,2.52085,0.72649,-0.340899,-1.99887,1330.15,9.43726,8042.9,0.148273,0.987736,0.0021568,8970.9 
46,10,47.3859,46,9798.86,-0.0490843,18.2278,11.9823,122.198,-0.0107644,-30.9072,448.515,-0.693629,-0.88861,2.38691,3.44582,-1.37071,28.2912,171.805,13.6634,9476.05,7120.87,-0.871771,-1.06675,2.03063,3.26767,-1.54885,-0.12132,141.253,12.4164,9445.5,0.0154977,0.866681,0.00241565,9114.48 
47,10,47.0159,47,11454,-0.0316688,21.2232,11.8922,122.131,-0.00743252,23.925,8.3969,0.406347,0.86323,2.51446,2.31307,0.627151,-32.5904,61.5881,19.1781,11199.8,8221.91,0.61156,1.06844,2.92489,2.51829,0.832365,0.632346,96.7822,20.6146,11235,0.00898624,0.728465,0.0033686,10770 
48,2,47.2059,48,10278.9,-0.0150417,19.2219,11.7043,122.141,0.0114484,20.459,62.4099,1.27602,1.27285,0.0370976,1.06618,0.498912,5.15875,113.679,2.64095,9979.48,7331.45,1.24354,1.24037,-0.027869,1.0337,0.466429,1.00704,108.108,2.41357,9973.91,0.0112808,0.962399,0.000445569,9583.33 
49,10,47.3259,49,10737.2,-0.00795484,19.7189,12.1784,122.199,0.0024392,7.94443,9.91935e-12,-0.164233,0.0282211,4.44515,0.915343,-1.71604,31.1395,732.262,28.359,9905.34,7818.15,-0.36031,-0.167856,4.053,0.719266,-1.91211,-0.738005,698.635,26.9865,9871.72,0.0693313,0.936682,0.00501056,10076.8 
50,10,47.4159,50,11080.4,-0.0190607,20.6958,11.8042,121.866,-0.00141055,-0.715353,500,3.81457,-0.00359275,2.95774,-0.00555692,1.7667,51.6967,103.392,17.1362,10910.1,7952.75,3.48905,-0.329113,2.30669,-0.331078,1.44118,0.649264,47.5655,14.8576,10854.3,0.00459164,0.646567,0.00251517,10359.1 
51,2,47.2259,51,10483.3,-0.0217579,19.9325,11.6641,122.078,-0.00575879,-9.03355,500,1.59817,-1.13614,2.64143,0.899962,-3.04794,64.6973,810.771,3.72648,9518.8,7570.14,1.19079,-1.54352,1.82667,0.49258,-3.45532,2.22693,740.905,0.874803,9448.94,0.0762452,0.997938,0.000170517,9717.39 
52,4,47.1859,52,11819.8,-0.0701174,22.5328,11.7471,121.821,0.0424526,360.629,416.684,5.12795,1.83791,-1.36864,-0.334413,-0.668481,44.1237,41.8887,12.4982,11640.3,9115.06,4.85011,1.56008,-1.92431,-0.612248,-0.946316,1.65737,-5.76008,10.5533,11592.6,-0.0005233,-0.453254,0.00167416,11007.2 
53,8,47.2859,53,9955.63,-0.0384282,18.5319,11.9043,122.104,0.0433317,39.8712,484.722,1.76826,0.796467,0.626391,2.64582,1.61452,23.1027,876.006,25.5721,9006.55,7237.8,1.62279,0.650996,0.335448,2.50035,1.46904,0.949009,851.057,24.5538,8981.61,0.0906964,0.951937,0.00501069,9383.58 
54,2.5,47.2309,54,11255.4,0.00759823,20.6388,11.8041,122.472,-0.00622652,7.145,472.713,-3.87359,1.24829,6.97602,0.562414,-0.125879,60.3998,1151.94,26.013,9744.75,7932.15,-4.25391,0.867972,6.21538,0.182092,-0.506201,-1.48086,1086.71,23.3508,9679.53,0.105688,0.96376,0.00442421,10282.3 
55,4,47.2409,55,10330.4,-0.0203728,19.5601,11.59,122.314,0.0018705,7.66403,488.653,-1.20757,1.48215,-2.14286,2.9683,0.850885,36.4585,1374.74,10.2187,8735.51,7380.35,-1.43714,1.25258,-2.602,2.73873,0.621316,5.53711,1335.37,8.61174,8696.14,0.139148,0.98884,0.00182091,9596.7 
56,5,47.2509,56,11351.3,-0.0261167,21.0644,11.8545,122.319,0.00657399,14.7779,500,0.665986,0.991442,4.1003,0.815584,1.39538,48.2619,1605.72,34.4903,9500.18,8132,0.362093,0.68755,3.49252,0.511692,1.09149,0.431681,1553.6,32.363,9448.06,0.147551,0.964828,0.00627031,10529.3 
57,5,47.2609,57,12046.1,0.0253449,21.7279,11.9102,122.011,-0.00634898,-12.2165,178.61,3.87025,-0.921107,4.94583,6.59463,2.81041,16.9698,1108.75,18.567,10525.6,8426.81,3.7634,-1.02796,4.73212,6.48778,2.70356,0.71594,1090.42,17.819,10507.2,0.098482,0.972198,0.00311426,11072.3 
58,5,47.2709,58,11026.1,-0.0154546,20.4587,11.7923,122.164,0.00523204,0.918057,196.586,0.0541185,0.0533876,-2.59771,-1.38869,0.99288,1.35471,642.372,24.0958,10142,7853.81,0.0455882,0.0448574,-2.61477,-1.39722,0.984349,0.109774,640.909,24.0361,10140.6,0.062379,0.938412,0.00434735,10274.4 
59,2,47.2209,59,11188.4,-0.0220803,21.0534,11.6624,122.437,-0.0057107,6.94211,498.754,2.88736,-0.948689,4.58297,-2.068,1.20993,46.0924,1464.66,17.5405,9446.18,7994.19,2.59713,-1.23892,4.0025,-2.35823,0.919696,-0.0204787,1414.89,15.5088,9396.4,0.136817,0.981179,0.00303119,10341.5 
60,2,47.2109,60,12418.8,-0.00804406,23.0018,-11.6879,122.159,-0.000624396,8.30496,1.13346e-11,-0.437725,2.30248,-6.21086,2.63677,3.50112,0.374034,1330.4,28.5792,10722.7,8751.88,-0.44008,2.30012,-6.21557,2.63441,3.49877,4.49652,1329.99,28.5627,10722.3,0.115489,0.963779,0.00488314,11516.2 
61,2.5,47.2309,61,11183,0.021192,20.9189,11.4972,121.999,0.0249497,-168.662,125.17,-2.92435,0.937677,4.76176,0.795328,4.63125,11.9426,1182.03,37.003,9714.47,7966.33,-2.99955,0.862478,4.61136,0.720129,4.55605,0.405021,1169.13,36.4766,9701.57,0.112572,0.948227,0.00687843,10385.6 
62,4,47.2409,62,11438.1,0.00714883,21.158,11.6793,121.874,-0.21387,332.161,480.545,1.0331,2.33219,1.72346,-2.00734,1.53056,18.6297,1696.88,32.3362,9451.25,10356.8,0.915797,2.21488,1.48885,-2.12465,1.41325,0.619038,1676.76,31.5151,9431.14,0.157645,0.968156,0.00611792,10636.3 
63,5,47.2509,63,10261.9,-0.0120698,18.978,11.7694,122.274,0.00247647,8.85403,0.000222523,1.31757,0.955949,-3.76596,1.40493,2.3716,17.8522,1353.67,16.3736,8693.99,7271.81,1.20516,0.843539,-3.99078,1.29252,2.25919,3.47932,1334.39,15.5867,8674.72,0.139357,0.979968,0.00329897,9575.38 
64,5,47.2609,64,10444,-0.0210547,20.0773,11.6419,121.864,-0.0101619,-14.9336,500,2.01436,-0.558582,3.72094,2.06465,0.0199195,38.424,990.023,25.4954,9407.65,7613.85,1.77242,-0.800527,3.23705,1.8227,-0.222026,0.442812,948.529,23.8018,9366.16,0.0963328,0.957934,0.00465945,9846.38 
65,5,47.2709,65,11808.2,-0.0292418,21.7057,11.9157,121.884,0.0252221,10.8438,7.75015e-11,2.02453,-4.85692,-2.18055,2.37073,-4.00458,8.85289,929.259,37.073,10715.3,8428.44,1.96879,-4.91266,-2.29203,2.31499,-4.06033,0.671687,919.699,36.6828,10705.7,0.0829293,0.934754,0.00627231,11090.2 
66,2,47.2209,66,10353.4,0.00233312,18.9157,11.6321,122.204,-0.00237043,3.85061,2.8776e-11,4.59937,3.78873,3.64401,-0.201822,0.309326,-45.5607,1305.27,25.3514,8617.99,7162.98,4.88625,4.07562,4.21778,0.085062,0.596209,0.695707,1354.47,27.3596,8667.19,0.141263,0.965858,0.00578132,9588.3 
67,2,47.2109,67,9963.06,0.0391533,18.9292,11.1982,122.171,-0.00795749,-108.675,5.59752,2.56445,2.96425,0.449642,-2.94993,0.430554,-8.12403,1396.45,25.3533,8301.6,6928.56,2.6156,3.0154,0.551952,-2.89878,0.481709,0.853434,1405.22,25.7113,8310.37,0.151098,0.968974,0.00566697,9300.08 
68,2,47.2109,68,9795.39,-0.0231968,18.6904,11.5244,122.189,0.00609142,-15.9553,498.387,1.09442,2.18789,1.88663,0.626669,2.75674,25.9352,737.468,14.8549,8864.74,7014.99,0.931111,2.02459,1.56002,0.463362,2.59344,0.793989,709.461,13.7117,8836.74,0.0779254,0.967284,0.0028502,9104.36 
69,5,47.2759,69,9693.17,-0.0224944,18.4957,11.7159,121.756,-0.00677353,-12.3142,500,1.84114,-1.67988,3.36205,1.72757,0.260813,4.17047,461.149,18.2183,9186.6,7056.8,1.81488,-1.70614,3.30953,1.70131,0.234553,0.381872,456.645,18.0344,9182.1,0.0497455,0.935355,0.00360501,9179.64 
70,5,47.2659,70,9333.21,-0.0316844,17.7755,11.8102,121.949,0.0117164,19.6156,384.822,6.04206,0.947682,-1.19499,-3.09195,-1.72448,68.3031,809.559,11.323,8556.56,6841.44,5.61197,0.517596,-2.05516,-3.52204,-2.15456,-0.282714,735.799,8.31243,8482.8,0.0836662,0.980613,0.00180186,8794.45 
71,2.5,47.1959,71,11485.3,-0.0108011,21.5911,-11.6114,122.13,-0.00147064,11.5219,271.284,-0.122521,2.64334,2.52704,1.00618,-0.622703,23.3948,63.0498,34.1393,11288.1,8161.76,-0.269832,2.49603,2.23242,0.858865,-0.770014,0.509085,37.786,33.1081,11262.8,0.00351907,0.394734,0.00538587,10737.5 
72,10,47.3559,72,9850.96,-0.0295339,18.3906,11.8224,122.061,0.0127864,34.6444,500,6.26273,-0.839265,-2.26042,2.90707,-1.86112,60.9131,399.022,31.4781,9334.8,7092.22,5.87918,-1.22282,-3.02753,2.52351,-2.24467,2.58703,333.242,28.7933,9269.02,0.0364645,0.868654,0.00568975,9138.81 
73,10,47.3159,73,10789.7,0.00965834,19.1908,12.0696,122.137,-0.0161727,-8.64708,7.78571e-11,4.09167,-0.0363445,-0.911391,5.72233,1.45645,42.8518,916.291,27.1801,9500.66,7544.73,3.82185,-0.306171,-1.45104,5.45251,1.18663,1.16671,870.016,25.2913,9454.39,0.0883114,0.95159,0.00490362,9851.68 
74,10,47.3359,74,12189.2,0.0260614,21.5761,12.1344,122.141,-0.0221267,-16.2602,488.529,8.17431,4.23093,4.0351,-0.0502597,0.625673,-3.65131,850.665,48.5347,10853.7,8534.57,8.1973,4.25393,4.08109,-0.0272683,0.648664,0.762087,854.608,48.6956,10857.6,0.0765136,0.909326,0.008194,11169.4 
75,10,47.4059,75,10922.8,-0.0376257,20.7287,11.747,122.016,-0.0246823,-13.4551,500,0.261126,0.26806,-0.549704,-1.35888,-4.08785,5.90854,101.209,24.1116,10796,7937.51,0.223922,0.230855,-0.624113,-1.39609,-4.12506,0.890323,94.8284,23.8512,10789.6,0.0091666,0.694368,0.00405558,10345 
76,10,47.3059,76,11365.8,-0.0273265,20.5991,12.1355,122.171,0.00158216,20.3574,204.283,5.80273,-0.556212,1.90845,1.57264,1.18912,42.3068,1348.48,30.9716,9739.42,8138.73,5.53633,-0.822607,1.37566,1.30625,0.922723,0.834623,1302.79,29.1068,9693.73,0.123936,0.962373,0.00550076,10511.8 
77,10,47.3959,77,11843.4,-0.0433743,22.0754,11.9072,121.899,-0.0133855,12.9409,500,-2.47597,-3.11584,6.38445,-2.01513,1.36163,20.4288,219.503,33.7713,11569.9,8562.47,-2.60461,-3.24447,6.12718,-2.14377,1.233,10.6847,197.442,32.8709,11547.8,0.0176795,0.774386,0.0052162,11167.9 
78,10,47.3459,78,9131.25,-0.0163677,17.1678,11.6614,121.806,-0.0044108,28.7947,316.584,-0.757721,-0.19434,-0.9889,-1.162,0.377575,-7.44968,298.689,13.3923,8662.09,6521.33,-0.710812,-0.147431,-0.895083,-1.1151,0.424483,0.633754,306.734,13.7207,8670.13,0.0359032,0.927403,0.00290669,8543.36 
