cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
35,0.05,0.71,43.2359,35,27399.6,-0.00310565,54.3563,11.2721,117.982,-0.0621765,32.2791,2.60293e-12,-0.945586,-0.824415,-5.87521,-1.04979,-1.77192,152.592,12683.9,1160.92,11563.5,20011.1,-1.90642,-1.78525,-7.79687,-2.01062,-2.73275,0.519658,12628.0,1125.55,11507.6,0.488289,0.865067,0.152668,25861.8,-0.000621371,1.33518,11.5371,11.4762,118.455,86.0875,1.15627,11.1679,12.9814,117.173,136.4,1.2816,-50.3122,394.401,373.98,768.381
36,0.05,0.71,43.2259,36,24665.4,0.18255,49.9711,11.1086,117.996,-0.162093,-221.76,5.38018e-12,-1.38022,-1.31874,1.24805,-1.73991,-0.39734,111.294,11850.4,1006.46,10287.3,19240.8,-2.08101,-2.01953,-0.153533,-2.4407,-1.09813,0.980298,11809.7,980.662,10246.6,0.500554,0.87312,0.149878,23593.2,-0.00089354,1.24862,11.5296,11.5017,118.407,86.7209,1.04413,11.0868,12.8804,117.233,137.212,1.17488,-50.4907,369.407,332.648,702.055
37,0.05,0.71,43.0459,37,25929.9,0.0916685,52.9749,11.0075,117.981,-0.0980375,-53.6696,6.8985e-13,-1.18083,-2.48463,-1.50361,-0.0820332,-0.75239,157.183,12200.6,1048.73,11152.9,19153.8,-2.17057,-3.47437,-3.48309,-1.07177,-1.74213,0.708331,12143.1,1012.29,11095.4,0.48762,0.872687,0.143884,24902.7,-0.000822307,1.31643,11.3848,11.287,118.442,86.7418,1.1559,10.9284,12.6684,117.255,137.194,1.18718,-50.4525,377.4,357.02,734.42
38,0.05,0.71,43.0959,38,28479.7,0.13025,57.1535,11.1262,117.805,0.141196,-247.054,0.880868,0.235724,1.45412,1.94824,0.353292,-0.238173,140.677,13553.4,1138.26,11722.8,21836.3,-0.65008,0.568313,0.176628,-0.532512,-1.12398,1.11311,13502.0,1105.65,11671.3,0.501485,0.874658,0.148579,26924.0,-0.000733216,1.43649,11.4534,11.4789,118.208,86.7826,1.19071,11.1001,12.888,116.994,137.246,1.21463,-50.4634,421.345,380.029,801.374
39,0.05,0.71,43.1459,39,27970.5,-0.261012,55.8341,11.4117,118.033,-0.3795,333.726,282.599,-2.19023,0.510529,1.59767,1.64099,-2.76456,114.264,12855.6,1190.43,12022.7,24864.5,-2.90973,-0.208964,0.158686,0.921496,-3.48406,1.02873,12813.8,1163.94,11980.9,0.48187,0.862842,0.151795,26591.9,-0.000942778,1.33974,11.6228,11.5839,118.479,86.7323,1.19851,11.3393,12.9129,117.333,137.318,1.14546,-50.5852,402.428,391.516,793.944
40,0.05,0.71,43.1559,40,21459.9,-0.188894,44.7968,10.9785,118.088,0.220929,-162.115,499.945,0.6477,-0.720869,0.0461445,0.973016,-5.63731,153.105,10392.4,851.058,9207.68,17175.8,-0.316361,-1.68493,-1.88198,0.00895455,-6.60138,0.820348,10336.4,815.568,9151.64,0.495493,0.878673,0.141014,20860.7,-0.000993247,1.11025,11.3914,11.4158,118.496,86.0991,0.947784,10.9031,12.8127,117.322,136.642,1.17339,-50.5426,322.111,295.39,617.501
41,0.05,0.71,43.1659,41,24640.7,-0.213289,49.4351,11.3163,118.205,0.358367,-588.027,72.7992,-5.12861,-0.296658,0.0462305,-2.76197,-1.53138,131.739,10964.3,982.219,10735.0,25070.9,-5.95814,-1.12618,-1.61282,-3.5915,-2.36091,0.889906,10916.1,951.682,10686.8,0.470401,0.867628,0.140925,23205.9,-0.000675427,1.15396,11.6288,11.4614,118.719,86.4142,1.07768,11.2413,13.0049,117.543,137.17,1.17538,-50.7557,343.133,351.49,694.623
42,0.05,0.71,43.1959,42,17579.0,-0.280263,36.1049,-11.4567,118.211,-4.84908,3602.05,194.009,-0.0232331,-0.824315,-3.18554,-3.81637,-5.01077,118.553,7851.26,740.359,8240.43,582062.0,-0.769728,-1.57081,-4.67853,-4.56286,-5.75727,0.730176,7807.87,712.878,8197.04,0.453038,0.862233,0.138082,17234.5,-0.00124172,0.789214,11.9707,11.9044,118.494,86.7193,0.804158,11.4104,13.1003,117.637,137.566,0.8568,-50.8469,250.914,268.177,519.091
43,0.05,0.71,43.2859,43,19775.3,-0.0342213,41.5147,10.8647,117.827,0.0199847,-18.0414,5.30038e-12,-1.81218,-1.8528,-4.46623,-4.28212,-3.70376,127.09,9385.59,796.368,8809.43,14694.8,-2.61243,-2.65305,-6.06674,-5.08237,-4.50401,0.709984,9339.07,766.909,8762.92,0.480988,0.87435,0.138834,19416.4,-0.000939019,1.0277,11.2419,11.2067,118.172,86.1824,0.908241,10.9405,12.6713,117.125,136.57,1.04773,-50.3877,288.858,280.903,569.761
44,0.05,0.71,43.1859,44,20203.1,-0.195457,40.4499,11.397,118.044,0.919648,-496.494,499.546,1.29306,1.62154,-4.53779,-3.27145,-3.52633,89.0321,9030.62,815.149,8985.6,29871.1,0.732445,1.06093,-5.65901,-3.83206,-4.08695,0.519798,8998.03,794.512,8953.01,0.466364,0.866159,0.140504,19294.0,-0.000910141,0.923046,11.7943,11.7761,118.378,87.009,0.873449,11.4125,13.2445,117.426,137.784,0.951724,-50.7746,286.024,294.543,580.567
