cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
30,1.92,47.3201,30,18657.3,-0.0176733,34.5623,12.3508,117,0.0414963,-95.4025,500,-1.33475,-0.425014,-5.08949,-2.6104,0.139738,-181.395,1285.34,2833.9,14065.8,14025,-0.192553,0.717181,-2.8051,-1.4682,1.28193,-0.137168,1373.86,2891.44,14154.4,0.0778329,0.213535,0.273416,17651.4 
31,0.92,47.3201,31,18495.7,-0.303462,34.3729,12.6893,116.636,0.534733,-2025.29,469.614,2.40892,-1.27657,-1.09496,-0.369464,-2.23431,-106.379,1402.5,2879.88,13869.2,49453.6,3.07875,-0.606728,0.244718,0.300375,-1.56447,0.831537,1454.41,2913.63,13921.2,0.083282,0.221938,0.278261,17463.7 
32,2.42,47.3201,32,18338,-0.228008,33.9483,12.495,116.684,0.159547,-51.586,492.151,-1.52932,0.683088,2.72061,-3.64371,-3.36329,-89.4068,1368.66,2597.08,13877.1,14076.6,-0.966346,1.24606,3.84655,-3.08074,-2.80032,3.19202,1412.29,2625.44,13920.7,0.0810678,0.235115,0.257841,17421.1 
33,1.88,47.3228,33,18065.2,-0.0912905,32.8872,12.661,116.619,-0.358628,840.664,499.857,-0.286852,-0.941924,3.8092,0.483494,-1.26414,-41.2928,1169.77,2712.27,13682.1,23369.1,-0.0268424,-0.681914,4.32922,0.743504,-1.00413,-0.28852,1189.92,2725.37,13702.3,0.0702121,0.199674,0.268146,16947.6 
34,1.17,47.3253,34,18179.8,-0.0157237,33.8797,12.3086,116.564,0.0197756,-5.48288,499.747,3.20891,-0.233166,2.42167,0.591216,-1.09783,-97.0652,1316.95,2994.76,13480.5,13578.6,3.82011,0.378028,3.64406,1.20241,-0.486632,0.574192,1364.32,3025.55,13527.8,0.0806271,0.204882,0.291782,16921.3 
35,2.63,47.3226,35,17958.2,-0.251485,33.2303,12.5969,116.478,-0.270088,353.942,468.974,0.0574642,2.42423,-1.60601,1.74727,-2.3891,-76.2722,1261.16,2757.03,13516.1,16738.7,0.53773,2.90449,-0.645477,2.22754,-1.90883,1.20719,1298.38,2781.22,13553.3,0.0768965,0.210587,0.274316,16884.7 
36,0.13,47.3226,36,19400.6,-0.181596,35.8833,12.4184,116.565,-0.582683,62.7516,500,0.0541019,4.06669,-1.45809,-2.07955,-2.64064,-79.0027,1350.33,3062.56,14442.6,15696.5,0.551561,4.56415,-0.463173,-1.58209,-2.14318,1.4995,1388.89,3087.62,14481.2,0.0769797,0.204482,0.282004,18042.3 
37,2.84,47.3254,37,19421.9,-0.221955,35.1638,12.7123,116.647,0.201609,-23.5249,38.7342,-1.38306,1.55185,3.24525,-0.14049,-2.19267,-36.5225,1272.86,3221.59,14183.3,14706.1,-1.15308,1.78182,3.70519,0.0894821,-1.96269,-0.505738,1290.69,3233.17,14201.1,0.073243,0.185744,0.295473,17622 
38,1.67,47.3253,38,18051.2,-0.235954,33.1303,12.6427,116.773,-0.413224,92.0342,81.7361,0.105235,-3.61778,2.19098,0.945214,1.9576,-59.5898,1291.5,2851.23,13286,14873.2,0.480456,-3.24256,2.94142,1.32043,2.33282,0.232522,1320.58,2870.14,13315.1,0.0793954,0.208184,0.284219,16632.9 
39,1.38,47.3228,39,18044.6,-0.279217,33.7387,12.5559,116.893,0.0200296,106.729,496.981,-3.10494,-3.24657,3.51891,0.583565,-0.60449,-80.0992,1243.56,2601.21,13879.6,13859.8,-2.60058,-2.74221,4.52764,1.08793,-0.100126,-25.2233,1282.65,2626.62,13918.7,0.0741881,0.218166,0.257955,17289.1 
40,0.17,47.3253,40,18447.6,-0.0199413,34.1358,12.4064,116.482,-0.0197232,99.6026,500,-0.469205,1.39712,4.25671,-0.105133,0.152571,-139.497,1324.7,2581.77,14201.1,13850.3,0.409173,2.2755,6.01346,0.773246,1.03095,0.427416,1392.77,2626.01,14269.1,0.0782356,0.232582,0.25318,17802.3 
41,1.59,47.3199,41,17909.6,-0.0751495,33.3629,12.4057,116.405,0.00986519,32.2082,500,-1.45849,-0.725105,-1.65643,0.0366166,2.61113,-109.628,1354.27,2857.92,13447.8,13483.8,-0.768191,-0.0348096,-0.275835,0.726912,3.30143,1.09352,1407.77,2892.69,13501.3,0.0831317,0.217585,0.282988,16934.2 
