cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
183,0.04,0.83,43.3247,183,27066.3,-0.0775395,51.7354,12.0144,122.562,0.0359656,-37.4443,500.0,1.30227,0.717631,0.768998,-1.70999,-2.32095,-57.9777,15713.0,93.129,12641.0,20278.1,1.66734,1.0827,1.49914,-1.34492,-1.95588,-0.580725,15759.2,97.3274,12687.2,0.546682,0.989308,0.0139344,28827.0,-0.00168952,1.53576,12.3487,10.3333,122.866,80.2511,1.19732,12.0948,10.9926,121.907,127.727,0.959402,-47.4761
184,0.04,0.83,43.2047,184,22694.8,-0.35668,44.0064,12.1339,122.726,-0.0134052,192.825,480.355,-0.30501,1.35402,-2.23902,-0.661237,-1.44909,-166.999,12398.7,100.831,11840.5,17466.6,0.746538,2.40556,-0.135923,0.390311,-0.397546,1.04517,12531.7,112.924,11973.5,0.504002,0.984476,0.0170765,24864.4,-0.0018956,1.17375,12.2339,10.7636,123.089,80.0803,1.0627,12.4079,11.3672,122.074,127.788,1.01555,-47.7075
185,0.04,0.83,43.0547,185,28780.7,-0.201738,53.9214,12.3267,122.701,0.132068,38.1757,2.76087e-12,0.461514,2.5633,-0.626594,-3.00802,2.7517,-103.775,16274.8,119.574,13817.1,21801.4,1.11496,3.21674,0.680297,-2.35458,3.40515,0.887787,16357.5,127.089,13899.8,0.533265,0.986586,0.0165638,30674.3,-0.00180873,1.50461,12.6478,10.7267,122.959,80.7578,1.24925,12.3317,11.2748,122.068,128.218,0.891333,-47.4598
187,0.04,0.83,43.2547,187,24361.0,-0.0633148,47.5405,11.8236,122.651,0.00774474,-24.4199,499.979,1.98387,-0.479562,3.39342,1.29581,-1.7067,-120.286,14001.8,76.6447,11789.5,18304.4,2.74129,0.27785,4.90824,2.05323,-0.949284,0.456531,14097.6,85.3549,11885.3,0.535228,0.989516,0.0130565,26339.4,-0.00176897,1.41689,11.9872,10.2622,122.973,80.1136,1.14115,12.0859,10.7895,122.068,127.591,0.904976,-47.4778
188,0.04,0.83,43.1447,188,25429.3,-0.0504317,48.7064,12.0664,122.86,0.0478243,19.4066,500.0,0.88404,-2.10691,2.70387,-3.15875,-0.420129,-169.949,14467.1,111.383,12492.6,19162.2,1.95416,-1.03678,4.84412,-2.08863,0.649995,-0.12058,14602.4,123.69,12628.0,0.528896,0.985393,0.0177235,27609.3,-0.00188963,1.37225,12.3252,10.6711,123.18,80.2945,1.14573,12.2767,11.1896,122.188,127.841,0.992291,-47.5468
189,0.04,0.83,43.2747,189,28179.2,-0.152618,53.6515,12.22,122.658,-0.0464257,53.2578,164.853,0.626271,-0.663698,2.04494,-0.962289,-1.97,88.8722,16047.1,95.9026,13576.3,21423.2,0.0666661,-1.2233,0.925726,-1.52189,-2.5296,1.21617,15976.3,89.4671,13505.5,0.534558,0.990295,0.0120559,29887.0,-0.00193878,1.52689,12.502,10.519,122.969,79.9688,1.25004,12.2274,11.2176,122.049,127.279,0.919956,-47.31
190,0.04,0.83,43.0047,190,28755.7,-0.371378,54.2925,12.2804,122.788,0.638915,-150.403,340.87,3.53235,-0.705023,1.80616,-0.552361,-1.50354,-168.922,15824.2,129.523,14284.6,24832.5,4.596,0.358631,3.93347,0.511293,-0.439886,0.560973,15958.8,141.755,14419.2,0.517965,0.984693,0.0177876,30810.6,-0.00180526,1.49574,12.4614,10.5939,123.14,80.4206,1.29983,12.2399,11.3141,122.115,127.811,1.02441,-47.3902
191,0.04,0.83,43.1347,191,27061.9,-0.370855,51.3748,12.2605,122.729,0.0585886,247.83,68.3981,1.94247,2.15704,-0.07837,-2.5443,-1.33557,-78.7873,15504.9,101.155,12919.9,20977.4,2.43857,2.65315,0.913835,-2.0482,-0.839471,0.706906,15567.6,106.86,12982.7,0.537931,0.98813,0.0149359,28939.8,-0.00178376,1.46252,12.4833,10.6075,122.912,80.5322,1.18126,12.2553,11.242,122.19,128.069,0.721743,-47.537
192,0.04,0.83,43.1047,192,28448.5,-0.321255,53.6791,12.1905,122.918,0.369357,-341.829,433.85,6.44022,-0.90153,-2.2746,2.1501,-4.22923,-146.747,15939.7,122.857,13735.3,25412.2,7.36424,0.0224962,-0.426553,3.07412,-3.3052,1.06339,16056.5,133.483,13852.2,0.529495,0.98566,0.0174414,30324.3,-0.0016568,1.51693,12.4567,10.5185,123.29,80.0376,1.26741,12.1475,11.2293,122.251,127.392,1.03949,-47.3542
193,0.04,0.83,43.1947,193,22172.0,-0.332644,42.159,12.3184,122.672,0.102087,163.736,52.4923,0.0332826,-4.08743,-6.99233,-0.589775,-3.55491,-133.265,12395.5,83.1269,11083.5,17450.1,0.87242,-3.24829,-5.31406,0.249362,-2.71577,0.476774,12501.6,92.777,11189.7,0.520317,0.987179,0.0150437,24027.0,-0.00166544,1.15491,12.5959,10.6551,122.958,80.1965,1.01096,12.2702,11.2733,122.065,127.65,0.893657,-47.4537
194,0.04,0.83,43.1847,194,24033.0,-0.397496,45.7601,12.3931,122.726,0.65515,-96.137,28.3864,-3.2457,-1.24583,-3.33902,-1.13125,-2.49635,-156.669,13031.5,112.181,12547.2,20511.7,-2.25919,-0.259332,-1.36601,-0.144751,-1.50985,0.753389,13156.3,123.526,12672.0,0.501986,0.983835,0.01764,26208.4,-0.00198671,1.18913,12.6618,10.8504,123.106,80.2597,1.10484,12.428,11.5608,122.157,127.598,0.948957,-47.3383
