cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
40,0.08,0.79,43.1932,40,32504.2,-0.0296019,55.6437,12.9392,122.344,-0.136816,135.386,5.16594e-11,1.45992,-0.112849,-6.9336,-4.80084,-1.02497,-36.4965,16854.7,159.479,15808.7,24040.9,1.68973,0.11696,-6.47398,-4.57103,-0.795159,0.354762,16883.8,162.121,15837.8,0.508599,0.983474,0.0185075,33196.7,-0.000916144,1.38208,13.2775,11.5262,122.665,82.1482,1.24824,13.0464,12.2534,121.705,130.322,0.959574,-48.1733
41,0.08,0.79,43.2332,41,32692.5,-0.0283906,56.4591,-12.815,122.24,-0.0317589,-0.302859,499.995,-3.11151,-1.5435,-1.18968,-2.30706,0.811553,-37.073,16942.7,148.421,15839.2,23553.4,-2.87807,-1.31006,-0.722798,-2.07362,1.04499,0.878308,16972.2,151.105,15868.7,0.509416,0.984659,0.0172386,33317.0,-0.000772794,1.44826,13.0734,11.1929,122.627,81.9087,1.30798,12.9168,11.8056,121.54,129.773,1.08766,-47.864
42,0.08,0.79,43.2832,42,36109.8,-0.169977,63.3931,12.6771,122.222,-0.0433131,-47.0069,440.773,-4.654,-1.99985,-9.96931,-1.35049,-3.47169,-63.96,19233.8,165.887,16983.7,26227.4,-4.25126,-1.59711,-9.16383,-0.947747,-3.06895,0.518425,19284.7,170.518,17034.7,0.523608,0.984762,0.0181057,36830.4,-0.000807908,1.67748,12.9558,11.061,122.577,82.0435,1.45249,12.6385,11.6223,121.559,129.926,1.01814,-47.8826
43,0.08,0.79,43.3432,43,37188.6,-0.0188406,63.1422,12.9871,122.357,-0.034336,29.1695,500.0,-2.23363,-1.99461,-2.24321,-4.25687,-0.796188,-90.7669,19464.1,166.158,17544.5,26727.4,-1.6621,-1.42308,-1.10014,-3.68533,-0.224653,0.864101,19536.4,172.731,17616.8,0.518458,0.984763,0.0177412,37681.7,-0.000692595,1.62462,13.2464,11.3456,122.723,82.3507,1.43241,12.9724,11.9043,121.683,130.509,1.03932,-48.1581
44,0.08,0.79,43.2232,44,33263.1,-0.146326,56.5143,13.0801,122.162,0.0684846,-61.4458,498.91,-0.195729,-1.8229,-9.95006,-3.48538,-2.4197,-110.47,17486.5,169.363,15697.6,24200.7,0.49987,-1.1273,-8.55886,-2.78978,-1.7241,0.375274,17574.5,177.362,15785.6,0.519438,0.982646,0.0202776,33833.7,-0.000784779,1.41841,13.3801,11.5752,122.539,81.795,1.23993,13.1254,12.2188,121.391,129.761,1.14762,-47.9662
45,0.08,0.79,43.0732,45,37441.8,-0.117234,63.5177,13.0135,122.262,0.0592397,185.794,471.054,-5.90038,-3.69397,-5.22995,-2.30387,-2.65057,-38.9093,19645.2,173.296,17512.4,27266.4,-5.65538,-3.44897,-4.73995,-2.05887,-2.40557,0.74111,19676.2,176.113,17543.4,0.521281,0.984578,0.0181566,37745.9,-0.000509917,1.64892,13.3005,11.2396,122.607,82.3731,1.43572,12.8545,11.8896,121.529,130.491,1.07853,-48.1179
46,0.08,0.79,43.2532,46,35448.1,-0.0517583,60.3584,12.9904,122.006,-0.024776,17.2457,487.902,-1.61214,-4.19411,-4.97343,-3.29397,-4.84189,-43.4926,18929.6,166.11,16462.5,25538.4,-1.33827,-3.92025,-4.42571,-3.02011,-4.56803,0.743769,18964.2,169.259,16497.2,0.527424,0.984621,0.0185492,35956.3,-0.000649357,1.58977,13.3219,11.1995,122.437,82.204,1.35409,12.8367,11.8652,121.364,130.221,1.07245,-48.0169
47,0.08,0.79,43.2732,47,38973.6,-0.0604252,65.3872,13.1397,122.224,-0.0250618,-72.3253,500.0,0.756083,-0.461814,-3.15221,-0.0880256,-2.74771,28.6308,20055.9,193.089,18391.9,28027.7,0.575802,-0.642095,-3.51278,-0.268306,-2.928,0.481537,20033.1,191.016,18369.1,0.514286,0.983588,0.0187956,38953.3,-0.000400106,1.65744,13.4166,11.313,122.482,81.8573,1.45515,13.1372,12.1157,121.526,129.792,0.956132,-47.9345
48,0.08,0.79,43.1632,48,33737.8,-0.135764,58.7953,12.7261,122.303,-0.0401861,147.883,488.011,-0.662668,-3.24505,0.615606,0.35043,-3.4955,-76.178,17156.3,133.766,16648.7,24550.9,-0.182995,-2.76538,1.57495,0.830103,-3.01582,1.44251,17217.0,139.282,16709.3,0.500092,0.98604,0.0151228,34427.6,-0.000742321,1.51342,12.9053,10.9697,122.703,82.4658,1.3868,12.864,11.7443,121.609,130.587,1.09339,-48.1208
49,0.08,0.79,43.2932,49,36800.9,-0.144743,63.888,12.7881,121.921,0.0969515,-465.504,317.117,-0.872787,-4.07378,-5.56494,-1.7114,-1.95883,132.983,20032.6,164.318,16594.2,28065.4,-1.71015,-4.91114,-7.23965,-2.54876,-2.79618,0.62305,19926.6,154.688,16488.3,0.539877,0.986597,0.0169884,36909.6,-0.000570456,1.71982,13.1312,11.114,122.256,81.792,1.39933,12.6658,11.7316,121.224,129.682,1.03211,-47.8895
50,0.08,0.79,43.0232,50,36987.1,-0.0336022,63.5323,12.8011,122.437,-0.0515622,38.9998,500.0,-2.69349,-2.05235,-3.73312,-6.42703,-3.59876,-6.98664,19610.3,163.039,17194.3,26540.5,-2.6495,-2.00835,-3.64513,-6.38304,-3.55477,0.800166,19615.9,163.545,17199.8,0.525448,0.985619,0.0172142,37331.7,-0.000623538,1.67938,13.0985,11.1579,122.834,82.1297,1.42151,12.7573,11.9381,121.724,130.037,1.11057,-47.9072
51,0.08,0.79,43.1532,51,34349.0,-0.123208,59.2567,12.8269,122.514,3.84559,-4626.86,263.837,0.177893,-3.92121,-2.71851,-1.44167,-4.81687,-30.9633,18198.5,151.061,16113.2,603965.0,0.372861,-3.72624,-2.32858,-1.2467,-4.6219,0.798402,18223.1,153.303,16137.9,0.522975,0.985492,0.0171983,34845.1,-0.000613043,1.55948,12.9681,11.2185,122.837,82.1634,1.32099,12.9106,11.8784,121.878,130.323,0.958362,-48.1601
52,0.08,0.79,43.1232,52,36254.7,-0.0407595,62.2921,12.8236,122.262,-0.122639,33.2546,500.0,-0.34793,-0.0774323,0.363966,1.48338,0.707347,-15.2104,19383.3,156.054,16730.9,26136.7,-0.252154,0.0183437,0.555518,1.57915,0.803123,0.794556,19395.4,157.156,16743.1,0.52934,0.986018,0.0169967,36640.8,-0.000600785,1.66135,13.1445,11.1111,122.625,81.7747,1.37923,12.8004,11.895,121.617,129.622,1.00836,-47.8469
