cyc,time,timewait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
24,0.4,5.6,9,24,12427.7,-0.46487,24.0105,13.4385,113.448,-0.757213,1157.24,35.0384,-0.312243,1.81974,2.59371,1.67521,0.579559,123.375,7316.22,61.3268,6750.93,39029.6,-1.0891,1.04288,1.03999,0.898352,-0.197301,0.386369,7217.95,52.3929,6652.65,0.47483,0.987457,0.0143,15201.1,-0.0018936,0.631509,13.4599,10.8816,112.724,91.0191,0.51296,13.4763,12.4548,112.736,141.309,-0.012339,-50.2903 
25,1.9,4.1,9,25,13563.4,-0.555689,26.2944,13.6011,113.24,-0.07288,457.523,149.537,-0.332304,-0.747856,3.07587,-2.45811,-0.78143,141.726,8290.39,63.7881,7124.93,12727.6,-1.22472,-1.64027,1.29105,-3.35052,-1.67384,1.19566,8177.5,53.5253,7012.04,0.492859,0.988675,0.0138664,16591.9,-0.00212069,0.728439,13.3895,10.7206,112.731,91.0404,0.536198,-13.6707,12.4281,112.401,141.609,0.32987,-50.5685 
26,1.3,4.7,9,26,13162.1,-0.0762239,25.0423,13.2103,113.441,-0.0357678,39.2002,500,1.21463,2.80603,-2.30728,3.02885,-0.789039,116.647,7756.84,59.7257,7097.79,10814.8,0.48014,2.07153,-3.77626,2.29435,-1.52353,-7.32193,7663.92,51.279,7004.87,0.476916,0.988426,0.0133057,16069.8,-0.00209942,0.667229,13.4939,10.9599,112.89,90.935,0.529051,13.8142,12.5571,112.674,141.254,0.215852,-50.3191 
27,1,5,0,27,16688,-0.0939133,31.0245,13.1119,113.309,-0.0532424,139.323,499.909,1.10057,1.8363,-0.291926,1.32151,0.907589,124.701,9336.12,74.3785,8927.74,13483.9,0.315363,1.05109,-1.86234,0.536302,0.12238,12.4402,9236.79,65.3486,8828.41,0.465778,0.98777,0.013452,19830.9,-0.00194534,0.828754,13.3151,10.6622,112.725,90.7911,0.69718,-13.5038,12.0945,112.55,141.041,0.17495,-50.2502 
28,5,1,9,28,13953.7,-0.0464592,26.4223,13.2811,113.651,0.00822494,2.56356,498.507,-2.26422,-1.77429,-0.312348,-1.36977,-0.164674,126.256,8533.96,80.4309,7213.04,11424.2,-3.05922,-2.56929,-1.90235,-2.16477,-0.959673,0.821465,8433.39,71.2884,7112.47,0.497007,0.985423,0.0181287,16968.4,-0.0021549,0.725342,13.6443,10.9233,113.176,90.8695,0.538631,13.5936,12.6763,112.822,141.32,0.353531,-50.4503 
29,2.2,3.8,9,29,14003.7,-0.480711,26.551,13.5097,113.407,0.0039981,163.582,0.0364159,-1.68769,0.379395,-4.69218,-3.44936,-2.39619,132.516,8394.42,74.528,7014.79,11698,-2.52211,-0.455023,-6.36101,-4.28378,-3.23061,0.622548,8288.86,64.9322,6909.24,0.499933,0.986476,0.0170173,16579.9,-0.00165367,0.732447,13.2669,10.8296,112.9,90.9072,0.534266,-13.2537,-12.617,112.474,141.015,0.425888,-50.1077 
30,4,2,9,30,13125,-0.541091,25.4332,13.6222,113.273,0.608708,-72.9808,476.005,0.105894,-1.11822,-0.0879304,-2.76716,1.14235,124.571,8041.82,68.7374,6871.45,12724.4,-0.678495,-1.90261,-1.65671,-3.55154,0.357965,0.777066,7942.59,59.7169,6772.22,0.494272,0.987013,0.0159839,16069.3,-0.00205199,0.683425,13.5473,10.9859,112.683,91.0866,0.515105,-13.6308,12.4795,112.544,141.359,0.138601,-50.2721 
31,2.5,3.5,9,31,13042.5,-0.48697,25.3077,13.3764,113.145,0.0429369,-17.0877,361.169,0.157322,0.131011,2.04115,0.0609544,-2.78782,139.911,8044.39,70.5758,6667.8,11044,-0.723663,-0.749973,0.279178,-0.82003,-3.66881,1.04912,7932.94,60.4445,6556.36,0.502067,0.986841,0.0166992,15800.6,-0.00194801,0.712844,13.2788,10.7006,112.794,91.5341,0.502351,13.5812,-12.5456,112.285,141.953,0.50887,-50.4192 
32,0.1,5.9,9,32,12625.8,-0.479513,24.4106,13.4625,113.625,0.621437,-393.487,90.2412,-0.897192,1.20052,-0.969107,-1.38114,-2.33278,116.191,7152.73,70.3301,7116.18,18658.1,-1.62882,0.468894,-2.43236,-2.11277,-3.06441,0.722633,7060.18,61.9165,7023.63,0.455833,0.984885,0.0159795,15488.5,-0.00199269,0.612735,13.4713,11.0243,113.134,91.5573,0.530862,-13.6829,-12.5827,112.705,141.886,0.429118,-50.3291 
33,0.7,5.3,9,33,12039,-0.0231929,23.3746,12.9476,113.393,0.00840481,-16.1565,7.04229e-12,-0.846344,1.31928,2.75766,-0.44371,-0.143077,130.952,7102.49,50.5188,6657.56,9856.54,-1.67092,0.49471,1.10852,-1.26828,-0.967649,1.48121,6998.18,41.0362,6553.25,0.470875,0.989843,0.0114036,14862.1,-0.0019989,0.629351,13.3091,10.7553,112.842,90.218,0.511769,13.5964,-12.245,112.637,140.551,0.205634,-50.3335 
