cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,4.99,0.01,23,17131.8,0,5,101,125,0,5,135,-10.5766,-7.86403,-23.4734,-3.32484,-10.2848,308.673,-41.873,30541.3,-61.3295,16439.4,-11.7692,-9.05668,-25.8587,-4.51749,-11.4775,0.587446,-59.9119,29188.4,-79.3683,0.386145,-0.00117429,1.00148,-155.154,580.981,615.207,0.578872,41991.9,9.23288e-07,0.647522,111.904,86.8705,26.4021,26.9212,0.980715,633.638,671.123,0.706293 
24,1.49,3.51,24,18523.1,0,5,101,125,0,5,135,-9.02784,-11.1522,-21.6213,-12.9262,-9.80082,363.364,-24.9115,32048.9,-55.3853,16439.4,-10.4318,-12.5561,-24.4293,-14.3301,-11.2048,0.665133,-46.1465,30456.3,-76.6203,0.334175,-0.000866562,1.00137,-138.091,531.272,550.1,0.498145,43198.2,9.32046e-07,0.580019,111.377,87.2598,25.7179,25.9537,0.990911,601.222,623.753,0.657032 
25,2.99,2.01,25,20272.7,0,5,101,125,0,5,135,-6.95211,-9.58764,-19.5377,-6.11757,-14.432,331.044,-27.6912,33224.4,-41.1058,16439.4,-8.23119,-10.8667,-22.0959,-7.39666,-15.711,0.656371,-47.0374,31773.5,-60.452,0.393356,-0.000846658,1.00103,-119.58,564.04,595.241,0.583641,44742,9.43018e-07,0.614442,111.398,86.0485,25.9875,26.4455,0.982682,613.895,647.611,0.668627 
26,4.49,0.51,26,17967.9,0,5,101,125,0,5,135,-5.92405,-9.45438,-15.6395,-2.92282,-13.0117,357.924,-42.9299,31120.4,-54.7112,16439.4,-7.307,-10.8373,-18.4054,-4.30577,-14.3947,0.666872,-63.847,29551.6,-75.6283,0.41298,-0.00123611,1.00139,-154.601,562.149,588.144,0.498423,42507.4,9.2705e-07,0.620246,111.657,86.3702,26.4848,26.8393,0.986793,637.618,667.045,0.703484 
27,3.49,1.51,27,16659.9,0,5,101,125,0,5,135,-5.50786,-7.2616,-18.1123,-10.3615,-6.01506,353.948,-32.3294,30131,-57.7231,16439.4,-6.87544,-8.62918,-20.8475,-11.7291,-7.38264,0.624125,-53.0141,28579.6,-78.4078,0.360387,-0.0010611,1.00149,-147.103,566.591,589.848,0.584618,41267,9.17944e-07,0.62978,112.169,87.1377,26.0492,26.3288,0.98938,616.813,641.91,0.685485 
28,3.99,1.01,28,21004.1,0,5,101,125,0,5,135,-8.06966,-7.36707,-14.8131,-4.81959,-8.60577,296.589,-23.4323,33848.1,-43.7863,16439.4,-9.21562,-8.51303,-17.1051,-5.96555,-9.75173,0.661628,-40.7649,32548.1,-61.119,0.35725,-0.000716199,1.00102,-114.108,555.351,597.507,0.518616,45186.3,9.4613e-07,0.608842,112.042,86.2953,26.1645,26.9018,0.972591,622.285,670.155,0.682546 
29,0.49,4.51,29,16162.1,0,5,101,125,0,5,135,-7.17361,-9.70372,-23.0122,-11.6625,-9.33561,269.646,-16.348,29941.4,-65.914,16439.4,-8.21547,-10.7456,-25.0959,-12.7043,-10.3775,0.626208,-32.1061,28759.5,-81.6721,0.246757,-0.000638331,1.00154,-130.113,527.133,544.228,0.632495,40739.5,9.14016e-07,0.585999,111.052,87.2022,24.9091,25.0907,0.992759,564.002,582.961,0.627345 
30,0.99,4.01,30,16246.7,0,5,101,125,0,5,135,-4.7989,-14.879,-24.6723,-7.1738,-8.49416,392.44,-17.6805,29480,-65.9818,16439.4,-6.31521,-16.3954,-27.7049,-8.69011,-10.0105,0.599154,-40.6146,27759.9,-88.916,0.275701,-0.000836738,1.00174,-147.314,551.327,581.431,0.69448,40292.1,9.10658e-07,0.621725,111.323,86.816,25.287,25.7331,0.982664,581.246,613.191,0.655575 
31,0.01,4.99,31,16725.9,0,5,101,125,0,5,135,-8.7607,-7.89392,-16.7362,-10.0132,-11.9388,310.889,-44.2528,29528,-59.772,16439.4,-9.96192,-9.09513,-19.1386,-11.2144,-13.1401,0.694027,-62.4211,28165.3,-77.9404,0.400265,-0.00126803,1.0015,-155.95,522.899,539.736,0.662686,39934.1,9.07953e-07,0.585108,111.245,87.2071,24.7065,24.8805,0.99301,554.868,573.23,0.621149 
32,1.99,3.01,32,16199.1,0,5,101,125,0,5,135,-9.96041,-8.36476,-23.8359,-10.5551,-9.80129,308.948,-21.8407,28634.9,-39.889,16439.4,-11.1541,-9.55848,-26.2234,-11.7488,-10.995,0.623659,-39.8956,27280.8,-57.9439,0.364582,-0.000836361,1.00115,-109.428,528.287,551.001,0.556735,38641.5,8.98048e-07,0.600774,111.662,87.2122,25.2752,25.5823,0.987996,580.704,606.027,0.660577 
33,2.49,2.51,33,15706.5,0,5,101,125,0,5,135,-12.1024,-8.66137,-23.495,-10.6866,-8.15753,335.256,-32.4991,28943.4,-38.4624,16439.4,-13.3978,-9.95673,-26.0857,-11.982,-9.45289,0.631948,-52.0914,27473.9,-58.0547,0.427831,-0.00108462,1.00115,-121.757,571.322,590.821,0.948515,39547.8,9.05015e-07,0.641967,111.622,86.3098,25.3513,25.5428,0.9925,584.205,604.158,0.656451 
34,4.99,0.01,34,14366.8,0,5,101,125,0,5,135,-2.77674,-4.78123,-16.8029,-10.8145,-7.84633,383.653,-14.2967,28284.9,-69.1557,16439.4,-4.2591,-6.26359,-19.7676,-12.2969,-9.32869,0.619237,-36.7173,26603.4,-91.5764,0.250444,-0.000789294,1.00187,-146.609,571.063,601.741,0.56169,39317.7,9.03256e-07,0.648987,111.334,86.5655,26.2582,26.717,0.982828,626.754,660.98,0.712577 
35,1.49,3.51,35,15507.2,0,5,101,125,0,5,135,-11.373,-12.8189,-22.875,-8.61387,-8.3183,382.82,-11.4301,29011.2,-49.9566,16439.4,-12.8521,-14.2981,-25.8332,-10.093,-9.79744,0.645508,-33.8021,27333.3,-72.3286,0.280291,-0.000707166,1.00144,-120.596,521.651,554.46,0.578404,39373.1,9.03681e-07,0.595127,111.617,87.1499,25.008,25.5621,0.978322,568.491,605.072,0.649008 
36,2.99,2.01,36,15083.1,0,5,101,125,0,5,135,-9.72962,-8.56544,-17.8853,-8.7083,-6.78946,389.379,-31.7927,28499.8,-49.3576,16439.4,-11.2341,-10.0699,-20.8942,-10.2128,-8.29394,0.655807,-54.548,26793.1,-72.1129,0.386637,-0.00116473,1.00146,-141.083,568.491,600.303,0.719056,39302.5,9.03141e-07,0.646832,112.167,86.6425,25.6182,26.0922,0.981833,596.571,630.425,0.679036 
37,4.49,0.51,37,13254,0,5,101,125,0,5,135,-14.5699,-4.44951,-17.9284,-4.42849,-9.33262,306.469,-28.1297,26330.6,-52.2273,16439.4,-15.754,-5.63365,-20.2967,-5.61262,-10.5168,0.64893,-46.0397,24987.4,-70.1373,0.353595,-0.00105398,1.00153,-130.205,544.216,579.411,0.52944,36190.5,8.78645e-07,0.639095,111.227,87.1987,25.8237,26.4061,0.977944,606.181,645.686,0.71203 
38,3.49,1.51,38,14577,0,5,101,125,0,5,135,-7.31917,-6.72843,-10.3837,-8.96576,-10.6894,312.104,-35.6938,27529.1,-53.7444,16439.4,-8.52508,-7.93434,-12.7955,-10.1717,-11.8953,0.750681,-53.9332,26161.1,-71.9837,0.384376,-0.00117943,1.0015,-140.314,585.892,585.931,0.739594,37908.5,8.92334e-07,0.656606,111.806,86.2424,25.9648,25.736,1.00889,612.822,613.331,0.687048 
39,3.99,1.01,39,17872,0,5,101,125,0,5,135,-9.79697,-10.6931,-21.5795,-12.2842,-8.09779,377.256,-22.0576,31332.8,-33.0726,16439.4,-11.2546,-12.1508,-24.4948,-13.7419,-9.55543,0.65596,-44.1045,29679.3,-55.1195,0.400049,-0.000849886,1.00101,-110.248,561.935,608.881,0.563084,42327.6,9.25741e-07,0.631858,112.083,86.3281,26.0343,26.864,0.969114,616.107,668.272,0.693131 
40,0.49,4.51,40,16642.5,0,5,101,125,0,5,135,-11.4744,-10.409,-16.0924,-10.9794,-11.3907,331.533,-33.1842,29301.4,-46.6986,16439.4,-12.7554,-11.69,-18.6544,-12.2604,-12.6717,0.725799,-52.559,27848.3,-66.0734,0.398636,-0.00107964,1.00129,-131.847,500.8,530.175,0.529926,39383.6,9.03761e-07,0.570149,111.196,87.1629,24.7538,25.2503,0.980338,556.993,590.397,0.634517 
41,0.99,4.01,41,15154.5,0,5,101,125,0,5,135,-11.3492,-5.44176,-14.9226,-7.8838,-7.90495,360.168,-44.2997,28219.9,-57.4664,16439.4,-12.7408,-6.83338,-17.7058,-9.27542,-9.29656,0.682987,-65.3479,26641.3,-78.5146,0.409537,-0.00140361,1.0016,-159.565,489.177,502.704,0.460052,37806.7,8.91534e-07,0.556226,111.037,86.4879,24.9764,25.1216,0.994218,567.053,584.395,0.645695 
42,0.01,4.99,42,17826.6,0,5,101,125,0,5,135,-12.9152,-10.0899,-19.298,-9.76381,-8.74753,388.442,-23.4534,31153.1,-59.7806,16439.4,-14.4161,-11.5908,-22.2998,-11.2647,-10.2484,0.680609,-46.154,29450.6,-82.4812,0.318015,-0.000896327,1.00152,-145.131,527.89,534.869,0.564956,42061.2,9.23795e-07,0.575201,110.922,87.1828,25.2193,25.1585,1.00242,578.138,586.113,0.630131 
43,1.99,3.01,43,18378.6,0,5,101,125,0,5,135,-9.66271,-5.60861,-6.46911,-12.4734,-9.00977,337.135,-40.7055,31269.1,-48.3769,16439.4,-10.9653,-6.91123,-9.07435,-13.7761,-10.3124,0.822209,-60.4077,29791.5,-68.0791,0.425099,-0.00116002,1.00124,-142.103,548.829,578.819,0.634399,42131.2,9.24308e-07,0.60978,111.566,87.2338,25.4239,25.8736,0.982616,587.555,619.908,0.652937 
44,2.49,2.51,44,16250.9,0,5,101,125,0,5,135,-10.4666,-5.93583,-20.3768,-16.2116,-7.91407,358.352,-12.5162,29445.7,-47.2476,16439.4,-11.8512,-7.32043,-23.146,-17.5962,-9.29867,0.66558,-33.4583,27875,-68.1897,0.29022,-0.000686355,1.00133,-115.286,569.993,599.631,0.955734,40215.7,9.10081e-07,0.642387,111.792,87.4331,25.3153,25.7286,0.983934,582.546,612.978,0.656609 
45,4.99,0.01,45,18475.6,0,5,101,125,0,5,135,-11.3789,-3.35837,-22.928,-9.65472,-5.59243,395.347,-43.1696,32191.6,-39.9877,16439.4,-12.9064,-4.88592,-25.9831,-11.1823,-7.11997,0.581442,-66.2737,30458.8,-63.0918,0.466769,-0.00124489,1.00113,-141.984,577.28,603.858,0.509981,43640.1,9.35213e-07,0.631321,111.491,86.902,26.7338,27.0974,0.986582,649.663,679.937,0.71067 
46,1.49,3.51,46,15584,0,5,101,125,0,5,135,-9.01032,-8.79526,-17.3838,-8.61204,-7.54103,367.095,-41.7268,29358.6,-49.42,16439.4,-10.4287,-10.2136,-20.2205,-10.0304,-8.95941,0.662162,-63.1798,27749.6,-70.873,0.426236,-0.00130271,1.00139,-148.227,498.499,506.84,0.435174,39462.2,9.04362e-07,0.555809,111.349,87.0639,25.4667,25.4808,0.999446,589.535,601.226,0.658311 
47,2.99,2.01,47,17046.7,0,5,101,125,0,5,135,-14.0472,-8.20758,-21.0666,-13.095,-11.8768,355.525,-30.7769,30671,-46.2116,16439.4,-15.4209,-9.58126,-23.8139,-14.4687,-13.2505,0.68885,-51.5538,29112.7,-66.9884,0.390737,-0.00101293,1.00125,-131.94,550.967,571.216,0.565874,41601.1,9.20415e-07,0.609508,111.896,86.6415,25.7671,26.0111,0.990621,603.529,626.513,0.668083 
48,4.49,0.51,48,17158.1,0,5,101,125,0,5,135,-9.58465,-6.57629,-23.4102,-11.9519,-6.57218,424.875,-28.2374,30337.7,-55.8052,16439.4,-11.2263,-8.21793,-26.6935,-13.5935,-8.21382,0.607131,-53.0671,28475.4,-80.6349,0.354185,-0.00106606,1.00154,-149.829,577.747,608.743,0.631749,41615.9,9.20524e-07,0.644245,111.396,86.2909,26.086,26.5417,0.982833,618.559,652.332,0.690065 
49,3.49,1.51,49,14873.6,0,5,101,125,0,5,135,-8.91845,-7.7609,-21.9373,-9.09725,-6.16653,309.901,-41.9566,28025.9,-50.0513,16439.4,-10.1158,-8.9583,-24.3321,-10.2947,-7.36392,0.601537,-60.0672,26667.6,-68.162,0.423421,-0.00128877,1.00139,-141.862,529.034,549.192,0.473935,38396.3,8.96145e-07,0.601486,111.66,86.8968,25.8592,26.1358,0.989414,607.847,632.535,0.691929 
50,3.99,1.01,50,15607.4,0,5,101,125,0,5,135,-8.66148,-6.62223,-12.2724,-12.2569,-17.5485,327.993,-34.0132,29137.8,-33.4235,16439.4,-9.92878,-7.88953,-14.807,-13.5242,-18.8158,0.772079,-53.1811,27700.2,-52.5914,0.457312,-0.00109828,1.00103,-116.291,566.084,600.512,0.612901,40049.5,9.08826e-07,0.641535,111.857,86.6631,25.8923,26.4271,0.979762,609.404,646.712,0.690761 
51,0.49,4.51,51,16099.6,0,5,101,125,0,5,135,-10.693,-5.86999,-11.4988,-10.2879,-15.4938,328.589,-36.901,29162.4,-39.9918,16439.4,-11.9626,-7.1396,-14.038,-11.5575,-16.7634,0.771595,-56.1037,27722.2,-59.1945,0.441285,-0.00115779,1.00116,-127.137,538.498,545.77,0.740061,39245.7,9.02705e-07,0.600552,111.354,86.7574,24.8812,24.8282,1.00213,562.739,570.824,0.627854 
52,0.99,4.01,52,16406.8,0,5,101,125,0,5,135,-11.9603,-5.50586,-17.2186,-14.0894,-11.8285,357.236,-15.8877,30009.7,-36.9625,16439.4,-13.3406,-6.88614,-19.9792,-15.4696,-13.2088,0.70996,-36.7645,28443.9,-57.8394,0.346274,-0.000739132,1.00111,-106.172,541.727,554.039,0.621019,40402.9,9.11492e-07,0.601046,111.924,87.174,25.2949,25.3604,0.997418,581.612,595.56,0.645694 
53,0.01,4.99,53,15791.9,0,5,101,125,0,5,135,-12.3285,-8.5918,-20.3808,-12.401,-16.0568,323.426,-27.383,28940.8,-46.1153,16439.4,-13.5782,-9.84146,-22.8801,-13.6506,-17.3064,0.703843,-46.284,27523.2,-65.0163,0.372347,-0.000961858,1.00128,-124.304,482.193,486.829,0.445214,39012.3,9.00912e-07,0.537795,111.576,86.9408,24.939,24.8524,1.00348,565.357,571.938,0.631181 
54,0.01,4.99,54,13920.9,0,5,101,125,0,5,135,-11.7406,-6.84993,-14.8078,-7.29072,-9.07943,368.745,-36.5266,27693.9,-50.3073,16439.4,-13.1654,-8.27468,-17.6573,-8.71548,-10.5042,0.697219,-58.0761,26077.7,-71.8568,0.402456,-0.00127421,1.0015,-144.304,511.827,517.84,0.564685,37757.4,8.91147e-07,0.577711,110.596,86.9889,24.8177,24.7552,1.00252,559.871,567.472,0.63251 
